output_file,date,rule,version,log-file(s),input-file(s),shellcmd,status,plan
results/test-tgi/prenetworks-brownfield/elec_s180_37m_lv1.1__12H_2030.nc,Wed Aug 16 11:50:12 2023,add_existing_baseyear,-,logs/test-tgi/add_existing_baseyear_elec_s180_37m_lv1.1__12H_2030.log,data/costs_2030.csv;data/existing_infrastructure/existing_heating_raw.csv;data/existing_infrastructure/offwind_capacity_IRENA.csv;data/existing_infrastructure/onwind_capacity_IRENA.csv;data/existing_infrastructure/solar_capacity_IRENA.csv;data/override_component_attrs;resources/busmap_elec_s180.csv;resources/busmap_elec_s180_37m.csv;resources/cop_air_total_elec_s180_37m.nc;resources/cop_soil_total_elec_s180_37m.nc;resources/pop_layout_elec_s180_37m.csv;resources/powerplants.csv;results/test-tgi/prenetworks/elec_s180_37m_lv1.1__12H_2030.nc,-,ok,update pending
results/test-tgi/prenetworks/elec_s180_37m_lv1.1__12H_2030.nc,Wed Aug 16 11:50:01 2023,prepare_sector_network,-,logs/test-tgi/prepare_sector_network_elec_s180_37m_lv1.1__12H_2030.log,data/costs_2030.csv;data/eea/UNFCCC_v23.csv;data/eurostat-energy_balances-june_2016_edition;data/heat_load_profile_BDEW.csv;data/override_component_attrs;resources/avail_profile_s180_37m.csv;resources/biomass_potentials_s180_37m.csv;resources/busmap_elec_s180.csv;resources/busmap_elec_s180_37m.csv;resources/co2_totals.csv;resources/cop_air_rural_elec_s180_37m.nc;resources/cop_air_total_elec_s180_37m.nc;resources/cop_air_urban_elec_s180_37m.nc;resources/cop_soil_rural_elec_s180_37m.nc;resources/cop_soil_total_elec_s180_37m.nc;resources/cop_soil_urban_elec_s180_37m.nc;resources/dsm_profile_s180_37m.csv;resources/energy_totals.csv;resources/heat_demand_rural_elec_s180_37m.nc;resources/heat_demand_total_elec_s180_37m.nc;resources/heat_demand_urban_elec_s180_37m.nc;resources/industrial_energy_demand_elec_s180_37m_2030.csv;resources/networks/elec_s180_37m_ec_lv1.1_.nc;resources/pop_layout_elec_s180.csv;resources/pop_layout_elec_s180_37m.csv;resources/pop_weighted_energy_totals_s180_37m.csv;resources/profile_offwind-ac.nc;resources/profile_offwind-dc.nc;resources/salt_cavern_potentials_s180_37m.csv;resources/shipping_demand_s180_37m.csv;resources/solar_thermal_rural_elec_s180_37m.nc;resources/solar_thermal_total_elec_s180_37m.nc;resources/solar_thermal_urban_elec_s180_37m.nc;resources/temp_air_rural_elec_s180_37m.nc;resources/temp_air_total_elec_s180_37m.nc;resources/temp_air_urban_elec_s180_37m.nc;resources/temp_soil_rural_elec_s180_37m.nc;resources/temp_soil_total_elec_s180_37m.nc;resources/temp_soil_urban_elec_s180_37m.nc;resources/transport_data_s180_37m.csv;resources/transport_demand_s180_37m.csv,-,ok,update pending
resources/networks/elec_s180_37m_ec_lv1.1_.nc,Wed Aug 16 11:45:53 2023,prepare_network,-,logs/test-tgi/prepare_network/elec_s180_37m_ec_lv1.1_.log,data/costs_2030.csv;resources/networks/elec_s180_37m_ec.nc,-,ok,update pending
resources/networks/elec_s180_37m_ec.nc,Wed Aug 16 11:45:26 2023,add_extra_components,-,logs/test-tgi/add_extra_components/elec_s180_37m.log,data/costs_2030.csv;resources/networks/elec_s180_37m.nc,-,ok,update pending
resources/networks/elec_s180_37m.nc,Wed Aug 16 11:49:26 2023,cluster_network,-,logs/test-tgi/cluster_network/elec_s180_37m.log,data/costs_2030.csv;resources/busmap_elec_s180.csv;resources/networks/elec_s180.nc;resources/regions_offshore_elec_s180.geojson;resources/regions_onshore_elec_s180.geojson,-,ok,update pending
resources/regions_onshore_elec_s180_37m.geojson,Wed Aug 16 11:43:54 2023,cluster_network,-,logs/test-tgi/cluster_network/elec_s180_37m.log,data/costs_2030.csv;resources/busmap_elec_s180.csv;resources/networks/elec_s180.nc;resources/regions_offshore_elec_s180.geojson;resources/regions_onshore_elec_s180.geojson,-,ok,update pending
resources/regions_offshore_elec_s180_37m.geojson,Wed Aug 16 11:43:54 2023,cluster_network,-,logs/test-tgi/cluster_network/elec_s180_37m.log,data/costs_2030.csv;resources/busmap_elec_s180.csv;resources/networks/elec_s180.nc;resources/regions_offshore_elec_s180.geojson;resources/regions_onshore_elec_s180.geojson,-,ok,update pending
resources/busmap_elec_s180_37m.csv,Wed Aug 16 11:49:26 2023,cluster_network,-,logs/test-tgi/cluster_network/elec_s180_37m.log,data/costs_2030.csv;resources/busmap_elec_s180.csv;resources/networks/elec_s180.nc;resources/regions_offshore_elec_s180.geojson;resources/regions_onshore_elec_s180.geojson,-,ok,update pending
resources/linemap_elec_s180_37m.csv,Wed Aug 16 11:49:26 2023,cluster_network,-,logs/test-tgi/cluster_network/elec_s180_37m.log,data/costs_2030.csv;resources/busmap_elec_s180.csv;resources/networks/elec_s180.nc;resources/regions_offshore_elec_s180.geojson;resources/regions_onshore_elec_s180.geojson,-,ok,update pending
resources/networks/elec_s180.nc,Wed Aug 16 11:43:43 2023,simplify_network,-,logs/test-tgi/simplify_network/elec_s180.log,data/costs_2030.csv;resources/networks/elec.nc;resources/regions_offshore.geojson;resources/regions_onshore.geojson,-,ok,update pending
