snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
carrier,Electricity,Coal,Ammonia,Methanol,Oil,Oil,Hydrogen,Centralized heat,Oil,Electricity,Decentralized heat,Oil,Methanol,Methane,Solid biomass,CO2 emissions,Solid biomass,Solid biomass,Methane,Electricity,CO2 captured,Hydrogen,Electricity,Electricity,CO2 captured,Methane,Electricity,Electricity,Hydrogen,Oil,Centralized heat,Decentralized heat,Oil,Methanol,Hydrogen,Electricity,Electricity,Electricity,Solid biomass,Centralized heat,Methane,Solid biomass,Hydrogen,Ammonia,Methane,Electricity,Decentralized heat,Methane,Oil,Methane
sector,Industry,Industry,Industry,Shipping,Aviation,Industry,Industry,Industry,Shipping,Agriculture,Agriculture,Agriculture,Industry,Industry CC,Industry,Industry emissions,Industry CC,Solid biomass methanation,Hydrogen production CC,Residual electricity consumption,Methanol production,Methanol production,Methanol production,Compression losses,CO2 sequestration,Storage,Hydrogen production,Decentral heat production,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Storage,Storage,Ammonia production,Ammonia production,Hydroelectricity,Transport,Decentral heat production,Storage charging,Central CHP production CC,Central CHP production,Storage,Storage,Decentral heat production,Battery charging,Storage charging,Power supply,Decentral heat production,Hydrogen production
2045-01-01 00:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.63038941883941,63.43038636069007,4.658113865723963,13.371361679998689,0.095149463929203,106.05402555016312,145.52677870537065,28.4762554562723,130.6692951237459,31.110388171684377,0.953917020359283,19.81616114658268,72.64772126328263,237.06665426857887,143.5934382443028,8.402600118938576,17.30666545603084,94.2178139397899,333.3257106151341,78.42391019010545,17.876137685298918,15.73804379959885,3.389078919924064,6.1888358894092725,81.37876445441691,44.45197326870391,11.931224075504277,13.1909106219912,37.533479824226426,77.94229175571087,4.224803862962872,51.61404177394889,0.27564978116998085,0.5524165800938493,5.319920819827851e-05,3.5671827953491036e-06,0.0013337964827196
2045-01-01 03:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.63038941972829,63.4303863455841,4.6581138715179105,13.371361696779044,0.0951488504343555,106.51187856617815,111.0974639135748,28.32427201142579,129.97188708008414,30.944345836093408,0.9378482579303128,20.121202055643945,,233.80695293904336,227.12256971862413,39.618213769743456,81.6008333102821,150.35718450860938,533.3432115223176,0.0,17.26332523775101,21.461761012195048,4.62164184806325,1.4110726859056348,37.649577625930625,51.7479297073695,4.132260584927366,13.632620647918138,77.56171216506826,39.68479600897228,9.20887519353116,161.15951606035475,0.09748829495351816,0.2116528951277061,5.571516990480747e-05,17.314264052233984,0.0013928881769015
2045-01-01 06:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.63038941975498,63.4303863295255,4.658113877605036,13.371361714624012,0.0951483789590791,106.50849362844792,111.72604918204428,28.2928758129668,129.82781901156645,30.91004540208184,0.9706434744504734,20.171234705125784,,199.87016085951367,239.27872276237053,85.74783957168903,176.6130902385842,158.44850435742853,562.0237323339522,,17.136732625484466,25.47614433034137,5.486111540311233,5.634359428416767,66.89272263767162,53.5132720473499,3.017105156254152,13.910598969682354,82.40856011298538,,12.704494978995992,185.51091222452285,0.2262965534668675,9.69775637600648e-06,5.393328459959901e-05,13.250613927957025,0.0150938235528846
2045-01-01 09:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.63038942027136,63.43038631162389,4.6581138843757515,13.37136173451771,0.0951481166093251,106.49534443469328,141.1766469496965,28.39352585938148,130.2896729459566,31.02000585732031,1.0060021344244174,20.1059992073331,,217.6283433782554,244.9060173394427,70.44767696745654,145.0996548892536,140.6905270536285,498.9835769669846,0.0,17.542563677787783,23.913979973563393,5.149710246832311,14.532641467775155,179.08760838984642,51.56344232032591,10.63954045728656,14.430177732346236,55.61609033700141,0.0,11.344199539231369,128.53567067697358,44.778929063763336,1.50424213866842e-05,3.49737167398189e-05,1.404364461636551,0.0157919400599423
2045-01-01 12:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.63038942087723,63.430386297776245,4.658113889604055,13.371361749900515,0.0951479922615757,106.48775564284486,148.57016761478343,28.340970491212357,130.04851157120444,30.962588971636094,0.9779156924627825,20.026095128169143,14.192839630959746,224.42087250861664,227.76253607748438,81.16250692336891,167.16877335749598,134.99874479924884,478.82843066401114,0.0,17.33065517711639,24.306628065356215,5.234264298643845,2.5005754801539286,136.3762723755694,49.681318844562355,11.986568364411267,13.254919296129522,61.30276626269115,0.0,11.686107676065529,111.85289473546847,34.84055936592884,0.4062086450236803,4.7104643633018114e-05,0.7773583159122903,0.0169615013318648
2045-01-01 15:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.63038942160987,63.43038628938147,4.658113892780399,13.37136175923235,0.0951479350251224,106.48247606172156,167.74688025942524,28.329851257316633,129.99748862481664,30.95044117772411,0.8414749717873098,20.115345780597217,,205.75676135179077,204.14274171523482,92.09490876087044,189.68602022803069,143.22397956644014,508.27752146581093,,17.28582131433487,21.256347399203435,4.5774074467284995,0.0,21.53955738944573,53.89450495543405,2.408163337111642,13.922201438515367,74.57758065879256,,9.029991976295948,153.60812656131876,0.0007623578816540037,0.0464250710333701,3.286861038069537,12.564899349510531,0.0165372042346307
2045-01-01 18:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.630389421710035,63.430386286376525,4.658113893936477,13.3713617625708,0.0951478850760498,106.15849162667097,172.3791363858398,28.33158312306952,130.00543565554636,30.952333245868974,0.8378508488323777,19.918909801786924,,200.25310492694413,198.0731552130504,44.390972746945856,91.43118840889927,142.25730460533416,504.9413249483539,0.0,17.292804370403292,24.05491211321521,5.180059008706132,,13.431076521926942,53.16956032478471,2.782374987653545,13.979645568900375,74.69761590365766,8.033866850957729,11.466929388433696,162.8111528768394,0.000908472419462854,1.0067379981913166e-05,6.424497949402024,11.110525645709004,1.7132611000292517e-05
2045-01-01 21:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.63038942175768,63.43038628154161,4.658113895783601,13.371361767940002,0.0951478375269789,105.92873741147054,161.62953418916422,28.317135009216575,129.93913744242874,30.936548641358588,0.8742499683703421,19.77281694343949,60.09593925832312,163.47596057129388,158.38714099367363,17.558749907552368,36.16540192021099,100.52550325577158,355.9485499232086,60.74340837836266,17.234548130989076,16.44655910966366,3.5416527932948645,,43.12727613641787,49.65042146941542,7.5960621350936846,13.19091805734626,47.44171301437065,15.815168070816368,4.8417557824043325,62.381592615820765,0.5436447815630475,1.8913840924005176,3.4404034414524567,3.5621042345375843e-06,1.65274346382623e-05
2045-01-02 00:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.63038942180148,63.43038627771168,4.658113897247208,13.371361772196598,0.0951477862049766,105.99554313273958,137.63377906937745,28.328181664114265,129.9898273447993,30.948617142513648,0.8564969100813147,19.78982433348482,72.10283862933616,147.26495756365745,149.7790079827614,8.40906468716579,17.31998039642184,95.60442998376884,335.95763885752353,79.66801484632492,17.27908934736252,13.287271802888476,2.861322114989829,,70.96268972513863,50.5341229933726,8.561011166416035,13.190917440434507,48.61043902253045,16.473045641681278,2.090722081817803,52.18433556747099,0.5230668917091514,2.826584357429521,1.778897063205296,3.5570582873435945e-06,1.632709530154307e-05
2045-01-02 03:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.63038942157538,63.43038627829454,4.658113897046537,13.37136177154696,0.0951477304737922,106.47403380439268,126.88958639339896,28.022453000396265,128.58692698634093,30.61460772831652,0.926861930337808,20.435372076553207,,149.76775916325082,205.74145000235194,39.11782871686482,80.5702003410766,153.26683466901355,539.5492878215248,8.785813948869706,16.04636080312729,18.981510825995542,4.087537118833767,,27.589479560527977,54.36939385385978,2.634804255855778,14.7760747059947,93.95546547667116,0.0,7.049128706131015,199.09302796067334,8.03345285267132e-05,0.2605618224592948,2.1419273711402713,7.686747175313217,1.7481669338675733e-05
2045-01-02 06:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.630389420426475,63.43038628443197,4.658113894767318,13.371361764729638,0.0951476689038882,106.5348995532572,175.78368151648684,27.951642275306753,128.26199706186907,30.53724681449707,0.8338710062304953,20.665135461065667,,125.25057390346424,210.89279919547576,86.02355178528647,177.1809691066511,160.35625769918414,564.5947904362813,,15.760844878196718,25.198975695569448,5.426425191147966,,30.01943724747071,54.94143054147699,3.383610856087998,14.776078628292137,99.73111851105328,,12.463140934044146,217.78915051687105,0.5097497333135836,8.618729655034636e-06,0.9727712343125772,10.05667668190791,0.0449664669817706
2045-01-02 09:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.63038941946997,63.4303862884661,4.65811389328677,13.371361760250018,0.0951476167458758,106.53236168948018,204.9763670688188,27.75001305565831,127.33677892536689,30.316966332056214,0.8840801075638567,20.85937116676203,,168.54244043463208,212.43594143905705,72.8741205388543,150.097351619326,142.36307405222897,501.2447619529677,0.0,14.947855700969695,18.934493282621727,4.077412215945969,0.0,145.1763863348914,52.67586621921611,3.999919491398369,14.776064774843642,81.83771235506173,0.0,7.00817599664582,151.3014658917255,29.222878425724566,1.78121844217812e-05,4.994391916866788e-05,1.3141304621858847,0.046145885345068
2045-01-02 12:00:00,193.23744292237444,14.9668378995,9.47945205479452,48.505757327713425,83.871621355086,35.75228310497382,12.363013698630136,7.211187214611872,9.843815457677383,5.7144931044690885,22.34338942225278,10.49743235957586,48.43721461187728,40.63038941959736,63.430386285727934,4.658113894345571,13.37136176328926,0.0951475973994541,106.52689537046332,204.33839778543845,27.81589045798568,127.63907125941056,30.388937577056947,0.9106641149736536,20.685952164003464,,209.6236732715774,198.16440978687908,84.77821234084129,174.61596864959242,136.70433832985677,481.3521902034301,0.0,15.213479976177217,13.173676773471204,2.8368602107971337,0.0,104.47122515998386,52.10096831937139,5.23412330076018,13.987474558116816,72.2369863386738,0.0,1.9917896131300368,137.86848385422823,20.201469015863395,0.007431223865887,0.08274299718104788,0.7989616860939127,0.0466283550364688
