snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Methanol,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Electricity,Electricity,Methane,Centralized heat,Ammonia,Decentralized heat,CO2 captured,Centralized heat,Electricity,Decentralized heat,Centralized heat,CO2 emissions,Electricity,Centralized heat,Methane,Decentralized heat,Centralized heat,Electricity,Centralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Methanol production,Heat Pump,Transport emissions,Offwind,Heat Pump,Onwind,Solar,Imports,Waste Heat,Haber-Bosch,Resistive heater,Central heat production CC,Gas CHP CC,Gas CHP CC,Gas Boiler,Storage,Decentral heat production emissions,Hydroelectricity,Resistive heater,Storage,Storage,Gas Boiler,Gas,Biomass CHP,Oil Boiler
2050-01-01 00:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.5558987004900517,1.7561475714184918,0.2312643528236341,8.795798398066466,0.0804803555539621,7.083999934262413,3.242500378655191,8.049705310609108,,1.914215719648364,2.1716041386449603,2.317949189463717,0.2452770079913646,2.0435876926711554e-07,2.561734691045139e-07,2.295718808966617e-07,4.641006899149723e-07,1.5424469669326904e-07,2.2344523429039405e-07,0.07976690349072112,8.381837493705132e-07,0.0,4.599659150309913e-07,2.20553685209282e-07,4.2239880517722754e-07,1.3969835169375398e-07,1.0468482116889392e-07
2050-01-01 03:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.5558987005704763,1.7561475702407807,0.2312617153023729,8.7478772852794,0.4013561647286948,6.629704626637322,3.2238292529542174,6.6230122581791075,,1.908107056889268,2.559263951422947,2.736320000065164,3.4751349893360777,2.657822762928687e-07,3.528955476486322e-07,3.162698698668926e-07,6.027890087359858e-07,4.5025156326359507e-07,2.7306216142977355e-07,0.07987631731243823,1.236968109673018e-06,0.0,0.5059240332866819,2.5979847643181937e-07,4.7127805721366545e-07,1.547557262930855e-07,1.1913639097197558e-07
2050-01-01 06:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.5558987030863074,1.7561475427469793,0.1814152169372978,8.71772037556867,0.8509550313403546,6.870203160090768,3.2119827191170676,5.1732033966214495,0.1280712769142304,1.9021483210289936,2.704179903854787,2.8980959773873987,4.2638814686316575,2.803520065251105e-07,3.7952800498754234e-07,3.40139960831261e-07,8.35941897430887e-07,0.0513420937919784,3.414706806122857e-07,0.07987636642505563,8.549057088730278e-07,0.0,0.1465025648589883,2.8841600931776156e-07,4.6597428678065507e-07,1.645203411927084e-07,1.3445683642662298e-07
2050-01-01 09:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.5558987036063199,1.7561475356057652,0.1814173293207217,8.686100716320432,0.7005355120458279,7.056661641995262,3.199269356344308,4.670952612619645,3.2757678889587982,1.896414402732101,1.7705937158943625,1.8905511787822071,3.0248278221355873,3.0562335905429663e-07,4.324277867742126e-07,3.87552105753869e-07,7.33048014290662e-07,0.3429955695186253,3.1881722052191615e-07,0.09266041395765531,1.2562081118760678e-06,0.0,1.030030400008485e-06,2.921319987425275e-07,5.106250566340443e-07,1.688642023336654e-07,1.3023532347156053e-07
2050-01-01 12:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.5558987039831151,1.7561475305181438,0.1814283729817792,8.621769075730652,0.8252856306324067,7.067526165100098,3.1740264015305755,4.038236824669559,5.4148799524902245,1.8923432745425792,1.9300083644940536,2.0625930962023924,2.637146707586117,2.92061397079515e-07,4.058069365943086e-07,3.6370028312060074e-07,7.342456099055166e-07,8.675302866004082e-06,3.1873790413587046e-07,0.07987672734540235,1.2189706390136457e-06,0.0,6.264547636498354e-07,2.902915227978066e-07,4.9084525355427e-07,1.6806168153578814e-07,1.3044189490469377e-07
2050-01-01 15:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.555898705063359,1.7561475165155063,0.1771935542155082,8.318337367732978,0.9429642020710958,7.045203426211169,3.0552622815497585,2.641851405221872,0.0723083025634308,1.889235628515482,1.0606899327570787,1.1248640925859048,3.567318831641705,2.766866247858615e-07,3.751717685698087e-07,3.362327042521736e-07,7.537659342988683e-07,1.277624314114147,3.2550333379447483e-07,0.07987639067173592,1.2850149545650193e-06,0.0,4.770608174528636e-07,3.009057380584996e-07,4.56367650335952e-07,1.690760954729842e-07,1.3176160307035334e-07
2050-01-01 18:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.5558987048483968,1.7561475184055741,0.0859562285109619,8.04777965937375,0.4339995078285323,7.081534835125302,2.949377687272672,2.9148580462149987,,1.8871292212544424,2.389941918705856,2.56926657270485,3.720411046988387,2.906656883504802e-07,4.03919181141135e-07,3.6201220809691593e-07,9.683145908474758e-07,7.746309316607945e-06,3.746685657570178e-07,0.07987667152143045,1.292398750522163e-06,0.0,3.485181562821297e-05,2.9848502650176805e-07,4.837523284828451e-07,1.7041612095500113e-07,1.3792419050671378e-07
2050-01-01 21:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.5558987048789192,1.756147517671375,0.2312644377573905,8.003289964801795,0.1721323265207369,7.083883936482586,2.9320450665931777,3.680770127471364,,1.8859901623110444,1.8966947486225936,2.0219890688429905,0.5222743905565127,2.1654990902876503e-07,2.9428726753771754e-07,2.637373496808161e-07,2.5612638334375553e-05,1.3998701507376513e-07,5.345872247716173e-06,0.07987672597521794,3.2584308755559997e-07,,7.936982586083223e-05,2.3088382567223935e-07,4.869785653458476e-07,1.4574842793279924e-07,1.41369528117606e-07
