country,sector,year,Curtailment,Available
AL,Hydroelectricity,2023,0.6923744995893453,163901.12375853054
AL,Hydroelectricity,2030,4.127979513662373,163901.12375853054
AL,Hydroelectricity,2035,8.34385275669283,163901.12375853054
AL,Hydroelectricity,2040,75.3169713513746,163901.12375853054
AL,Hydroelectricity,2045,69.39918719203695,163901.12375853054
AL,Hydroelectricity,2050,19.247346186204023,163901.12375853054
AL,Offwind,2023,0.0,0.0
AL,Offwind,2030,0.3081843213047823,1.0467810744361803
AL,Offwind,2035,0.227182094138802,1.4443467799524856
AL,Offwind,2040,0.330388076817146,2.0089075885843997
AL,Offwind,2045,0.2078817926243485,2.206325982160807
AL,Offwind,2050,0.216877207473931,2.5787303174516465
AL,Onwind,2023,0.0,0.0
AL,Onwind,2030,0.0907804476845108,0.2082892998696903
AL,Onwind,2035,0.1022641908602192,0.2556723867212522
AL,Onwind,2040,0.1476753464298938,0.3740520110256244
AL,Onwind,2045,0.0897169775212275,0.4171721211403313
AL,Onwind,2050,0.0854251036671768,0.4710224958452645
AL,Solar,2023,0.4359494007508483,212977.126361952
AL,Solar,2030,1892.80653529119,3207950.465995449
AL,Solar,2035,4044.3666117119706,3618194.886972668
AL,Solar,2040,17632.883209102456,4469486.759081243
AL,Solar,2045,147599.01582357628,7141762.155049389
AL,Solar,2050,126644.2347980157,7141764.293313744
AT,Hydroelectricity,2023,1.4473345702297706,21868120.08253126
AT,Hydroelectricity,2030,0.455677408484668,21868120.08253126
AT,Hydroelectricity,2035,1.5858106064506217,21868120.08253126
AT,Hydroelectricity,2040,5.073351765296302,21868120.08253126
AT,Hydroelectricity,2045,13.628504617439296,21868120.08253126
AT,Hydroelectricity,2050,10.942942334092685,21868120.08253126
AT,Onwind,2023,1.1054368627045903,2296392.2594533027
AT,Onwind,2030,3.235505230809311,2267525.2864731057
AT,Onwind,2035,1.6879392105507112,2267525.95058209
AT,Onwind,2040,1.689553840398884,1819928.5195088931
AT,Onwind,2045,10.481577271715404,1709874.7212842896
AT,Onwind,2050,6.998966877944012,859448.6248627836
AT,Solar,2023,0.7350721280709013,7153607.321427452
AT,Solar,2030,10.930689346774937,9728255.973825382
AT,Solar,2035,12543.81708867366,17528414.855096728
AT,Solar,2040,86160.66572882124,25336105.97395548
AT,Solar,2045,108793.6650663335,25336107.807452485
AT,Solar,2050,101833.53797777982,25313077.521948405
BA,Onwind,2023,0.3963295864577649,50004.60746486551
BA,Onwind,2030,0.8889431716882695,50005.10873105005
BA,Onwind,2035,0.8622624362621013,50005.2222001348
BA,Onwind,2040,0.680243698281914,50005.50141389779
BA,Onwind,2045,9.826891409632118,50005.59875615785
BA,Onwind,2050,6.038197150267454,50005.72539234003
BA,Solar,2023,0.3928888379232764,144759.97847398568
BA,Solar,2030,17.34960890691663,1754819.8158780637
BA,Solar,2035,289.74394832260856,4435940.11393825
BA,Solar,2040,4350.635003382054,5968124.9958386505
BA,Solar,2045,26661.56456161261,6411257.185665338
BA,Solar,2050,124956.66887647734,9520498.927125636
BE,Hydroelectricity,2023,0.9425035072280694,323968.5254147717
BE,Hydroelectricity,2030,0.1240490681864793,323968.5254147717
BE,Hydroelectricity,2035,0.0512503509897536,323968.5254147717
BE,Hydroelectricity,2040,0.0375549682956304,323968.5254147717
BE,Hydroelectricity,2045,45.60773273458369,323968.5254147717
BE,Hydroelectricity,2050,219.5551692007613,323968.5254147717
BE,Offwind,2023,1.4847127574457004,7739554.770891165
BE,Offwind,2030,10.930602648405497,38150438.975691564
BE,Offwind,2035,0.497627818484799,38150439.65360678
BE,Offwind,2040,0.7865284129905663,38150439.65444347
BE,Offwind,2045,1456.9515507368749,38152195.23091388
BE,Offwind,2050,1096.8541242673225,38156801.007847205
BE,Onwind,2023,3.541583175204291,8354545.186157757
BE,Onwind,2030,41.28515534038922,11245067.080630746
BE,Onwind,2035,14.956814492573024,11245110.486870136
BE,Onwind,2040,36.64204450601936,11269749.35133458
BE,Onwind,2045,2764.6283064953845,11284331.408036834
BE,Onwind,2050,10011.676124808988,21552078.563520283
BE,Solar,2023,2.153739840311528,9536665.918867365
BE,Solar,2030,2355.043487909861,9536858.505950833
BE,Solar,2035,4295.134454171937,11244387.02877915
BE,Solar,2040,80108.31017915816,24021072.24865845
BE,Solar,2045,603947.6931348698,30627627.826715507
BE,Solar,2050,819774.7513519276,30627651.367504083
BG,Hydroelectricity,2023,0.7170462249423648,216708.41938748528
BG,Hydroelectricity,2030,1.208352224242773,216708.41938748528
BG,Hydroelectricity,2035,1.0297693891490605,216708.41938748528
BG,Hydroelectricity,2040,0.546159860418331,216708.41938748528
BG,Hydroelectricity,2045,28.260640779877583,216708.41938748528
BG,Hydroelectricity,2050,17.017699095237283,216708.41938748528
BG,Offwind,2023,0.0,0.0
BG,Offwind,2030,0.8506056981001432,5.507531907864244
BG,Offwind,2035,0.5198044887558995,7.906023460853059
BG,Offwind,2040,0.7574720684178129,10.742472432108029
BG,Offwind,2045,0.7744999768501812,15.080492568504116
BG,Offwind,2050,25.836204004457137,10134593.40664063
BG,Onwind,2023,0.773928745017042,497001.85055129806
BG,Onwind,2030,1.9017907064168451,497003.6545188472
BG,Onwind,2035,1.3099108002236526,497004.1057811656
BG,Onwind,2040,2.763681614903839,497005.1862336098
BG,Onwind,2045,10.54521293122294,151765.52644083463
BG,Onwind,2050,0.3553389639216607,4.357544819403116
BG,Solar,2023,0.6609936177350391,3786313.020371491
BG,Solar,2030,22.588183090698543,12116221.9295751
BG,Solar,2035,264.0331874456897,13001334.191016149
