country,sector,2030,2040,2050
AL,Battery,8.434484286882776e-06,1.4065901991222622,2.835980939582456
AL,Coal/Lignite,2.972563517677272e-07,9.690330761440049e-08,4.1310451755232826e-08
AL,Fuel Cell,4.224502744527146e-07,2.2349955159201014e-07,1.4625739870915605e-07
AL,Gas,1.7223327712578828e-06,6.427503815449131e-07,2.87014657902903e-07
AL,Hydroelectricity,1.5419,1.5419,1.5419
AL,Nuclear,5.036270671693375e-07,3.0487236445890837e-07,1.4779944474686173e-07
AL,Offwind,4.1417663219499236e-07,2.5623424336297484e-07,2.2879323674260285e-07
AL,Oil,0.0898554520886855,0.0898548581330522,0.0898546975549545
AL,Onwind,5.237994266714263e-07,3.3829432757212874e-07,2.974258697477679e-07
AL,Solar,4.8094687532003935,9.936287380192567,23.686196642158027
AL,Solid Biomass,4.1170650236862603e-07,1.8261815275743578e-07,9.189167229617697e-08
AL,V2G,3.223687468036484,7.736849923287562,10.960537391324046
AT,Battery,7.981465013088396e-06,7.953969331136008e-06,0.8627071687927239
AT,Coal/Lignite,2.9933223285570034e-07,9.717044248537577e-08,4.197378690720765e-08
AT,Fuel Cell,4.378211970207924e-07,2.350133994732156e-07,1.9722773387363265e-07
AT,Gas,4.137301779214861,3.1069006495454032,1.7262003094352985
AT,Hydroelectricity,13.26842,13.26842,13.26842
AT,Nuclear,5.320981679619751e-07,2.904290946263749e-07,2.1408236012821287e-07
AT,Oil,9.09896771215806e-07,3.151605690465427e-07,1.5459678376966601e-07
AT,Onwind,3.7358130922223265,0.5098323703655977,2.3142323752864196e-06
AT,Solar,12.173090968330836,40.827301674012546,59.84958393882512
AT,Solid Biomass,3.7292447501340315e-07,1.6477689046409845e-07,8.278548835675093e-08
AT,V2G,11.169675000000002,26.80722,37.976895
BA,Battery,8.146112943708217e-06,0.287251573703012,2.458567801216395
BA,Coal/Lignite,2.9848247152876373e-07,9.710729427474938e-08,4.1426591003657246e-08
BA,Fuel Cell,4.305928587778553e-07,2.2393845068449997e-07,1.527708348217047e-07
BA,Gas,1.7330171647508206e-06,6.465569670246378e-07,2.908374379807893e-07
BA,Hydroelectricity,2.1355,2.1355,2.1355
BA,Nuclear,5.15345969611179e-07,3.0581740982737733e-07,1.591599462704247e-07
BA,Oil,9.093986141008828e-07,3.151781162844208e-07,1.5452879436094174e-07
BA,Onwind,0.1347006235495572,0.0480004056449927,3.561141023341347e-07
BA,Solar,3.932359358353595,7.76539338214911,11.598660897727534
BA,Solid Biomass,3.922685505616151e-07,1.790311749509563e-07,8.74651081380736e-08
BA,V2G,4.313478807040868,10.35234913689808,14.665827943938949
BE,Battery,8.082372015074868e-06,6.796569270316692e-06,1.97952163965278e-05
BE,Coal/Lignite,2.949118716783588e-07,9.58902670419636e-08,4.2345662047808365e-08
BE,Fuel Cell,4.4094400767906907e-07,2.334533623902487e-07,2.168169355367196e-07
BE,Gas,5.847898777939102,4.753097615770054,1.9220003132655124
BE,Hydroelectricity,1.400658999125907,1.400658999125907,1.400658999125907
BE,Nuclear,2.0560005027574104,2.0560002917164324,2.431527422922866e-07
BE,Offwind,6.196501896890186,6.000000000458038,6.000000020913015
