country,hydro,ror,offwind,onwind,solar,solar thermal
AL,1.4937,0.0482,6.778650492462767,56.23901970713419,23.686198795184183,0.0968271288437231
AT,3.42662,4.7975,0.0,116.39109608506362,84.40824134264031,0.0
BA,1.6955,0.0,0.0,115.35218375449004,40.89160375042553,0.1553626137950584
BE,0.0127828025477706,0.0798761965781364,7.161445410293528,12.897304468992688,69.0252504366396,0.0
BG,2.0395399999999997,0.0224,3.597468118406004,121.2486301923879,100.09948427665834,1.166646191661907
CH,9.18198,4.6048,0.0,64.69387921008841,64.96315225605895,8.988871058305065
CZ,0.6849839022845103,0.040226382271496,0.0,86.71969362046855,100.90012793179652,0.0
DE,0.1695,2.8367033499999996,63.424412429663306,407.7469584563651,588.4577703656184,0.0
DK,0.0,0.0,116.88981641447634,61.18592843010227,59.94926490019528,0.0
EE,0.0,0.0,42.714146738059874,78.05086991470925,24.159705436290388,0.0
ES,15.221407,0.1470082475,24.583382808823337,778.1987595372613,481.7802688076547,21.617589976147286
FI,1.3868000000000005,1.53693,158.1648725675717,639.562484945088,47.53831394084793,0.0
FR,8.060550318471336,6.836243641193081,72.13052105629185,793.8631960781978,725.3408303327781,0.0
GB,0.1383,8.7889,243.8028842217027,362.0982773405899,441.3430839104062,0.0
GR,2.566,0.1031,50.72491659647506,174.66984591798817,85.63627610490141,5.264840722337251
HR,1.3276244585987262,0.2731677302916768,29.270508428064016,63.892242079647886,38.60908144095912,0.0
HU,0.028,0.0197,0.0,114.27086923597396,129.83471292958356,0.0
IE,0.001,0.216,35.4610029207275,117.43494971886518,85.96654876057305,0.0
IT,4.13086178343949,7.42449,115.59339462799312,434.35309990522086,417.5834881915296,23.49753354138967
LT,0.0,0.101,4.403991884672442,106.9690509423178,67.40996650486476,0.0
LU,0.0,0.0308999999999999,0.0,2.5387211680037227,4.187016463758475,0.0
LV,0.0,1.5360999999999998,27.134361381101833,124.71585579169322,45.502223209820194,0.0
ME,0.362961,0.31236,1.475693965407857,31.464057765987885,6.998506190051765,0.0576776560049455
MK,0.0,0.0,0.0,55.56121833025698,22.94057714840688,0.3467305621317543
NL,0.0,0.0,133.42717579925167,38.58975332650549,92.10305909147276,0.0
NO,28.7136802,0.2105,94.94642616360176,568.6043666256934,110.98816636243016,0.0
PL,0.2321019108280254,0.182400368779544,21.37192801003052,351.23763766369683,405.3449147275337,0.0
PT,1.5204000000000002,2.6385,11.16791401624679,134.80872545937245,70.12555395734776,1.8230544338449104
RO,5.636880127388535,0.87045,6.958967700899068,270.6796007986888,275.15333860550106,0.0
RS,0.7901,1.7084,0.0,174.9046149876932,93.68083197575488,1.4563339211947393
SE,11.881718930875774,1.776,176.04044234580596,781.489876930144,91.83779420693298,0.0
SI,0.118,0.912275,0.3683863785347205,23.945831026885973,14.88622024409668,0.0
SK,0.2419,1.36346,0.0,43.43853893858592,49.69504563834376,0.0
