imports_exports,countries,year,carriers,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
imports,AL,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6158621418494057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3712025081144095,0.2708884477205579,0.0,0.0,0.0,0.0,0.0,3.2244840639077754,0.0,0.0,0.0
imports,AT,2030,elec,0.0,0.0,0.0,0.0,0.0,3.633498559356772,0.8203278124511223,7.798849910602963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.945127914586221,0.0,1.5970540426468185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.73908698495418,0.0
imports,BA,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.897136439639395,0.0,0.0,0.0,0.0,0.0,0.0,2.6493271211454203,0.0,0.0,0.0,0.0,0.0,0.0,2.995851352891736,0.0,0.0,0.0
imports,BE,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.986489146078805,3.862789446560826,0.0,0.0,0.0,0.0,0.0,0.0,2.6780808556412623,0.0,0.0,0.0,7.605702947571258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,BG,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4284666090877285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1939804008827424,0.0,0.0,0.0,0.0,7.217813289635187,2.8640866052782505,0.0,0.0,0.0
imports,CH,2030,elec,0.0,7.415220144719454,0.0,0.0,0.0,0.0,0.0,22.017552096224065,0.0,0.0,0.0,0.0,20.503266855184695,0.0,0.0,0.0,0.0,0.0,21.473549548638935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,CZ,2030,elec,0.0,9.150864526814384,0.0,0.0,0.0,0.0,0.0,7.897797257610189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.480924517487297,0.0,0.0,0.0,0.0,0.0,9.954426630969875
imports,DE,2030,elec,0.0,31.825460585012664,0.0,0.0,0.0,45.93775378503035,8.699962988017166,0.0,3.403155329817991,0.0,0.0,0.0,18.735500094898207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.506030995450583,0.0,0.0,0.0,34.3424110077636,0.0,9.533244039676187,0.0,0.0,0.0,1.45545532086717,0.0,0.0
imports,DK,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.38675743828266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.49669465472336,0.0,0.0,0.0,0.0,0.8232107610763431,0.0,0.0
imports,EE,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8925245050969046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3207782230806882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
