snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
carrier,Decentralized heat,Methanol,Centralized heat,Electricity,Oil,Oil,Electricity,Oil,Oil,Hydrogen,Methanol,Solid biomass,Methane,Methane,CO2 captured,Electricity,Methane,Hydrogen,CO2 captured,Electricity,Oil,Hydrogen,Electricity,Decentralized heat,Centralized heat,Hydrogen,Electricity,Methane,Methane,Solid biomass,Methane,Centralized heat,Oil,Decentralized heat
sector,Agriculture,Shipping,Industry,Agriculture,Aviation,Industry,Industry,Agriculture,Shipping,Industry,Industry,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Hydrogen production,Methanol production,Methanol production,Methanol production,Transport,Transport,Decentral heat production,Residential / Services heat consumption,Residential / Services heat consumption,Ammonia production,Transport,Decentral heat production,Storage,Central CHP production,Power supply,Storage charging,Decentral heat production,Storage charging
2040-01-01 00:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409562719011,1.8188730027757245,0.8960690143287343,0.6018258723091159,1.8626157723219037,0.394286905104672,0.2365533612217344,0.0515511615549063,0.0563197871692464,0.38273019594,0.0429497726117241,2.0191568765369716,5.258221242122501,1.2982871426359437,0.2613120401448089,1.123809570890312,2.9374337513925113,3.0383433951105396,1.82517277538652e-06,8.381913742700282e-07,2.608272908166087e-07,2.664015085301858e-07,7.181632691445611e-07
2040-01-01 03:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409564635364,1.8188730023130515,0.8960695427835578,0.6018330496087231,1.4994212225210406,0.394294710443591,0.2365532761096942,0.0515511430067677,0.0563197669053535,1.90654654609,0.2139516074161455,2.3281113592909843,8.53054444767372,2.106243854362567,0.2613119757782532,1.1780479199339433,6.75204813586701,0.0,2.2194501168105377e-06,8.904324252233319e-07,3.135690871894493e-07,2.659358748957446e-07,7.019203390243998e-07
2040-01-01 06:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409565103261,1.8188730029110505,0.8960695421506497,0.6018330270477172,1.474915970853203,0.3942947059013921,0.236553273826052,0.0515511425091024,0.0563197663616527,4.04537289797,0.4539695272035208,2.3277927792685906,8.820073003562863,2.1777302343052076,0.2613119753669497,1.2237015765187649,7.130208084666775,0.0,2.247552539077306e-06,8.974484363537686e-07,3.140356604930998e-07,2.669863547554994e-07,6.874925905539754e-07
2040-01-01 09:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409563536548,1.818873004108428,0.8960695416968489,0.6018327366831073,1.806427635720143,0.3942946955515931,0.2365532873568448,0.0515511454578159,0.0563197695831304,3.3418967282,0.3750258173785692,2.3335584403984777,7.792271464277009,1.9239597172058491,0.2613119799434955,2.1211360020504655,5.872677024454425,0.2609844116516761,1.9845449191135437e-06,8.686080248552015e-07,3.168623002622579e-07,2.683922774365506e-07,6.901190451261764e-07
2040-01-01 12:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409563055913,1.818873004538517,0.8960695336849689,0.6018330087417567,1.843249845646096,0.3942946579985601,0.2365533394639971,0.0515511568133266,0.0563197819890574,3.936835638909999,0.4417895355389351,2.332169671669331,7.4644301547767,1.8430136829196664,0.2613120151220553,3.077843734990352,5.485521756944679,0.0,1.3691505560055175e-06,7.515004383312349e-07,3.2526731540687164e-07,2.685036222714669e-07,7.064489658295978e-07
2040-01-01 15:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409565257746,1.8188730035636032,0.896069553474313,0.6018336896036317,2.0196873714717936,0.3942947551722958,0.2365532330726238,0.051551133627865,0.0563197566588762,4.490577053490001,0.5039300932843437,1.263852983771987,7.919000334141712,1.955249854073448,0.2613119432472478,1.748258192810569,7.163672802041589,0.0,3.201086269784603e-06,9.959674117811316e-07,3.050060197209033e-07,2.672812920784874e-07,6.81175271282883e-07
2040-01-01 18:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409566098472,1.8188730032472324,0.8960695548164207,0.6018336447932473,2.084015894170525,0.394294760335931,0.2365532298372564,0.0515511329227938,0.056319755888584,2.0626536659499997,0.2314698627619243,1.2638530063117215,7.833828989435341,1.9342205255873264,0.2613119414478104,1.0632385907008923,7.13597974804359,0.0,3.3004937203414022e-06,1.0041839116225555e-06,3.0768065690294544e-07,2.667392938629972e-07,6.783673230780581e-07
2040-01-01 21:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409566506603,1.818873003149074,0.8960693469452288,0.6018333173300956,2.2248110003610213,0.3942936490434848,0.2365532774057032,0.051551143289202,0.0563197672139137,0.817025021837,0.0916860997073529,1.263853106341923,5.477544445396022,1.3524393895232962,0.2613119738323288,0.3999053311473194,4.191263001847574,1.848077987020719,3.309253771407264e-06,1.002885817044154e-06,2.7382098089750913e-07,2.660973837683148e-07,7.10876644964489e-07
