snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
carrier,Methanol,Hydrogen,Oil,Centralized heat,Oil,Methanol,Coal,Oil,Electricity,Decentralized heat,Electricity,Decentralized heat,Ammonia,Oil,Solid biomass,Methane,Methane,Methane,CO2 captured,Methane,Electricity,Electricity,CO2 captured,Hydrogen,Electricity,Electricity,Hydrogen,Electricity,Oil,Hydrogen,Methanol,Centralized heat,Decentralized heat,Methane,Electricity,Oil,Solid biomass,Solid biomass,Electricity,Electricity,Methane,Ammonia,Hydrogen,Methane,Centralized heat,Electricity,Decentralized heat,Oil,lignite,Coal
sector,Industry,Industry,Aviation,Industry,Industry,Shipping,Industry,Shipping,Industry,Industry,Agriculture,Agriculture,Industry,Agriculture,Industry,Hydrogen production CC,Industry CC,Industry,CO2 sequestration,Hydrogen production,Residual electricity consumption,Methanol production,Methanol production,Methanol production,Compression losses,Decentral heat production,Ammonia production,Ammonia production,Transport,Transport,Storage,Residential / Services heat consumption,Residential / Services heat consumption,Storage,Hydrogen production,Storage,Central CHP production,Decentral heat production,Transport,Hydroelectricity,Decentral heat production,Storage,Storage,Power supply,Storage charging,Battery charging,Storage charging,Decentral heat production,Power supply,Power supply
2040-01-01 00:00:00,12.023972602740333,5.340182648401827,83.871621355086,9.67351598173516,77.56735159818548,39.945917799280856,33.3505342466,19.687630915347768,179.17808219178085,0.0365296803652968,5.7144931044690885,22.34338942225278,7.373287671232878,10.49743235957586,66.10273410324822,77.02112928556033,58.1613783141168,10.796312031235692,21.35755053034316,16.278614431602186,145.52677870537065,16.266028742629594,14.888775645550224,68.32028255425406,0.4142266006163657,92.50753946621413,13.922509043754696,2.9981160628008854,24.5228722539555,2.7519432703947295,8.063141877651214,84.6829268952445,363.5268164859244,30.56135851420576,59.14304172780355,145.75732338476183,57.14819860990461,32.78008287145692,68.56867580488567,6.69353089181862,206.30364634647384,4.750093161815472,17.41824165393189,29.00687592852888,6.341736585849375,0.1741060415428111,17.8846415506455,0.0006696952328964,4.880545002969191e-07,1.5057438924465152e-05
2040-01-01 03:00:00,12.023972602740333,5.340182648401827,83.871621355086,9.67351598173516,77.56735159818548,39.945917799280856,33.3505342466,19.687630915347768,179.17808219178085,0.0365296803652968,5.7144931044690885,22.34338942225278,7.373287671232878,10.49743235957586,66.10273410501343,77.02113656728834,58.07056039232391,10.878048160849174,21.343888818508233,16.30777100027,111.0974639135748,16.263513834793198,14.886473676265782,68.30971948340874,0.3969904212991643,116.08103077725897,13.65486370353656,2.9404804892760277,115.6252090369034,12.975397522841742,8.053860107421876,136.06584504354782,584.2693193015032,,58.975422757482754,0.0,85.19428458033516,35.6150765610917,72.52769376942761,0.0,346.75200763938324,4.517030328212465,7.375314981594714,27.532801733938484,0.040324158610913,0.10162793727945521,1.852358369834945e-05,55.56065533342305,4.981718713477556e-07,1.547644217240197e-05
2040-01-01 06:00:00,12.023972602740333,5.340182648401827,83.871621355086,9.67351598173516,77.56735159818548,39.945917799280856,33.3505342466,19.687630915347768,179.17808219178085,0.0365296803652968,5.7144931044690885,22.34338942225278,7.373287671232878,10.49743235957586,66.10273410096968,77.02114296026555,57.97782938363111,10.961506068672836,21.368716323195535,16.546766091290547,111.72604918204428,16.218343103474528,14.845127574215285,68.11999418685949,0.4501536112375621,128.46826459926297,13.619945046117826,2.9329609978273585,250.253884048495,28.08335357151387,7.88714848947525,142.80472778896973,616.5069691179588,,58.97542627710719,,85.51492268086133,35.42152538605822,68.55531340460371,0.1932419587103408,370.2532242823247,4.4866222176752055,0.0,2.54603113125845,1.718647450131923e-05,0.00010454543087781725,1.856867790357448e-05,70.44423307643008,4.678220925476627e-07,1.5083097303276664e-05
2040-01-01 09:00:00,12.023972602740333,5.340182648401827,83.871621355086,9.67351598173516,77.56735159818548,39.945917799280856,33.3505342466,19.687630915347768,179.17808219178085,0.0365296803652968,5.7144931044690885,22.34338942225278,7.373287671232878,10.49743235957586,66.10273409453004,77.02114231166405,57.9149109083447,11.018132696430577,21.34143775714224,16.584142565583843,141.1766469496965,16.235886601654816,14.861185655298094,68.19368007366273,0.4700585053295071,143.8221960930827,13.630495562593651,2.9352329786045015,205.60057106224903,23.07238328628489,7.951896278381348,126.72563954183488,546.7747852393511,0.0,59.504904142092435,0.0,66.86341067986667,34.470424718366175,193.93418277895083,15.275615455664283,319.78747288222996,4.495809576085944,0.0,4.0584195278575e-05,0.0205603294477503,41.336144122360544,2.622681290783512e-05,27.133982987134868,4.205574873384554e-07,1.4010284576271962e-05
2040-01-01 12:00:00,12.023972602740333,5.340182648401827,83.871621355086,9.67351598173516,77.56735159818548,39.945917799280856,33.3505342466,19.687630915347768,179.17808219178085,0.0365296803652968,5.7144931044690885,22.34338942225278,7.373287671232878,10.49743235957586,66.10273409370762,77.02114252896583,57.86573284369244,11.062392954617684,21.349424620878633,16.630987949103698,148.57016761478343,16.21758733315298,14.844435795359171,68.11681981389293,0.4766250438187118,133.89271423354612,13.53389411298175,2.9144305243298394,236.871654121427,26.58160707097235,7.884359167099,121.66278229489006,524.3991128138083,0.0,59.49026070711788,0.0,71.2850308700477,34.44331849214797,150.12066502168642,8.183617721600221,300.69209453717355,4.411691242682078,0.0,0.23294030247902633,0.9814369000442268,28.074474058446764,2.5286495987822223e-05,22.18419201211079,4.4284933771093185e-07,1.43638597507529e-05
2040-01-01 15:00:00,12.023972602740333,5.340182648401827,83.871621355086,9.67351598173516,77.56735159818548,39.945917799280856,33.3505342466,19.687630915347768,179.17808219178085,0.0365296803652968,5.7144931044690885,22.34338942225278,7.373287671232878,10.49743235957586,66.10273409947615,77.02114310579563,57.82326665152247,11.10061252757071,21.36258548567548,16.676989372327967,167.74688025942524,16.19494737026827,14.82371276988396,68.02172784733025,0.4240479904630236,79.57043085415397,13.615438349651734,2.9319905119025376,268.777717708119,30.162088022119153,7.800801856994629,129.22673049583685,556.8633333363575,,58.80670994681401,,102.5090392454804,34.62162464844223,61.28778546852266,0.0,342.0931377023832,4.482697762124983,0.0,42.56612384463753,0.2366577487967509,8.079573843597753e-05,2.133895955640036e-05,56.242527241882975,4.891921768834051e-07,1.5500293922019333e-05
2040-01-01 18:00:00,12.023972602740333,5.340182648401827,83.871621355086,9.67351598173516,77.56735159818548,39.945917799280856,33.3505342466,19.687630915347768,179.17808219178085,0.0365296803652968,5.7144931044690885,22.34338942225278,7.373287671232878,10.49743235957586,66.10273410324676,77.02113491049731,57.786809647085605,11.13342383156369,21.293307780280063,16.57807919845072,172.3791363858398,16.263529244281337,14.886487781024565,68.3097842060648,0.3928831144874658,82.24648417644516,13.836157289104872,2.9795208094702494,129.55444011299042,14.538528192231173,8.05391697883606,128.09232536150628,553.3945369140997,,58.49432000212466,0.0,102.47680819079422,34.3762145592796,41.02227060543171,,342.9481890079487,4.6748992091622785,5.500686962370626,42.39225828549734,0.2205630615478093,7.942481054607465e-05,7.16087149665923e-05,52.74117780147085,5.072676198386907e-07,1.5832549032899402e-05
2040-01-01 21:00:00,12.023972602740333,5.340182648401827,83.871621355086,9.67351598173516,77.56735159818548,39.945917799280856,33.3505342466,19.687630915347768,179.17808219178085,0.0365296803652968,5.7144931044690885,22.34338942225278,7.373287671232878,10.49743235957586,66.10273410498006,77.02113205103596,57.75529532502403,11.16178672141931,21.287686413479708,16.49743929081723,161.62953418916422,16.263478764844727,14.886441575708051,68.30957218323937,0.3628120222102873,71.05748320160555,13.912711008093714,2.9960061235645896,51.244968798595295,5.750682284132871,8.053730674743651,89.99354148390341,388.8905297319762,0.0,57.56054650622031,118.61074567604064,75.69216780989379,27.348348910480595,27.706064157526768,,230.40904720716478,4.741561023002024,13.484491894916696,38.81142892694025,3.798760306223477,9.186898023438247e-05,0.2108776372886384,1.3087694079757637,5.030888630187693e-07,1.5910323560558963e-05
