country,carrier,2023,2030,2035,2040,2045,2050
AL,BEV charger,131.3534577533287,745.9578885045917,745.9578885045917,1062.179167311091,1200.0192118989935,1335.8321970194456
AL,air heat pump,3.2852528507384817,904.188145629086,904.188145629086,899.1741631900859,1092.9398451894565,1231.1893172013322
AL,battery charger,0.0141184166216737,0.0101953076645726,0.0101953076645726,0.0128426644632428,0.0150870087247071,0.0120882046986453
AL,ground heat pump,563.158258385918,659.3644568284549,659.3644568284549,669.3471543124734,1082.3894195711878,1210.289314726152
AL,home battery charger,0.0117485910052256,93.07251440964087,93.07251440964087,1921.1963910457375,2206.6417594400687,2212.2528977049906
AL,hydro,5434.474794581369,5428.516331049575,5428.516331049575,5434.407608663859,5434.446937267749,5434.448204284728
AL,water tanks charger,28.90649526420671,179.37829935879114,179.37829935879114,263.0137280683039,272.8781628955953,286.9480997700759
AT,BEV charger,1585.6578535420135,9004.970506569101,9004.970506569101,12822.294960435624,14486.256901838116,16125.748814702189
AT,PHS,140.4716091742048,10203.846986661403,10203.846986661403,10588.911215177595,11451.842206959494,10595.801159869465
AT,air heat pump,3976.8435298374,12077.995407532246,12077.995407532246,13281.893338434094,22187.45995358659,26994.540150677964
AT,battery charger,0.0141625278529296,0.0097506656323929,0.0097506656323929,0.0117591661804242,0.0132832709462005,0.010419305782472
AT,ground heat pump,7733.215068762809,13700.328322174675,13700.328322174675,14704.981698307753,19329.508767433756,21220.92044896955
AT,home battery charger,0.0115969332739514,0.0136795838684537,0.0136795838684537,0.0209114093652615,0.0311037156106719,0.0303758673470067
AT,hydro,15478.715644220829,15478.716653745429,15478.716653745429,15478.71669230074,15478.71688597463,15478.716831021644
AT,water tanks charger,1853.1105154724703,1565.5032385437771,1565.5032385437771,2463.5943411531603,3162.668079945985,3295.0881288774976
BA,BEV charger,219.36901710611127,1245.799336680547,1245.799336680547,1773.909925041935,2004.1119763584356,2230.9287034021413
BA,air heat pump,0.0303777874979675,1647.5729171836865,1647.5729171836865,1620.111420906851,2446.9571528230636,2703.4444885943585
BA,battery charger,0.0136733656705731,0.0098194746375263,0.0098194746375263,0.0123609139486622,0.0144183829311371,0.0116793186896724
BA,ground heat pump,1911.362227829242,2996.7088723005104,2996.7088723005104,3003.2738302018065,4499.355277560975,4878.272733168172
BA,home battery charger,0.0113532412721112,46.31131491855308,46.31131491855308,287.802801505376,1856.720250852478,1830.092372496351
BA,hydro,6447.598800410049,6447.599602055084,6447.599602055084,6447.599647148953,6447.599871816516,6447.599764791334
BA,water tanks charger,74.59603307293716,364.77740134985567,364.77740134985567,521.7802322247151,548.2414418413808,555.3136192878618
BE,BEV charger,1898.774354269097,10783.16294030574,10783.16294030574,15354.28636064795,17346.82733870775,19310.06624358162
BE,PHS,272.6502110746977,1004.1716662741644,1004.1716662741644,1132.9747656701431,1099.042944522488,852.5164644853825
BE,air heat pump,0.138203460599345,37739.5702453059,37739.5702453059,37090.89629807231,57723.92152453285,59661.075277478485
BE,battery charger,0.0446960189685688,0.0306499092296216,0.0306499092296216,0.03928671964042,0.0447285125862282,0.0324053141684835
BE,ground heat pump,7313.817751320571,7892.663477324215,7892.663477324215,8295.735535684697,9740.593089996968,9871.392346356131
BE,home battery charger,0.0363911157225352,0.0338998634033913,0.0338998634033913,0.0748111571596258,885.51935665533,740.3161265469301
BE,hydro,46.68346703143904,46.68383597827443,46.68383597827443,46.683816832245505,46.6840015424022,46.683854381585945
BE,water tanks charger,172.61438700187873,2510.4827874052926,2510.4827874052926,4775.324878486256,7668.205384323937,7581.751046469717
BG,BEV charger,596.835948043751,3389.4386975669554,3389.4386975669554,4826.265971530826,5452.575296055321,6069.674189346931
BG,air heat pump,4765.632243952484,3046.222553421382,3046.222553421382,2875.946507558603,2868.327149156416,3465.4246414809268
BG,battery charger,0.0134990414444246,0.010378229288448,0.010378229288448,0.0134592568449538,0.0156796213025622,0.0132024007970781
BG,ground heat pump,2719.955276608397,2821.350691837897,2821.350691837897,2908.682238928621,3000.323716050846,3316.192019544628
BG,home battery charger,0.0112550959145697,202.9708657345693,202.9708657345693,4277.6856660112035,4595.840887018827,4440.722458677702
BG,hydro,3401.037353402158,3401.038035109009,3401.038035109009,3401.0380955573487,3401.038328334253,3401.038262040627
BG,water tanks charger,2223.13624821176,1637.129848581004,1637.129848581004,1644.3763672553553,2048.0440729909797,1793.8672254289436
CH,BEV charger,824.101439125193,4680.08222684752,4680.08222684752,6664.03012735513,7528.827930115921,8380.908118142414
CH,PHS,429.2729891586399,9759.119501335024,9759.119501335024,10849.842136940644,10824.936409574486,9694.020005817332
CH,air heat pump,5405.910767770016,18574.617407001297,18574.617407001297,16347.22355917773,28503.903485551364,30384.72893213585
CH,battery charger,0.0148587804779705,0.0104295953038748,0.0104295953038748,0.0124020814512004,0.0140586222856016,0.0105555369878393
CH,ground heat pump,5572.374391695147,8153.507522617022,8153.507522617022,7602.941311248787,11115.721280865138,11999.949393779616
CH,home battery charger,0.0121827911777899,0.0125811985748276,0.0125811985748276,0.0273655967502595,0.0429107451568408,0.0422180352771902
CH,hydro,22926.52931225651,22926.53043973568,22926.53043973568,22926.53050611534,22926.53064375968,22926.53060284299
CH,water tanks charger,154.77000415887443,1251.952292360369,1251.952292360369,2381.7222184539364,4457.158137147868,4498.573731170473
CZ,BEV charger,1275.8161446135025,7245.375616351945,7245.375616351945,10316.784845018465,11655.60425236082,12974.735139018472
CZ,air heat pump,1342.6198159841372,8634.988624133464,8634.988624133464,10771.13535960048,22920.709867535264,27447.65540683468
