snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Oil,Methanol,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Hydrogen,Electricity,Methane,Electricity,Centralized heat,Ammonia,Methane,Decentralized heat,CO2 captured,Centralized heat,Electricity,Decentralized heat,Electricity,Centralized heat,CO2 emissions,Electricity,Centralized heat,Decentralized heat,Electricity,Centralized heat,Centralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Fischer-Tropsch,Methanol production,Heat Pump,Transport emissions,Offwind,Heat Pump,Electrolysis,Onwind,Imports,Solar,Waste Heat,Haber-Bosch,Storage,Resistive heater,Central heat production CC,Gas CHP CC,Gas CHP CC,Gas Boiler,Hydroelectricity,Resistive heater,Decentral heat production emissions,Battery,Storage,Storage,Gas,Gas Boiler,Biomass CHP,Oil Boiler
2050-01-01 00:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.494857267552636,1.9600397557364433,0.7528368574523868,0.2078989004459381,9.998939764679204,0.0932340731005503,8.135058736043536,2.2042571636914805,0.25699491088935,8.754510081523376,2.230422231949329,,2.7050025368799306,2.7100236400699873,,1.2773236788377907e-06,2.0791726461351247e-07,2.5263200001443133e-07,2.2640518264329918e-07,5.088449406895566e-07,0.07976692112803067,1.5737523016221484e-06,2.490017302853579e-07,2.701426878883451e-06,1.5851377812332397e-07,6.521537497364158e-07,4.2408643776243826e-07,2.6919251950185937e-07,1.8808966608120626e-07,1.204798578486762e-07
2050-01-01 03:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4948572678392975,1.960039752374359,0.7528363878823048,0.2078977652351044,9.948339811312163,0.4649590542216371,7.650579115426963,2.19094994857514,0.2569943795704966,7.334799221020733,2.240629345149873,,3.6001336727609154,3.676067515238363,0.0,1.5295289581952145,2.5655635148632054e-07,3.298068088190305e-07,2.955861188737342e-07,6.456065822822409e-07,0.07987637084616073,1.6365087323070647e-06,2.9409924964217056e-07,5.305951895949399e-06,2.82279742985327e-07,1.2509688949353903,4.91322113975338e-07,3.001302132984077e-07,2.090640249831408e-07,1.3611367616856256e-07
2050-01-01 06:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4948572716651929,1.960039705130633,0.7528354082150238,0.2078479460607617,9.91666286906456,0.9858058286551716,7.877768258474456,2.183319705990644,0.2569945131072406,5.780017923648753,2.251764783597258,0.1280713122085889,3.3975866296439317,3.457480226207918,0.0,2.748000775432895,2.8332637201064334e-07,3.736730400641241e-07,3.3491109646387085e-07,7.423712488679657e-07,0.07987671411540333,5.113967965740527e-06,3.304768630476349e-07,1.2163847967891847e-05,0.3945846143838674,0.4634025798825504,4.980950259715782e-07,3.458981869073975e-07,2.301283641412498e-07,1.4512108436566897e-07
2050-01-01 09:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4948572720726665,1.9600396979634516,0.7528357593339606,0.2078731307924443,9.88364663803838,0.8115493363606611,8.098448255823397,2.176816647660067,0.2569934405830469,5.143696908150235,2.264891826449419,3.275769343612217,3.1440229593165734,3.183826599634311,0.0,1.8274027632351129,2.918554354265975e-07,3.918441439345531e-07,3.5120441500288245e-07,7.467314777696206e-07,0.2971882856240588,5.6250149171598e-06,3.330274138678341e-07,9.097741960300746e-06,5.356410813245247e-06,1.336775017297449e-06,5.164914589416536e-07,3.477373874306559e-07,2.327408224716349e-07,1.4581170799342854e-07
2050-01-01 12:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4948572725402296,1.960039690724843,0.7528356741537839,0.2078682452272285,9.815996139940498,0.9560685994200648,8.112632202889586,2.159617467028526,0.2569936166746134,4.503669875874634,2.278101236245513,5.414882016351181,2.7608693911469,2.7703200593405923,0.0,1.4430095505216258,2.92186108049494e-07,3.925835992727124e-07,3.518704080079812e-07,7.493612597143356e-07,0.2284521871495357,0.1915440191830267,3.348198173201753e-07,6.780614850415133e-06,4.588327142177796e-06,8.481010267915945e-07,5.146136793774931e-07,3.520996384522977e-07,2.342780998728741e-07,1.4594126639418558e-07
2050-01-01 15:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4948572733646885,1.9600396795474693,0.7528358546750908,0.2078546986130559,9.496909864733691,1.0923956876475074,8.080476470494187,2.077656939733261,0.2569941158811111,2.8675359379140573,2.2904385858584586,0.07230825849617739,2.3917688166352975,2.3719806143872004,0.0,2.388750155934514,2.94992534656566e-07,3.974606127587738e-07,3.56250420403924e-07,7.8698956968868e-07,0.07987708084543813,2.1060752685772357e-06,3.450607684826839e-07,9.438493803243252e-06,0.932140544138464,1.263939525994376e-06,5.162757564613687e-07,3.578451695177379e-07,2.3781249230524065e-07,1.4945232093314502e-07
2050-01-01 18:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4948572737607613,1.9600396738112362,0.7528359692226767,0.2078191201928096,9.212368956374114,0.5027753861194738,8.131736425157833,2.00431833311401,0.256993645608284,3.110447008834137,2.3044057706508023,,2.987025311248446,3.0143973192372036,0.0,2.555776242382388,3.035976902924101e-07,4.141637538518067e-07,3.7123051504459987e-07,8.140779916001584e-07,0.09265681652926104,1.7347984943152345e-06,3.534400591267852e-07,0.05698193323438928,0.3559738670970362,8.017766794012628e-05,5.288796657854324e-07,3.621922774171241e-07,2.412069734784366e-07,1.520512351988042e-07
2050-01-01 21:00:00,2.395939430289152,0.5793962900451491,0.060566004812164,1.4948572738441792,1.9600396723487932,0.7528374730626873,0.2078990213526367,9.16549573712697,0.1994101268981453,8.134902411251709,1.9917645725407456,7.104579180287334e-06,3.948030752273593,2.320569255019019,,2.3451421014042695,2.3549381676118544,0.0,1.44386106310333e-06,2.2981691533451984e-07,3.0226583656522773e-07,2.708978942111979e-07,5.940954659460264e-07,0.07987717766041794,4.617154158261561e-07,2.7808066165914455e-07,5.474188447426259e-06,1.4495119604650326e-07,9.46199690117986e-05,5.100228901627032e-07,2.809223741468784e-07,2.0507824830167762e-07,1.298685904683969e-07
