snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
carrier,Centralized heat,Oil,Coal,Methanol,Oil,Oil,Methanol,Ammonia,Hydrogen,Decentralized heat,Electricity,Decentralized heat,Oil,Electricity,Solid biomass,Methane,Methane,Methane,CO2 captured,Electricity,Hydrogen,CO2 captured,Electricity,Hydrogen,Electricity,Electricity,Electricity,Oil,Electricity,Methane,Centralized heat,Decentralized heat,Electricity,Solid biomass,Methanol,Oil,Solid biomass,Electricity,Ammonia,Methane,Centralized heat,Hydrogen,Methane,Electricity,Decentralized heat,Oil
sector,Industry,Industry,Industry,Industry,Shipping,Aviation,Shipping,Industry,Industry,Industry,Agriculture,Agriculture,Agriculture,Industry,Industry,Industry CC,Industry,Hydrogen production CC,CO2 sequestration,Methanol production,Methanol production,Methanol production,Residual electricity consumption,Ammonia production,Ammonia production,Compression losses,Decentral heat production,Transport,Hydrogen production,Storage,Residential / Services heat consumption,Residential / Services heat consumption,Transport,Central CHP production,Storage,Storage,Decentral heat production,Hydroelectricity,Storage,Decentral heat production,Storage charging,Storage,Power supply,Battery charging,Storage charging,Decentral heat production
2035-01-01 00:00:00,13.05593607305936,96.568493150723,26.3314018265,0.5045662100456101,32.81271819226191,83.871621355086,28.53279842805388,5.262557077625571,7.4646118721461185,0.0627853881278538,5.7144931044690885,22.34338942225278,10.49743235957586,162.0502283105023,56.884698390971046,68.86711232502019,10.309553247151502,57.669016738580666,22.20990437933975,8.60308979431544,36.134543648435184,7.874661715701497,145.52677870537065,7.851226089919633,1.690707255344066,0.24822415743354898,109.88372382435465,36.0198796947315,16.154391801362657,54.845196403461955,77.50975073275974,391.6742607201402,59.199557767060114,71.4657626400203,2.7140588665008547,159.34048127412797,37.21167329765704,8.880720497831634,1.5740876570343172,205.73588670602845,3.56774352326056,0.0,21.24182017727914,1.7282359798666347,27.35199395969281,1.971115469849097e-05
2035-01-01 03:00:00,13.05593607305936,96.568493150723,26.3314018265,0.5045662100456101,32.81271819226191,83.871621355086,28.53279842805388,5.262557077625571,7.4646118721461185,0.0627853881278538,5.7144931044690885,22.34338942225278,10.49743235957586,162.0502283105023,56.884698391252,68.86711244779477,10.309553136646189,57.6690169375185,22.209893010122364,8.603087161049078,36.13453258823697,7.874659305395162,111.0974639135748,6.583854079278453,1.417787455421074,0.2349668511348635,129.8545700583013,169.83353646568443,16.154390238024707,,125.3313991812647,632.1024761217512,59.71110499136628,109.74373594581073,2.7140491456985476,0.0,38.69464979056091,3.0029651251517966,0.4704895858909585,366.9029707043253,0.0739228765491815,0.8763868717863674,20.152776915733778,1.3703065974067579,0.1542097442566746,32.489596085011684
2035-01-01 06:00:00,13.05593607305936,96.568493150723,26.3314018265,0.5045662100456101,32.81271819226191,83.871621355086,28.53279842805388,5.262557077625571,7.4646118721461185,0.0627853881278538,5.7144931044690885,22.34338942225278,10.49743235957586,162.0502283105023,56.88469838897458,68.86711262921241,10.309552973378109,57.669017155176455,22.209331507496803,8.603087279572945,36.134533086058795,7.874659413883553,111.72604918204428,7.1459125479120225,1.5388228605874632,0.23230750281335572,131.4630705860661,367.579894524921,16.15439088377774,,130.9838874145373,667.6659135593336,82.5476280856834,111.23988771059584,2.714049583435058,,38.78310077481283,0.0,0.9599170144844684,403.08826547117843,3.3049266559015754e-05,0.3143286392087354,1.1235460197528553,0.2558755530632127,3.312436208687695e-05,54.75036763791502
2035-01-01 09:00:00,13.05593607305936,96.568493150723,26.3314018265,0.5045662100456101,32.81271819226191,83.871621355086,28.53279842805388,5.262557077625571,7.4646118721461185,0.0627853881278538,5.7144931044690885,22.34338942225278,10.49743235957586,162.0502283105023,56.88469838670606,68.8671128075002,10.30955281291712,57.669017464945185,22.20914928826254,8.603088960872025,36.134540147821085,7.874660952826167,141.1766469496965,7.851286543235785,1.6907202735477267,0.2572144554922323,140.09809197054062,301.991861236044,16.15439525632605,,116.18111341325093,591.59176622197,133.32449265009274,100.48777455486707,2.7140557889938357,0.0,37.59999030465576,15.09235681199818,1.5741401096542469,341.19742300178683,0.1781633574942747,0.0,3.226291111838599e-05,50.46616711105468,4.542809493087008e-05,14.944620569631413
2035-01-01 12:00:00,13.05593607305936,96.568493150723,26.3314018265,0.5045662100456101,32.81271819226191,83.871621355086,28.53279842805388,5.262557077625571,7.4646118721461185,0.0627853881278538,5.7144931044690885,22.34338942225278,10.49743235957586,162.0502283105023,56.884698385923414,68.86711294970044,10.309552684940892,57.6690173939267,22.20914074554323,8.603089419442146,36.13454207389909,7.8746613725689185,148.57016761478343,7.851198859199822,1.6907013913968263,0.25828090801761383,135.69440600952203,347.92370144000995,16.154394987521588,0.0,111.60537813593564,567.1188746632538,97.09606212258758,93.24005994341644,2.7140574817657472,0.0,37.3754967662102,14.977649710948867,1.5740639290201652,321.90178143196727,0.8537417191630441,0.0,3.2716093693721506e-05,33.18571284748203,9.80764383020223e-05,10.8942591860232
2035-01-01 15:00:00,13.05593607305936,96.568493150723,26.3314018265,0.5045662100456101,32.81271819226191,83.871621355086,28.53279842805388,5.262557077625571,7.4646118721461185,0.0627853881278538,5.7144931044690885,22.34338942225278,10.49743235957586,162.0502283105023,56.88469838723238,68.86711304450778,10.309552599619956,57.6690176886057,22.210621470286984,8.589639174937505,36.078048597862576,7.862349967248296,167.74688025942524,7.851119570632592,1.690684317152073,0.231732909062969,117.1024653371401,394.78821877851993,15.914789731834109,,118.67814476995844,602.4503075158391,37.46576153047543,104.0717262401424,2.6644166641235354,,37.83670245321521,3.7518033998642104,1.5739947817275244,355.9793425711508,0.0458134362134064,0.0,29.93896423343377,9.025490835583122e-05,3.930996961223244e-05,36.57272994861883
2035-01-01 18:00:00,13.05593607305936,96.568493150723,26.3314018265,0.5045662100456101,32.81271819226191,83.871621355086,28.53279842805388,5.262557077625571,7.4646118721461185,0.0627853881278538,5.7144931044690885,22.34338942225278,10.49743235957586,162.0502283105023,56.88469838792584,68.86711313850599,10.309552515013651,57.66901763491458,22.21052815862089,8.589639554313361,36.078050191310254,7.8623503145022,172.3791363858398,5.589606354938147,1.2036830821806022,0.23866566104508158,116.2328717945922,190.29318011608973,15.914790616911777,,117.39053394025264,598.8362812080419,32.79323443394079,105.6781819584576,2.664418064117432,0.0,37.496874545266046,1.000498045870757,0.0,359.91822005092934,0.0211161977720653,1.7599974114804684,32.88998639848722,0.00011075212295742191,0.0003532732806567,33.8970768650651
2035-01-01 21:00:00,13.05593607305936,96.568493150723,26.3314018265,0.5045662100456101,32.81271819226191,83.871621355086,28.53279842805388,5.262557077625571,7.4646118721461185,0.0627853881278538,5.7144931044690885,22.34338942225278,10.49743235957586,162.0502283105023,56.88469838808978,68.86711323607062,10.309552427207793,57.66901740503571,22.210348224881145,8.58963875135716,36.078046818748,7.862349579532717,161.62953418916422,5.502474104442415,1.1849197544658736,0.2258928899700804,103.8208195088633,75.2700414523415,15.914787349311064,39.497482050334725,82.02263881496299,419.6055016251543,44.45854958863473,82.31322454088638,2.6644151020050053,120.78208433103563,35.028593097192875,,0.0,213.3918338355898,3.295275522028195,1.8471308163253417,29.182259290400943,0.00010217380049083937,0.191783027786174,0.0724020192842921
