snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,Centralized heat,Electricity,Decentralized heat,Methane,CO2 emissions,Electricity,Electricity,Electricity,Centralized heat,Electricity,Decentralized heat,CO2 emissions,Methane,Centralized heat,Electricity,Decentralized heat,CO2 emissions,Electricity,Decentralized heat,Decentralized heat
sector,Aviation emissions,Agriculture emissions,Shipping emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Heat Pump,Nuclear,Heat Pump,Imports,Transport emissions,Offwind,Onwind,Solar,Biomass CHP,Biomass CHP,Gas Boiler,Decentral heat production emissions,Storage,Gas Boiler,Hydroelectricity,Resistive heater,Power supply emissions,Gas,Oil Boiler,Storage
2030-01-01 00:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.821244605005951,0.6350645005503568,0.4520922737236447,0.1167577437355848,0.6100332733122719,2.0560002197822356,7.190556746335625,16.668699008327653,0.3430310236721619,7.083998414188861,4.096448863486709,,0.0257949226707676,0.0084439655898607,4.446930983518057,1.0959856214806758,,1.0374957932420736,0.07976697047790537,0.7603829863425069,8.611950282262837e-07,1.8477842446465597e-06,2.5544558638589104e-06,4.623413557225198e-06
2030-01-01 03:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.8212446044070454,0.6350645010275148,0.4520922633754421,0.116757741063049,0.6064940530631796,2.0560005902224505,7.1547360946043534,16.97736895214078,1.7106984070413334,6.635076678809865,3.2329629343014967,,1.4457719596943015,0.47327331949241,11.315924077666816,2.375292687195454,3.4690540580811944,0.4675447617989484,0.07988146010545216,1.3221652916706463,9.563967064863695e-07,2.201609026996306e-06,2.559553479442934e-06,4.778090949375808e-06
2030-01-01 06:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.8212446040367842,0.6350645013895755,0.4520922619419458,0.116757740692833,0.6042539805676924,2.0560006339026993,7.133534278860195,17.210691323502058,3.6270214450554623,6.8805758216361355,2.428518850132442,0.039308543800480156,1.4471389449259393,0.4737208019836397,12.16972970309969,2.562221256738889,4.179824111433669,0.5433123500470325,0.07987954819945194,1.1438513333407516,9.610963971712874e-07,2.21695293091691e-06,2.562523369344148e-06,4.7683204798799e-06
2030-01-01 09:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.82124460310724,0.6350645024747474,0.452092264906218,0.1167577414583884,0.6019172670837043,2.0560005959827587,7.1142833331854245,17.296670177935997,2.985889067740454,7.0598019458694985,2.079601940019806,1.0612043439672192,1.4423768230733862,0.4721619218283893,9.993695015164109,2.073307280489812,1.6245918779084847,0.2845406203315254,0.07987742816765303,1.0164602011175576,9.499794598891038e-07,2.1642802894611914e-06,2.5799110509878536e-06,4.707723334900085e-06
2030-01-01 12:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.821244602581998,0.6350645030766656,0.4520922677207987,0.1167577421852845,0.597194511818362,2.0560005424577787,7.0676433827682645,17.350255202764174,3.517610884655409,7.069076285061235,1.8327266382108671,1.6560771024816427,1.3263910277243454,0.4341939822714382,9.707160915666304,2.022250822381968,1.3101070458480042,0.3204422912165317,0.07987646787362923,0.6087620739403949,9.318475492949007e-07,2.093488132997191e-06,2.577821042248364e-06,4.632778680784094e-06
2030-01-01 15:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.821244602585853,0.6350645030255956,0.452092265934969,0.1167577417240746,0.5748114515477759,2.0560006931206223,6.845742734311387,17.308929893506793,4.019191680961702,7.04578575449783,1.5161711312342518,0.009519775769149075,1.4432572851195085,0.4724501409990967,11.565031562686048,2.41307780893952,3.3294922741971646,0.4016530816804715,0.0799232429342457,5.08059174245271e-05,9.917330695365576e-07,2.3384384222240497e-06,2.573892637561812e-06,4.6998872195368325e-06
2030-01-01 18:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.8212446023301956,0.6350645032961144,0.452092266089761,0.1167577417640513,0.5548731890445568,2.0560006887860296,6.647454368518748,17.217858166223827,1.8498339677929732,7.081823940783511,1.7827612886168585,,1.4430557238266244,0.472384159928206,11.570844210688232,2.4138919145251507,3.424675999235038,0.3997606720833059,0.07990511963175001,5.1176298876971104e-05,9.934902675661903e-07,2.346277279914046e-06,2.5705573360735024e-06,4.663845594227885e-06
2030-01-01 21:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.821244601982206,0.6350645036844592,0.4520922615565823,0.1167577405933086,0.551608919061639,2.056000692070767,6.613880889371156,17.05431195861209,0.733678768775841,7.083896255875592,2.155911690533457,,1.3036990910305617,0.4267657788588824,6.279573661189151,1.268731945633429,,4.910037110519967e-06,0.07989703569493618,5.177234263090866e-05,9.950875809551172e-07,2.3525362505299927e-06,2.5683450755590813e-06,4.4702905463064595e-06
2030-01-02 00:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.8212446016013852,0.6350645041209296,0.4520922627762713,0.1167577409083066,0.5518244154452819,2.0560007009145274,6.6142245535517645,17.19757363282843,0.3527773602271309,7.080644476560345,1.8309053097596963,,1.353324291260711,0.4430105836401041,6.717468196563389,1.3572045095545702,,4.880003852243286e-06,0.07989702382526005,5.164603827084317e-05,9.972962395539013e-07,2.3611139552322493e-06,2.56914976939079e-06,4.3321535646971915e-06
2030-01-02 03:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.8212446010976335,0.6350645047139869,0.4520922694723156,0.1167577426376328,0.5557047144243206,2.0560007123207447,6.652705494731439,17.671409074621767,1.7306045100813685,7.028685954024068,1.4911783637870186,,1.4493175792855657,0.4744339777430856,14.119949285389136,2.9977254463894414,5.919799540623378,0.7611882441682448,1.3870945284664429,0.7334180117675059,1.0021769626434392e-06,2.379332053919008e-06,2.613192927909637e-06,4.356933045241599e-06
2030-01-02 06:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.8212446005429,0.635064505386024,0.4520922735731418,0.1167577436967157,0.5570101529181732,2.056000735307153,6.668794551343761,17.900007942214884,3.7282995990320393,4.374990585800867,0.934711408705747,0.0444223094042074,1.450825796542608,0.4749276925249847,14.389396946652468,3.121769877280052,6.091742879836902,0.8918084394773945,0.4189720075162702,0.9063839480269288,1.0028879217965429e-06,2.3798123891469907e-06,0.1566079646814548,0.0391606735941878
2030-01-02 09:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.821244599818002,0.6350645062635425,0.4520922769426313,0.116757744566923,0.5726556938736057,2.056000593966352,6.821460758579668,17.870829859156764,3.1345288479228715,2.1359146580591544,0.5705184342512089,2.4955441833062304,1.4453915598713156,0.4731487956449582,12.79126994772939,2.68692832959411,4.149558448403284,0.538745643009485,0.07792066489267618,4.308871804647916e-05,9.475298091064288e-07,2.15068324372837e-06,2.580575334908532e-06,4.461209738547199e-06
2030-01-02 12:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.821244599555929,0.6350645065628361,0.4520922787776745,0.1167577450408429,0.5929665531381997,2.056000594376253,7.020646130983038,17.60759516012011,3.676648643861155,3.879206588957363,0.8091562007951478,1.3096486917335965,1.443491457552638,0.4725267973237802,11.779478353755042,2.4612957264098934,3.2732361773097716,0.4273427180454559,0.07726415633193615,4.300603380403209e-05,9.481487762094418e-07,2.1527547078684164e-06,2.5790737216239696e-06,4.5527516472654045e-06
2030-01-02 15:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.821244599634655,0.6350645064213194,0.4520922764953108,0.1167577444513977,0.5889446143687468,2.0560007052513893,6.981864394161732,17.224330546299736,4.105452571104485,6.704014602054232,1.1274633483717142,0.0012622911061879389,1.445889973008217,0.473311951139985,12.944979869942864,2.7216323377771783,4.972462921633676,0.557908607102827,0.07684762622011097,4.421234509054839e-05,9.963716998626675e-07,2.3599581625372814e-06,2.5675083836682874e-06,4.666794452119938e-06
2030-01-02 18:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.821244599483505,0.6350645065741525,0.4520922760066462,0.1167577443251947,0.5885345260393225,2.056000693129354,6.978178020207623,16.72462658178406,1.9441898210711084,7.082794590205266,2.164420496359672,,1.4454633409232185,0.4731722931657688,12.73755436006776,2.675283798934146,5.238082628294501,0.5345867742243284,0.07644072260915173,4.44681911535398e-05,9.963602729955674e-07,2.3582680005222287e-06,2.562971409855911e-06,4.718478196711014e-06
2030-01-02 21:00:00,0.5793962900451491,0.060566004812164,2.718206683076053,2.821244599312536,0.6350645067622578,0.4520922721328689,0.1167577433247496,0.5932002036490971,2.056000680859255,7.022825069746997,16.0746438540525,0.7776342357436966,7.083960064303484,2.930707318291717,,1.3741584147359038,0.4498306320645486,6.852492451442823,1.3844849080757102,,4.840418527014231e-06,0.07596077194663789,4.708097333038304e-05,9.92425571467648e-07,2.3441809349471455e-06,2.553578294407949e-06,4.662755661349103e-06
