snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,lignite,Hydrogen,CO2 captured,CO2 emissions,Oil,Coal,Methanol,Electricity,Methane,Centralized heat,Decentralized heat,Centralized heat,Ammonia,Electricity,Hydrogen,Electricity,Electricity,CO2 emissions,Methane,Electricity,Centralized heat,Electricity,Centralized heat,Oil,Decentralized heat,Electricity,Centralized heat,Decentralized heat,Ammonia,Decentralized heat,CO2 emissions,Methanol,Centralized heat,Centralized heat,Electricity,CO2 emissions,Hydrogen,Decentralized heat,Decentralized heat,Electricity
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Imports,Steam Methane Reforming CC,Hydrogen production CC,Methane production emissions,Imports,Imports,Methanol production,Nuclear,Imports,Waste Heat,Heat Pump,Heat Pump,Haber-Bosch,Offwind,Electrolysis,Onwind,Hydroelectricity,Transport emissions,Storage,Solar,Solar thermal,Biomass CHP,Biomass CHP,Storage,Biomass boiler,Battery,Storage,Gas Boiler,Storage,Resistive heater,Decentral heat production emissions,Storage,Gas Boiler,Resistive heater,Gas,Power supply emissions,Storage,Storage,Oil Boiler,Coal/Lignite
2040-01-01 00:00:00,14.9686658760155,2.698889859646953,21.56339385039261,27.453509425368633,21.612791109257728,0.1085414700439504,43.88252984537084,11.354304690559127,1.261610804593031,374.6569871375876,20.535459651703217,45.33729564941527,112.32067019481678,316.4243220179556,19.066097168323015,227.6375806945719,14.07903167887315,10.066564676579,301.8209058649791,27.902339429570045,130.47357862814783,30.926613461771403,6.257662148842351,,,,16.189883638785687,49.4961740629285,,27.24311790272132,13.83507842475345,0.182402250468473,134.82795911374413,,9.63908451280317,29.235108105220725,,10.139291371149362,6.181902537275707,13.267909302564902,4.104757338234798,0.0,1.017468897764373,0.0016987254123412,5.245352235630603e-06
2040-01-01 03:00:00,14.9686658760155,2.698889859646953,21.56339385039261,27.453509425582126,21.612791108794248,0.1085429363028315,43.8825299113518,11.354304707630298,1.2616108043441647,375.1560800687322,16.87081310442727,45.338746298818705,112.18728301877792,318.4070675257638,19.191353284192243,226.66873624832687,14.048311422102174,10.201586735421577,280.7725578066917,27.902338000225917,118.87729376365874,35.93705146231211,29.504842929834936,91.34811667426636,,,22.39874329489572,68.4863429367331,0.0,34.94972901825026,22.53472545935765,4.463791717997948,237.89913724224425,0.0,50.497722029351344,67.46233930923732,,30.9906968271959,9.360066024485844,11.707252384526006,3.6219289340664504,,9.92930029739722,46.793055740629455,5.4391027838443375e-06
2040-01-01 06:00:00,14.9686658760155,2.698889859646953,21.56339385039261,27.453509423312624,21.612791113267257,0.1085764912407572,43.88252994812991,11.354304717171674,1.2616107681722646,375.5979294596467,16.677380297582527,45.33878449425819,109.83512422639751,319.3460218779997,19.257996863564525,226.40218885269354,13.99502821362591,10.273505436448612,274.324092406183,27.9023379363146,102.04310125668552,40.36735377666757,63.85892490865418,92.4029414332596,73.0756575231013,0.0248127900566315,24.4950483195288,74.90872956196274,138.38896682190898,34.76585131123806,18.09797682881404,3.702189946950487,255.93698594159687,,63.653859856975885,74.47839022152073,,31.868334049710423,9.419466499038926,0.7180351867351985,0.22213985902604255,0.0,0.1808468082943235,57.95401450506293,5.449647265169019e-06
2040-01-01 09:00:00,14.9686658760155,2.698889859646953,21.56339385039261,27.453509419929578,21.612791119544497,0.1085899835171976,43.88253035981475,11.354304824034216,1.2616108777259984,375.6913303168438,17.293913870243365,45.33980430898991,108.66882754634625,318.0425857764171,19.069775726943263,230.54419092209218,14.347767669221485,10.070263847808532,281.44563317202517,27.902340943070097,85.83360885895877,26.891854662420975,52.46444617059384,50.55351653949276,325.3976229879552,6.148013996017606,19.32756191387655,59.09904466817091,58.23034854340553,33.57984520690995,0.00012175432009070209,1.4971740840431418,218.58118911757504,,60.67364480357296,56.90034966096904,,27.633800006793617,9.331735226224083,2.5545543704575692e-05,7.0829047899164014e-06,0.0,1.4324901529390728e-05,25.782642117805903,5.194242371184281e-06
2040-01-01 12:00:00,14.9686658760155,2.698889859646953,21.56339385039261,27.453509419153377,21.612791120762207,0.1085853119583416,43.88253035219369,11.354304822059476,1.2616108564906043,375.66335448371257,17.265650435709183,45.33980562881257,110.81110583813403,318.41948401252006,19.06977228409598,234.34652682600154,14.659405408520463,10.070260053225631,295.2249534853713,27.902340825138133,83.69182100965254,31.959136277297574,60.44409352937429,34.16894392209245,241.7057565887156,7.083705864455626,18.728302086146257,57.25692076543391,82.95305726790428,33.55248376339633,7.86750849711386e-05,1.1050301684982775,205.4621203778967,,53.54555941030648,52.075346687702734,,24.843523185758208,9.329247784336188,2.5542779664002837e-05,7.083919923685121e-06,0.0,1.1976373892748409e-05,20.074480334017903,5.195531768487383e-06
2040-01-01 15:00:00,14.9686658760155,2.698889859646953,21.56339385039261,27.45350942123005,21.612791116263438,0.1085587369629354,43.8825298514315,11.354304692070116,1.2616105684882777,375.51168302794514,16.73020816656039,45.33869997037556,112.807561629044,320.1433085909638,19.069655514172528,231.1443137599952,14.293764758809177,10.07025287724886,298.7148168789199,27.902336943633713,84.2690699222796,47.41716155275735,68.5857730340712,83.07230538710816,22.113987716067136,0.4273413515151459,24.86629385374065,76.05772284318469,141.7390671725273,33.87885494397912,13.985386946524448,2.0606279057674564,232.69852719531912,0.0,37.06297357120722,63.339277932401394,0.0,18.566013935543214,9.333354934694876,18.551242757340553,5.739288007945577,0.0,0.1206892096503323,44.34475663634321,5.488261212409141e-06
2040-01-01 18:00:00,14.9686658760155,2.698889859646953,21.56339385039261,27.45350942221096,21.612791113841435,0.1085208547110381,43.8825298717518,11.354304697344348,1.2616105982055763,375.37096985592814,16.708090437761477,45.33873828616561,115.92354937619146,319.6316906642612,18.804303518081678,227.21363999269073,13.928485378237896,9.783875856220345,296.9326418531981,27.902337354724917,81.36480498452099,58.739288310395104,33.05925617985216,88.58513655560972,,,25.753218315687132,78.78134512530592,0.473967689037323,33.581787093305756,18.53235056119597,1.6433428388976985,236.9357409394976,0.0,36.60723384330976,62.909183468643526,0.0,16.137311197719356,9.333115545492204,20.49647495279149,6.341094749849707,0.0,1.6349319009121513e-05,41.44306145531456,5.456063782401396e-06
2040-01-01 21:00:00,14.9686658760155,2.698889859646953,21.56339385039261,27.45350942203941,21.61279111344676,0.1084998658525309,43.882529780651495,11.354304673740254,1.261610514817319,375.2399527195928,16.525052730702512,45.33731539928327,117.62837289060883,317.9133312415138,18.804098482957933,225.1551913799492,13.67528287475266,9.783808874267224,284.64271603079885,27.902335832017556,73.71557045764918,65.02577958395459,13.07651478377002,,,,18.655231142751557,57.03646486338823,,27.291782067361677,19.80110273854728,1.131991084118382e-05,142.74075385512285,0.0,16.232295175661342,30.094560614548307,0.0,5.357018812324881,8.794195888952604,17.08903772036906,5.286918840473278,,0.0001114788324178,0.6020318733239532,5.5573716512976085e-06
2040-01-02 00:00:00,14.9686658760155,2.698889859646953,21.56339385039261,27.453509421145128,21.612791114509115,0.1085143114998758,43.88252973067194,11.35430466078353,1.2616104866667395,375.2925497312709,15.866672208272863,45.24086399915639,117.62837289540369,318.1392758706447,18.708673097694447,222.35190403666695,13.591281418055203,9.715437412562707,276.4498255488234,27.79256062788035,67.09122386289184,73.0746197647673,6.262476501934206,,,,17.89087434713627,54.68502252012552,,29.488340827619933,16.54175899232554,0.0116895671554475,163.05000134521515,0.0,7.990503695867047,34.69142503213238,0.0,8.806068804806806,5.882083712155615,14.708217708538138,4.550352614175362,,1.3341611207316313e-05,0.0001116502014391,5.5556380545392805e-06
2040-01-02 03:00:00,14.9686658760155,2.698889859646953,21.56339385039261,27.453509419076685,21.612791117835954,0.1085556949147327,43.88252980090775,11.354304678991866,1.2616105592229447,375.5234438042795,15.110794450145397,45.33860360443752,117.62837312473218,321.24992578638245,18.804254460500612,222.6965050872716,13.64008674865565,9.783883912356904,265.21456494232393,27.90212608908536,65.8680024610588,73.51147805466304,29.132191540876935,95.76301397376896,,,28.592031718029748,87.5007271164381,0.0,42.68047304137507,27.55991262338237,3.836101957639144,249.73937991439652,0.0,48.32694141277707,62.262914714015515,0.0,18.422835254930924,7.54091778287362,16.374628046934568,5.065897825262057,0.0,21.49910446791067,28.58683540258212,5.624182349314222e-06
2040-01-02 06:00:00,14.9686658760155,2.698889859646953,21.56339385039261,27.4535094158854,21.61279112331561,0.1086079829771726,43.88252980387746,11.354304679772673,1.261610535304018,375.820150123688,14.21223799767475,45.33869222178541,117.62837316779394,322.8852511410224,18.92478776952313,223.45602040887695,13.654569766226825,9.913933476162889,256.6917994675971,27.902228653579137,69.00087032528491,66.6029053766921,64.06425586078515,118.0789433696608,53.52356143318888,2.8484277807927765e-07,28.454415587602583,87.07398556689965,131.6385045981407,42.609148703218,27.95439849991529,3.3493499442643095,279.8772499887993,,43.97863302047322,75.86280593824874,0.0,23.55737922844341,9.233318795079065,8.95045564241564,2.7690448555342426,0.0,0.1578968148468703,51.35981874117904,5.5846847013611685e-06
