snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
carrier,Oil,Centralized heat,Decentralized heat,Oil,Hydrogen,Methanol,Oil,Electricity,Electricity,Methanol,Oil,Solid biomass,Methane,Methane,CO2 captured,Methane,Electricity,Electricity,Oil,Electricity,Decentralized heat,Centralized heat,Solid biomass,Methane,Methane,Methane,Electricity,Centralized heat,Oil,Decentralized heat
sector,Agriculture,Industry,Agriculture,Aviation,Industry,Shipping,Shipping,Industry,Agriculture,Industry,Industry,Industry,Industry CC,Industry,CO2 sequestration,Hydrogen production CC,Residual electricity consumption,Decentral heat production,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Central CHP production,Decentral heat production,Storage,Power supply,Hydroelectricity,Storage charging,Decentral heat production,Storage charging
2035-01-01 00:00:00,0.23557372544599,0.4121004566210046,0.8042242257195091,2.253583391852,0.3881278538812786,4.83033368843945,5.554883741695831,6.530821917808219,0.1702536780122392,0.03881278538822,7.933789954337,1.8607302627333544,2.1994446451308027,1.367531782989392,0.7517815462542107,0.6552150291289796,2.9598699239608504,4.377152775869452,1.0075161462807,1.918185436869986,10.546962658632689,1.853314358961476,0.0260880457696322,4.307149626250224,3.892057466149756,1.6188590358117407e-06,1.021634890194152e-06,1.3669007253760153e-06,1.1828251429442675e-06,3.375378420656397e-06
2035-01-01 03:00:00,0.23557372544599,0.4121004566210046,0.8042242257195091,2.253583391852,0.3881278538812786,4.83033368843945,5.554883741695831,6.530821917808219,0.1702536780122392,0.03881278538822,7.933789954337,1.8607302627448936,2.1994446449682687,1.3675317831356706,0.751811669670593,0.6552150110106907,2.340146192970142,4.501034407089577,5.0244909281414,2.4140183003820233,17.208458283824395,3.023788948874266,1.025483304473138,11.365369600359871,0.0,2.00188713582642e-06,0.0,1.5790565790261375e-06,1.1707670298720478e-06,3.625443274795843e-06
2035-01-01 06:00:00,0.23557372544599,0.4121004566210046,0.8042242257195091,2.253583391852,0.3881278538812786,4.83033368843945,5.554883741695831,6.530821917808219,0.1702536780122392,0.03881278538822,7.933789954337,1.8607302625773383,2.1994446500013902,1.3675317786058585,0.7518173387724773,0.6552150129644252,2.299687979988593,4.492992618714368,10.652921796065,2.46252042325909,17.797853208952073,3.127350047158467,1.0254843954097752,12.098508611277357,0.0,2.0147544281640703e-06,0.0,1.5857490079227826e-06,1.1759602069791753e-06,3.6174408640966446e-06
2035-01-01 09:00:00,0.23557372544599,0.4121004566210046,0.8042242257195091,2.253583391852,0.3881278538812786,4.83033368843945,5.554883741695831,6.530821917808219,0.1702536780122392,0.03881278538822,7.933789954337,1.860730262425193,2.1994446556551006,1.36753177351751,0.7518172793795486,0.6552150237635955,2.8495359563595635,4.720924793610552,8.769852401538001,1.9953655318856165,15.705548111899107,2.75971640089566,0.0552646475663551,10.193080145664565,0.0,1.7877396040497654e-06,3.814025124685866e-07,1.57728022241192e-06,1.184277238729024e-06,3.608423205501423e-06
2035-01-01 12:00:00,0.23557372544599,0.4121004566210046,0.8042242257195091,2.253583391852,0.3881278538812786,4.83033368843945,5.554883741695831,6.530821917808219,0.1702536780122392,0.03881278538822,7.933789954337,1.8607302623192992,2.1994446613182936,1.3675317684206438,0.7518187158382654,0.6552150282896428,2.913544779351474,4.685286120687078,10.331572126293,2.0950883340364004,15.038158357026813,2.6424510326515818,0.0528272532518676,9.488742863200079,0.0,1.7229272432765555e-06,1.674620518084706e-06,1.538574642386945e-06,1.1828005649403358e-06,3.718803811821323e-06
2035-01-01 15:00:00,0.23557372544599,0.4121004566210046,0.8042242257195091,2.253583391852,0.3881278538812786,4.83033368843945,5.554883741695831,6.530821917808219,0.1702536780122392,0.03881278538822,7.933789954337,1.8607302624352848,2.199444662903984,1.3675317669935234,0.7518177984246526,0.6552150584507075,3.197667795474551,4.636670102699357,11.80476468343,1.4358922961764702,15.96352984951405,2.8050457261059094,1.021708353222619,10.125839853050092,0.0,2.0417860132980367e-06,,1.7230397382516232e-06,1.1823159985575617e-06,3.5514737215655754e-06
2035-01-01 18:00:00,0.23557372544599,0.4121004566210046,0.8042242257195091,2.253583391852,0.3881278538812786,4.83033368843945,5.554883741695831,6.530821917808219,0.1702536780122392,0.03881278538822,7.933789954337,1.86073026247744,2.1994446661437395,1.3675317640777462,0.7518176911979841,0.6552150599297486,3.3053704467300733,4.4970346915299455,5.4331458727537,1.452787381827355,15.790144852977098,2.774580689601049,1.0214774531029205,10.281374503165347,0.0,2.049825277202756e-06,0.0,1.7158547888382086e-06,1.184285473548411e-06,3.502611980073994e-06
2035-01-01 21:00:00,0.23557372544599,0.4121004566210046,0.8042242257195091,2.253583391852,0.3881278538812786,4.83033368843945,5.554883741695831,6.530821917808219,0.1702536780122392,0.03881278538822,7.933789954337,1.860730262479096,2.1994446697268364,1.367531760852951,0.7518178231206322,0.6552150630861819,3.550922618873349,4.359694151354859,2.1548873271405,1.344580835831971,10.993438624052718,1.931763532597166,0.8994093904791324,4.839021147025859,3.2051743007710662,2.0248116067929135e-06,0.0,1.6896696446649883e-06,1.1926600170220482e-06,3.3615270918398925e-06
