country,sector,2023,2030,2035,2040,2045,2050
AL,Battery,9.450252059632152e-06,0.0591070983467314,0.0773910772112534,0.3310474488651334,0.5511474992769718,1.0746995250659137
AL,Biomass CHP,0.0058235239455475,0.0245728436072165,0.0312070502125359,0.0377771717413573,0.0449611625690591,0.0517502245984995
AL,Biomass CHP CC,4.01457098741575e-07,1.949001572519663e-07,2.73575944413733e-07,3.201883040881884e-07,4.202667349793573e-07,5.377642532341761e-07
AL,Gas,2.041648072301439e-06,3.0639549930113756e-06,4.2853981627442256e-06,5.041085556091497e-06,5.838118862954351e-06,6.25682970229133e-06
AL,Gas CHP,2.564079237271384e-06,1.267962523301313e-06,1.821497907120125e-06,2.1922168273808604e-06,2.5426918697638953e-06,2.742585659812403e-06
AL,Gas CHP CC,7.617727021498146e-07,5.767364865053664e-07,8.29494575708278e-07,1.005148732019032e-06,1.400435876657048e-06,1.5261467620510806e-06
AL,Hydroelectricity,1.7389,1.7389,1.7389,1.7389,1.7389,1.7389
AL,Oil,0.0898545430580946,0.0898556072975835,0.0898560593538442,0.0898563588800121,0.0898566544626058,0.0898568367953857
AL,Solar,0.162,2.320372255750484,3.1762096930420074,3.9884131923922017,4.449045584855185,5.353082967021552
AT,Battery,9.460212442736072e-06,1.5919324329661067e-05,2.7538761991043332e-05,3.909705739167089e-05,4.94010543360619e-05,3.992371832556306e-05
AT,Biomass CHP,0.7656783414817673,1.0008914250254353,1.0008927880075298,1.0008932515257476,1.0008946296620715,1.0008949474075175
AT,Biomass CHP CC,6.754371452091579e-07,1.9184207616870674e-07,2.692730095284511e-07,3.146546113133866e-07,4.164262332513884e-07,5.258451609490018e-07
AT,Gas,2.8192019991121273,2.8192030101027865,2.8192042746371255,1.3170051382492711,0.8380061254615025,0.8380065702239288
AT,Gas CHP,2.4935002580471486e-06,1.3726661816243828e-06,1.975958348706407e-06,2.4100680788760087e-06,2.8218956381503607e-06,3.034199785234982e-06
AT,Gas CHP CC,7.691716893049073e-07,7.316067096472848e-07,1.01382011520241e-06,1.253828630942823e-06,0.0414513708937968,0.0414515426216195
AT,Hydroelectricity,13.46042,13.46042,13.46042,13.46042,13.46042,13.46042
AT,Onwind,3.977236,3.927238264373547,3.927239420237921,3.1520211973365138,2.961413146954293,1.4885159798794063
AT,Solar,6.832686,8.95503075175914,18.712143636594313,24.093868277561818,24.093870895305656,24.07187397980605
BA,Battery,9.357215647184516e-06,3.6896754200134915e-05,0.0479878057586276,0.283002289729692,0.8794681732864552,1.4504207294809484
BA,Biomass CHP,0.010811687042406,0.0486781295630509,0.0627193972248922,0.0763888033648218,0.0919308249409121,0.1067228424377235
BA,Biomass CHP CC,4.211686971647647e-07,1.939328494733908e-07,2.725795128887893e-07,3.194791649100005e-07,4.194488979546007e-07,5.410866807227879e-07
BA,Coal/Lignite,0.838,0.569000829703625,0.3000011532687621,0.300001332840242,0.3000015254846142,0.3000016362285966
BA,Gas,2.072056887694809e-06,3.067474216488011e-06,4.288286771870941e-06,5.052363323931357e-06,5.8744019162767365e-06,6.2994957097050135e-06
BA,Gas CHP,2.867635377043991e-06,1.260957203409704e-06,1.8193210189730116e-06,2.1923491403334135e-06,2.550852901611869e-06,2.7551705036715546e-06
BA,Gas CHP CC,7.790094889209469e-07,5.817069489057833e-07,8.411038662948371e-07,1.0176225950980126e-06,1.5927994023101368e-06,1.7327291050855878e-06
BA,Hydroelectricity,2.0545,2.0545,2.0545,2.0545,2.0545,2.0545
BA,Onwind,0.1347,0.1347011528502701,0.1347015852458481,0.1347019334233068,0.1347023378105744,0.134702673787284
BA,Solar,0.1237199999999999,1.7951857126282822,4.237382840853964,5.318267499652723,6.338424066882398,8.060746999717894
BE,Battery,2.87850059053628e-05,4.633381073301854e-05,7.668276722095751e-05,1.459901508158803,3.0525432986345145,4.063714952915565
BE,Biomass CHP,0.3781039922181417,0.4751911179560341,0.4674172594143772,0.4952251168919382,0.49522593573344,0.4952262819356026
BE,Biomass CHP CC,9.494896472983102e-07,5.66045958740995e-07,7.996808475343753e-07,9.432402115774306e-07,1.1351483835632102e-06,1.2408266386708578e-06
BE,Gas,4.527305803048672,4.232308932916993,3.1425127400974344,1.949216115113044,1.450219264510524,1.0640205567727772
BE,Gas CHP,6.842297511843754e-06,4.191184254925651e-06,6.155046730933427e-06,8.780532834742368e-06,1.0450385775652466e-05,1.1167802974511987e-05
BE,Gas CHP CC,3.0327208253014614e-06,2.001046911118097e-06,2.881337016472056e-06,3.946489906268271e-06,2.1136253782192855,2.1136259000474684
BE,Hydroelectricity,1.400658999125907,1.400658999125907,1.400658999125907,1.400658999125907,1.400658999125907,1.400658999125907
BE,Nuclear,4.034,2.0560021119417233,2.056003424479655,4.3322657858655125e-06,5.400353668087146e-06,5.9778424189737255e-06
BE,Offwind,1.7018922439931743,7.999999080287097,7.999999969423696,7.999999992657018,7.999999932190654,7.999999964427751
BE,Oil,0.1586,3.1009740333071983e-06,4.415864823349758e-06,5.36176699814815e-06,6.215115719418058e-06,6.7450758825709955e-06
BE,Onwind,3.234166633914255,4.200001621937884,4.200027662478711,4.2000003428312365,4.200000792228798,5.137375617358703
BE,Solar,9.89749,9.897674972448389,11.535136094590388,26.24114151822413,31.813049253770316,31.813074982618147
BG,Battery,9.333884837477338e-06,2.3880715091469185e-05,0.1108901492878732,3.1553441477374404,3.15554511664287,3.238712910242162
BG,Biomass CHP,0.2798475277811666,0.5388359390833415,0.5388366406486336,0.5388369768180494,0.53883729393425,0.5388374692170174
