snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Methanol,CO2 emissions,Hydrogen,CO2 captured,Coal,Electricity,Oil,Centralized heat,Centralized heat,Ammonia,Decentralized heat,Methane,Electricity,Electricity,Electricity,CO2 emissions,Centralized heat,Electricity,Methane,Decentralized heat,Hydrogen,Electricity,Centralized heat,Electricity,Oil,Electricity,CO2 emissions,Decentralized heat,Centralized heat,CO2 emissions,Ammonia,Centralized heat,Decentralized heat,Centralized heat,Decentralized heat,Decentralized heat
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Methanol production,Methane production emissions,Steam Methane Reforming CC,Hydrogen production CC,Imports,Nuclear,Imports,Waste Heat,Heat Pump,Haber-Bosch,Heat Pump,Imports,Offwind,Onwind,Hydroelectricity,Transport emissions,Biomass CHP,Biomass CHP,Storage,Biomass boiler,Storage,Solar,Solar thermal,Battery,Storage,Gas,Power supply emissions,Gas Boiler,Storage,Decentral heat production emissions,Storage,Gas Boiler,Resistive heater,Resistive heater,Oil Boiler,Storage
2030-01-01 00:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298550791023,18.96968093038071,17.432350170038017,0.9110276000275036,31.747398126606846,8.199110646610638,51.18216349046197,105.73438420150399,493.5637148353204,5.191354687509608,7.568504227352557,3.7211878821572406,187.8101290435988,497.9896466550959,180.83690976860714,129.16265733886308,21.31958092223106,12.263759990183702,67.37746773842001,22.05600793523294,,34.30561839989667,0.5908128508305512,,,1.1695987145913194,,24.140067554967988,7.468338061138526,219.44491307319635,0.3232873316775402,45.71355257262241,,7.208215955993994,22.928049711253493,1.5484261623404851,0.0153626465789903,0.4224111448378175
2030-01-01 03:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.452985500501825,18.969680940424908,17.432348093899833,0.911027604235602,31.747398122632596,8.199110645584248,49.376066635430774,105.11919970285199,494.820529912512,4.277211441064872,7.474891875005513,2.734626216628766,186.93607412761463,503.6402616376428,164.68987233509029,117.26977972245824,20.93329587168331,57.823561520829855,93.56538175283902,30.62861920568981,93.4362304022059,34.82690302484897,,,,0.6939328744352022,22.374241976976396,28.473285929847073,8.80892748097498,376.0307250949467,3.8330174356062634,91.12091400170219,0.4252139852420951,17.782438423642716,53.31016937072111,1.8969286156966176,41.1733562329431,13.020645890113553
2030-01-01 06:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298549662411,18.96968094472123,17.432348639889977,0.911027621600054,31.747398151370827,8.199110653006207,47.352874167218296,103.73417944874953,496.15744408207325,4.969798787893583,7.420749575030807,3.482080353468394,186.58660012492834,504.6894559542858,159.54649546225738,99.59021221570788,25.153375008395628,125.15065685605992,94.17417358237633,30.82790715571057,107.19139603299068,34.82748037418105,0.3162211468057085,37.27588051139027,0.0005570067419708,1.0675189014142483,300.23944353342057,15.092948062851011,4.669385547369848,408.3602977325802,3.9558926293521144,102.64748806916633,,20.613088257599568,54.851687881730335,1.944896814874243,56.77114609076709,1.680618489845382
2030-01-01 09:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298548703528,18.969680956196083,17.432354765669775,0.9110276248434449,31.747398158725535,8.19911065490564,46.78617111596101,101.23728385371228,497.0353773973286,5.191371177700675,7.507281599360682,3.7212049837718872,189.84717387405323,504.5458098272119,170.0310522093184,82.83092043649108,15.603142520838444,102.81976887701184,86.6408765220458,28.36188304827188,19.26542334287072,34.78370314253815,0.590835485053482,153.23977917172203,5.229118199580143,0.002944976145811054,179.36821508526802,3.600850603038434e-05,1.6467485097600933e-05,355.4330131378061,3.6318650312683936,81.359687397585,,9.714409694312003,53.43225860608147,1.8639960750198936,26.948317129290057,5.42686486009195e-05
2030-01-01 12:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.452985481863415,18.969680962010116,17.432351380153897,0.911027602952074,31.747398120125933,8.199110644936873,46.7568836378257,101.78962222646294,496.9656118855927,5.191372301664976,7.641007232917853,3.721206743524752,194.02559053659385,504.7630441490009,183.03930086426442,81.32763407813856,18.20020377553721,118.45827375107808,84.74233698326194,27.74039630295014,4.292868907651257,34.81236338086447,0.5908364389841693,114.32464812898584,5.097830473379072,0.00014231627459051384,230.60614311194425,0.9207510029785467,0.28486220982473337,339.2370263192984,1.3587232454412668,75.67011612185759,,10.060285678543856,47.330394265952854,1.7292650356670642,18.25577214351598,0.0737964955743892
2030-01-01 15:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298548036709,18.969680962981137,17.432346944010234,0.9110275832899996,31.747398085167102,8.199110635908376,47.75938101147239,104.87515051003422,494.5017309251205,3.9974219603055885,7.475939930524688,2.432672484522556,191.89445287761106,504.02077819006325,185.36833221127864,81.11956338741388,26.80485905990373,134.41432906175382,90.78173192869777,29.7173916889697,91.10878049824856,34.85760378766037,0.0,11.547615319475867,2.338662116306888e-07,0.126492973857324,323.0593252327442,31.454571184459265,9.731262602260228,371.44292272454874,2.42821863204159,90.4464897819736,0.7271676638555655,15.781725254134836,30.445625656952917,1.808917700038542,43.39064020350801,0.0007143078020202
2030-01-01 18:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298547752599,18.969680965836602,17.432340095561436,0.9110275585010131,31.747398035687635,8.199110623129764,49.0312769097733,107.50459980540742,494.0831836823476,3.997419404460184,7.34415338995429,2.4326707438797475,188.21592025942948,503.25191788999047,184.61038136472604,78.40281419420978,31.85990664390323,64.78949703586287,90.61362871208132,29.66236311630169,95.81097229572288,34.77980268361483,0.0,,,2.950413386598369,50.41696151185036,31.252473066970467,9.66873842427339,375.6242807897216,1.7021974443639136,90.70868529379293,0.7271693927978922,15.763439713551993,28.29718948677724,1.8089162847278768,41.36335361873539,0.0005776853178168
2030-01-01 21:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298547376123,18.969680970061994,17.43233561321599,0.911027533040966,31.747397976064875,8.19911060773154,49.79418473879741,108.66418832865381,494.0423408588332,3.9939915779651876,7.308974013250389,2.42897212802193,186.52287902624096,500.0049396185346,179.62802999578406,73.46637511579195,36.11546647429977,25.62734053101788,74.06800345592532,24.24615419375893,,34.04532117603942,,,,2.4297768688579158,,24.44792676910364,7.563581934072252,246.43435088671455,3.0345714014736545e-05,51.163357323193694,0.7308679755697594,6.066292218856123,6.234262108543087,1.3368551183605382,0.7653325589240061,4.914485597653626e-05
