snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
carrier,Coal,Oil,Oil,Centralized heat,Oil,Ammonia,Hydrogen,Methanol,Electricity,Electricity,Decentralized heat,Oil,Methanol,Decentralized heat,Solid biomass,Methane,Methane,CO2 captured,Electricity,CO2 captured,Hydrogen,Methane,Electricity,Hydrogen,Electricity,Electricity,Electricity,Oil,Solid biomass,Electricity,Methane,Centralized heat,Decentralized heat,Solid biomass,Ammonia,Oil,Methane,Methane,Centralized heat,Electricity,Hydrogen,Electricity,Oil,Decentralized heat
sector,Industry,Shipping,Aviation,Industry,Industry,Industry,Industry,Industry,Industry,Agriculture,Agriculture,Agriculture,Shipping,Industry,Industry,Industry CC,Industry,CO2 sequestration,Methanol production,Methanol production,Methanol production,Hydrogen production CC,Residual electricity consumption,Ammonia production,Ammonia production,Compression losses,Decentral heat production,Transport,Central CHP production,Transport,Storage,Residential / Services heat consumption,Residential / Services heat consumption,Decentral heat production,Storage,Storage,Power supply,Decentral heat production,Storage charging,Hydroelectricity,Storage,Battery charging,Decentral heat production,Storage charging
2030-01-01 00:00:00,48.7983059361,45.9378054692048,83.871621355086,15.92351598173516,106.23287671240271,3.1598173515981736,8.226027397260275,0.30251141552545,144.47488584474883,5.7144931044690885,22.34338942225278,10.49743235957586,17.11967905682658,0.0810502283105022,47.59702346706384,77.13452183328357,28.638291080673383,22.845504087531907,4.723318115814889,4.323392319148339,19.838796142071253,46.010721922618615,145.52677870537065,4.273412163869375,0.9202497632574854,0.28487932563253693,102.46428074856208,47.7003500201622,81.71918464332323,57.3785329648961,77.63277849007787,69.25552310833416,420.7617497038698,39.89025395336823,0.5613476878101065,199.30658732390404,37.71886168724508,230.85436351809602,4.03824174380983,3.0847437855219524,0.0,1.9380669711938145,0.0170696073099892,21.74029695524018
2030-01-01 03:00:00,48.7983059361,45.9378054692048,83.871621355086,15.92351598173516,106.23287671240271,3.1598173515981736,8.226027397260275,0.30251141552545,144.47488584474883,5.7144931044690885,22.34338942225278,10.49743235957586,17.11967905682658,0.0810502283105022,47.59702346141428,77.13452186177372,28.638291055032237,22.845467848803953,4.723317553282529,4.323391804245884,19.838793779332914,46.01072191685884,111.0974639135748,3.1404447471764754,0.6762730633722939,0.2310566940822995,136.57408593993236,224.90689039607105,113.48136052497152,46.58250769070627,,112.71911337656223,681.5685372397552,40.49639886610345,0.0,0.0,44.48951558756759,400.8033261169602,0.187268895806982,0.019003013128933,0.5421554347743652,1.589107977499268,45.748173592159,1.304899302032706
2030-01-01 06:00:00,48.7983059361,45.9378054692048,83.871621355086,15.92351598173516,106.23287671240271,3.1598173515981736,8.226027397260275,0.30251141552545,144.47488584474883,5.7144931044690885,22.34338942225278,10.49743235957586,17.11967905682658,0.0810502283105022,47.59702346087682,77.13452187296139,28.638291044963346,22.84542940551933,4.723317701219273,4.323391939656747,19.838794400694177,46.01072195850845,111.72604918204428,3.998821077923105,0.861118471412734,0.2371907652792073,138.33539817376612,486.778128572773,114.21973751652678,50.92037289207885,,117.10784537018688,720.6119898875937,40.497070202536115,0.3222401636334834,,23.5827375078372,436.514464659447,0.0478240607285289,0.0,0.0,0.3817927921671823,63.07905121196344,0.04140432437597
2030-01-01 09:00:00,48.7983059361,45.9378054692048,83.871621355086,15.92351598173516,106.23287671240271,3.1598173515981736,8.226027397260275,0.30251141552545,144.47488584474883,5.7144931044690885,22.34338942225278,10.49743235957586,17.11967905682658,0.0810502283105022,47.5970234574539,77.13452190482175,28.638291016289024,22.84545094446422,4.723319361007336,4.323393458909694,19.838801372106264,46.01072196916746,141.1766469496965,4.273431803363635,0.9202539924867876,0.24766849253030532,136.67479288700227,399.921310295651,105.08293089393064,65.65878614844331,,103.84976882196013,637.9625023895514,40.4461664448118,0.5613647975962449,0.0,6.156976553372816e-05,372.0275326817398,0.0056580270267666,30.439454078258624,0.0,5.4439377091119,29.942574588100065,0.0576067836735614
2030-01-01 12:00:00,48.7983059361,45.9378054692048,83.871621355086,15.92351598173516,106.23287671240271,3.1598173515981736,8.226027397260275,0.30251141552545,144.47488584474883,5.7144931044690885,22.34338942225278,10.49743235957586,17.11967905682658,0.0810502283105022,47.59702345667267,77.1345219227862,28.63829100012101,22.845432127505173,4.723318443697374,4.323392619268842,19.838797519237392,46.010721913225986,148.57016761478343,4.273433824263824,0.920254427673671,0.247709053671687,129.75646858176714,460.747855896842,102.78027529807387,54.425467530650145,0.0,99.85569087281128,611.3101870380646,40.47949230333078,0.5613665849603713,0.0,1.4386794259665927,355.8335886171373,0.0416404712692652,17.21908808177963,0.0,4.28643110282202,20.28419127057331,0.0003455834549203
2030-01-01 15:00:00,48.7983059361,45.9378054692048,83.871621355086,15.92351598173516,106.23287671240271,3.1598173515981736,8.226027397260275,0.30251141552545,144.47488584474883,5.7144931044690885,22.34338942225278,10.49743235957586,17.11967905682658,0.0810502283105022,47.59702345856659,77.13452193133175,28.638290992430036,22.84544824492573,4.723317241718437,4.323391519062087,19.838792470706995,46.01072186256102,167.74688025942524,2.793681081225704,0.6015999054224281,0.2296798375796099,111.0762567304311,522.809525716662,110.1051933640967,16.59796812188875,,106.32387260702974,649.6074438144948,40.53209742751206,0.0,,49.14777390239026,394.1981324772971,0.0265964555759949,2.981248085547982,0.8889172337773565,0.000138066943016729,48.21182244834223,7.908777078724536e-05
2030-01-01 18:00:00,48.7983059361,45.9378054692048,83.871621355086,15.92351598173516,106.23287671240271,3.1598173515981736,8.226027397260275,0.30251141552545,144.47488584474883,5.7144931044690885,22.34338942225278,10.49743235957586,17.11967905682658,0.0810502283105022,47.597023459213034,77.13452194402917,28.638290981002346,22.84543564234704,4.7233153861222625,4.3233898205802035,19.838784676865185,46.01072179085165,172.3791363858398,2.793679082271502,0.6015994749614615,0.2298085530989081,108.69071789423717,252.001155332022,109.90130832271838,11.71041795582105,,104.87337309671578,645.8566076083174,40.4416310274591,0.0,0.0,48.83199570062839,398.44724213825333,0.4328951815918787,0.6902061378200166,0.8889254104860819,0.0001351769096396085,45.95928179859488,7.974625439364578e-05
2030-01-01 21:00:00,48.7983059361,45.9378054692048,83.871621355086,15.92351598173516,106.23287671240271,3.1598173515981736,8.226027397260275,0.30251141552545,144.47488584474883,5.7144931044690885,22.34338942225278,10.49743235957586,17.11967905682658,0.0810502283105022,47.59702345876418,77.13452195898033,28.638290967546297,22.845444961075422,4.723314171624892,4.323388708914955,19.838779575755083,46.01072170444185,161.62953418916422,2.789431591820384,0.6006848072598232,0.2357357704173823,83.70010463933436,99.67849292500148,89.83384288165593,31.661186640796,52.72479713026351,72.83778587017034,451.3760824538563,39.58758276283655,0.0,146.97377023601533,38.19989209288081,257.2966026373454,4.012871301368086,,0.8931777353710307,0.00016492625254716422,0.8503695099155624,0.2016751556959956
