country,sector,2023,2030,2035,2040,2045,2050
AL,Battery,9.450252059632152e-06,0.085219541349083,0.1034833781233971,0.1206068922260917,1.0206601284276025,1.0997462694584863
AL,Biomass CHP,0.0058235239455475,0.024034500311617,0.0306778865731531,0.0378131329026421,0.0454810075465047,0.0504250885646385
AL,Biomass CHP CC,4.01457098741575e-07,1.6197903203459582e-07,2.372324433299204e-07,2.97373576554647e-07,3.701643387208143e-07,6.676141044161274e-07
AL,Gas,2.041648072301439e-06,2.631871533891315e-06,3.840200029222845e-06,4.766563533988492e-06,5.248036821481734e-06,5.682820956884588e-06
AL,Gas CHP,2.564079237271384e-06,1.1325576130936323e-06,1.6858105869864549e-06,2.1399524137621004e-06,2.3651704218616243e-06,2.5783048427747234e-06
AL,Gas CHP CC,7.617727021498146e-07,4.831418888011088e-07,7.241805171234751e-07,9.240686099162724e-07,1.0668783880883388e-06,1.194138620116015e-06
AL,Hydroelectricity,1.7389,1.7389,1.7389,1.7389,1.7389,1.7389
AL,Oil,0.0898545430580946,0.0898554987223256,0.0898559447956115,0.0898563116029178,0.0898565089982216,0.0898566874839771
AL,Solar,0.162,2.364223591897001,2.829932510773766,3.5477186603457165,5.432345740517687,5.432346798753817
AT,Battery,9.460212442736072e-06,8.64012929163738e-06,1.3930474808347684e-05,2.070795957736197e-05,2.578952865934343e-05,2.351135566007247e-05
AT,Biomass CHP,0.7656783414817673,1.011295357981788,1.011296535130875,1.0112971854205892,1.021223419073876,1.0212237699330051
AT,Biomass CHP CC,6.754371452091579e-07,1.5946260064313537e-07,2.333379604670071e-07,2.929226139355765e-07,3.8406891442343267e-07,0.0422894486552349
AT,Gas,2.8192019991121273,2.8192025843147404,2.819203810969725,1.3170048056013173,0.8380053709231885,0.8380058779200578
AT,Gas CHP,2.4935002580471486e-06,1.1922021475326372e-06,1.7830382842458935e-06,2.277423760127286e-06,2.552461131396596e-06,2.8139738978099733e-06
AT,Gas CHP CC,7.691716893049073e-07,5.915511999733362e-07,8.524774378204612e-07,1.0803978728188227e-06,1.3254307135016391e-06,1.5120100382549117e-06
AT,Hydroelectricity,13.46042,13.46042,13.46042,13.46042,13.46042,13.46042
AT,Onwind,3.977236,3.9272378652474687,3.927239131150328,3.152021460642109,2.9614133296923772,1.4885167971852769
AT,Solar,6.832686,9.09018888963024,17.73240073520776,24.093867003473243,24.093868968498537,24.0718723206012
BA,Battery,9.357215647184516e-06,2.5097476554786258e-05,0.0502514767927431,0.1073291629479917,0.5121508308976089,1.023267716045973
BA,Biomass CHP,0.010811687042406,0.0482447041846946,0.0624417102336365,0.0778403363821185,0.0889729575007442,0.1043717606974585
BA,Biomass CHP CC,4.211686971647647e-07,1.6150611339418958e-07,2.3664250864915845e-07,2.970369275343981e-07,3.66805634398417e-07,8.672427872922996e-07
BA,Coal/Lignite,0.838,0.5690007100400838,0.3000010090121294,0.3000012462464752,0.3000013643323144,0.3000014775985754
BA,Gas,2.072056887694809e-06,2.596501271957894e-06,3.803287992038077e-06,4.737990441697891e-06,5.232986163548297e-06,5.67958457992267e-06
BA,Gas CHP,2.867635377043991e-06,1.108990243979907e-06,1.6658944444860442e-06,2.1207162680732523e-06,2.3653575427921755e-06,2.6010783805385587e-06
BA,Gas CHP CC,7.790094889209469e-07,4.875671767762277e-07,7.331582776077424e-07,9.349243969181396e-07,1.1360831117239898e-06,1.2893813372167217e-06
BA,Hydroelectricity,2.0545,2.0545,2.0545,2.0545,2.0545,2.0545
BA,Onwind,0.1347,0.1347011618953459,0.1347016220499816,0.134702142204724,0.1347024459170104,0.1347027446818475
BA,Solar,0.1237199999999999,1.560097111748919,3.776284058928727,5.318255603498566,6.038659849721837,8.060744075703166
BE,Battery,2.87850059053628e-05,2.5202603435225816e-05,4.018006376215893e-05,6.0136242561438994e-05,0.0002719360275803,0.0004361131358842
BE,Biomass CHP,0.3781039922181417,0.4746576922862771,0.4724705236483223,0.4924835195804943,0.4924840407956685,0.4924844959637928
BE,Biomass CHP CC,9.494896472983102e-07,4.707113389274119e-07,6.921948604179252e-07,8.772796209500653e-07,9.951177418637776e-07,1.1190119505525252e-06
BE,Gas,4.527305803048672,4.232307680718503,3.1425113252428147,1.949215468868704,1.4502179909322417,1.0640196760452416
BE,Gas CHP,6.842297511843754e-06,3.639062946817645e-06,5.477195880378856e-06,9.092091987862186e-06,1.0957566925962115e-05,1.22247620956865e-05
BE,Gas CHP CC,3.0327208253014614e-06,1.6399217516855734e-06,2.428996386397638e-06,3.3390514024443933e-06,1.5439273115643617,1.5439280434320626
BE,Hydroelectricity,1.400658999125907,1.400658999125907,1.400658999125907,1.400658999125907,1.400658999125907,1.400658999125907
BE,Nuclear,4.034,2.0560021616667816,2.0560032795358576,4.620398583625126e-06,5.477964339709396e-06,6.483685568048394e-06
BE,Offwind,1.7018922439931743,7.999999681006519,7.999999991120264,7.999999991266349,7.999999980463571,7.999999985338474
BE,Oil,0.1586,2.8117043868183763e-06,4.114025540037401e-06,5.385149325360032e-06,5.962182678429951e-06,6.480359175957156e-06
BE,Onwind,3.234166633914255,4.200001206644705,4.200023641217276,4.20000122281486,4.200001646150336,7.944262566069341
BE,Solar,9.89749,9.89763076120614,11.526373184775233,26.045048194084156,31.813036095171853,31.81306552591445
BG,Battery,9.333884837477338e-06,1.4898824461240464e-05,0.1301411867529824,0.4762597105474677,1.857473646407798,1.9958660866102476
BG,Biomass CHP,0.2798475277811666,0.5350989881672105,0.5350995930748507,0.5351000814836337,0.5351003040242421,0.5351005140540682
