snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
carrier,Methanol,Coal,Oil,Decentralized heat,Hydrogen,Oil,Methanol,Ammonia,Centralized heat,Electricity,Electricity,Oil,Decentralized heat,Oil,Solid biomass,Methane,Methane,Methane,Methane,CO2 captured,Electricity,CO2 captured,Hydrogen,Electricity,Electricity,Hydrogen,Electricity,Electricity,Oil,Hydrogen,Electricity,Centralized heat,Decentralized heat,Methane,Methanol,Electricity,Solid biomass,Solid biomass,Oil,Electricity,Methane,Ammonia,Centralized heat,Methane,Hydrogen,Electricity,Decentralized heat,Oil
sector,Industry,Industry,Shipping,Industry,Industry,Aviation,Shipping,Industry,Industry,Industry,Agriculture,Industry,Agriculture,Agriculture,Industry,Industry CC,Industry,Hydrogen production CC,Hydrogen production,CO2 sequestration,Methanol production,Methanol production,Methanol production,Residual electricity consumption,Ammonia production,Ammonia production,Compression losses,Decentral heat production,Transport,Transport,Hydrogen production,Residential / Services heat consumption,Residential / Services heat consumption,Storage,Storage,Transport,Central CHP production,Decentral heat production,Storage,Hydroelectricity,Decentral heat production,Storage,Storage charging,Power supply,Storage,Battery charging,Storage charging,Decentral heat production
2035-01-01 00:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794047951791,74.24772857360503,14.70444154597789,65.85916781910214,10.2448586346398,22.030815110680436,10.563331962323518,9.6689291618133,44.36791768902631,145.52677870537065,1.6870346672597432,7.834171499721347,0.3197852259875531,100.19348926638781,36.1421882845291,1.5043956544824524,19.54033260030122,77.50975073275974,391.6742607201402,68.569503018785,3.387080799102783,52.60240449683394,67.09959815194784,35.20467184411074,192.88681693315505,8.77694764557395,250.79356733782936,1.5592350935775323,4.322246902876471,27.274821065314026,7.491899351340637,0.0028545808080997687,26.49755432096504,0.00010163487633
2035-01-01 03:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794048048776,74.24773140840709,14.70443899465601,65.86288663222348,10.244868893341682,22.057260222289813,10.535606968237325,9.643551657367995,44.25146766549847,111.0974639135748,1.2288062772886807,5.706272255715005,0.2604569145033335,121.20747560812316,170.4102208000779,7.09321731248682,19.540367266977785,125.3313991812647,632.1024761217512,,3.2847561626434327,58.68695528864854,109.88595872178844,36.351368772815704,25.299126834869384,0.0,407.68068398176626,0.0,0.1637842742107683,26.915300783668634,4.15002898066041,0.0026229011401245504,0.4450009105185132,34.717480664300126
2035-01-01 06:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.797940478111904,74.2477334273617,14.704437177596866,65.87076544550649,10.244871177459755,22.07261127803915,10.520412973483584,9.629644146037018,44.18765012090118,111.72604918204428,1.445257185728107,6.711416708815843,0.26508247174748323,122.58492580337618,368.8280435725329,15.352233285760915,19.49362121175042,130.9838874145373,667.6659135593336,,3.2286796865463256,74.18645904579654,110.98094560573536,36.45885301460777,,0.0,443.56295179664386,0.5815627494928922,0.0237423760026596,1.9398108884273557,,0.0029532433715587403,3.060274409782191e-05,55.79040006649174
2035-01-01 09:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.797940475743,74.24773479349645,14.704435948075522,65.8707271119013,10.244871116282184,22.08921626183468,10.502247633803568,9.613016875097054,44.11135238656974,141.1766469496965,1.7038738598045349,7.912368542658827,0.3394474551528208,134.83604910545478,303.01730049313807,12.612902863169076,19.54037761156843,116.18111341325093,591.59176622197,,3.1616368675231934,118.26233535638772,95.28505842385697,35.742168528822205,0.0,31.115681276267654,383.1426321596583,1.6273237031423595,0.0698131748609833,2.8335287587381903e-05,0.0,7.689044624530849,4.8347718963525816e-05,14.824644338443855
2035-01-01 12:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794047495782,74.24773591346131,14.704434940107255,65.87069602121758,10.244871126627771,22.083359463278512,10.50863469669194,9.618863142055242,44.138179213703125,148.57016761478343,1.6766953699200668,7.786158361569774,0.3416414061970224,124.23001780152697,349.105106198748,14.531278532131552,19.54037710561194,111.60537813593564,567.1188746632538,0.0,3.185209600448609,90.93526527543656,96.71581002604952,35.63281213270219,0.0,25.813445121737686,363.20570847741163,1.5174228432197416,0.3035763544273899,2.885208606160672e-05,0.0,7.5527089852334655,0.2498445904243923,11.193846507452742
2035-01-01 15:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.797940476445625,74.2477368488286,14.704434098276728,65.87066935695556,10.244871385843163,22.079846974669525,10.51247088939989,9.622374522335305,44.154291921598,167.74688025942524,1.0045850846781552,4.665044525856827,0.2613801792027406,104.60820897144265,396.128756023858,16.488608118758467,18.904507727877288,118.67814476995844,602.4503075158391,,3.1993678369522094,32.149405788715676,106.51073169225424,36.01146276873268,,2.1985310285776296,399.85520561854764,0.0,0.1086357150902659,36.544022038268736,0.0,0.002420005510026224,3.562534687792609e-05,38.295755162126575
2035-01-01 18:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794047728035,74.24773768577319,14.70443334502654,65.87064384673687,10.244868577917408,22.03700793354596,10.559266137420735,9.66520759241554,44.35084048410005,172.3791363858398,0.9939868578554776,4.615828983264176,0.2558731285290783,104.1870062421338,190.9393369245737,7.947728745086376,18.90450725095184,117.39053394025264,598.8362812080419,,3.372075059890747,26.200743881797163,106.05683420134216,35.76055247284157,3.4966708884239197,,403.117639705508,0.0,0.1577908842826214,39.27272596342331,3.848461852481415,0.00011310236078689712,3.897536021554937e-05,35.18755605909813
2035-01-01 21:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794047741934,74.24773845650918,14.704432651364176,65.870594310808,10.244865348342634,22.03329160457347,10.563314901095088,9.668913545167934,44.36784602876025,161.62953418916422,0.9811719385164802,4.556319669196627,0.24997561328389728,93.19748338778848,75.5256273315626,3.1437063153259697,18.904503077353368,82.02263881496299,419.6055016251543,59.54598980344466,3.387017830848694,37.86033821092128,83.28180178925703,33.72161355324907,153.15321704912188,,255.49281873170312,0.0,4.3272008510695334,32.50709811439601,8.69494702099897,0.02736620408513435,0.2598082170583656,0.56443591346489
2035-01-02 00:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794047693092,74.24773917694928,14.704432002968096,65.87057562266303,10.244865274535991,22.03328801157199,10.56331480486507,9.668913457085768,44.36784562457667,137.63377906937745,0.7977135937965375,3.704384517250075,0.25657302014575734,90.59501601446098,36.1699943967687,1.505553066261124,18.874337713835533,79.15283020864975,394.5948681258216,69.39045143379946,3.387017475128174,51.824727648149704,84.94198201148589,35.1125538032403,192.8938947210312,,250.64839595150931,0.0,3.9498310980608062,28.11566367676836,11.16398247561164,0.03098544349020788,21.93823843662993,0.0012068878841968
2035-01-02 03:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794047575905,74.24773985036228,14.704431396896286,65.87056054710003,10.244869169220369,22.059347447015117,10.534843718489292,9.64285303237232,44.248261877578734,126.88958639339896,1.6934898975943908,7.864147991902139,0.2404253634122326,128.07825312556918,168.2579095464142,7.00362872223344,18.90449852475211,128.5363948805102,639.2165577964,,3.281939237594605,36.91960053413716,114.86206533844818,39.74803025842537,42.216180085182195,,429.13218490332173,1.585335826631388,0.0620786604925466,32.40117624323364,1.6467586261515543,0.0026414190993560398,6.537608095698507,18.66416127565433
2035-01-02 06:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794047375489,74.24774048268202,14.704430827808558,65.8705717553456,10.244871585350962,22.0748816353085,10.517873360898523,9.627319563767813,44.176983285613055,175.78368151648684,1.674650417364819,7.776662107973143,0.2563257514671785,117.65892177681552,370.013967286032,15.401596607846049,18.904504973637877,133.5681934398356,670.2126615205456,,3.219306739807129,25.67756206122167,115.0908691738402,39.84212946622212,,,462.130445286458,1.509153488331973,0.028191863370999,25.048389497811975,,0.003137652112645117,2.661143913011822e-05,36.0589615205686
2035-01-02 09:00:00,7.06621004566361,48.2372625571,32.81271819226191,0.0547945205479452,5.659817351598173,83.871621355086,28.53279842805388,5.262557077625571,12.463470319634704,162.18721461187215,5.7144931044690885,90.9246575342946,22.34338942225278,10.49743235957586,56.79794047199228,74.24774106241352,14.704430306050126,65.8705561030261,10.244871387725052,22.07239891531011,10.520577941150632,9.629795145806067,44.188343015141285,204.9763670688188,1.638940869603007,7.6108358053056735,0.2830031767309255,108.15317574130799,313.45418659717205,13.047331624860371,19.540372842805365,118.43790236286809,593.840324552864,,3.22928853225708,76.13031436755509,109.17538041238592,37.816686480203806,0.0,17.7259929897135,405.5613415435763,1.3647559907546205,0.0789673920084076,6.352608154378789,0.0,4.361118000948361,6.348379761573533e-05,13.357533124172583
