snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
carrier,Hydrogen,Oil,Centralized heat,Decentralized heat,Oil,Methanol,Methanol,Oil,Oil,Electricity,Electricity,Solid biomass,Methane,Methane,Methane,CO2 captured,Methane,Electricity,Electricity,Hydrogen,Oil,Electricity,Decentralized heat,Centralized heat,Methane,Solid biomass,Methane,Electricity,Methane,Centralized heat,Oil,Decentralized heat
sector,Industry,Agriculture,Industry,Agriculture,Aviation,Industry,Shipping,Industry,Shipping,Agriculture,Industry,Industry,Industry CC,Industry,Hydrogen production CC,CO2 sequestration,Hydrogen production,Residual electricity consumption,Decentral heat production,Transport,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Decentral heat production,Central CHP production,Storage,Hydroelectricity,Power supply,Storage charging,Decentral heat production,Storage charging
2035-01-01 00:00:00,0.3047945205479452,0.23557372544599,0.3801369863013699,0.8042242257195091,2.253583391852,0.5308219178082,4.83033368843945,7.210045662098,5.554883741695831,0.1702536780122392,6.555936073059361,1.8595887041992472,2.330673945020727,1.659242764700398,0.6786492123344143,0.7633294757350081,0.0944684872751484,2.9598699239608504,3.720943871183688,0.0420796217292159,1.0109372537386,1.9822464542571925,10.546962658632689,1.853314358961476,6.077355534917592,0.026013224530353,8.525485550335507,1.8014030594131628e-06,1.4885422929283878e-06,1.312390811010715e-06,1.0489664840742975e-06,3.6444291043036455e-06
2035-01-01 03:00:00,0.3047945205479452,0.23557372544599,0.3801369863013699,0.8042242257195091,2.253583391852,0.5308219178082,4.83033368843945,7.210045662098,5.554883741695831,0.1702536780122392,6.555936073059361,1.8595887042292771,2.3306739174957496,1.6592427894728774,0.6786495222255441,0.7633657902621329,0.0944688029768252,2.340146192970142,4.262368224332577,0.2098514037897126,5.0415520178799005,2.060537691729902,17.208458283824395,3.023788948874266,12.740247989079474,1.0446804079085643,0.0,0.0,1.982690819818918e-06,2.05550194649451e-06,1.0534022202625393e-06,3.5006922739269145e-06
2035-01-01 06:00:00,0.3047945205479452,0.23557372544599,0.3801369863013699,0.8042242257195091,2.253583391852,0.5308219178082,4.83033368843945,7.210045662098,5.554883741695831,0.1702536780122392,6.555936073059361,1.8595887040642132,2.330673933703705,1.659242774885718,0.6786495882138471,0.7633670035056913,0.094468875596192,2.299687979988593,4.197691504403543,0.4449267846912496,10.689094705385,2.165674271270243,17.797853208952073,3.127350047158467,13.518124032230356,1.0463322603887966,0.0,0.0,1.9960448255332575e-06,1.512854991318753e-06,1.057996020818171e-06,3.4783821231209564e-06
2035-01-01 09:00:00,0.3047945205479452,0.23557372544599,0.3801369863013699,0.8042242257195091,2.253583391852,0.5308219178082,4.83033368843945,7.210045662098,5.554883741695831,0.1702536780122392,6.555936073059361,1.859588703923085,2.3306739436034496,1.659242765975948,0.6786495136767535,0.763367067377855,0.094468788122794,2.8495359563595635,4.1880949738938735,0.366279064648254,8.799631187287,1.9349192363270669,15.705548111899107,2.75971640089566,11.83128176350035,0.0542461563547037,2.979415416246323,4.318862937547875e-06,1.681366725965035e-06,1.524852109177857e-06,1.064476171549654e-06,3.473679328157801e-06
2035-01-01 12:00:00,0.3047945205479452,0.23557372544599,0.3801369863013699,0.8042242257195091,2.253583391852,0.5308219178082,4.83033368843945,7.210045662098,5.554883741695831,0.1702536780122392,6.555936073059361,1.8595887038106351,2.330673951015409,1.6592427593051835,0.6786495846438753,0.7633672746512117,0.0944688678951821,2.913544779351474,3.9581312842238434,0.4315053893155804,10.366653865262,2.227955794166475,15.038158357026813,2.6424510326515818,11.29366192630796,0.0518308959875036,3.48255169548297,5.394710862945404e-06,1.6824999965094066e-06,1.5168417709367502e-06,1.0633988003150545e-06,3.570806691280697e-06
2035-01-01 15:00:00,0.3047945205479452,0.23557372544599,0.3801369863013699,0.8042242257195091,2.253583391852,0.5308219178082,4.83033368843945,7.210045662098,5.554883741695831,0.1702536780122392,6.555936073059361,1.85958870394204,2.330673953595332,1.6592427569832535,0.6786496022845847,0.7633678358823403,0.0944688842495871,3.197667795474551,4.30381155761323,0.4930343144521472,11.844848774035,1.1765634910871097,15.96352984951405,2.8050457261059094,11.509628327353436,1.040627707988488,0.0,,1.996045773641408e-06,1.890870305163792e-06,1.061548967732404e-06,3.447998913347409e-06
2035-01-01 18:00:00,0.3047945205479452,0.23557372544599,0.3801369863013699,0.8042242257195091,2.253583391852,0.5308219178082,4.83033368843945,7.210045662098,5.554883741695831,0.1702536780122392,6.555936073059361,1.8595887040004688,2.330673960767505,1.6592427505282976,0.6786495357215578,0.76336785056011,0.0944688128296926,3.3053704467300733,4.282486226613333,0.2269191654834794,5.451594585392701,1.075195938414287,15.790144852977098,2.774580689601049,11.506823856565182,1.0403833205641828,0.0,0.0,1.999896875598443e-06,1.861652274567227e-06,1.0612008801922129e-06,3.415258262358189e-06
2035-01-01 21:00:00,0.3047945205479452,0.23557372544599,0.3801369863013699,0.8042242257195091,2.253583391852,0.5308219178082,4.83033368843945,7.210045662098,5.554883741695831,0.1702536780122392,6.555936073059361,1.8595887040140568,2.3306739688091542,1.659242743290814,0.6786492120238932,0.7633672257029851,0.0944684810733633,3.550922618873349,4.255825538906947,0.0900003875170531,2.162204431812,0.8563048662912547,10.993438624052718,1.931763532597166,5.901234284059555,0.970078406399514,1.3858987849718356,0.0,1.994094812670798e-06,1.8322798397593731e-06,1.0603769451793583e-06,3.5010243088375437e-06
