country,carrier,2023,2030,2035,2040,2045,2050
AL,BEV charger,0.8731328840120118,2.9643400383123857,5.537926162483593,8.1115122866548,9.391568212289696,10.671624137924589
AL,air heat pump,0.0001321348213434,0.053094915546735,0.0530986509468138,0.0531000338070274,0.0641305962047029,0.0717989478401058
AL,battery charger,5.346596179516413e-06,3.7163890416250337e-06,5.293677732922581e-06,6.003297888613234e-06,7.251221358197171e-06,4.376148901779628e-06
AL,ground heat pump,0.0182492346479136,0.0492147259344554,0.0492166576868326,0.0492181821432495,0.0687288413757243,0.0765268579660135
AL,home battery charger,4.103655880116743e-06,0.0607016983444163,0.0789639225790524,0.0949450343908978,0.9499618775074476,1.0248804813339665
AL,hydro,1.6907,1.6907,1.6907,1.6907,1.6907,1.6907
AL,water tanks charger,0.0114911607164291,0.4784797533700952,0.4623797267150839,0.5158336970603884,0.5522714871989404,0.5751552061357446
AT,BEV charger,3.3844086144,11.49027616,21.465925008,31.441573856,36.403284016,41.364994176
AT,PHS,5.057300000000001,5.057300000000001,5.057300000000001,5.057300000000001,5.057300000000001,5.057300000000001
AT,air heat pump,0.2011782938310322,0.7736533227340546,0.8228670868564764,0.8773250303228157,1.347826948688347,1.9599783330081433
AT,battery charger,5.353782296727866e-06,3.761529388842226e-06,5.358100922850032e-06,6.052062966744324e-06,7.205879641131906e-06,4.185871225654984e-06
AT,ground heat pump,0.2692519035377005,0.734499163008031,0.7345001096405539,0.7611967168131263,0.906650298519624,1.1127188433074315
AT,home battery charger,4.106430146009212e-06,4.973694752180495e-06,8.068436353771907e-06,1.0374620906692612e-05,1.4779369892113228e-05,1.3907103864870747e-05
AT,hydro,3.6006199999999997,3.6006199999999997,3.6006199999999997,3.6006199999999997,3.6006199999999997,3.6006199999999997
AT,water tanks charger,2.299493624592365,5.227169473120403,4.806254864880694,5.811304761488187,6.384251003561811,7.112463948652889
BA,BEV charger,1.168301899070341,3.9664570647449864,7.410062970955406,10.853668877165829,12.566457155123889,14.27924543308195
BA,PHS,0.44,0.44,0.44,0.44,0.44,0.44
BA,air heat pump,2.2138620900486354e-06,0.1083517758102044,0.1083551441408124,0.1083560256479842,0.1297357608570376,0.1834086511233974
BA,battery charger,5.295605999242085e-06,3.6776461953082e-06,5.23223229522305e-06,5.9289184745132825e-06,7.1410528935491215e-06,4.280984392805878e-06
BA,ground heat pump,0.06164064413324,0.1828858297488187,0.1828874097587546,0.1828880193098956,0.2426780146207646,0.287857227123608
BA,home battery charger,4.061609647943428e-06,2.3975065923538702e-05,0.0479658053530735,0.0993348540326998,0.2846796299131892,0.9129274567163992
BA,hydro,1.6145,1.6145,1.6145,1.6145,1.6145,1.6145
BA,water tanks charger,0.030131526224174,0.8481534072548225,0.855831211761503,0.9072857012937794,1.000549087352498,1.0789055680696142
BE,BEV charger,4.008487111199999,13.609061179999998,25.424200658999993,37.239340138,43.11598019299999,48.992620247999994
BE,PHS,1.308,1.308,1.308,1.308,1.308,1.308
BE,air heat pump,8.776409320457014e-06,2.6435626796104863,2.784168305871397,2.8131122529814174,3.864841800253623,4.928817717183389
BE,battery charger,1.632601741710578e-05,1.1094924381581162e-05,1.5611414151129454e-05,1.7607020730718916e-05,2.1137129529236208e-05,1.2420858433822998e-05
BE,ground heat pump,0.2402828353249567,0.3549956532728645,0.3550041792048223,0.3652225406916404,0.4034071982691048,0.424008125877307
BE,home battery charger,1.2458988488260088e-05,1.456316301645932e-05,2.33076642360645e-05,2.9973879925619065e-05,5.046449820739904e-05,7.598658330324952e-05
BE,hydro,0.0127828025477706,0.0127828025477706,0.0127828025477706,0.0127828025477706,0.0127828025477706,0.0127828025477706
BE,water tanks charger,0.652173952530561,14.39762696262341,11.529993708049734,14.65808041850427,16.283803374264416,21.148569343287335
BG,BEV charger,2.2619446344,7.67944166,14.346593283,21.013744906,24.329867441,27.645989976
BG,PHS,0.864,0.864,0.864,0.864,0.864,0.864
BG,air heat pump,0.2822074064948888,0.1402926655111749,0.1404142878651746,0.1403945493185827,0.1403953934381685,0.1604917076221889
BG,battery charger,5.275864967552328e-06,3.861885876394997e-06,5.629039972018485e-06,6.369904673217618e-06,7.621257547478588e-06,4.637359795152059e-06
BG,ground heat pump,0.0836614049738583,0.1038782073735962,0.1041888863946749,0.1095289191273542,0.1095295189939334,0.1259749412288694
BG,home battery charger,4.0580198699260034e-06,1.1734841076437062e-05,0.1106627016453197,0.4895261406032019,1.8116783736711557,1.8127066508626153
BG,hydro,1.92514,1.92514,1.92514,1.92514,1.92514,1.92514
BG,water tanks charger,0.9582015308710417,3.1102183519337796,2.982288566783641,3.248791773779594,2.485137527027834,2.715090597168565
CH,BEV charger,3.1777115831999994,10.78852698,20.154929948999996,29.521332917999995,34.180015023,38.838697128
CH,PHS,5.08955,5.08955,5.08955,5.08955,5.08955,5.08955
CH,air heat pump,0.2794137398219699,1.3841655163598507,1.3841676271761498,1.2644694162771766,1.7188520083998065,2.314674556312671
CH,battery charger,5.454841944665948e-06,3.824256333474862e-06,5.436985167183895e-06,6.143168182902075e-06,7.290516770774944e-06,4.171753623087925e-06
CH,ground heat pump,0.2122511817817875,0.4959696780567476,0.495970837275052,0.4509518847430108,0.5792334370846725,0.6704981671120838
CH,home battery charger,4.1641374098918835e-06,5.049002753066205e-06,8.205546539117252e-06,1.0643891377383145e-05,1.4903359762411982e-05,1.3007885346474072e-05
CH,hydro,9.91631,9.91631,9.91631,9.91631,9.91631,9.91631
CH,water tanks charger,0.20718937316112,7.668031188069617,7.0920831643942375,7.483044337829871,9.330436922384903,11.905021715331088
