country,sector,2023,2030,2035,2040,2045,2050
AL,Battery,9.450252059632152e-06,0.0607054147334268,0.0789692162567449,0.0949510376887377,0.9499691287283188,1.024884857482343
AL,Biomass CHP,0.0058235239455475,0.0245769451658504,0.0313217106445282,0.0380595849964076,0.0458047187681088,0.0532043881687709
AL,Biomass CHP CC,4.01457098741575e-07,1.8378964189490984e-07,2.561703446341736e-07,2.8139998611658076e-07,3.481799625893132e-07,4.65068870295185e-07
AL,Gas,2.041648072301439e-06,2.812328812459565e-06,3.955352666601147e-06,4.398739931141232e-06,5.177893002308379e-06,5.556866225961693e-06
AL,Gas CHP,2.564079237271384e-06,1.1734873163116486e-06,1.6788283241709998e-06,1.8937126771771348e-06,2.2300685260116116e-06,2.4185250835324964e-06
AL,Gas CHP CC,7.617727021498146e-07,5.38743111730561e-07,7.770652954619072e-07,8.766100181037702e-07,1.210464585596304e-06,1.3183868216622998e-06
AL,Hydroelectricity,1.7389,1.7389,1.7389,1.7389,1.7389,1.7389
AL,Oil,0.0898545430580946,0.0898555163006019,0.0898559192720017,0.0898560828673563,0.0898563452234982,0.089856494253643
AL,Solar,0.162,2.3139317305884775,2.95144439818634,3.642041618076356,5.432346238576376,5.432347159566171
AT,Battery,9.460212442736072e-06,8.735224141018244e-06,1.3426537276615055e-05,1.6426683873428517e-05,2.1985249533233862e-05,1.809297509051646e-05
AT,Biomass CHP,0.7656783414817673,1.0010547804279537,1.0010559850169576,1.0010562616984744,1.001057594772394,1.0010581132552752
AT,Biomass CHP CC,6.754371452091579e-07,1.8101396049148946e-07,2.5127417606046657e-07,2.759359329895314e-07,3.424886623661414e-07,5.744863261389851e-07
AT,Gas,2.8192019991121273,2.8192027507748483,2.8192039323169813,1.3170044376852352,0.8380054478211143,0.8380059054968118
AT,Gas CHP,2.4935002580471486e-06,1.2761218234921605e-06,1.8315094915682551e-06,2.087907166173161e-06,2.4927199279306273e-06,2.757140316762662e-06
AT,Gas CHP CC,7.691716893049073e-07,6.69289763349829e-07,9.380234927540844e-07,1.0785413174214395e-06,0.0676608278334634,0.0676610365568283
AT,Hydroelectricity,13.46042,13.46042,13.46042,13.46042,13.46042,13.46042
AT,Onwind,3.977236,3.927238412144864,3.92723910621397,3.1520205253052582,2.9614125455991855,1.4885156952310603
AT,Solar,6.832686,8.955549686449865,19.32604091542377,24.09386633084197,24.0938684075954,24.071870935870113
BA,Battery,9.357215647184516e-06,2.7652712118832732e-05,0.0479710375853441,0.0993407829511234,0.2846867709659368,0.912931737700324
BA,Biomass CHP,0.010811687042406,0.0486747186773831,0.0628264405737462,0.0790560071697143,0.095277574695963,0.1096383119419953
BA,Biomass CHP CC,4.211686971647647e-07,1.8319848915181562e-07,2.551564835342662e-07,2.805865373664742e-07,3.480020706478404e-07,4.684626304449257e-07
BA,Coal/Lignite,0.838,0.5690007606377968,0.3000010324218559,0.3000011310132495,0.3000012954649937,0.3000013837517629
BA,Gas,2.072056887694809e-06,2.806402672416537e-06,3.946648678663566e-06,4.395043426066805e-06,5.2126972195467406e-06,5.603465067623566e-06
BA,Gas CHP,2.867635377043991e-06,1.1692861262520413e-06,1.6775952170517609e-06,1.8949854174634816e-06,2.2416233876422603e-06,2.448247967486137e-06
BA,Gas CHP CC,7.790094889209469e-07,5.447270438191258e-07,7.882203145022858e-07,8.887009528860958e-07,1.407882522228089e-06,1.5387716546800094e-06
BA,Hydroelectricity,2.0545,2.0545,2.0545,2.0545,2.0545,2.0545
BA,Onwind,0.1347,0.1347010170791021,0.1347013129319185,0.1347014944521601,0.1347019073930592,0.1347021899553658
BA,Solar,0.1237199999999999,1.8016844378119503,4.135569808175804,5.318263515009111,5.604502172121956,8.060743600706912
BE,Battery,2.87850059053628e-05,2.565808739802733e-05,3.891907838717401e-05,4.75809006563136e-05,7.160162773659856e-05,8.840744173702719e-05
BE,Biomass CHP,0.3781039922181417,0.4756230437695466,0.4744737465111265,0.5249767544399189,0.5249773846388103,0.5249777674489439
BE,Biomass CHP CC,9.494896472983102e-07,5.348209278003343e-07,7.493735622967477e-07,8.275286458554933e-07,9.63403654758447e-07,1.057421685174786e-06
BE,Gas,4.527305803048672,4.232308241160265,3.1425117615070675,1.9492141822134823,1.4502192788255643,1.064020865455476
BE,Gas CHP,6.842297511843754e-06,3.8490856753772904e-06,5.646092420341885e-06,8.59328897506655e-06,1.085037649123178e-05,1.227614970588002e-05
BE,Gas CHP CC,3.0327208253014614e-06,1.836063731438364e-06,2.6793570587677862e-06,3.4364112653593977e-06,2.6790229556086462,2.679023726985104
BE,Hydroelectricity,1.400658999125907,1.400658999125907,1.400658999125907,1.400658999125907,1.400658999125907,1.400658999125907
BE,Nuclear,4.034,2.0560021586213355,2.056003168358242,3.65300859095524e-06,4.796811227592193e-06,5.479119335943214e-06
BE,Offwind,1.7018922439931743,7.999999626802983,7.9999999820313485,7.999999982535915,7.999999985643426,7.999999958852292
BE,Oil,0.1586,2.829633990670636e-06,3.995283406652497e-06,4.590644708145931e-06,5.352199309394018e-06,5.7833787137986315e-06
BE,Onwind,3.234166633914255,4.20000140843193,4.20002291159972,4.200000159948868,4.200001124360818,6.2157171368840665
BE,Solar,9.89749,9.897680962753062,11.639186055549631,25.488699650244424,31.66151137490212,31.81304321821376
BG,Battery,9.333884837477338e-06,1.5596726952824063e-05,0.110668330685235,0.4895325105076242,1.8116859949277744,1.812711288221481
BG,Biomass CHP,0.2798475277811666,0.5388359337657097,0.5388365639996798,0.5388367596372978,0.5388370130946888,0.5388372062950617
