country,carrier,2023,2030,2035,2040,2045,2050
AL,BEV charger,131.3534577533287,445.95308566628336,833.1214461900989,1220.289806675841,1412.8604572432544,1605.4311077695688
AL,air heat pump,3.2852528507384817,906.8524734878874,900.0824879984862,885.5053115593254,1001.86380583967,1069.5234285065087
AL,battery charger,0.0141184166216737,0.0095596547710986,0.0110172298421051,0.0116154214813078,0.0142476729284499,0.0108915131842584
AL,ground heat pump,563.158258385918,1098.1611310205317,1103.887136862523,1105.156223773089,1336.9552988341893,1401.1928995028948
AL,home battery charger,0.0117485910052256,55.770179519871306,77.75089855036157,165.07157541811725,1792.1098447702332,1888.0789293677688
AL,hydro,5434.474794581369,5434.456402441766,5434.398131083263,5433.137087284491,5434.4524529430955,5434.469476082774
AL,water tanks charger,28.90649526420671,141.06030876961498,196.0374799305013,278.0711107434895,307.0929045638336,308.80757744386096
AT,BEV charger,1585.6578535420135,5383.406281319942,10057.181734307293,14730.95718731375,17055.609899618332,19380.262611862956
AT,PHS,140.4716091742048,8388.028073708472,12442.342344027003,11889.414196962534,12695.07604794967,11159.533080758689
AT,air heat pump,3976.8435298374,14195.321193617625,15034.511375646818,15775.411584000643,21204.629414026,27014.649863269613
AT,battery charger,0.0141625278529296,0.0099508126145643,0.0108102031119147,0.0107309215138812,0.0119501274391916,0.0086906255267433
AT,ground heat pump,7733.215068762809,17577.80286727576,17531.931388253008,17863.405254729725,19816.943608502475,21801.387513643665
AT,home battery charger,0.0115969332739514,0.0114922997762973,0.0131057730170018,0.0135229103367117,0.0173491994827709,0.0165383965424374
AT,hydro,15478.715644220829,15478.715875516777,15478.716725941456,15478.716893993093,15478.71679820947,15478.716862425748
AT,water tanks charger,1853.1105154724703,1014.0423382248224,1444.110904347149,2078.244207373817,2508.6429948937734,2968.1953693305645
BA,BEV charger,219.36901710611127,744.7713427209038,1391.368280972944,2037.965219182443,2359.5710262092593,2681.176833193481
BA,air heat pump,0.0303777874979675,1907.3979160433169,1884.911577745134,1843.4645105293455,2084.263182473313,2598.716130224026
BA,battery charger,0.0136733656705731,0.0093884087624495,0.010600996594057,0.0109831479645737,0.0134893126452771,0.0103999940877586
BA,ground heat pump,1911.362227829242,4045.474216375733,4052.4588069347105,4044.4866448616494,4754.905605326267,5163.440336079443
BA,home battery charger,0.0113532412721112,0.0310109805587413,48.319911464626266,136.24059780545215,473.72004470653064,1445.4133121943107
BA,hydro,6447.598800410049,6447.598887097387,6447.599607642717,6447.599836742557,6447.599808587454,6447.599805002163
BA,water tanks charger,74.59603307293716,266.4469941588874,358.97427743042624,500.8015560014567,499.3378961101648,566.3290851176365
BE,BEV charger,1898.774354269097,6446.4561059532125,12043.152088325489,17639.848070731703,20423.545025449366,23207.24198007368
