country,hydro,ror,offwind,onwind,solar
AL,1.6907,0.0482,8.13438059095523,67.49186156512862,60.38944095578613
AT,3.6006199999999997,4.8025,0.0,139.64127430008062,197.91409775736443
BA,1.6145,0.0,0.0,140.8267144179412,100.10445041788934
BE,0.0127828025477706,0.0798761965781364,10.14353449235235,14.716817731360202,127.37542158196476
BG,1.92514,0.1104,4.316961742087097,145.57953550030635,256.0653686230104
CH,9.91631,4.4508,0.0,76.71433786350546,143.14735996379682
CZ,0.0,0.0,0.0,104.28033985794764,233.02001283304517
DE,0.2895,2.77560335,81.41668828717911,489.8363960333327,1261.7840293161512
DK,0.0,0.0,141.30957969737293,73.47226227257009,152.2166045520199
EE,0.0,0.0,51.256976085671745,93.64260048710904,64.33599771376943
ES,14.975837,0.2770082474999999,29.50005937058804,932.0573671758688,1213.942770999474
FI,1.2959,1.45173,189.83884708108417,718.1633603247225,110.08531091777378
FR,8.329492993630572,6.6443491494216635,87.0366252675494,954.028719887588,1816.7853556680705
GB,0.2283,8.787,300.8604370666769,434.5852360109788,990.7664883658432
GR,2.566,0.1031,60.86989991577059,208.17603435604093,228.18890714040475
HR,1.864404458598726,0.2731677302916768,35.12461011367717,74.22371503669399,90.72360034537394
HU,0.028,0.0197,0.0,137.1695270395308,324.74405517648046
IE,0.001,0.216,42.553203504873025,140.8885491448598,229.19327163333296
IT,4.0029,7.49649,138.7341942410227,522.452937402876,938.917241948828
LT,0.0,0.101,5.284790261606907,128.36466773448467,182.63125278117943
LU,0.0,0.0308999999999999,0.0,2.9526016115730904,8.555897839327175
LV,0.0,1.5360999999999998,32.56123365732193,149.6514890242207,123.9280473913227
ME,0.344961,0.00536,1.770832758489399,37.722184998588425,16.79341517035503
MK,0.0,0.0,0.0,66.67675384886967,56.45508074972012
NL,0.0,0.0,162.32661095918394,46.32658810776088,175.55604661783929
NO,28.295874200000007,0.8925,113.99468138888048,730.8154077415429,306.778889907276
PL,0.1401019108280254,0.182400368779544,25.646313612036906,421.8260672766178,960.8452120497568
PT,0.8814000000000001,2.5578000000000003,13.426496819496272,160.99410545338446,162.78967127004154
RO,4.44994,3.4974499999999997,8.350761241079098,325.0143816900593,703.3015156656198
RS,0.7901,1.7084,0.0,209.91963868308451,236.2417438101695
SE,10.78418662493251,1.279,211.24853081496724,935.9335077385092,211.3628215514926
SI,0.118,0.912275,0.4420636542416518,28.734069062090324,29.876436472525604
SK,0.2419,1.21466,0.0,52.21555965475612,113.185024937007
