snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
carrier,Oil,H2,Coal,Oil,Oil,Electricity,Centralized heat,Decentralized heat,Electricity,Decentralized heat,Methanol,Oil,Solid biomass,Methane,Electricity,H2,Methane,Electricity,H2,Electricity,Electricity,Electricity,Oil,Electricity,Solid biomass,Solid biomass,Centralized heat,Decentralized heat,Electricity,Li ion,Methane,Electricity,NH3,Methane,Centralized heat,Electricity,H2,Oil,Decentralized heat
sector,Industry,Industry,Industry,Shipping,Aviation,Industry,Industry,Industry,Agriculture,Agriculture,Shipping,Agriculture,Industry,Industry,Methanol production,Methanol production,Hydrogen production,Ammonia production,Ammonia,Residual,Heat,Hydrogen production,Transport,Transmission losses,Biomass CHP,Heat,Residential / Services Heat,Heat,Transport,Storage ,Heat,Hydroelectricity,Storage ,Power supply,Storage charging,Battery charging,Storage ,Heat,Storage charging
2030-01-01 00:00:00,94.1735159817316,8.48972602739726,48.1839178082,43.5974566248028,83.871621355086,140.63470319634703,15.054794520547944,0.0730593607305936,5.7144931044690885,22.34338942225278,16.247499363260683,10.49743235957586,47.51141669452113,108.50434246138781,4.405284929016199,18.502998847752455,44.19900994525279,0.8437062199673342,3.917962891267637,150.02758402113164,57.99332850125702,0.3571462995513291,52.0235736940223,0.10810014768181041,84.78046201051217,19.961470072257907,106.76347376181222,388.14733067996434,25.124318599512996,19.128034063586625,363.0061336726702,8.725595850195349,0.2518153419033406,29.68093818744042,5.612639151373577,1.34559763689586,0.0,0.3461145603236547,28.006927912072246
2030-01-01 03:00:00,94.1735159817316,8.48972602739726,48.1839178082,43.5974566248028,83.871621355086,140.63470319634703,15.054794520547944,0.0730593607305936,5.7144931044690885,22.34338942225278,16.247499363260683,10.49743235957586,47.51141669425264,108.50434246214189,4.405284319493232,18.502996287645015,44.1990098616726,0.8314055977315223,3.860841845672786,114.53342203092257,79.37755286876269,0.3571460493199588,245.489680008452,0.1078207519784701,120.86982305754908,20.236228457053087,173.30666995922323,628.8858483854876,36.94672390842309,24.965744040970804,536.0168898760821,3.4683517428958712,0.2020756838553061,33.25256891807177,0.5743874705341936,1.4127042376194172,0.0,40.57671145242132,3.058932572025563
2030-01-01 06:00:00,94.1735159817316,8.48972602739726,48.1839178082,43.5974566248028,83.871621355086,140.63470319634703,15.054794520547944,0.0730593607305936,5.7144931044690885,22.34338942225278,16.247499363260683,10.49743235957586,47.511416694475855,108.50434246447935,4.4052842604093785,18.502996039482067,44.19900986117006,0.8316913424365651,3.8621687733689902,115.1814444436234,94.34119528915092,0.3571469508695622,530.860988911418,0.0722998922616308,128.3564895850229,20.236233492918743,181.2468768855659,664.8411579802533,39.057399574833155,7.606320692864143,559.5189318813993,2.1317931610431673,0.2032311412901836,17.62281587851423,0.0443595606179909,3.3515107248570146,0.0,54.14177988162366,6.682344058107257e-05
2030-01-01 09:00:00,94.1735159817316,8.48972602739726,48.1839178082,43.5974566248028,83.871621355086,140.63470319634703,15.054794520547944,0.0730593607305936,5.7144931044690885,22.34338942225278,16.247499363260683,10.49743235957586,47.51141669511095,108.50434246780327,4.40528524087719,18.503000157625408,44.19900998039017,0.8355008030425479,3.879858965685653,145.54289072737146,94.16867510754787,0.3571501685136713,436.10711472451106,0.1291778653628634,70.58431443025151,20.22462452067614,160.62944847073507,588.590821921381,55.94432933903417,24.193228051903855,527.0554463837166,29.38896986740432,0.2186353106242604,6.70236412717679e-05,9.293910027116537e-05,19.84510372105487,0.0,23.892948590091333,0.0896282867927962
2030-01-01 12:00:00,94.1735159817316,8.48972602739726,48.1839178082,43.5974566248028,83.871621355086,140.63470319634703,15.054794520547944,0.0730593607305936,5.7144931044690885,22.34338942225278,16.247499363260683,10.49743235957586,47.51141669554144,108.5043424712047,4.405282287949487,18.502987754791366,44.19900988002687,0.8451025876470281,3.9244472772092487,153.16507831325453,88.56842202582538,0.3571469275752713,502.485519937753,0.0947234039460792,96.23881134901453,20.221020758594545,154.24590789335005,564.0162118496648,42.81143322550098,11.567564667508185,488.357701965837,24.704214933761072,0.2574617890935987,4.505079212184256,0.0044412263432247,15.155183446289916,0.0,17.06761610574671,0.5300871599704046
2030-01-01 15:00:00,94.1735159817316,8.48972602739726,48.1839178082,43.5974566248028,83.871621355086,140.63470319634703,15.054794520547944,0.0730593607305936,5.7144931044690885,22.34338942225278,16.247499363260683,10.49743235957586,47.51141669594698,108.50434247476426,4.405278863521586,18.502973371570636,44.199009703204624,0.8321884984846744,3.864477443023859,172.93488027893156,59.37975681814115,0.3571391344393884,570.059350398653,0.0820409638651712,113.19217173499192,20.23622506131846,164.0835743584062,599.3836266013843,9.922459890239264,,527.5856969619405,4.559535600686256,0.2052415066722169,33.10275333193022,0.0172081239298474,0.32878943571482055,0.0,45.946527148196346,0.0159568605013424
2030-01-01 18:00:00,94.1735159817316,8.48972602739726,48.1839178082,43.5974566248028,83.871621355086,140.63470319634703,15.054794520547944,0.0730593607305936,5.7144931044690885,22.34338942225278,16.247499363260683,10.49743235957586,47.51141669620729,108.50434247823347,4.40527770818805,18.502968518959417,44.19900945503889,0.8328558289737273,3.867576360668939,177.71040062020975,58.024415272782015,0.3571358977682584,274.666168190179,0.07255902040205821,119.23840077518534,20.184272367675856,162.31991699511482,595.9050917113262,6.88423074521009,,525.6913155175504,,0.2079400269968173,32.84960612284485,0.7178136761055746,0.3458271138624109,0.0,43.22120883843725,8.397443885290172e-05
2030-01-01 21:00:00,94.1735159817316,8.48972602739726,48.1839178082,43.5974566248028,83.871621355086,140.63470319634703,15.054794520547944,0.0730593607305936,5.7144931044690885,22.34338942225278,16.247499363260683,10.49743235957586,47.511416696520286,108.5043424817017,4.405280870740915,18.502981802257302,44.199007274294566,0.7942673258313372,3.688380901676942,166.62835694492227,52.76921422351382,0.357134534046279,108.6436095709671,0.0724636567357613,110.34210986409153,19.65664817072756,113.09503338496324,416.371066478433,15.438135833833565,5.115084782790789,354.6326972766198,,0.051901258265505,32.507990265574215,5.203433715886516,1.2704617948177854,0.0589983246347698,0.5030284423079975,0.2274283041439529
