config,cost_segment,capital,fuel,marginal
2030_tot,Distribution,184556942238.43243,0.0,0.0
2030_tot,Energy production,272201654233.42386,378339793992.9644,282546011645.887
2030_tot,Storage,44275912562.52889,0.0,0.0
2030_tot,Transmission,11750547360.38984,0.0,117859787.30249639
2040_tot,Distribution,196636512753.0367,0.0,0.0
2040_tot,Energy production,339533405286.69855,252794446615.22894,248003847776.7213
2040_tot,Storage,49741288811.732605,0.0,0.0
2040_tot,Transmission,13319155974.338182,0.0,81511288.36340745
2050_tot,Distribution,246800087698.63806,0.0,0.0
2050_tot,Energy production,565923922787.0123,115905101486.10605,165789761717.47076
2050_tot,Storage,53485139537.04844,0.0,0.0
2050_tot,Transmission,18273092995.159313,0.0,2988446642.8379965
2030_be,Distribution,5396605224.907039,0.0,0.0
2030_be,Energy production,6902503787.217139,2898587099.728487,11762570352.49811
2030_be,Storage,475032421.36079013,0.0,0.0
2040_be,Distribution,6095488466.147712,0.0,0.0
2040_be,Energy production,6904771592.934227,1912237752.3029213,9374550251.497398
2040_be,Storage,480929763.9722503,0.0,0.0
2050_be,Distribution,7904916555.57218,0.0,0.0
2050_be,Energy production,9855514102.407307,841171754.7481911,4819353601.317368
2050_be,Storage,523826202.71761453,0.0,0.0
2030_eu27,Distribution,154158677777.13144,0.0,0.0
2030_eu27,Energy production,230613987785.7938,96385796278.09192,215716340210.63342
2030_eu27,Storage,31591793473.996754,0.0,0.0
2040_eu27,Distribution,164875417281.822,0.0,0.0
2040_eu27,Energy production,280320818357.88306,78981265422.03406,191818871264.675
2040_eu27,Storage,35959381879.978294,0.0,0.0
2050_eu27,Distribution,206664496016.22998,0.0,0.0
2050_eu27,Energy production,445497874827.15454,36137620613.03814,117509309180.31885
2050_eu27,Storage,39770646031.87735,0.0,0.0
