country,carrier,2030,2040,2050
AL,BEV charger,2.15588366422719,4.850738244511177,6.198165534653171
AL,H2 Fuel Cell,6.960780673101483e-07,1.0710710439271772e-06,1.2374712281712722e-06
AL,air heat pump,0.0199409880010464,0.0249110958771498,0.0842847900202662
AL,battery charger,5.21769934396039e-06,8.082946771187441e-06,4.298997586200325e-06
AL,ground heat pump,0.0176883311094301,0.0265289492790875,0.0702420891829531
AL,home battery charger,0.2988184823362241,0.5447029084152218,1.5944978431422565
AL,hydro,1.6907,1.6907,1.6907
AL,water tanks charger,0.4337198666710003,0.5077758708999798,0.7670677143814352
AT,BEV charger,8.35656448,18.80227008,24.02512288
AT,H2 Fuel Cell,7.556199313420456e-07,1.171814360966322e-06,1.3753475615163498e-06
AT,PHS,5.057300000000001,5.057300000000001,5.057300000000001
AT,air heat pump,0.3337358001574065,0.5852990253583562,1.121972157092756
AT,battery charger,5.282938144165902e-06,7.996159833888381e-06,3.899949810617885e-06
AT,ground heat pump,0.147078136975846,0.220039968916791,0.8421878815798781
AT,home battery charger,0.4740444409111686,0.5284695428583822,1.243878280728158
AT,hydro,3.6006199999999997,3.6006199999999997,3.6006199999999997
AT,water tanks charger,3.3754712834426432,6.412224577422796,8.824615996337583
BA,BEV charger,2.884696047087263,6.490566105946341,8.293501135375882
BA,H2 Fuel Cell,7.024118354355146e-07,1.0936442558707805e-06,1.2630435832308468e-06
BA,PHS,0.44,0.44,0.44
BA,air heat pump,0.0448982831221332,0.0756455009829204,0.152040692541502
BA,battery charger,5.2375935220496264e-06,8.029560533336366e-06,4.187683045345999e-06
BA,ground heat pump,0.0589791142138166,0.0621605051714417,0.2278588348001716
BA,home battery charger,0.5071097358767748,0.975878021452814,2.0596082455715536
BA,hydro,1.6145,1.6145,1.6145
BA,water tanks charger,0.7632751685865349,0.8970177104792693,1.247935874675407
BE,BEV charger,9.89749904,22.269372839999992,28.455309739999997
BE,H2 Fuel Cell,2.189409880814019e-06,3.449778038540523e-06,4.051467137715198e-06
BE,PHS,1.308,1.308,1.308
BE,air heat pump,0.6849492503002721,0.9493312242274918,2.1035409765775683
BE,battery charger,1.5695210457085076e-05,2.3702270547429275e-05,1.2080105857874071e-05
BE,ground heat pump,0.2436886481680039,0.2652320502087766,0.4126192506937764
BE,home battery charger,0.3585532814980728,0.3586250075575334,1.133856365159248
BE,hydro,0.0127828025477706,0.0127828025477706,0.0127828025477706
BE,water tanks charger,14.875894867338122,7.283821011043149,19.255476334810165
BG,BEV charger,5.58504848,12.56635908,16.057014380000002
BG,H2 Fuel Cell,6.930806783067546e-07,1.0745360458175658e-06,1.226748619704326e-06
BG,PHS,0.864,0.864,0.864
BG,air heat pump,0.1324070490357951,0.1146164308165842,0.1146184352782223
BG,battery charger,5.374718367194863e-06,8.259065911435877e-06,4.2679232078093665e-06
BG,ground heat pump,0.0807128346511499,0.0939097690542242,0.14538666969863
BG,home battery charger,0.6596982880663094,2.5589326451812293,4.019731638473095
BG,hydro,1.92514,1.92514,1.92514
BG,water tanks charger,2.2819096763555433,2.5336189865570775,3.0037503412320654
CH,BEV charger,7.84620144,17.65395324,22.557829140000003
CH,H2 Fuel Cell,7.208437838533172e-07,1.1131893413216273e-06,1.2860132665314733e-06
CH,PHS,5.08955,5.08955,5.08955
CH,air heat pump,0.3823728176702596,0.4186613762403389,0.8280399647726553
CH,battery charger,5.381727621826871e-06,8.098710085957388e-06,3.882227225835091e-06
CH,ground heat pump,0.1513325926060904,0.2409537313701133,0.5680101338553358
CH,home battery charger,0.2328042213701366,0.7703605616945435,1.7732579886918398
CH,hydro,9.91631,9.91631,9.91631
CH,water tanks charger,7.559021434102735,6.6059247487984285,12.89282003673734
CZ,BEV charger,9.00295616,20.256651359999996,25.883498959999997
CZ,H2 Fuel Cell,7.482721450952705e-07,1.1622923062926108e-06,1.356841088915472e-06
CZ,air heat pump,0.231835361071091,0.4622619364730973,1.0024218413256596
CZ,battery charger,5.320460630052608e-06,8.05629245347137e-06,4.042987279436059e-06
CZ,ground heat pump,0.234859511458484,0.2737177748395477,0.8763095726610441
CZ,home battery charger,0.4328345577913822,0.4328515772822344,0.8198991322770065
CZ,water tanks charger,8.504833071979435,7.759088948970964,11.665286718442756
DE,BEV charger,79.32532784,178.48198764,228.06031754000003
DE,H2 Fuel Cell,7.582821594042285e-07,1.163152170290395e-06,1.363781046918282e-06
DE,PHS,7.59922,7.59922,7.59922
DE,air heat pump,3.3715879012758982,4.949623152214177,9.201422915062246
DE,battery charger,5.602853581036202e-06,8.389049385955332e-06,3.98693145992469e-06
DE,ground heat pump,1.3462795605539508,1.717966796785196,6.3507776736408434
DE,home battery charger,3.3433522630022865,3.343364560705685,8.342568537850674
DE,hydro,0.2895,0.2895,0.2895
DE,water tanks charger,75.47740157476244,51.73282917493066,112.75273009615856
DK,BEV charger,4.171335519999999,9.385504919999995,11.99258962
DK,H2 Fuel Cell,1.3714263778266889e-06,2.112357641266431e-06,2.4341780989356456e-06
DK,air heat pump,0.5261393407288106,0.5315213332640422,0.8982809444579973
DK,battery charger,1.1131906420620789e-05,1.6590029249756878e-05,7.869309879111212e-06
DK,ground heat pump,0.1095284087956646,0.1075779452721853,0.1991553607296079
DK,home battery charger,0.3009819904857538,0.3010054798323001,0.0149626932385927
DK,water tanks charger,4.755398970605079,3.280622144157876,11.664640463813525
EE,BEV charger,1.19080896,2.6793201599999996,3.4235757600000003
EE,H2 Fuel Cell,7.017143551486673e-07,1.0750302544335438e-06,1.2360369512660543e-06
EE,air heat pump,0.0326499429942237,0.0564355148798301,0.1137700814644932
EE,battery charger,5.401070242250785e-06,8.07392464477453e-06,3.7938420087947858e-06
EE,ground heat pump,0.0406176646877418,0.0444524169278456,0.1177126028714898
EE,home battery charger,0.0530710155784391,0.0560812617727235,0.0182370698313064
EE,water tanks charger,1.582740548260382,1.3437975228846988,1.4058911106460392
ES,BEV charger,39.34576624,88.52797403999998,113.11907793999998
ES,H2 Fuel Cell,1.4054904306867906e-06,2.1517742704317136e-06,2.4733711300609466e-06
ES,PHS,8.87075,8.87075,8.87075
ES,air heat pump,1.2114119899150415,2.3088423646611607,4.523099154160839
ES,battery charger,1.3705697924881443e-05,2.0625012894586345e-05,9.888805002698587e-06
ES,ground heat pump,0.6395527998119958,0.6949339886397042,1.2456279349664123
ES,home battery charger,4.493299087571442,22.134843634376047,37.580680877302605
ES,hydro,14.975837,14.975837,14.975837
ES,water tanks charger,8.193053701243654,21.291768630840856,37.417677983039546
FI,BEV charger,5.733342559999999,12.900020759999997,16.48335986
FI,H2 Fuel Cell,7.088287977734898e-07,1.0706980871637252e-06,1.2323423065648145e-06
FI,air heat pump,0.2654825255396297,0.2616011334683861,0.8322436954655686
FI,battery charger,5.676053074945941e-06,8.502397088930228e-06,3.914582690187897e-06
FI,ground heat pump,0.2958582776950539,0.3142794097258097,0.6564734515785641
FI,home battery charger,6.669748786586443e-06,1.455475557386276e-05,1.1518050496265222e-05
FI,hydro,1.2959,1.2959,1.2959
FI,water tanks charger,5.269110759363761,1.92221283703246,5.925874252325053
FR,BEV charger,56.89376,128.01095999999998,163.56956
FR,H2 Fuel Cell,7.257769503675254e-07,1.1127827742223874e-06,1.2840031568239995e-06
FR,PHS,4.9763,4.9763,4.9763
FR,air heat pump,3.4092960516899864,4.874110302998182,8.759794963749876
FR,battery charger,5.6408082299473805e-06,8.34841620060477e-06,3.81885336406997e-06
FR,ground heat pump,1.30445865469275,1.6258249709479229,4.469441658220178
FR,home battery charger,1.306132039784306,5.55522709335609,11.690742062857629
FR,hydro,8.329492993630572,8.329492993630572,8.329492993630572
FR,water tanks charger,48.43465825384773,35.809229180411116,74.72056291570631
GB,BEV charger,53.24065823999999,119.79148103999997,153.06689244
GB,H2 Fuel Cell,1.484282467345904e-06,2.3396891783629097e-06,2.751847268066028e-06
GB,PHS,0.44,0.44,0.44
GB,air heat pump,3.860230547363829,4.4845196088103565,8.302785276032813
GB,battery charger,1.1136899208052157e-05,1.6921514785942026e-05,8.520593575120811e-06
GB,ground heat pump,0.9556208596907222,1.1162136700389245,2.9294759318370467
GB,home battery charger,3.615115015738698,3.6166073616617287,5.598221981189702
GB,hydro,0.2283,0.2283,0.2283
GB,water tanks charger,23.341778672882988,31.499121455112473,109.84416198113055
GR,BEV charger,8.980531999999998,20.206196999999996,25.8190295
GR,H2 Fuel Cell,7.2923453773911e-07,1.1187773896576995e-06,1.2902583984487714e-06
GR,PHS,0.699,0.699,0.699
GR,air heat pump,0.2798258208537602,0.3924765552110092,0.8606790901997327
GR,battery charger,5.5368019275813644e-06,8.54718120937719e-06,4.431695859729074e-06
GR,ground heat pump,0.1682937033361886,0.1742796840850897,0.3405645041857241
GR,home battery charger,1.8407956223898785,3.3610072212029074,6.442810742403009
GR,hydro,2.566,2.566,2.566
GR,water tanks charger,1.8376996605637217,4.318731603527901,5.744589331923574
HR,BEV charger,2.6396515199999997,5.93921592,7.58899812
HR,H2 Fuel Cell,6.964231786897333e-07,1.104533922032238e-06,1.282527303732118e-06
HR,PHS,0.2457,0.2457,0.2457
HR,air heat pump,0.0992734216086429,0.1502343528468196,0.3017367092472516
HR,battery charger,5.219076418496486e-06,7.984119152262908e-06,4.157954565321743e-06
HR,ground heat pump,0.0952169745577366,0.1056350664616039,0.3695071212298398
HR,home battery charger,0.5241867842960851,0.9507081433341666,1.9176358149894444
HR,hydro,1.864404458598726,1.864404458598726,1.864404458598726
HR,water tanks charger,1.8853865927691504,1.8043672615069613,1.9763304839581437
HU,BEV charger,5.62646656,12.659549759999996,16.17609136
HU,H2 Fuel Cell,7.009544981133957e-07,1.1019479705720805e-06,1.2883491122708569e-06
HU,air heat pump,0.3071174044506339,0.3071253335743575,0.9180097037270154
HU,battery charger,5.325457338153975e-06,8.104855417460484e-06,4.10460262938691e-06
HU,ground heat pump,0.1121504215948519,0.1563244519728338,0.757499413806846
HU,home battery charger,0.2229302751240263,1.215566706517101,3.112395481463251
HU,hydro,0.028,0.028,0.028
HU,water tanks charger,8.079581657730271,7.948612918033452,7.695676754407825
IE,BEV charger,3.6258992,8.1582732,10.4244602
IE,H2 Fuel Cell,7.489831136684192e-07,1.145945778614176e-06,1.362334693032697e-06
IE,PHS,0.392,0.392,0.392
IE,air heat pump,0.2534020720402392,0.2534220604049129,0.4173987272408013
IE,battery charger,5.795872189209889e-06,8.80574840155822e-06,4.398774175629159e-06
IE,ground heat pump,0.1396690620341837,0.1713509367327157,0.4049347196229705
IE,home battery charger,0.0123242163769425,0.0464015270163947,0.542613674158629
IE,hydro,0.001,0.001,0.001
IE,water tanks charger,1.4601319211895205,1.8634996163842252,4.478029554015612
IT,BEV charger,67.76648384,152.47458863999998,194.82864104
IT,H2 Fuel Cell,1.5104325289482689e-06,2.3058248700513605e-06,2.701884205911607e-06
IT,PHS,7.571899999999999,7.571899999999999,7.571899999999999
IT,air heat pump,6.877429395941879,2.1946606917913005,5.50183683622399
IT,battery charger,1.2264989489268187e-05,5.3379737048602006e-05,0.4451582938058741
IT,ground heat pump,1.1715033281396194,1.5391730086329736,4.441644927180883
IT,home battery charger,6.010409618903215,25.81518039283811,37.621540600564686
IT,hydro,4.0029,4.0029,4.0029
IT,water tanks charger,46.10361857226256,38.87798905103036,60.12205555035223
LT,BEV charger,2.52946672,5.69130012,7.27221682
LT,H2 Fuel Cell,6.679439856532423e-07,1.0418693227348015e-06,1.1936149893993855e-06
LT,PHS,0.9,0.9,0.9
