country,carrier,2030,2040,2050
AL,BEV charger,324.3295168362329,729.7414127984132,932.4473605926185
AL,H2 Fuel Cell,0.0018529291198952,0.0019595606598219,0.0014315749334915
AL,air heat pump,440.0483227876046,485.80218683464193,1238.7722813103564
AL,battery charger,0.0141235099877259,0.0180704401075529,0.0115671210179188
AL,ground heat pump,540.6951030382025,734.4425532996701,1338.399059291044
AL,home battery charger,465.3625592187456,1148.8435549406404,3338.0952720914984
AL,hydro,5434.465929437061,5434.424728985879,5428.686311449553
AL,water tanks charger,101.70493484019444,287.2379931303174,466.9218343409767
AT,BEV charger,3943.3941147896608,8872.636758197696,11337.258079710871
AT,H2 Fuel Cell,0.0023351488978437,0.0027838431553914,0.0024572750671734
AT,PHS,10983.864434474386,11909.966474627136,9267.339593398689
AT,air heat pump,6604.852176827628,10345.797719769234,16294.719510603476
AT,battery charger,0.0143571332241158,0.0164374332311066,0.0098187878795438
AT,ground heat pump,4081.48200102177,6103.90531373198,18332.58561482998
AT,home battery charger,377.1555883583789,675.0234878168694,1744.3247560530624
AT,hydro,15478.7154455136,15478.716361993893,15478.716700189632
AT,water tanks charger,365.36299185703746,1242.965019699315,3105.6195940577145
BA,BEV charger,541.6518856076284,1218.7167425301295,1557.2491708093785
BA,H2 Fuel Cell,0.0019121292259913,0.0022889830035716,0.0019050043995264
BA,PHS,0.6185298392690389,0.8079249078990663,0.7542660193897116
BA,air heat pump,952.0533391928992,1437.6330582690834,2086.6385092219653
BA,battery charger,0.0141535913869756,0.0175083682252728,0.0111796570817906
BA,ground heat pump,1779.1198571382902,1822.5505424303765,4412.145985231703
BA,home battery charger,695.1164067990048,1929.445480435574,3903.448210441157
BA,hydro,6447.5984671504475,6447.599432812212,6447.599660287312
BA,water tanks charger,224.0108585015396,356.44062432911306,707.4522016998966
BE,BEV charger,4719.177551646502,10618.14949108199,13567.63546051268
BE,H2 Fuel Cell,0.0062602321572134,0.0082291035338088,0.0065799663675967
BE,PHS,921.2217924501556,1125.1275970890642,891.8947223034204
BE,air heat pump,13973.741687927224,17663.026240317136,30976.22721567061
BE,battery charger,0.0450416876439498,0.0529965453353452,0.032753249393077
BE,ground heat pump,7337.443680931547,7849.87784465102,10238.76349680804
BE,home battery charger,167.3383285724664,253.5145169810801,1346.8331104332412
BE,hydro,46.68364056461613,46.68386272186104,46.68394936403005
BE,water tanks charger,887.4276996364956,1538.958575139144,4609.099804568927
BG,BEV charger,1486.24634228425,3344.054270057803,4272.9582337573565
BG,H2 Fuel Cell,0.001823422621522,0.0020692081592381,0.0011837575364513
BG,PHS,1228.060366830831,1771.028689689066,1605.3976010402228
BG,air heat pump,3014.3376587223383,2567.5655068624715,2265.2609702378045
BG,battery charger,0.0145566644047193,0.0184175712597206,0.0115340218865864
BG,ground heat pump,2580.4220144492915,2939.440854616626,3860.18320059997
BG,home battery charger,1332.7038487120512,5537.794099174723,8149.959656987559
BG,hydro,3401.037044677837,3401.0380137630505,3401.0381716948664
BG,water tanks charger,1482.2428735308708,1559.9735342233555,2647.3306332766924
CH,BEV charger,2034.818359591234,4578.341309002306,5850.102783515815
CH,H2 Fuel Cell,0.0020340070143088,0.0023357059162371,0.0019733516286367
CH,PHS,10297.005044939911,11910.537807963732,9387.546838829436
CH,air heat pump,7218.114290818594,7627.42623773313,12619.044598465522
CH,battery charger,0.0151579233448507,0.0173742526361045,0.0099561476548293
CH,ground heat pump,4085.886972687339,6151.124059597546,11333.978183398523
