snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
carrier,Decentralized heat,Electricity,Centralized heat,Methane,Centralized heat,Electricity,Electricity,Li ion,Decentralized heat,NH3,Centralized heat,Centralized heat,Electricity,Electricity,Centralized heat,Decentralized heat,Centralized heat,Electricity,Decentralized heat,Decentralized heat
sector,Heat Pump,Offwind,Heat Pump,Extraction,Waste Heat,Onwind,Solar,Storage ,Gas Boiler,Haber-Bosch,Gas Boiler,Biomass CHP,Biomass CHP,Hydroelectricity,Resistive heater,Resistive heater,Storage ,Gas,Oil Boiler,Storage 
2040-01-01 00:00:00,2.3854190114798666,9.612573882949105,0.8834876938894929,9.864152154626971,0.7063709415357418,4.064433211596808,,,5.979073201357344,0.5957944196452494,2.7950713139289,1.375475204265791e-06,4.471020651510793e-07,0.07976675471144977,0.5246024644734267,9.09658354043184e-06,7.156251910052994e-07,1.4036110562494532e-06,1.1972353497509942e-06,1.8191389054289397e-06
2040-01-01 03:00:00,2.3767627273945138,9.436087172321123,0.8786988953915331,9.88598632311702,0.7063707053040901,3.2358085289696676,,,10.579027886907042,0.5957941879495238,5.649376811374771,2.556036804630862e-06,8.310014933736113e-07,1.3878724192845449,0.5551156269373919,0.1319121047434128,7.414072945575187e-07,1.811496817420987e-06,1.2150631621296257e-06,1.8314600202318655e-06
2040-01-01 06:00:00,2.3712504792488582,9.486574836957434,0.8752053841630714,9.95010553272763,0.7063707219836869,2.533339135475584,0.10099741161885739,0.3326418242132621,10.811350287731932,0.5957942007821545,5.932267560173889,2.3402373873368475e-06,7.60975326165317e-07,0.4202136052010918,0.5305376504033961,0.3229953920330883,7.550753873834056e-07,1.7904600442457492e-06,1.4091174634319217e-06,3.0897383943080523e-06
2040-01-01 09:00:00,2.3654728092515915,9.60295883460979,0.870628159025674,9.997067982539964,0.7063708815179597,2.214075927412411,2.35530897904943,,9.656612846522478,0.595794353836914,4.482967055225272,1.4168417065808643e-06,4.6077418606056593e-07,0.07987614553411379,1.0798291866645395,7.914438600334172e-06,7.302116609655301e-07,1.5130415707259602e-06,1.196802890349188e-06,1.8573466552553516e-06
2040-01-01 12:00:00,2.3539050156542145,9.600015685888621,0.8638259142507343,9.99583066578514,0.7063708919102822,1.9521465373535825,3.6508852337376405,,9.19498064194239,0.5957943648550451,4.19420420137015,1.3837641414191268e-06,4.500188963954674e-07,0.07987614106976149,1.0868544406677187,7.779566897667565e-06,7.240476900338845e-07,1.4942242468393784e-06,1.197769147216614e-06,1.8794958536490496e-06
2040-01-01 15:00:00,2.2993125108801173,9.565328214738257,0.8320875542950201,9.91474219329034,0.7063708689323851,1.4898834422655327,0.07929633666914279,1.1653005191883046,9.905689140025771,0.5957943415237611,5.209858817091019,1.4590190315750217e-06,4.745103373260675e-07,0.07987614774119431,0.5030137932247817,8.656895538742572e-06,7.427942002237709e-07,1.5345780203883892e-06,1.19649592620149e-06,1.8754490933296895e-06
2040-01-01 18:00:00,2.231415583758179,9.610527079791481,0.8039798749221895,9.832482478868766,0.7063708674244712,1.735827853810584,,0.4566070985554886,9.85065091630425,0.5957943404014463,5.28733959124556,1.465789931534735e-06,4.767131177171472e-07,0.07987614803418323,0.3786794141366593,8.825155719793047e-06,7.446171744525777e-07,1.5372604039983684e-06,1.1958887875753704e-06,1.8374705094310293e-06
2040-01-01 21:00:00,2.2227218960214046,9.612203525590424,0.7996925856896897,9.760590929614724,0.7063705241526818,2.1108846943953203,,,6.45833596822236,0.5957940728004386,3.263233630787209,5.830144225331734e-06,1.8957116330188048e-06,0.07987671119069127,0.3332598338544942,9.07753250793718e-06,7.20658354579737e-07,2.0761215177652967e-06,1.1969471159591533e-06,1.7254095331458788e-06
