id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
0,Doel,Nuclear,Steam Turbine,PP,BE,1885,,1975,1975,2022,51.32481,4.25889,,0,0,0,"{'22WDOELX2000077N', '22WDOELX40000793', '22WDOELX1000076X', '22WDOELX3000078D'}","{'ENTSOE': {'22WDOELX1000076X', '22WDOELX40000793', '22WDOELX3000078D', '22WDOELX2000077N'}, 'OPSD': {'OEU-13', 'OEU-14', 'OEU-12', 'OEU-15'}, 'WIKIPEDIA': {'WIKIPEDIA-4', 'WIKIPEDIA-3', 'WIKIPEDIA-2', 'WIKIPEDIA-1'}, 'GEO': {'GEO-2948'}, 'GPD': {'WRI1002223'}}"
1,Doel,Nuclear,Steam Turbine,PP,BE,1026,,1975,1975,2035,51.32481,4.25889,,0,0,0,"{'22WDOELX2000077N', '22WDOELX40000793', '22WDOELX1000076X', '22WDOELX3000078D'}","{'ENTSOE': {'22WDOELX1000076X', '22WDOELX40000793', '22WDOELX3000078D', '22WDOELX2000077N'}, 'OPSD': {'OEU-13', 'OEU-14', 'OEU-12', 'OEU-15'}, 'WIKIPEDIA': {'WIKIPEDIA-4', 'WIKIPEDIA-3', 'WIKIPEDIA-2', 'WIKIPEDIA-1'}, 'GEO': {'GEO-2948'}, 'GPD': {'WRI1002223'}}"
2,Tihange,Nuclear,Steam Turbine,PP,BE,1978,,1975,1975,2023,50.53464,5.27121,,0,0,0,"{'22WTIHANG000242R', '22WTIHANG000241T', '22WTIHANG000240V', '22WTIHANG000239G'}","{'ENTSOE': {'22WTIHANG000240V', '22WTIHANG000239G', '22WTIHANG000242R', '22WTIHANG000241T'}, 'OPSD': {'OEU-39', 'OEU-42', 'OEU-40', 'OEU-41'}, 'WIKIPEDIA': {'WIKIPEDIA-7', 'WIKIPEDIA-6', 'WIKIPEDIA-5'}, 'GEO': {'GEO-5724'}, 'GPD': {'WRI1002277', 'WRI1002275'}}"
3,Tihange,Nuclear,Steam Turbine,PP,BE,1030,,1975,1975,2035,50.53464,5.27121,,0,0,0,"{'22WTIHANG000242R', '22WTIHANG000241T', '22WTIHANG000240V', '22WTIHANG000239G'}","{'ENTSOE': {'22WTIHANG000240V', '22WTIHANG000239G', '22WTIHANG000242R', '22WTIHANG000241T'}, 'OPSD': {'OEU-39', 'OEU-42', 'OEU-40', 'OEU-41'}, 'WIKIPEDIA': {'WIKIPEDIA-7', 'WIKIPEDIA-6', 'WIKIPEDIA-5'}, 'GEO': {'GEO-5724'}, 'GPD': {'WRI1002277', 'WRI1002275'}}"
