country,sector,year,cfs
AL,Transport,2023,0.019081589517359
AL,Transport,2030,0.0190815890148852
AL,Transport,2035,0.019081589013203
AL,Transport,2040,0.0190815890130896
AL,Transport,2045,0.0190815890125264
AL,Transport,2050,0.0190815890119577
AT,Ammonia production,2023,0.8736201478569847
AT,Ammonia production,2030,0.6513794728862355
AT,Ammonia production,2035,0.5918173345285583
AT,Ammonia production,2040,0.4995482055645223
AT,Ammonia production,2045,0.2973614693295784
AT,Ammonia production,2050,0.3920467980465606
AT,Battery,2023,0.3042788396793033
AT,Battery,2030,0.2691779418362655
AT,Battery,2035,0.1936183500497298
AT,Battery,2040,0.1735104638994805
AT,Battery,2045,0.1563387019550746
AT,Battery,2050,0.1720987774242119
AT,Battery charging,2023,0.3202916145235641
AT,Battery charging,2030,0.299086492110796
AT,Battery charging,2035,0.2151314108697367
AT,Battery charging,2040,0.1927892879840569
AT,Battery charging,2045,0.1737095822671474
AT,Battery charging,2050,0.1912207902022019
AT,Biomass CHP,2023,0.8288766614713472
AT,Biomass CHP,2030,0.5590884815978086
AT,Biomass CHP,2035,0.4845818359494118
AT,Biomass CHP,2040,0.4061369848272552
AT,Biomass CHP,2045,0.349061733888318
AT,Biomass CHP,2050,0.2365823464897838
AT,Biomass CHP CC,2023,0.8803963019963306
AT,Biomass CHP CC,2030,0.3777399633816894
AT,Biomass CHP CC,2035,0.1300128961227696
AT,Biomass CHP CC,2040,0.1196765970658766
AT,Biomass CHP CC,2045,0.516566586605344
AT,Biomass CHP CC,2050,0.4873238075382353
AT,Central heat production,2023,0.174066848106343
AT,Central heat production,2030,0.475578824194202
AT,Central heat production,2035,0.4798832364062966
AT,Central heat production,2040,0.4777824655838612
AT,Central heat production,2045,0.4515180021132721
AT,Central heat production,2050,0.4554586496743426
AT,Compression losses,2023,0.2036024352487797
AT,Compression losses,2030,0.0593632721118545
AT,Compression losses,2035,0.0803066060226809
AT,Compression losses,2040,0.061385129536216
AT,Compression losses,2045,0.2174571443052125
AT,Compression losses,2050,0.1019644995951276
