snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
carrier,CO2 emissions,Hydrogen,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,CO2 captured,Methane,Oil,Coal,Methane,Oil,Electricity,Centralized heat,Electricity,Methanol,CO2 captured,Hydrogen,Decentralized heat,Electricity,Electricity,CO2 emissions,Centralized heat,Centralized heat,Ammonia,Electricity,Centralized heat,Oil,CO2 captured,Electricity,Centralized heat,Ammonia,Electricity,Methanol,Decentralized heat,Hydrogen,Hydrogen,Decentralized heat,Methane,Electricity,Centralized heat,Centralized heat,Hydrogen,Decentralized heat,CO2 emissions,Decentralized heat,Hydrogen,Centralized heat,CO2 emissions,Electricity,Decentralized heat
sector,Shipping emissions,Industry,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Solid biomass methanation CC,Solid biomass methanation,Imports,Imports,Imports,Fischer-Tropsch,Nuclear,Waste Heat,Offwind,Methanol production,Direct Air Carbon Capture,Electrolysis,Heat Pump,Onwind,Hydroelectricity,Transport emissions,Heat Pump,Storage,Storage,Solar,Solar thermal,Storage,Central heat production CC,Biomass CHP CC,Biomass CHP CC,Haber-Bosch,Battery,Storage,Resistive heater,Ammonia Cracker,Storage,Biomass boiler,Storage,Biomass CHP,Biomass CHP,Resistive heater,Imports,Gas Boiler,Decentral heat production emissions,Storage,Steam Methane Reforming CC,Gas Boiler,Power supply emissions,Gas,Oil Boiler
2050-01-01 00:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842829348,54.934231113502236,0.8008389580025053,2.7258065018693234,123.87454366158858,44.84421394178099,87.34882620429349,115.5031963396173,146.5707202026693,111.85475612878348,633.5377027966389,81.5206683141825,10.179935135182753,396.461023844658,285.01493772906986,363.666141021998,41.9007325252569,2.877266766927863,39.32236797693559,1.660642431975214,0.0,,,,1.596903298812821,1.055982939630622,4.020480660597943,30.30161374966883,3.187151787535083,,22.55222167330662,0.6908062018281116,,26.0120731933398,,5.610315342496857,17.167911623022327,0.6514054006700541,6.337338410289715,15.011131570350424,3.0560363773400545,8.219906454975237e-06,1.1831359017352054e-05,0.0773167193058205,2.598279503645633e-06,9.725904711628409e-06,2.1432768703305585e-06
2050-01-01 03:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842824805,54.93423111240949,0.8008389424825081,2.725806392435635,123.83383063528316,44.33076116893327,88.2730599688774,115.51555616044756,155.83489283833185,108.97466397225526,599.5445373250732,81.19200076531953,10.179933194164606,380.83098766788135,283.5264229387427,348.4288978233076,46.16500865111184,13.566297126032149,39.053251531081834,4.664511688043941,0.0,,,0.0,2.285874562526742,1.5115783910994782,5.755085123177204,29.94210741260961,6.046848968984989,,114.19173210906231,0.6908080895772623,,34.85419608382624,27.12531188656871,9.67018263949632,29.59324072455598,4.819267438188189,10.985299706351665,66.58525978765799,15.14560691210675,12.389329269474224,1.3040780766931533e-05,8.655771397818738,2.631547174003522e-06,9.973799964286137e-06,2.3450894526784137e-06
2050-01-01 06:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842785478,54.93423111425945,0.8008389271095009,2.7258062210096856,123.78794292829666,44.909253295526355,88.43963215070599,115.5096653441278,154.83361934969423,103.25957121186174,588.9691698066104,81.49322426896441,10.179932414899977,343.6165784431857,283.25869266873315,307.2501470714565,46.052297932522805,29.362269493181454,39.105058210891,9.56253446990734,0.0,78.00668789034921,0.0179318757305642,44.7987679349184,2.285874387479035,1.511578580424751,5.7550858428890335,29.879529615635363,2.415905780319461,0.0,144.60921901602964,0.6908162182424937,15.715156839683692,35.41718589312878,24.88550946939835,9.155852455747969,28.03758564389408,7.845000529530239,17.598308480395133,64.7158638227098,14.725156383278646,4.285358418078603,1.455571338356243e-05,8.457565765448889,2.667597135976901e-06,9.444200396103259e-06,2.4218623628971617e-06
2050-01-01 09:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842755037,54.93423111529627,0.8008389145698475,2.7258060790247183,123.74198963444836,45.462883047356456,88.13698761078037,114.3281556286124,149.25886565370288,108.1122815427694,601.601783549512,80.67219953082898,10.179932866643169,386.4009768688551,290.92736907353617,267.45179554700485,27.622901256073995,24.123099621116857,41.17094344232367,2.224780370052186,0.0,392.31543060826925,6.210125289106774,25.648285010814664,2.2347750029232683,1.4777893827897688,5.626439060496981,28.71767348488041,0.03554102445183401,0.0,128.3265116285128,0.6908160545538373,0.0,28.256322336918036,0.0,6.506193227835401,19.904788374921196,7.086299948972047,6.1761506977914635,34.164893303133496,6.922731653486613,8.926258471190312e-06,1.430763460019604e-05,4.421212031929149e-06,2.5642996252302015e-06,8.36302284678319e-06,2.2751849400689487e-06
2050-01-01 12:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.7122784275612,54.934231114844316,0.800838907027241,2.7258059983559826,123.66087685978252,45.40611829198025,88.0502880462011,114.02016676329475,149.2555540787115,106.91248219555888,617.5107428239993,80.45973424360551,10.179932066124469,378.19851940939105,296.95852455336916,260.2252586064097,29.02990380379346,27.79213345697347,45.49408238355944,1.9994832896761203,,293.48619226603773,7.431447443414547,40.30823010528088,2.1990180805323285,1.454144358008239,5.536414530124666,28.53583548064794,0.03726157034779611,0.0,115.83815251527824,0.6908163019566803,0.0,27.120826725848698,0.0,6.553548766570471,20.038297779606737,3.3808479761766237,14.790143939549203,27.295710528960047,5.5311319548144695,2.453555706645155,1.460427620133454e-05,4.178851774737554e-06,2.638885872792891e-06,8.898651136159526e-06,2.287647233550303e-06
2050-01-01 15:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842805798,54.93423111126607,0.8008389023408635,2.7258059596677966,123.58182846014212,44.84481104199907,88.21955136662092,115.51312370174962,162.44853664550186,96.04119741895518,617.9318968670522,80.61569915496665,10.179931196987363,342.5377698216307,291.2947594913841,262.06722108266496,73.07091643020533,31.535669510634712,41.3172352731503,6.776121112339101,0.0,25.242928609700435,0.5195730013017327,53.73485131359101,2.2314244084644024,1.4755721716826138,5.617997389125951,22.1115260620506,8.598099797611804,0.0,92.35223256569024,0.6908182008781306,14.229111203952586,33.315702689343404,16.24268619362946,9.247716596437543,28.276296929797944,2.8968078630765883,18.17495798843003,58.23764053802571,13.036029821818438,8.695807254603476,1.4991966035158755e-05,6.104450466688768,2.7371653296935325e-06,1.0667419370505116e-05,0.2519187510170705
2050-01-01 18:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.7122784282389,54.93423110980842,0.8008388991252225,2.7258059355694164,123.51136119516248,44.21735482667776,88.24116167167169,115.51557649133292,162.44853689894694,94.04321043768108,606.9667820539634,81.3275729517157,10.179931236356058,336.6378583772233,284.9076664713136,263.2881991729886,82.70379564335805,15.200612766103529,39.89614343540115,4.34467747330207,0.0,,,0.0,2.1997444588571757,1.4546232056480413,5.538237659883907,20.727741515459233,15.144810441570694,0.0,102.74105060359162,0.6908122371195135,0.0,33.63673150896822,16.233721340358667,9.609854983943478,29.387306251621652,3.244916412739671,11.429595591615495,57.84541916364056,12.966665847729635,1.8248250689524657,1.352651788893516e-05,6.533000666706169,2.7469338008194312e-06,1.0759675779346676e-05,2.346986116763466e-06
2050-01-01 21:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.712278428336255,54.93423110904193,0.8008388965924811,2.725805916949317,123.43673699974832,43.778534115197175,87.53959033517431,115.50319306045384,162.44853693043171,85.35885803110354,561.5156176956068,70.15366219547037,10.17993253712397,303.79751272413336,281.5705663496969,239.36434425764716,86.35384524639612,6.012568355354166,38.988882137196896,3.0614756170299513,0.0,,,,1.9713292556861324,1.3035796207489094,4.963164146669072,17.84182615841554,5.787595578866641,0.0,29.69737479484418,0.6908081436412065,,26.056750991899207,0.0,5.879556078728964,17.96447420961243,5.0645366712778345e-06,7.661926613193147,17.647685547761753,3.622091505107791,1.003500472640936e-05,1.300308300632716e-05,0.2452426712685147,2.742647535349867e-06,1.0729733660890895e-05,2.2450358926261173e-06
2050-01-02 00:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.712278428478406,54.93423110796692,0.8008388940907909,2.7258058979682045,123.35787207615093,43.74310348592298,87.5312992351999,114.02019599839998,162.44853695624,82.11971296994157,543.320528614144,78.53611507613266,10.17993239577867,294.73504543291017,278.2987669160299,226.5995007461348,89.99417107159299,2.8794804016432147,38.679043708995906,2.911604668254446,0.0,,,,1.9736469183670466,1.3051122544842233,4.968999396765289,15.198962167538136,2.398002935985495,0.0,27.634171973158235,0.6908081439765342,,27.15002458509031,0.0,6.484108738153359,19.819740228918416,1.6826126104957162,3.2410673355898383,7.411621115472369,1.501485636855804,0.1416258937321575,1.2942325953260094e-05,4.181314948321869e-06,2.746593753995022e-06,1.0762949148543333e-05,2.2114475508406527e-06
2050-01-02 03:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842877022,54.93423110531087,0.8008388909995658,2.725805876376109,123.26536027631909,44.20119762990967,88.39832687802591,114.55079652181152,162.44853697142693,85.0291566750906,530.4599130126916,75.92906658482622,10.1799302275276,275.8618598543891,277.92043387003196,209.65996503625763,92.14987275627097,13.39495239191008,38.54142853684685,12.526516638004738,0.0,,,0.0,2.2858755161408246,1.511579061617166,5.755087673331269,22.09500896469414,5.739131507387823,0.0,108.827766620997,0.6908119988053204,15.436431816089604,45.92039731873526,28.084435129009236,14.448327879323482,44.18495596579975,1.2225443430480407,10.923060221796112,70.90090205039121,15.335789219903974,9.78569882892983,1.3900756821639955e-05,5.145105633253497,2.746709841537185e-06,1.0752066764825217e-05,2.496322105468628e-06
2050-01-02 06:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.712278428777054,54.9342311049236,0.800838888196706,2.725805853965523,123.16551182264774,44.65887385575909,88.57390072874831,115.5084488929254,162.44853697506676,86.9744440382719,503.7948229271599,76.89892750912128,10.17992979560133,244.40173376136696,278.7257998488106,208.09839469441147,85.28314314468975,29.45668045862081,38.612891160010754,13.611245766576335,,63.163934036729415,4.810503665646294e-07,45.78963083863258,2.2858750657086464,1.5115790744259108,5.755087722084507,28.899944537039165,6.4696574014429675,0.0,118.3148348873226,0.6908183878871321,108.80624045712898,47.64508801360239,46.36420713010801,15.678165177338638,47.95791849998645,0.8407822479910979,17.71141274957845,88.35735840821053,18.997594522091738,1.815472796445231,1.5090228819767788e-05,5.833733413784918,2.764194808537234e-06,1.086321786295671e-05,2.6007933620596523e-06
2050-01-02 09:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842877509,54.93423110432517,0.8008388841355862,2.7258058250898323,123.1004626702918,45.12177558740197,88.30311304807965,115.45629369087186,162.4485357689231,91.98936092267368,496.41914750197634,73.18210710910543,10.179930299972543,322.5543201420006,286.88458970664715,214.22056994652868,62.24566444548569,24.953976415359698,40.35471095414676,5.383041037187609,,365.36970364401805,3.9043870715801545,28.393400311231613,2.2828909897060785,1.5096061669412812,5.747576209676992,23.213933027990738,0.7300526114079062,0.0,108.44928916298277,0.6908171891106621,5.0226664640717535,40.64790860766311,0.0,10.39490071684568,31.769890664969303,2.16589467436517,16.09496671362907,41.90327194450613,8.710212454851103,9.17275843723376e-06,1.4723846295495176e-05,1.1585034892589736,2.6779374210293115e-06,9.189236610516146e-06,2.367929432191782e-06
2050-01-02 12:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.7122784288756,54.93423110383482,0.800838882078102,2.7258058111087933,123.02286962041582,44.96452147868624,88.23315621378032,115.42734740644256,162.44853370188667,93.11799789787783,547.3220965259353,73.57966601334647,10.179930517539196,363.6475426206196,294.82118604820226,250.1151811859694,61.74229380644863,29.030244147646123,41.76876508616092,2.23597422569217,0.0,281.7507613670218,6.892208774052262,44.35473436152935,2.273743036351184,1.5035568788683182,5.724544544479247,17.145557139702795,0.51690744865881,0.0,97.74247608513964,0.6908176661701888,0.0,35.69516123044439,0.0,9.278089500824724,28.359593877056383,2.0714232625478832,17.56002061971852,32.66668237533672,6.677733503738994,9.004295667896064e-06,1.583000259589907e-05,0.3044240337327005,2.721326563870254e-06,1.0252651837067249e-05,2.3202215185213807e-06
2050-01-02 15:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842926233,54.93423110122928,0.8008388805012177,2.7258058059928953,122.9426482629558,44.35175011018197,88.74237414572981,115.43969648207388,156.52102729567275,104.35105875257186,603.1023907189384,75.4083035416173,10.179930283768805,357.1445288142139,292.86218001977034,284.2034845944037,82.37040010401984,32.40574934805417,44.472997819317115,2.3500015689877727,0.0,30.58733021923277,1.313529968135302,57.55175973498821,2.273869424732984,1.503639892654706,5.724860603495653,29.41755052175079,14.395548596571208,0.0,74.96749388243067,0.6908189805811437,4.327794935863798,44.69553885589912,29.470108555902563,13.589452884298709,41.5843875099362,0.2142216029632067,19.01499180575488,74.01887355967771,15.668722395156655,0.5361594347548816,1.544840415946176e-05,3.6098053925809666,2.732023406333464e-06,1.0649476447912975e-05,2.523553030066015e-06
2050-01-02 18:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.712278429313216,54.934231101149024,0.8008388795629641,2.725805801647338,122.865665088369,43.582866404204054,88.4587638313389,115.51554653999872,150.16554460447495,106.36002434397079,614.2440344122903,74.39142444671253,10.179930767454428,370.0823438102301,288.94512987523444,318.8854859710986,82.6198381851239,16.138582822585356,43.38473709638007,2.382348569516349,0.0,,,0.0,2.266832624095994,1.498986819665236,5.707144796498812,29.71908072559814,23.561274879030954,,76.9805244730529,0.6908156153938078,,44.495448041068656,28.39033733450885,13.049209605604933,39.93653839699741,0.1664582199434796,12.220318529632353,72.45847932898569,15.398473220402078,1.1216562104830434e-05,1.3893232211983927e-05,3.847024791767052,2.7259111499948077e-06,1.0603645307460953e-05,2.4405445141511053e-06
2050-01-02 21:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842933,54.93423110102888,0.8008388784449458,2.7258057951907233,122.78697946035074,42.74461281053381,87.77258661684088,114.02019524201091,149.58129031250093,102.51403150669866,609.0860536503553,72.42204495765527,10.179932570787985,375.7190410495545,281.03666305499723,335.78037677427244,81.27111227193896,6.477036461301811,39.732395311185535,1.1545539084343512,0.0,,,,1.6782356291077412,1.1097655048249837,4.225248894382564,25.116620756713743,10.24130460243446,0.0,19.56923153083835,0.6908113689469031,,34.58846991087415,0.0,5.5152836454566545,16.850390831333126,0.1637575349711153,4.764251538542523,11.850247422640678,2.3999325109045095,1.0869727984735782e-05,1.3310915890468196e-05,4.1976364132475e-06,2.7196932136493234e-06,1.0556192468572918e-05,2.2914884409460773e-06
2050-01-03 00:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842937509,54.93423110094891,0.800838877092067,2.725805786955619,122.69247513356925,42.730923046176606,87.73504730924083,114.02019534247565,150.10008834404707,102.77296256048066,598.2160959383289,67.22889492453771,10.179932707471831,368.9986846845373,264.39068007418444,340.9041017129074,73.90250192342138,2.960669774224922,34.30730538228274,1.123064349919095,0.0,,,,1.8052998990409972,1.1937893816220493,4.545155935548802,27.00088549895598,4.8279185923272845,0.0,15.11468118524793,0.6908110140270122,,27.340195707012576,,4.410354872029609,13.472989155982118,0.1637568359366492,3.449574267490832,4.554763963527533,0.9226495500500315,9.712007353634946e-06,1.3242107188682809e-05,4.178653458529091e-06,2.711386676653626e-06,1.0499772016527258e-05,2.1018757186687253e-06
2050-01-03 03:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842942589,54.93423110048269,0.8008388754722154,2.7258057775003106,122.5782962227284,43.403406233459215,88.62624795576413,113.20265159959943,151.18754676304854,106.23215149755751,586.0510957762388,73.42628185840658,10.17993146101377,377.88477617063614,286.1805394430779,345.0566691232166,84.6926611893927,12.97349710952524,42.32987926308055,5.861758654056552,,,,0.0,2.2584958579826164,1.4934741224158077,5.686156110036332,28.686280946645468,12.133970631031307,,79.026472030015,0.6908151866646316,,48.19967844285555,4.297272437161092,11.458982473586246,35.0449964625157,0.4442691849612347,11.967777253711798,48.41157013796371,10.659520593334387,7.666534169653342,1.4450087211941825e-05,4.479113350466877,2.7136539974632303e-06,1.0540286324005628e-05,2.337621742628187e-06
2050-01-03 06:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842946688,54.93423109951607,0.8008388737992936,2.725805766661857,122.46992577278088,44.07009952606978,88.77719676945566,113.13913803981973,161.1393763072835,104.39698533560518,571.7196745014878,72.03530201203267,10.179931164372698,370.65856833488425,287.7220973777919,333.85588171746684,76.27735786355213,28.68386815669922,42.630610198531414,6.078007047850266,,61.82787705265039,0.0007043353768361,45.84864538860321,2.285873670684564,1.511578286690186,5.755084726567443,27.954320692775845,11.220298493289375,0.0,80.34969109353398,0.6908196292886424,0.0,48.66005112836247,17.954131293066695,12.30974843480161,37.65678080904843,0.9573037368509714,22.203936125067777,61.288360710400866,13.400866670834944,0.6863833365976361,1.7530727899582548e-05,5.193698125933489,2.7168341932862025e-06,1.0549071363350005e-05,2.3847439000635726e-06
2050-01-03 09:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.7122784294517,54.93423109811473,0.8008388715746669,2.7258057521007726,122.37517011126974,44.57919659102648,88.47051390211058,111.64379572363929,161.25881363028196,103.99359575801574,568.0878918748487,75.07474679718685,10.179931742953835,393.42708948921904,279.86379088223333,304.3794752795243,41.29994414295355,25.217847478321573,41.72905362979733,3.757079066818595,,348.54536431446354,7.476429646099305,33.957526976108554,1.9292736678528937,1.2757702467112162,4.85728454319823,23.891719210949947,6.118589239584657e-05,0.0,83.65864745232062,0.6908191956527567,0.0,36.83670408728598,0.0,6.639171663996396,20.288502987099022,2.8655267111529845,15.251449102676188,18.104306461914025,3.6655700070536237,8.004621793970639,1.8543146152240956e-05,4.3138782898486624e-06,2.662763391230209e-06,9.159138264835099e-06,2.1895133576531077e-06
2050-01-03 12:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227842989027,54.93423109273101,0.8008388703534367,2.7258057475557096,122.27142619788728,44.654067246330584,88.37627873424316,111.64379362968242,159.9915285191673,87.4204984376509,570.1663437395109,73.98100921952926,10.179931696561615,384.5925578046748,292.3506399158076,296.12038451099613,44.710856300379504,29.245216987714105,43.6632222449431,3.1075814974416325,3.430076584935421,281.057100962413,13.09725191117192,49.72587622725963,1.9292734582062354,1.2757701025513926,4.85728399482505,8.112766633851733,6.558711160093674e-05,0.0,72.35684502832976,0.690819619338006,0.0,35.9222897262321,0.0,5.663884113222049,17.307281897992624,2.6062114566760104,12.740476200565658,12.790529919007762,2.588707723820061,0.0631195218467191,3.118480541232029e-05,4.256011358798654e-06,2.6734424470908867e-06,9.2502526558581e-06,2.1329163084805593e-06
2050-01-03 15:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227843298728,54.93423104663326,0.8008388682865561,2.7258057453392,122.15557102967315,43.86358637923828,88.55776180892194,112.9194331704683,160.03423436487566,82.66261464665234,558.4322061690675,65.04717392311358,10.179931011536617,329.0259066974477,293.20117398718855,279.11633683710454,70.68081549909175,32.3902248381517,43.19481530084487,5.449371604994309,0.0,31.32707009169575,2.334058184788577,60.798716901302335,1.929275722290657,1.27577071124494,4.857286310372062,12.93031742991406,20.862847605304545,0.0,58.98851035468112,0.6908275292311185,0.0,41.46642916366115,0.0,9.888223187462012,30.229830203073483,0.4389782335149308,19.854135431513814,39.92051618114815,8.394054485676156,1.419042999719275,0.0020447657318912,1.6283090168472325,2.7866550576717215e-06,1.1235204022192051e-05,2.2908119731624477e-06
2050-01-03 18:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.712278432497406,54.93423105473856,0.80083886863049,2.7258057491476233,122.10987419283406,42.660566475048206,88.60744904405817,113.12679755391946,158.18738113111567,85.10800135978934,560.287872296131,65.71989977963266,10.179931069270587,340.07021576382834,290.8241489579819,297.73247903400625,69.94128574264244,16.97597770913876,41.84520508085197,3.378095027010325,0.0,,,0.6827625455856324,1.929275894455581,1.2757708109351111,4.857286689369874,13.381517021230632,29.49162063993881,,58.870246693581,0.690822221386167,,40.64761754215036,0.0,10.758255190860668,32.91222130958629,1.6246669968317806,13.048666271781793,40.2015466331759,8.727208609372127,0.061346303877856,1.5398913210235056e-05,3.072787779168887,2.7863824102044365e-06,1.1269003528455997e-05,2.260453966886487e-06
2050-01-03 21:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227843238504,54.93423105645273,0.8008388683699271,2.725805749578805,122.06899874324392,41.78848095662771,87.93733930199222,113.03050345766032,158.8721559334183,78.60686478142352,570.882016313625,67.60769702818975,10.179932360359876,337.98339844015584,270.397664105975,299.5921836731039,63.787380865419394,6.848325108428845,41.225443030468206,1.4234512826868384,4.9950391039038085,,,,1.9292753765079844,1.2757705476560373,4.85728568823114,6.547802264269744,10.95800758480886,0.0,15.347860193748255,0.690818351814034,,24.09492573919392,,5.198937466670499,15.88383542325264,0.6033899473807928,4.797672507898103,6.879583360699319,1.3938990945446503,0.0478629922362939,1.4049752337530055e-05,4.2351197726364864e-06,2.786402883955461e-06,1.1283873586645575e-05,2.1403559317657464e-06
2050-01-04 00:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.712278432308395,54.93423105762987,0.8008388678385971,2.7258057483409077,122.05042803441069,42.00163221375657,87.94660655669439,113.21489069967892,161.0267366713379,80.05342262659202,577.4645737669023,67.78142977403286,10.179932386747028,343.5395309004934,276.5840173051762,302.4400254096872,65.02498807873249,3.0812537341349375,40.94585420614928,1.5563823040181433,4.350030963810394,,,,1.929275180692612,1.2757705937302248,4.857285863514172,7.192809375272396,4.284294821722605,0.0,16.435780995438364,0.6908176469455501,,17.576063313894565,,3.3799822295693165,10.325476137467684,0.007555747044988,3.7053982041122264,1.3846352988248656,0.280609851757535,0.0384514437262903,1.3914631385863029e-05,4.249235316880506e-06,2.773914971957315e-06,1.0918572294756265e-05,1.9118661445485134e-06
2050-01-04 03:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.71227843223646,54.93423105885819,0.8008388671153387,2.725805745432059,121.90046308149468,42.868438686516114,89.8514408941602,115.50318730910728,161.93258189674864,95.60512426995088,577.3637229790875,67.07538328189571,10.179931138434675,347.82721414712927,290.6844185409707,305.22380384451736,61.97528367631271,12.22792723994793,40.69677418099513,3.1886070237003,0.0,,,0.0,1.92927651484121,1.2757710879270712,4.857287742593204,22.901782095414028,6.937270986130869,0.0,45.20991560347872,0.6908199469339971,,40.634001828065166,0.0,9.575076116787798,29.27953737008796,3.6017990357524337,11.10373286925825,29.97168049712061,6.692521401263361,14.85507916327239,1.425122513298518e-05,3.2585085377711556,2.7191419635443718e-06,1.0329805246675385e-05,2.253284172414363e-06
