snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
carrier,Hydrogen,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Oil,Decentralized heat,CO2 emissions,Electricity,Methane,Centralized heat,Electricity,Electricity,Centralized heat,Ammonia,Methane,Decentralized heat,Decentralized heat,Centralized heat,CO2 emissions,Centralized heat,Decentralized heat,Centralized heat
sector,Industry,Shipping emissions,Aviation emissions,Industry emissions,Industry CC,Fischer-Tropsch,Heat Pump,Transport emissions,Offwind,Imports,Heat Pump,Onwind,Solar,Waste Heat,Haber-Bosch,Storage,Resistive heater,Gas Boiler,Storage,Decentral heat production emissions,Resistive heater,Storage,Gas Boiler
2050-01-01 00:00:00,0.0559360730593607,2.374508766511247,0.325259039312778,1.0193247429284147,0.8315206229984604,1.3319487290593897,5.470498607704916,0.0449057052564591,7.0839999158818605,2.5112059597849243,1.868711934261016,3.0845763550548844,,2.005993143415226,1.8932420066904152,1.85912687845678,5.379692080174769e-07,1.8997493963764854e-07,9.348661987690072e-08,8.420647187696105e-08,2.768704799204079e-07,2.208869740961963e-07,7.89078979321143e-08
2050-01-01 03:00:00,0.0559360730593607,2.374508766511247,0.325259039312778,1.0193247429280596,0.8315206228490335,1.331948653690341,5.453116796897243,0.2236949636178788,6.629704668856573,2.513055861122067,1.8624943525442472,2.1744217453858052,,1.3759782427965201,1.2133173226559373,0.0,0.6402875047326873,2.473470446597319e-07,2.01789859006149e-07,1.0221147730268975e-07,2.1452810854371873e-07,0.900112327435936,8.686872865669276e-08
2050-01-01 06:00:00,0.0559360730593607,2.374508766511247,0.325259039312778,1.019324742924781,0.8315206226681233,1.3319485904501125,5.425671259390373,0.474643299472116,6.870203272096802,2.5150006150233684,1.8526734100644864,1.6547857159651918,0.0357493466669577,1.4885085750673424,1.334762338415174,0.0,1.7727132956003573,2.6489688064870877e-07,3.236194572198812e-07,1.0785610858703554e-07,2.289339923265692e-07,0.0135486251474767,9.010645059653546e-08
2050-01-01 09:00:00,0.0559360730593607,2.374508766511247,0.325259039312778,1.0193247429191226,0.8315206225585174,1.3319486303646182,5.361514712564903,0.3921044931012569,7.056661680536898,2.516168064248793,1.8296974503107288,1.5350304242113937,2.074194564215801,1.1468744298247995,0.9660639041407536,0.0,1.0750578465787333,2.672380091880943e-07,2.202474429749386e-07,1.092144688848785e-07,1.9663636762710544e-07,4.613817674253291e-07,8.894965890675078e-08
2050-01-01 12:00:00,0.0559360730593607,2.374508766511247,0.325259039312778,1.0193247429353973,0.8315206223324529,1.3319486333834714,5.321337093277994,0.461908630987806,7.067526211567336,2.517797343209484,1.815310863524506,1.2194064652673524,3.6226033777081064,1.0449597034931188,0.8560754792527848,0.1353926368803077,0.8679160516391917,2.683923208358271e-07,1.951718909701816e-07,1.0969726997532825e-07,1.8980550585996518e-07,2.629112615222406e-07,8.907731196435626e-08
2050-01-01 15:00:00,0.0559360730593607,2.374508766511247,0.325259039312778,1.01932474298803,0.8315206219086145,1.3319484119334877,5.155249713799399,0.526879069732599,7.045203471534139,2.519848111647927,1.7558549266281265,1.0936779278717956,0.0303293024504817,0.25172903903210936,5.122918146136729e-06,0.0,1.3769253805387716,3.086311619667777e-07,1.013944705146238,1.2139172809455945e-07,1.8796594571827154e-07,3.9493842821764324e-07,9.794346491481961e-08
2050-01-01 18:00:00,0.0559360730593607,2.374508766511247,0.325259039312778,1.0193247430239312,0.8315206215505474,1.331948511596147,5.012308822087091,0.2420110003121472,7.081534850560317,2.52174110734748,1.704685599040047,1.3833725361628442,,0.9256591011127304,0.7273245626864326,0.0,1.4556141874650037,3.18565276950529e-07,0.3609695523895964,1.240550331187173e-07,1.753514337666131e-07,3.065388964149156e-07,9.870206987192116e-08
2050-01-01 21:00:00,0.0559360730593607,2.374508766511247,0.325259039312778,1.0193247430599142,0.8315206212050272,1.33194878297066,4.999934831668591,0.0958614846881367,7.083883947592735,2.524677498890523,1.7002603504481075,1.6512873991273251,,1.3560998682454364,1.1918653983602092,0.0,5.590741783615949e-07,2.588571231597474e-07,8.539936569938859e-08,1.0504301341718205e-07,9.936487788689624e-08,1.3008541821498514e-07,8.15555196153052e-08
