country,sector,year,Curtailment,Available
AL,Hydroelectricity,2023,0.6923744995893453,163901.12375853054
AL,Hydroelectricity,2030,7.9823175006296045,163901.12375853054
AL,Hydroelectricity,2035,12.3805109322599,163901.12375853054
AL,Hydroelectricity,2040,82.5572247934751,163901.12375853054
AL,Hydroelectricity,2045,133.8774503648846,163901.12375853054
AL,Hydroelectricity,2050,47.32881464843793,163901.12375853054
AL,Offwind,2023,0.0,0.0
AL,Offwind,2030,0.3335928636690315,1.153977724397115
AL,Offwind,2035,0.2348329036438534,1.602713018204994
AL,Offwind,2040,0.2781624525170922,2.062153873703886
AL,Offwind,2045,0.2503396360569973,2.4807444996595693
AL,Offwind,2050,0.2437999676230522,2.80805059042643
AL,Onwind,2023,0.0,0.0
AL,Onwind,2030,0.0729477066434143,0.1775820610029484
AL,Onwind,2035,0.1045362282646555,0.2508018928364763
AL,Onwind,2040,0.1334893147472207,0.3388312225507308
AL,Onwind,2045,0.1024703883950796,0.4207984023868392
AL,Onwind,2050,0.0905302283752961,0.464889133253671
AL,Solar,2023,0.4359494007508483,212977.126361952
AL,Solar,2030,1809.7714286802736,3240891.4248602036
AL,Solar,2035,4632.98757164061,3666097.958399636
AL,Solar,2040,11997.353550447588,4337336.708065623
AL,Solar,2045,179358.04881812158,6196707.684081735
AL,Solar,2050,193277.3164829104,7141764.090233743
AT,Hydroelectricity,2023,1.4473345702297706,21868120.08253126
AT,Hydroelectricity,2030,2.0128538534294407,21868120.08253126
AT,Hydroelectricity,2035,1.5113207791778365,21868120.08253126
AT,Hydroelectricity,2040,5.4670400818528435,21868120.08253126
AT,Hydroelectricity,2045,14.15598393983231,21868120.08253126
AT,Hydroelectricity,2050,13.865432122531516,21868120.08253126
AT,Onwind,2023,1.1054368627045903,2296392.2594533027
AT,Onwind,2030,2.636301858126731,2267525.563629159
AT,Onwind,2035,2.074150501439912,2267526.4969878695
AT,Onwind,2040,1.5834642325603454,1819928.7570946456
AT,Onwind,2045,12.776311332493329,1709875.731839944
AT,Onwind,2050,8.610299903411603,859449.0724088929
AT,Solar,2023,0.7350721280709013,7153607.321427452
AT,Solar,2030,17.084106569847258,9727776.475204907
AT,Solar,2035,7013.3167493190485,17504091.669847272
AT,Solar,2040,82689.2261524475,25336107.009777468
AT,Solar,2045,122604.36741491265,25336109.996643987
AT,Solar,2050,129285.43836057972,25313078.564156607
BA,Onwind,2023,0.3963295864577649,50004.60746486551
BA,Onwind,2030,1.1663432102702276,50005.013811922465
BA,Onwind,2035,0.7795188906137913,50005.17375030653
BA,Onwind,2040,0.931073965119748,50005.39125997336
BA,Onwind,2045,6.665103529684368,50005.58392667404
BA,Onwind,2050,11.618206331594832,50005.700789413015
BA,Solar,2023,0.3928888379232764,144759.97847398568
BA,Solar,2030,36.82977622035493,1750365.5710382164
BA,Solar,2035,422.6078127803788,4475088.458944703
BA,Solar,2040,3945.319193660162,5797250.057105108
BA,Solar,2045,44652.950909813306,6411110.238422493
BA,Solar,2050,219952.76751840956,9520498.618901247
BE,Hydroelectricity,2023,0.9425035072280694,323968.5254147717
BE,Hydroelectricity,2030,1.376214318241929,323968.5254147717
BE,Hydroelectricity,2035,0.0514491310843768,323968.5254147717
BE,Hydroelectricity,2040,0.6968505136087068,323968.5254147717
BE,Hydroelectricity,2045,144.45139363565073,323968.5254147717
BE,Hydroelectricity,2050,322.2570403027602,323968.5254147717
BE,Offwind,2023,1.4847127574457004,7739554.770891165
BE,Offwind,2030,11.752563420565526,38150432.57264285
BE,Offwind,2035,1.5722592830984226,38150439.449383944
BE,Offwind,2040,1.3915195118477015,38150439.70661074
BE,Offwind,2045,328.20434812768127,38152195.22987905
BE,Offwind,2050,95.11875228606095,38156800.9499684
BE,Onwind,2023,3.541583175204291,8354545.186157757
BE,Onwind,2030,39.491467424609304,11052066.982400743
BE,Onwind,2035,16.30372822968808,11052106.397181798
BE,Onwind,2040,40.566270512139354,11062992.18622507
BE,Onwind,2045,3210.0193459899933,12395495.42939896
BE,Onwind,2050,7859.818892966052,22482798.784425896
BE,Solar,2023,2.153739840311528,9536665.918867365
BE,Solar,2030,2320.0633760340556,9536854.074274993
BE,Solar,2035,4788.672704218585,11204986.434738858
BE,Solar,2040,78923.74066606932,23686118.923314087
BE,Solar,2045,513456.0797068821,30627620.98153481
BE,Solar,2050,694368.8010131691,30627642.28929606
BG,Hydroelectricity,2023,0.7170462249423648,216708.41938748528
BG,Hydroelectricity,2030,3.3529886403836895,216708.41938748528
BG,Hydroelectricity,2035,0.1013374181981594,216708.41938748528
BG,Hydroelectricity,2040,0.9391751549399376,216708.41938748528
BG,Hydroelectricity,2045,11.83988808786553,216708.41938748528
BG,Hydroelectricity,2050,38.762437445160174,216708.41938748528
BG,Offwind,2023,0.0,0.0
BG,Offwind,2030,0.8702888583748326,5.296293760118349
BG,Offwind,2035,0.5035024626634989,7.61841438438848
BG,Offwind,2040,0.6148565278349679,9.832666980647211
BG,Offwind,2045,0.7612935951169278,14.06911500158111
BG,Offwind,2050,10.84096707813356,1788.4028813561297
BG,Onwind,2023,0.773928745017042,497001.85055129806
BG,Onwind,2030,0.9830090804980968,497003.47718265885
BG,Onwind,2035,2.367613577488396,497004.1582272794
BG,Onwind,2040,4.614011565684373,497005.03821045137
BG,Onwind,2045,4.799930294275142,151765.8209649788
BG,Onwind,2050,0.3694309679953189,4.545931559187249
BG,Solar,2023,0.6609936177350391,3786313.020371491
BG,Solar,2030,46.21577946261456,12012013.613035168
BG,Solar,2035,559.9605284074678,13169147.43521649
