country,carrier,2030,2035,2040,2045,2050
AL,BEV charger,2.9643400383123857,5.537926162483593,8.1115122866548,9.391568212289696,10.671624137924589
AL,H2 Fuel Cell,4.5612918536316427e-07,7.094023569314636e-07,8.91899295146011e-07,1.0359623060740417e-06,1.1525176829513158e-06
AL,air heat pump,0.0506919627523009,0.0515147939384136,0.0524032158682531,0.0688830671856058,0.0765638125725034
AL,battery charger,2.9612168541954004e-06,4.890897836558228e-06,6.225757975286652e-06,7.286853579721318e-06,5.166316093033241e-06
AL,ground heat pump,0.022831839859871,0.0228351678763602,0.0228448655036186,0.0420365537396529,0.0507870057217526
AL,home battery charger,0.0607369908467856,0.0789988830004519,0.0949793667115799,0.8458346839497204,0.8611831650021439
AL,hydro,1.6907,1.6907,1.6907,1.6907,1.6907
AL,water tanks charger,0.4822120278066787,0.4392237307089601,0.4838166031118911,0.5501001513686979,0.5710693307441264
AT,BEV charger,11.49027616,21.465925008,31.441573856,36.403284016,41.364994176
AT,H2 Fuel Cell,4.821397783129186e-07,7.414941740309711e-07,9.282671439738832e-07,1.0815413137701177e-06,1.2148407941261577e-06
AT,PHS,5.057300000000001,5.057300000000001,5.057300000000001,5.057300000000001,5.057300000000001
AT,air heat pump,0.6556661193965712,0.7166224902472613,0.7681634456372552,1.323406267879533,1.7846822420680382
AT,battery charger,3.024216278127946e-06,4.961257909923329e-06,6.27611366331887e-06,7.317289472028808e-06,5.081993333415082e-06
AT,ground heat pump,0.5281391133191224,0.5281405430559837,0.5840791154143375,0.8099045288107707,0.9600456650914057
AT,home battery charger,3.9957331206524995e-06,7.65914174422564e-06,1.1859690484479338e-05,1.5500004751836085e-05,1.583461708536109e-05
AT,hydro,3.6006199999999997,3.6006199999999997,3.6006199999999997,3.6006199999999997,3.6006199999999997
AT,water tanks charger,4.9625419840939085,4.571965581424421,5.63262768081716,6.224324583618149,6.942029914593855
BA,BEV charger,3.9664570647449864,7.410062970955406,10.853668877165829,12.566457155123889,14.27924543308195
BA,H2 Fuel Cell,4.500415430001347e-07,7.079782512802483e-07,8.918803523490391e-07,1.0444888791458478e-06,1.1738681079149666e-06
BA,PHS,0.44,0.44,0.44,0.44,0.44
BA,air heat pump,0.0861670915815566,0.0861714032424565,0.0861756594269712,0.1291522521973228,0.1683340482445216
BA,battery charger,2.94858395849223e-06,4.873782374102435e-06,6.191228038485948e-06,7.239175237824518e-06,5.132084318288752e-06
BA,ground heat pump,0.1147677332590855,0.1147692010686914,0.1147779543531472,0.1935336715499502,0.2371226777945569
BA,home battery charger,1.4569324081103264e-05,0.047956034734176,0.099324386403987,0.2337514733761479,0.8667663468664087
BA,hydro,1.6145,1.6145,1.6145,1.6145,1.6145
BA,water tanks charger,0.8524648399462003,0.7515021779792186,0.9040377789365602,1.0065857527948097,1.0795836430634995
BE,BEV charger,13.609061179999998,25.424200658999993,37.239340138,43.11598019299999,48.992620247999994
BE,H2 Fuel Cell,1.426373203802055e-06,2.202880396152905e-06,2.8133771945871587e-06,3.2931245228498206e-06,3.7151481802613466e-06
BE,PHS,1.308,1.308,1.308,1.308,1.308
BE,air heat pump,2.0341312085631182,2.198136344268543,2.353622785659405,3.748626120962544,4.421885684577546
BE,battery charger,8.895661061628764e-06,1.4530625407128722e-05,1.8373006038394524e-05,2.1454938164009696e-05,1.509399946071272e-05
BE,ground heat pump,0.2637475469247639,0.2637555925992147,0.2827498983158879,0.3477052310603076,0.3677868826135858
BE,home battery charger,1.165410952495206e-05,2.215953001599289e-05,3.462571044074895e-05,5.152811650798005e-05,0.0001196668284115
BE,hydro,0.0127828025477706,0.0127828025477706,0.0127828025477706,0.0127828025477706,0.0127828025477706
BE,water tanks charger,14.875646555867744,8.414009074018045,14.138083579180012,17.412579805007624,19.66200605656283
BG,BEV charger,7.67944166,14.346593283,21.013744906,24.329867441,27.645989976
BG,H2 Fuel Cell,4.585136825361169e-07,7.102076168665147e-07,8.874971692644469e-07,1.0174561838318454e-06,1.1147985313964313e-06
BG,PHS,0.864,0.864,0.864,0.864,0.864
BG,air heat pump,0.1299822299568105,0.1312809370848326,0.1283284045200427,0.1283293087615255,0.1368315603349619
BG,battery charger,3.094654887057674e-06,5.093925864613344e-06,6.509970074927068e-06,7.671139491522306e-06,5.486946311370899e-06
BG,ground heat pump,0.089354049471652,0.08997961233837,0.0916078181062418,0.0916089491559969,0.0995986301626208
BG,home battery charger,9.01208896349286e-06,0.1244130879031775,0.4928310222157747,1.7892799063989595,1.7894239577493314
BG,hydro,1.92514,1.92514,1.92514,1.92514,1.92514
BG,water tanks charger,3.11334927793857,2.9532728662785144,3.263693926568775,2.4817633288457692,2.602161293536482
CH,BEV charger,10.78852698,20.154929948999996,29.521332917999995,34.180015023,38.838697128
CH,H2 Fuel Cell,4.577190865348649e-07,7.11404853367054e-07,8.94839319399376e-07,1.0410541217302449e-06,1.1610400183463697e-06
CH,PHS,5.08955,5.08955,5.08955,5.08955,5.08955
CH,air heat pump,1.0954582820326153,1.0954607658183269,0.9862022491459452,1.677762841344674,2.122658551307501
CH,battery charger,3.0662206420069614e-06,5.029075417049525e-06,6.354875732568365e-06,7.365993249194404e-06,5.068982229076606e-06
CH,ground heat pump,0.3410369773169271,0.3410381281604146,0.317454853540468,0.4857663773862372,0.5800253646079095
CH,home battery charger,4.067413676954285e-06,7.81424571158158e-06,1.221158505367682e-05,1.579442208824036e-05,1.4877312223507207e-05
CH,hydro,9.91631,9.91631,9.91631,9.91631,9.91631
