countries,carrier,2030,2030_std,2035,2035_std,2040,2040_std,2045,2045_std,2050,2050_std
AL,gas,28.77952061647367,1.4727692017718952,27.93790178123664,0.5007830075638521,27.788126878990273,0.2285928413223855,27.761162744255753,0.2765316509250349,27.718617841812932,0.2945237787799105
AT,gas,28.921009187939053,6.297084395937784e-06,28.170836100459297,1.446329845327255e-07,26.759802338021288,1.2101768154147273e-07,26.60465097842528,1.3859908693017297e-07,26.38223368238869,8.484815330242285e-08
BA,gas,29.286672866616673,1.4310830701371813,28.158252941441276,0.0318809578404107,28.179713572491153,0.0543517302498381,28.07397455896646,0.0895590349155372,27.810713635499823,0.1100208841357109
BG,gas,24.999997438158527,5.418731255352538e-07,24.999998332832476,1.759057843079893e-07,24.99999671226085,1.7253063604956196e-07,24.99999562819151,9.16873850841409e-08,24.99998784301341,5.459456044438101e-08
BX,gas,26.278207432898395,0.0162048929210803,26.278283032029844,0.0199615876772131,26.276923893553203,0.0347958817719423,26.27747864959532,0.036956386405786,26.274944357363673,0.0435439376463255
CH,gas,30.116950263736772,1.6228380818468369,29.375840229330127,1.4272099693061646,28.88193438897921,1.4706371771426066,27.80951457562632,1.465590447626473,27.322336254784183,1.136611873953712
CZ,gas,26.665890312137652,2.227037178640585e-05,26.67332873150858,6.777433952839269e-07,26.585553439877444,1.4559082408287674e-07,26.480168655697195,9.353861585373185e-08,26.410437841048505,6.418466177702614e-08
DE,gas,24.99999993680455,6.757385893065431e-08,24.999999981928006,1.220093991572673e-08,24.999999949166828,2.1177946305121463e-08,24.99999994302985,1.9986102705330874e-08,24.9999999115686,1.4280962092918014e-08
DK,gas,26.317034441938137,0.1262682494433455,26.442776665730523,0.0058683015631446,25.678471128997685,6.01507745572965e-07,25.63200455531186,1.9036351336239786e-07,25.620021803011927,1.59204550104122e-07
EE,gas,24.999963782547127,1.9847036996550583e-05,24.999984445636297,1.0317720899853968e-05,24.999987116941867,4.519197967521002e-06,24.999987680402867,3.5132310525645755e-06,24.9999174104662,2.042519001864306e-05
