country,hydro,ror,offwind,onwind,solar,solar thermal
AL,1.4937,0.0482,6.778650492462767,56.23901970713419,20.93397775052733,0.0
AT,3.42662,4.7975,0.0,116.39109608506362,79.36977345154209,0.0
BA,1.6955,0.0,0.0,115.35218375449004,40.89160296824559,0.0415899928257024
BE,0.0127828025477706,0.0798761965781364,7.161445410293528,12.897304468992688,68.42005257250398,0.0
BG,2.0395399999999997,0.0224,3.597468118406004,121.2486301923879,94.38304796141377,0.0
CH,9.18198,4.6048,0.0,64.69387921008841,61.11070947875967,6.817331707265049
CZ,0.6849839022845103,0.040226382271496,0.0,86.71969362046855,97.2913943278292,0.0
DE,0.1695,2.8367033499999996,63.424412429663306,407.74695845636506,575.2518706696417,0.0
DK,0.0,0.0,116.88981641447634,61.18592843010227,59.35918870615578,0.0
EE,0.0,0.0,42.714146738059874,78.05086991470925,22.009873115915333,0.0
ES,15.221407,0.1470082475,24.583382808823337,778.1987595372614,483.0318953766126,8.886152705845756
FI,1.3868000000000005,1.53693,158.1648725675717,639.562484945088,44.38295966925031,0.0
FR,8.060550318471336,6.836243641193081,72.13052105629185,793.8631960781978,697.8867711495506,0.0
GB,0.1383,8.7889,243.8028842217027,362.0982773405899,438.5501769365936,0.0
GR,2.566,0.1031,50.72491659647506,174.66984591798817,88.78575680666476,5.322270247116844
HR,1.3276244585987262,0.2731677302916768,29.270508428064016,63.892242079647886,35.311139997842645,0.3223257331136805
HU,0.028,0.0197,0.0,114.27086923597396,127.05296918876816,0.0
IE,0.001,0.216,35.4610029207275,117.43494971886518,85.96654870144489,0.0
IT,4.13086178343949,7.42449,115.59339462799312,434.3530999052208,416.2254143240155,16.54884676898777
LT,0.0,0.101,4.403991884672442,106.9690509423178,67.40996634662473,0.0
LU,0.0,0.0308999999999999,0.0,2.5387211680037227,4.187016459217143,0.0
LV,0.0,1.5360999999999998,27.134361381101833,124.71585579169322,42.44065874939232,0.0
ME,0.362961,0.31236,1.475693965407857,31.464057765987885,6.529323579901795,0.0154248028008176
MK,0.0,0.0,0.0,55.56121833025698,22.940576746560403,0.3166960129474486
NL,0.0,0.0,133.42717579925167,38.58975332650548,90.32652952511836,0.0
NO,28.7136802,0.2105,94.94177902589354,568.6043666256934,110.9881659543846,0.0
PL,0.2321019108280254,0.182400368779544,21.37192801003052,351.2376376636968,397.2664443115894,0.0
PT,1.5204000000000002,2.6385,11.16791401624679,134.80872545937245,69.32367322342193,0.0847942728351991
RO,5.636880127388535,0.87045,6.958967700899068,270.6796007986888,269.5316972540013,0.0
RS,0.7901,1.7084,0.0,174.9046149876932,92.94650530538844,0.2673281662791745
SE,11.881718930875774,1.776,176.04044234580596,781.489876930144,80.60089534892285,0.0
SI,0.118,0.912275,0.3683863785347205,23.945831026885973,14.886219425237506,0.0
SK,0.2419,1.36346,0.0,43.43853893858592,48.354608821506375,0.0
