sector,node,2030,2040,2050,carrier
Agriculture,AT,0.6437819867533201,0.6437819867533201,0.6437819867533201,electricity
Agriculture,BE,0.673529657531505,0.673529657531505,0.673529657531505,electricity
Agriculture,BG,0.2411544187850093,0.2411544187850093,0.2411544187850093,electricity
Agriculture,CZ,0.7502833058403744,0.7502833058403744,0.7502833058403744,electricity
Agriculture,DE,7.172357267965594,7.172357267965594,7.172357267965594,electricity
Agriculture,DK,1.6216608790407239,1.6216608790407239,1.6216608790407239,electricity
Agriculture,EE,0.1582739809227144,0.1582739809227144,0.1582739809227144,electricity
Agriculture,ES,3.420127308684605,3.420127308684605,3.420127308684605,electricity
Agriculture,FI,1.2345608955841836,1.2345608955841836,1.2345608955841836,electricity
Agriculture,FR,6.929023969173455,6.929023969173455,6.929023969173455,electricity
Agriculture,GB,3.275242232061276,3.275242232061276,3.275242232061276,electricity
Agriculture,GR,2.1095715678171034,2.1095715678171034,2.1095715678171034,electricity
Agriculture,HU,0.6388627655962039,0.6388627655962039,0.6388627655962039,electricity
Agriculture,IE,0.470289962034891,0.470289962034891,0.470289962034891,electricity
Agriculture,IT,5.036294825580406,5.036294825580406,5.036294825580406,electricity
Agriculture,LT,0.1407059377828149,0.1407059377828149,0.1407059377828149,electricity
Agriculture,LV,0.1138001007639696,0.1138001007639696,0.1138001007639696,electricity
Agriculture,NL,6.003970234857895,6.003970234857895,6.003970234857895,electricity
Agriculture,PL,1.391160278924095,1.391160278924095,1.391160278924095,electricity
Agriculture,PT,0.8410934993614985,0.8410934993614985,0.8410934993614985,electricity
Agriculture,RO,0.6488875923973444,0.6488875923973444,0.6488875923973444,electricity
Agriculture,SE,0.9963078025020058,0.9963078025020058,0.9963078025020058,electricity
Agriculture,SK,0.252873044434499,0.252873044434499,0.252873044434499,electricity
Ammonia production,DK,0.2508806961411004,0.1083621361001034,0.127332174473197,electricity
Ammonia production,ES,19.840613469218862,13.658793801672376,9.203999611574867,electricity
Ammonia production,GB,0.10257806576449416,6.668050886589423,5.7960057922821795,electricity
Ammonia production,GR,0.3451287138800987,0.2558755059752031,0.27281393606969,electricity
Ammonia production,IE,0.0001793166609048,7.004419832081781e-06,4.0716339174241245,electricity
Ammonia production,IT,0.0642573400545211,0.0434572230873948,0.6589694179503466,electricity
Ammonia production,MK,9.581787238343768e-06,3.0247366282404383e-06,0.4782154272751837,electricity
Ammonia production,PT,0.2920208765426619,0.1627562080414869,0.1304652685726026,electricity
Heat,AL,0.6059746868064004,0.8668576962983996,0.9072338685996608,electricity
Heat,AT,5.2306685948398135,7.813275174307038,18.318859794192687,electricity
Heat,BA,0.7419358713447232,1.2221623824011612,2.198116480233954,electricity
Heat,BE,7.602773088919206,14.320003076173391,33.834446429680966,electricity
Heat,BG,3.299517031967908,5.677764011893003,5.276411406982092,electricity
Heat,CH,5.422003427626562,5.294015318236385,17.715839910535287,electricity
Heat,CZ,6.325646403208054,6.433116272708348,17.13528320223712,electricity
Heat,DE,31.120313151274434,67.2916255831929,168.3621139429879,electricity
Heat,DK,8.730570420317978,6.7057654705060346,13.84424150278436,electricity
Heat,EE,0.8883862136145297,1.0341385008660902,2.2388241099410684,electricity
Heat,ES,64.78470927576839,40.97045918717372,53.124119368063035,electricity
Heat,FI,7.450470399486435,5.3153269111389685,21.873032714741353,electricity
Heat,FR,88.74022197646616,73.94409596282168,129.85174677195448,electricity
Heat,GB,47.74016196975416,97.27377213985895,143.83701114455573,electricity
Heat,GR,9.422757737900842,6.952354916600999,12.409749476004398,electricity
Heat,HR,2.2099368209307686,3.6130149271470073,5.9836036077379005,electricity
Heat,HU,3.011489896981679,8.695005461300656,14.929683312271068,electricity
Heat,IE,4.729474186192931,7.641777866752571,9.771876410599805,electricity
Heat,IT,86.71792962177875,60.74025454574496,98.73634813618088,electricity
Heat,LT,0.3580815477587456,1.2181995549262303,2.8586592825942314,electricity
Heat,LU,0.2555412094108288,0.6691097911218807,1.8770995719188115,electricity
Heat,LV,0.12015343487720886,1.0135493224483003,1.573003852506414,electricity
Heat,ME,0.2670632600603505,0.45632260947535574,0.6419885941278262,electricity
Heat,MK,0.6242519548933965,0.756572840345705,1.00635048174187,electricity
Heat,NL,8.914455926613998,26.715605012823655,51.0014284003738,electricity
Heat,NO,5.4729514508623796,4.126333026393967,10.255671788861436,electricity
Heat,PL,18.59263199036188,28.966702069768836,53.47654175186451,electricity
Heat,PT,10.010053238648345,8.052632209609262,8.96830367962487,electricity
Heat,RO,2.767324356119493,13.007763013562709,16.13969410107792,electricity
Heat,RS,2.9565758805155866,4.5300775476441935,7.714636719195267,electricity
Heat,SE,14.349010009645783,9.341213511651057,24.146566844752968,electricity
Heat,SI,0.9411027009118005,1.7580317013515134,2.842378876734685,electricity
Heat,SK,1.308351951427004,3.3037535836586223,6.007685553730405,electricity
Hydrogen production,AL,3.56905740541748e-06,1.0801320938813964e-05,11.433467676209087,electricity
Hydrogen production,BG,2.8292503110802513e-06,1.0411359720322711e-05,14.0004483749501,electricity
Hydrogen production,CH,2.9180768410660726e-06,9.680227414504248e-06,2.3984962517864585,electricity
Hydrogen production,DE,3.5625447358360956e-06,1.0826058309033169e-05,4.509864468012725,electricity
Hydrogen production,DK,1.1751712388978169e-05,2.3932430354494364e-05,40.452556194516276,electricity
Hydrogen production,EE,2.687012216941556e-06,1.2251451697459669e-05,15.480753769623574,electricity
Hydrogen production,ES,2.4925572489111993e-05,116.612981851288,318.93100753266947,electricity
Hydrogen production,FR,3.4599004684290625e-06,0.0002719495814246,227.68415211382276,electricity
