country,sector,2030,2040,2050
AL,Battery,6.747668243796251e-06,0.7994443507294463,1.9075894973822345
AL,Coal/Lignite,2.46559007450605e-07,1.5578843851210904e-07,5.7127664441703964e-08
AL,Fuel Cell,2.9731159392436273e-07,4.174004065778002e-07,2.374886741075816e-07
AL,Gas,1.269843844932365e-06,1.1182042904438004e-06,4.321148942287019e-07
AL,Hydroelectricity,1.5419,1.5419,1.5419
AL,Nuclear,4.107197560307071e-07,4.178549330807144e-07,2.799632836757769e-07
AL,Offwind,3.7777373984993444e-07,4.170326538954468e-07,2.8082529064225296e-07
AL,Oil,0.089855157846138,0.0898550782733523,0.0898547949583689
AL,Onwind,4.338959527170206e-07,4.879333736203126e-07,3.660053189184942e-07
AL,Solar,7.561689329378099,10.545807512610663,20.933976998359437
AL,Solid Biomass,3.3071151917995197e-07,2.546531657097128e-07,1.0979396785117605e-07
AL,V2G,3.223687468036484,7.736849923287562,10.960537391324046
AT,Battery,6.227444778172763e-06,1.6061842822060072e-05,1.6968391390271932e-05
AT,Coal/Lignite,2.5037644575210514e-07,1.5641690087977225e-07,5.7633408915752414e-08
AT,Fuel Cell,3.1841898129746905e-07,4.4694459576401636e-07,2.98367863256851e-07
AT,Gas,4.1373013055482755,3.1069011580262345,1.7262004550253198
AT,Hydroelectricity,13.26842,13.26842,13.26842
AT,Nuclear,4.285838204131717e-07,4.426197996846792e-07,3.087272145129744e-07
AT,Oil,6.153821574404297e-07,5.355702861269892e-07,2.520064736660984e-07
AT,Onwind,3.7358125093322694,0.5098332164758019,2.8190469268429517e-06
AT,Solar,30.854241819595405,45.75674907199399,63.72379195194192
AT,Solid Biomass,2.765163326941957e-07,2.2769238427540306e-07,1.0066929782484173e-07
AT,V2G,11.169675000000002,26.80722,37.976895
BA,Battery,6.305141287613181e-06,0.081655008692827,0.9999619387278528
BA,Coal/Lignite,2.480946097217263e-07,1.556606179798323e-07,5.7180034483791355e-08
BA,Fuel Cell,2.974338197532875e-07,4.1557480503859386e-07,2.443581024877651e-07
BA,Gas,1.2795979014867976e-06,1.1207202329675137e-06,4.37462518538489e-07
BA,Hydroelectricity,2.1355,2.1355,2.1355
BA,Nuclear,4.18513177129282e-07,4.25215825693378e-07,2.843400322665907e-07
BA,Oil,6.149532753190627e-07,5.353890112110167e-07,2.519437262243545e-07
BA,Onwind,0.1347005159315292,0.0480005840175242,4.3740979228311185e-07
BA,Solar,3.932496898988725,7.765396839135904,11.598452429631395
BA,Solid Biomass,3.187644806967767e-07,2.698639128858962e-07,1.1037426374056985e-07
BA,V2G,4.313478807040868,10.35234913689808,14.665827943938949
BE,Battery,6.092166910735634e-06,1.3541808135374832e-05,1.1257170728500802e-05
BE,Coal/Lignite,2.4977787459438353e-07,1.5430516603050737e-07,5.8162057681682775e-08
BE,Fuel Cell,3.205393975061634e-07,4.371895204166249e-07,3.210017095338999e-07
BE,Gas,5.8478982730926665,4.753098117397696,1.92200045870542
BE,Hydroelectricity,1.400658999125907,1.400658999125907,1.400658999125907
BE,Nuclear,2.056000425437345,2.0560004142241017,2.850121039038482e-07
BE,Offwind,6.196500030951796,6.000000000141257,6.000000094626581
BE,Oil,6.15562712321465e-07,5.351984160361672e-07,2.5193383266875833e-07
BE,Onwind,5.048661003634554,4.200000164109297,12.182818264773967
BE,Solar,17.524878095479096,31.853886732737127,49.110389768593784
BE,Solid Biomass,1.8131579880163141e-07,1.567294675562628e-07,7.61000798937715e-08
BE,V2G,13.382325000000002,32.11758,45.499905
BG,Battery,6.823889736342487e-06,1.2874769229533936,4.962920131400076
BG,Coal/Lignite,1.6155539975197903,1.615553911533675,1.615553812941497
BG,Fuel Cell,2.849342265666214e-07,4.1646733640540203e-07,2.311332458069377e-07
BG,Gas,0.0830013896411091,0.0830012194097269,0.083000440715365
BG,Hydroelectricity,2.92594,2.92594,2.92594
BG,Nuclear,2.0800004151930347,2.080000430339947,2.080000269371558
BG,Offwind,6.6875049286299e-07,7.827710297366743e-07,5.769629655145031e-07
BG,Oil,6.147217694088577e-07,5.350300743761829e-07,2.518933056272213e-07
BG,Onwind,0.6910017251185304,2.2297228774664537e-06,2.0142551313551096e-06
BG,Solar,15.029378186504305,23.20394854768977,46.0883586274087
BG,Solid Biomass,4.40269202455577e-07,2.714805824702974e-07,1.3327741627907984e-07
BG,V2G,7.236051075000001,17.366522579999998,24.602573654999997
CH,Battery,6.27317907254313e-06,1.79926575712717e-05,2.367923511749809e-05
CH,Coal/Lignite,2.477458654860557e-07,1.556081373311705e-07,5.718584329227092e-08
CH,Fuel Cell,3.09965848999956e-07,4.4404069757601675e-07,2.8304925514775037e-07
CH,Gas,0.055001292700289,0.0550011547038447,0.055000447864413
CH,Hydroelectricity,18.767529999999997,18.767529999999997,18.767529999999997
CH,Nuclear,2.970000422890874,2.9700004209034705,2.970000289557571
CH,Oil,6.153418369241902e-07,5.353244274024875e-07,2.5193536230397644e-07
CH,Onwind,0.0750011201735861,1.2474195619725751e-06,8.638608946570733e-07
CH,Solar,25.363804594733654,33.13204457400473,40.87243506899717
CH,Solid Biomass,2.947484623309628e-07,2.2643695381646146e-07,1.0207048109824857e-07
CH,V2G,10.2366,24.56784,34.80444
CZ,Battery,6.126407197126991e-06,1.2962149677172246e-05,1.151063198360534e-05
CZ,Coal/Lignite,4.658650905826547,4.6586508141911915,4.555371049052531
CZ,Fuel Cell,3.172127925244459e-07,4.432204916377842e-07,2.877895555821973e-07
CZ,Gas,0.6372900862790918,0.6372899739462827,0.5162892520079264
