snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
carrier,CO2 emissions,Hydrogen,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Oil,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Hydrogen,Methane,Centralized heat,Electricity,Electricity,Hydrogen,Ammonia,Decentralized heat,CO2 captured,Centralized heat,Electricity,Centralized heat,Methane,Decentralized heat,Centralized heat,Electricity,Electricity,CO2 emissions,Decentralized heat,Electricity,Centralized heat,Centralized heat,Decentralized heat
sector,Shipping emissions,Industry,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Fischer-Tropsch,Heat Pump,Transport emissions,Offwind,Heat Pump,Electrolysis,Imports,Waste Heat,Onwind,Solar,Imports,Haber-Bosch,Resistive heater,Central heat production CC,Gas CHP CC,Gas CHP CC,Storage ,Storage,Gas Boiler,Resistive heater,Hydroelectricity,Battery,Decentral heat production emissions,Storage,Gas,Gas Boiler,Biomass CHP,Oil Boiler
2050-01-01 00:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.5151176256746095,2.031458518584485,3.6955858497214344,9.907324499691313,0.0804803555539621,7.083999911516019,2.6303842320858375,0.6966718611506045,2.6843678702537903,0.878814737378716,5.706839489200352,,2.929499454078797e-07,0.1043320332934411,8.021656534047237e-07,2.8517710161962894e-07,3.51212136474886e-07,3.145565372374167e-07,1.6780839809554034e-07,,5.478344662090179e-07,0.2071569333626681,0.07976688233279342,2.4903278426249956e-06,2.6557077779278507e-07,7.439679786878876e-07,5.921440434394498e-07,2.7606341541288324e-07,1.9075668715358306e-07,1.353962545506437e-07
2050-01-01 03:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.5151176256157772,2.031458518683807,3.695585578954219,9.857526211832841,0.4013561647286948,6.633552656145149,2.6148512927386625,0.6966717574681806,2.684005543240227,1.5080807339716757,4.703418331320138,,7.317484473832869e-07,0.7834486955199016,1.2866982403244551,3.391042339941946e-07,4.3320877534452705e-07,3.880276113803374e-07,4.970584070650505e-07,0.0,6.970669747061234e-07,1.6738605537382167,0.0798762785650442,4.422055406551716e-06,3.156474184087912e-07,1.5846445712875974,6.288932355039489e-07,3.170722049595926e-07,2.0483750360557657e-07,1.5448522815919093e-07
2050-01-01 06:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.515117625587647,2.0314585187444276,3.695585177227136,9.825839655684266,0.8509550313403546,6.877632353462417,2.6054794083059285,0.6966719086202354,2.68461304186187,1.7638765593995704,3.689808452652608,0.14203193442964449,0.2637839105855987,1.0595088405518938,3.22635939912678,3.6437888767366534e-07,4.703263409969021e-07,4.212947695407347e-07,0.0025946688278828,0.0,7.532338077597071e-07,1.6092534788942825,0.0798762912372698,9.404806642179586e-06,3.3605965350170134e-07,0.0758523080864112,6.37011876587777e-07,3.376721254863224e-07,2.113662812567642e-07,1.604652797748672e-07
2050-01-01 09:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.515117625550913,2.031458518807565,3.6955853994524146,9.791927094305304,0.7005355120458279,7.058911506535072,2.596477019587066,0.6966717185864101,2.686190565547763,1.2556918509510924,3.3201669468600437,3.113314317421639,1.3232236985572478e-06,0.51106560422809,1.9190054207018763,3.5623629314180763e-07,4.60796082679251e-07,4.127539147796515e-07,6.167912219985146e-07,0.0,7.475710907688642e-07,1.4743893114138955,0.07987630027374712,4.905322503949499e-06,3.332573896032669e-07,1.357202742928245e-06,6.390240593956985e-07,3.278659668416845e-07,2.0777875927077986e-07,1.5985553598582777e-07
2050-01-01 12:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.5151176255279404,2.031458518841655,3.695585254521831,9.724752695254345,0.8252856306324067,7.0686372649290625,2.5760012892591786,0.6966718737581046,2.690092615203722,1.2350506163338244,2.8633847604134255,5.009888852743774,1.8361214529711112e-06,0.4887891836303614,1.5341299440924503,3.357765188651193e-07,4.299357772261495e-07,3.8509533497620514e-07,2.874276233701138e-07,0.0,7.752363006592416e-07,1.3066917499281177,0.07987627550044031,3.2732351698637282e-06,3.386548219136387e-07,3.454934741209669e-05,6.254178916044931e-07,3.150430668994095e-07,2.0157174790924064e-07,1.6251555779078713e-07
2050-01-01 15:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.5151176255882677,2.031458518731988,3.695585206082019,9.408511849224869,0.9429642020710958,7.045621408970296,2.478900022953541,0.6966716073165649,2.691245437439787,1.33173449790088,1.8748175521271748,0.0750830769789226,1.7890989041383725,0.5931324872702609,2.4771085558528187,3.830730402215675e-07,5.062544373098955e-07,4.535217650828331e-07,1.3112200491826424e-06,0.0,8.168213604991054e-07,1.5966407068461177,0.07987636841122432,9.596063633705633e-06,3.546255996125077e-07,3.649355314691646e-05,6.623375797641555e-07,3.433639882439444e-07,2.1378023291376794e-07,1.66612304391542e-07
2050-01-01 18:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.5151176256060044,2.0314585186953913,3.69558516498905,9.126619817155776,0.4339995078285323,7.081742813964239,2.3921886268711052,0.6966718466599279,2.694234618110234,2.0769996237475477,2.0699667411677125,,0.8053205398333982,1.3974375771513483,2.641605240466077,3.6678961293655765e-07,4.775907152784163e-07,4.278271350729469e-07,6.828585916463772e-07,0.0,7.986816499097198e-07,0.8838385969961946,0.07987630118584221,3.990277033157991e-06,3.486777448566584e-07,1.1418417787857952e-06,6.413618456018858e-07,3.3978230171573265e-07,2.1019060711819954e-07,1.6464701520459978e-07
2050-01-01 21:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.5151176256152046,2.0314585186709593,3.695585570393916,9.08043886852689,0.1721323265207369,7.083893696543494,2.3776714510794075,0.69667165964698,2.6991553075219783,1.2658673499972877,2.6103738558774747,,6.74876490931628e-07,0.5220471463046106,0.0659198189920545,3.2915402867094073e-07,4.251087051544701e-07,3.807898441599972e-07,2.488160734245394e-07,0.0,6.563775754218672e-07,0.2086840023382804,0.0798762849077709,3.0685077296665047e-06,3.0304019059609117e-07,6.239598609987261e-07,6.340397669622268e-07,3.0851640400710204e-07,1.9816551533684805e-07,1.472145833125039e-07
2050-01-02 00:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.5151176256256114,2.031458518645616,3.6955855700643614,9.083968229454296,0.0827669960534264,7.0805186261827675,2.378128738939895,0.6966716443236849,2.703499732932186,1.3494759564848664,2.2549380331095445,,6.735139465155198e-07,0.6122792421894814,1.8032567620095443,3.2895197177776587e-07,4.25558313915398e-07,3.811921605453017e-07,2.419675900986654e-07,0.0,6.814771139915705e-07,0.2473191587103927,0.07987628650550327,2.8280809302613174e-06,3.101609973833393e-07,5.388839706310836e-07,6.348465662333575e-07,3.080616740279761e-07,1.9753290420271105e-07,1.5053218653722114e-07
2050-01-02 03:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.5151176256321366,2.03145851863041,3.695585186814548,9.138955816651734,0.4060264427500473,7.027440331187959,2.395029697233466,0.6966717625545825,2.7068791149266085,3.4550563423196166,1.861248541384198,,2.411229782822192,2.884664178501719,4.128644574561635,3.6989417666741743e-07,4.855594347487205e-07,4.349600630833478e-07,5.054970769145497e-07,0.0,1.2977124616285773e-06,0.4102816889751827,0.07956909410195454,0.011468123233974274,4.672725797122101e-07,0.4686939436404794,6.487752795090757e-07,3.390759951121428e-07,2.0894224846112997e-07,1.896328017382125e-07
2050-01-02 06:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.5151176256334722,2.031458518621208,3.695585301745037,9.156430256522611,0.8747164443892345,4.373409886359656,2.401614633457006,0.399965688846367,2.710540451084967,4.041458220354753,1.2360676760482023,0.1582128507613743,4.45260453998123,3.5559599769531793,3.9192669372316464,5.025809929513865e-07,7.400563528329068e-07,6.631621717854477e-07,1.3093659442071909e-05,0.0,0.0656032527406699,0.0194928480513011,0.1110036129060493,0.31055841035559695,0.013254765992361668,1.032866566178669,7.949896737678929e-07,3.699545385744637e-07,2.282993745053631e-07,2.095628649686657e-07
2050-01-02 09:00:00,2.395939430289152,0.0821917808219178,0.5793962900451491,0.060566004812164,1.5151176256084413,2.0314585186555654,3.695585269955443,9.377765142797772,0.7354086912440996,2.135214679623555,2.4688376068405153,0.6966699056744,2.71507862242762,1.6020483995649109,0.7399699709152359,7.664829810886459,1.4578615988034478,0.8848611812681109,3.2419920477967583,4.3109913160918844e-07,6.00746618823274e-07,5.382273415505071e-07,9.0557875157325e-07,0.0,8.560399162094914e-07,1.673858148771445,0.09070169922021892,5.314921288857268e-06,3.6880531858875824e-07,7.130948600529907e-07,7.233287911405351e-07,3.532520224615807e-07,2.184098654277872e-07,1.698990813305563e-07
