country,carrier,2030,2035,2040,2045,2050
AL,BEV charger,417.5742528125498,660.821390377412,902.0414684490308,989.2050260450848,1076.3685836436223
AL,H2 Fuel Cell,0.0009698628467127,0.0010521308071757,0.0009786562050094,0.0014602222143472,0.002007497584434
AL,air heat pump,912.3218125582836,927.3698339055528,959.6614209456652,1100.180511953122,1091.5126581636134
AL,battery charger,0.0074139401145239,0.0096110990856414,0.0121947434136276,0.0139297615904198,0.0131551424895654
AL,ground heat pump,647.2426177520599,647.8236578696743,644.4362841922903,1025.2713027088787,1179.00909973265
AL,home battery charger,63.75573180960707,89.12059719850926,190.15588702101985,2153.161656297244,2254.2749239897453
AL,hydro,5434.469488092382,5433.87866696097,5432.049847108865,5432.47505210468,5434.455629730934
AL,water tanks charger,93.268820633994,153.8729644578057,251.70072125458765,301.8046376229748,291.2214888257363
AT,BEV charger,5040.825881416714,7977.229307469333,10889.16270498236,11941.373932623408,12993.585160261846
AT,H2 Fuel Cell,0.0012224268124135,0.0012112727007616,0.0011055769270197,0.0018250038522683,0.0029741979881759
AT,PHS,8886.097071499442,12491.46837919281,12107.32775511278,12057.839807132428,11363.530348994624
AT,air heat pump,12997.979921637509,13631.28384352088,15139.69588893561,23014.65776560708,26837.048775748754
AT,battery charger,0.0078881810483696,0.0095408691998021,0.0112252765559461,0.0120840045775249,0.0106980484117116
AT,ground heat pump,14182.998100364648,14203.942712769527,15657.90873260316,19950.797863927062,21393.952846486747
AT,home battery charger,0.0089427121412542,0.0119159524199404,0.0193555169764945,0.0237170094541026,0.0299779009971231
AT,hydro,15478.716158386722,15478.716640311352,15478.71661203761,15478.71677248567,15478.716800288554
AT,water tanks charger,881.0947216426965,1227.0992611761303,2037.8431285658849,2894.9322442632215,3302.3549947789647
BA,BEV charger,697.3768026052734,1103.615716750519,1506.4693065988172,1652.0382508022797,1797.6071950084074
BA,H2 Fuel Cell,0.0009716942326246,0.0010980143238014,0.0009914483016972,0.0017841825107929,0.0025424821331027
BA,PHS,0.5725110605734284,0.7180918763521175,0.7407691509208968,0.7920906547197726,0.7423629321466434
BA,air heat pump,1655.208225509018,1638.1485338095315,1618.5726105063984,2419.330156611641,2427.160772214929
BA,battery charger,0.0074523506653723,0.0094975587955481,0.0114806492650709,0.0135857893864953,0.0127212898535349
BA,ground heat pump,2987.6405355239517,3000.4342054937456,3015.86776792456,4552.239639548585,4905.0661282397605
BA,home battery charger,0.0205591834444466,42.16519443909327,98.19907319862112,707.2814769166046,2055.759680165678
BA,hydro,6447.599179630637,6447.599572608432,6447.599585022134,6447.5997719043735,6447.599764732001
BA,water tanks charger,168.52089786326414,282.28320272389016,441.2317697291955,511.1003558220639,481.2249556597551
BE,BEV charger,6036.227080748014,9552.475865626213,13039.422577317137,14299.411725196096,15559.400873066645
BE,H2 Fuel Cell,0.0032477141735222,0.0033380112249439,0.0036881522294009,0.0061183832212421,0.006998615450353
BE,PHS,859.4406212147601,888.0682612486697,959.9020711251346,1080.1562140199528,890.7201131649654
BE,air heat pump,37769.23843531032,40182.7733446551,41338.14651818596,64553.50284320992,61210.23841747227
BE,battery charger,0.0242062184317475,0.0294219332185159,0.0342073970559953,0.0398957378773213,0.0341966789932048
BE,ground heat pump,7808.360394474676,7805.116453225886,8306.016426243099,9670.165150395109,9735.791024233553
BE,home battery charger,0.026675152045014,0.0329545273557074,0.0509994238362694,33.981165601826724,511.86315871073094
BE,hydro,46.68374795825798,46.6837954056677,46.683915103764754,46.68397607458757,46.68395115820724
BE,water tanks charger,1628.1707474303762,2295.640170330342,4104.836856318434,7409.481872915595,7366.868649522679
BG,BEV charger,1897.3488361601617,3002.60058536373,4098.641903338031,4494.690446777059,4890.738990210112
BG,H2 Fuel Cell,0.0010458394904422,0.00098576235766,0.000830023893235,0.0008516436625283,0.0011020597016784
BG,PHS,1129.9271338656033,1528.3387008175714,1654.9539681013086,1712.0114647214778,1680.0035642584753
BG,air heat pump,3147.6600362757595,3136.6207352825663,3090.9055827523875,2923.0018814677683,3898.9989672955858
BG,battery charger,0.0079317611526501,0.0100381994780731,0.0134797762769887,0.0154578561789981,0.0141820188127556
BG,ground heat pump,2867.28907190911,2865.4407958556485,2935.1526319299956,2979.151277598415,3661.1538215039977
BG,home battery charger,0.0157407328304349,217.0035297236628,807.799644809727,3793.172532050616,4329.007466117788
BG,hydro,3401.037629686561,3401.038042745351,3401.038077357107,3401.0382513101663,3401.038285512832
BG,water tanks charger,1325.9071292560602,1590.9460682603942,1395.8680559861689,2042.133942668283,1928.158429508435
CH,BEV charger,2619.8286378769485,4145.942407498394,5659.338562388403,6206.195996477073,6753.053430561945
CH,H2 Fuel Cell,0.0010119892453835,0.0010910681729598,0.0010516288045512,0.0015962387263577,0.0024253082081862
CH,PHS,10066.62902268583,11328.862082764816,11564.173697113678,11981.725433485131,10638.393855982662
CH,air heat pump,19889.709941932917,19727.25259545035,17731.65336319138,29449.461580322528,31769.94095400072
CH,battery charger,0.0084302959323177,0.0102891642266952,0.0117493621065417,0.012721525283933,0.0108120581919076
CH,ground heat pump,8302.20627776859,8280.107470778152,7914.437992937101,11413.68118081763,12032.752049987574
CH,home battery charger,0.0093171293934423,0.0122230445433424,0.0180087154149841,0.0250773824388264,0.0274737497670988
CH,hydro,22926.52999068665,22926.5304607832,22926.53044233257,22926.53057770483,22926.530582738134
CH,water tanks charger,939.682793512337,1266.3987588800385,1902.705138605612,3881.126396782407,4442.830011572996
CZ,BEV charger,4055.835263523577,6418.457747113926,8761.391710021264,9607.998099946732,10454.604489872236
