country,carrier,2030,2035,2040,2045,2050
AL,BEV charger,2.7757002176925067,4.392612965862899,5.996051441131872,6.575445175892928,7.154838910653986
AL,H2 Fuel Cell,3.826821298400006e-07,5.795308701786483e-07,8.081425678680171e-07,9.547573804101225e-07,1.0910841544107031e-06
AL,air heat pump,0.0505750952964999,0.0513239941419528,0.0533283080349481,0.0722397758335374,0.0790850883862834
AL,battery charger,2.778577104984497e-06,4.2776857819901024e-06,6.092850945333013e-06,7.16062941717227e-06,5.429643105376855e-06
AL,ground heat pump,0.0228878472128148,0.0228910865927321,0.0228948262156619,0.0459894508846185,0.0584552387068462
AL,home battery charger,0.0696958732740016,0.0879584436740896,0.1039386725485408,0.9604838218340492,1.0286495116185723
AL,hydro,1.6907,1.6907,1.6907,1.6907,1.6907
AL,water tanks charger,0.4784195995230915,0.43542347831048,0.5145772576394136,0.5610364056589782,0.5705085892810241
AT,BEV charger,10.759076767999998,17.026500128,23.24169496,25.487521664,27.733348368
AT,H2 Fuel Cell,4.156904951930465e-07,6.181159023590913e-07,8.528620836367595e-07,1.0081967969331647e-06,1.1683604231602394e-06
AT,PHS,5.057300000000001,5.057300000000001,5.057300000000001,5.057300000000001,5.057300000000001
AT,air heat pump,0.6823532014411988,0.7227569001579939,0.8254790769656137,1.5266819145690316,1.9293656574826856
AT,battery charger,2.846839617945309e-06,4.349679716000517e-06,6.136386569923793e-06,7.166866706456616e-06,5.273098407270395e-06
AT,ground heat pump,0.5478101274924317,0.54781124216586,0.6255160634133594,0.9156293463336648,1.064539245944316
AT,home battery charger,3.70514546464574e-06,6.612602991316678e-06,1.3780123862036986e-05,1.8953388516426014e-05,2.1396391910156264e-05
AT,hydro,3.6006199999999997,3.6006199999999997,3.6006199999999997,3.6006199999999997,3.6006199999999997
AT,water tanks charger,5.221911190218638,4.443381815756589,5.995760436221085,6.694140243456862,7.3709329567507265
BA,BEV charger,3.714046160624851,5.877568195940298,8.023060880961449,8.798322943616151,9.573585006270854
BA,H2 Fuel Cell,3.82537301258367e-07,5.809061657980638e-07,8.102157900676905e-07,9.64347252016536e-07,1.1084073349106824e-06
BA,PHS,0.44,0.44,0.44,0.44,0.44
BA,air heat pump,0.0861931077346602,0.086197754711475,0.0862035475251842,0.155351299655867,0.1790235415052948
BA,battery charger,2.785208341988541e-06,4.282799393983732e-06,6.047596478181942e-06,7.105357595636943e-06,5.357645041886262e-06
BA,ground heat pump,0.1147996302827276,0.1148011717955031,0.1148077742878657,0.2250073826184677,0.2616255120477763
BA,home battery charger,1.534611194164403e-05,0.0433913852862747,0.0959009087118,0.4274320607515102,1.0846425621898537
BA,hydro,1.6145,1.6145,1.6145,1.6145,1.6145
BA,water tanks charger,0.8480875223852441,0.7978862242680126,0.8733553903891156,1.022104651912482,1.0367208175151537
BE,BEV charger,12.743030013999997,20.166154293999995,27.52741920499999,30.18737207199999,32.847324938999996
BE,H2 Fuel Cell,1.194883327803548e-06,1.794340765637699e-06,2.5373394627000723e-06,3.06614680154243e-06,3.590990222519243e-06
BE,PHS,1.308,1.308,1.308,1.308,1.308
BE,air heat pump,2.0371974103792767,2.19997507544566,2.3440815997654365,4.450051222766334,4.514795437187991
BE,battery charger,8.3499474696255e-06,1.2729646352850472e-05,1.780884102759551e-05,2.110046151562318e-05,1.57136091449996e-05
BE,ground heat pump,0.2640951090879296,0.2641029753879165,0.2879947962079356,0.3685127226021139,0.3770819065554046
BE,home battery charger,1.0682378149017318e-05,1.8828674339603952e-05,3.6220753449398353e-05,0.0232625547361084,0.4023334130271122
BE,hydro,0.0127828025477706,0.0127828025477706,0.0127828025477706,0.0127828025477706,0.0127828025477706
BE,water tanks charger,14.89133954278235,8.404597366692006,13.130126230264889,18.448185322667747,19.091743939168932
BG,BEV charger,7.190749918,11.379536278,15.533416085,17.034397864,18.535379643
BG,H2 Fuel Cell,3.924859074269238e-07,5.864753303097674e-07,8.071729985731325e-07,9.383119217616992e-07,1.0597020144247393e-06
BG,PHS,0.864,0.864,0.864,0.864,0.864
BG,air heat pump,0.129975123631201,0.1299785235771437,0.1282891224596005,0.1282921950174056,0.1901547223050997
BG,battery charger,2.8852021658733516e-06,4.425650406746299e-06,6.357010534056487e-06,7.497516346286991e-06,5.7432378886998836e-06
BG,ground heat pump,0.0893465966602112,0.0893481604325328,0.0922970977773424,0.0956793850454865,0.1308024145253452
BG,home battery charger,8.782141580087657e-06,0.1358420526710361,0.4683702087324509,2.0151055152572037,2.139797405681203
BG,hydro,1.92514,1.92514,1.92514,1.92514,1.92514
BG,water tanks charger,3.1648815560854637,2.8449165134744216,3.3176773177165324,2.875347233882697,4.7581320996875105
CH,BEV charger,10.101984354,15.986635434,21.822247755,23.930914392,26.039581029
CH,H2 Fuel Cell,3.893981967325156e-07,5.886198778508225e-07,8.209351652585568e-07,9.7071606226781e-07,1.1146447120209167e-06
CH,PHS,5.08955,5.08955,5.08955,5.08955,5.08955
CH,air heat pump,1.1022295793486576,1.1022316993289023,0.9772360453090692,1.8832501778682744,2.2077793003493884
CH,battery charger,2.9176637872290966e-06,4.449092380931425e-06,6.232904797188722e-06,7.244704771624556e-06,5.264810008064084e-06
CH,ground heat pump,0.3420333371882099,0.3420343998454454,0.3237221189104072,0.5569507656308793,0.6273188648303605
CH,home battery charger,3.768448250056201e-06,6.68551338658164e-06,1.2706127831038587e-05,1.7805686178408706e-05,1.9278529634163567e-05
CH,hydro,9.91631,9.91631,9.91631,9.91631,9.91631
