snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Methane,Electricity,Electricity,CO2 captured,Hydrogen,Methane,Centralized heat,Ammonia,CO2 captured,Centralized heat,Electricity,Decentralized heat,CO2 emissions,Decentralized heat,Centralized heat,Hydrogen,Centralized heat,Decentralized heat,Centralized heat,Electricity,Decentralized heat
sector,Shipping emissions,Aviation emissions,Industry emissions,Industry CC,Heat Pump,Transport emissions,Offwind,Heat Pump,Imports,Onwind,Solar,Hydrogen production CC,Steam Methane Reforming CC,Storage,Waste Heat,Haber-Bosch,Central heat production CC,Gas CHP CC,Gas CHP CC,Gas Boiler,Decentral heat production emissions,Resistive heater,Storage ,Imports,Resistive heater,Storage,Gas Boiler,Gas,Oil Boiler
2045-01-01 00:00:00,2.4429483469366167,0.325259039312778,1.0544219834283688,0.4377584115971909,5.589311411149622,0.0694443420085818,7.083999933984103,1.4943398686612384,6.481004829635808,2.3272190724461037,,1.6615012920867735e-07,6.391554927588445e-07,0.0,1.0294059641952455,1.1108232100974411,1.243453963262572e-07,1.900720656043333e-07,1.6997451608488917e-07,3.6253067013542225e-07,1.6964559694502886e-07,1.8348128459334425e-07,7.072373899442828e-08,2.157151143537419e-07,8.765275974737344e-08,1.616478558357573e-07,1.7611437979618046e-07,3.1012976636331994e-07,8.307962323431587e-08
2045-01-01 03:00:00,2.4429483469366167,0.325259039312778,1.054421983437758,0.4377584115084796,5.572624515222342,0.3459326486551439,6.638723151512508,1.489368032865824,6.4842110068897405,1.698843302093909,,2.477353503553971e-07,9.532743945970398e-07,0.0,1.0294077248792666,1.1108250632773922,3.1569884232838666e-07,5.966556066727526e-07,5.344840608280379e-07,0.2877420638748379,0.05813580278998173,1.7119836447292511,0.2742676018540215,3.581144671028374e-07,1.7039627293361705e-07,0.3829351060722064,3.32814343213468e-07,3.3842281601148225e-07,1.3069232151005668e-07
2045-01-01 06:00:00,2.4429483469366167,0.325259039312778,1.0544219834551731,0.43775840973822466,5.546289900258308,0.7340112226801919,6.88761472000128,1.4815145771263738,6.493559869842672,1.2722771180077088,0.0295431984742261,0.0001082840766573,0.0004192697882026,0.0757736001256125,1.0294076013285116,1.110824948561504,5.261023948080739e-07,1.093172749105549e-06,9.80936335598018e-07,0.9219234991785245,0.18626633864042497,1.7397969133096352,0.3706529152156403,2.389926747285792e-06,1.685383107656276e-07,4.524063003738449e-07,3.411370250425636e-07,3.473035871051433e-07,1.3053488465238586e-07
2045-01-01 09:00:00,2.4429483469366167,0.325259039312778,1.0544219834391981,0.43775840998557647,5.484801398975137,0.6063692434313159,7.061934612631701,1.4631415600855624,6.493348717236285,1.1476175295551294,1.7336421950510492,5.954053979946857e-07,2.295406615371636e-06,0.0,1.02940771639792,1.110825038675778,3.419081620359242e-07,6.547270640427945e-07,5.866608716568303e-07,0.1083193829806127,0.021885105798579753,1.7177362057778005,0.0747443479929015,1.053478914929394e-06,1.840221251790141e-07,2.9485971098569514e-07,3.6179985704089754e-07,3.3300852841209725e-07,1.3242979959754446e-07
2045-01-01 12:00:00,2.4429483469366167,0.325259039312778,1.0544219834404824,0.4377584097321554,5.446287137700498,0.714317718959088,7.0701302310115555,1.45163707799201,6.495692264541315,0.9657766774425092,3.0506483119971533,1.9500519704349688e-05,7.549508022371124e-05,0.0,1.015409401585861,1.0957178245224963,1.6970052937880727e-07,2.790400487354544e-07,2.495899663154969e-07,0.0504121908462096,0.010185463679348035,1.5279893740046406,9.962917699980549e-08,2.381176600898288e-06,1.0874563449203686e-07,2.2968032305850442e-07,2.2902553725427605e-07,3.30792799639098e-07,1.322634937477153e-07
2045-01-01 15:00:00,2.4429483469366167,0.325259039312778,1.0544219834674298,0.4377584075390209,5.287015506938116,0.814791129694953,7.046183043417566,1.404092406837259,6.490076128686308,0.8812404875338815,0.0286233727318503,0.1252237956981553,0.4848732710014662,0.2890143718035688,1.0294077166313798,1.110825049833756,1.0038805250201816e-06,2.2184977652287483e-06,1.9930436234611715e-06,0.4386869645244598,0.08863284632220943,1.6957745167245104,0.1725430905549041,2.4412790346850262e-06,2.179240620414894e-07,2.086793587326381e-07,3.975786334378453e-07,3.4131852936348566e-07,1.3062066152366086e-07
2045-01-01 18:00:00,2.4429483469366167,0.325259039312778,1.0544219834706114,0.4377584074933354,5.149938041760948,0.374257448571084,7.0820223221613325,1.363174188487533,6.4840454310165985,1.089994213495043,,3.1676347690448316e-07,1.2192527129526354e-06,0.0815390767562639,1.0294077811067737,1.1108251021041526,0.07059949864965455,0.1675807472099668,0.1507483545456721,0.5540123029883757,0.11193327542735426,1.6431817400801985,0.0198389169947257,5.172237705822889e-07,2.3470773584367047e-07,2.3725789877138657e-07,4.181451376130629e-07,3.426670039899311e-07,1.3033044421658542e-07
2045-01-01 21:00:00,2.4429483469366167,0.325259039312778,1.0544219834436506,0.4377584094802879,5.138054098312086,0.1482448096541265,7.083906868586508,1.359635460906084,6.480095224975029,1.2928062270238434,,1.639550851686672e-07,6.306765757285162e-07,0.0,1.0294058369571533,1.110823312648163,1.3727994882866598e-07,2.1771391231858517e-07,1.9470770772195127e-07,0.0257200883472759,0.0051966231907310655,0.139158594913647,6.684244509031941e-08,2.164653318520654e-07,8.815058783836955e-08,1.789256336361511e-07,1.8320285922284317e-07,3.374404819048563e-07,1.0423590240058757e-07
