snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
carrier,CO2 emissions,CO2 emissions,CO2 emissions,lignite,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,Oil,CO2 emissions,Hydrogen,Coal,Methanol,Electricity,Methane,Decentralized heat,Centralized heat,Centralized heat,Electricity,Ammonia,Hydrogen,Electricity,Electricity,CO2 emissions,Methane,Electricity,Centralized heat,Electricity,Centralized heat,Hydrogen,Decentralized heat,Centralized heat,Oil,Electricity,Decentralized heat,Hydrogen,Methanol,Decentralized heat,CO2 emissions,Ammonia,Centralized heat,Electricity,CO2 emissions,Centralized heat,Decentralized heat,Decentralized heat,Electricity
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Imports,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Imports,Methane production emissions,Steam Methane Reforming,Imports,Methanol production,Nuclear,Imports,Heat Pump,Heat Pump,Waste Heat,Offwind,Haber-Bosch,Electrolysis,Onwind,Hydroelectricity,Transport emissions,Storage,Solar,Solar thermal,Biomass CHP,Biomass CHP,Storage ,Biomass boiler,Storage ,Storage,Battery,Gas Boiler,Imports,Storage,Resistive heater,Decentral heat production emissions,Storage,Gas Boiler,Gas,Power supply emissions,Resistive heater,Storage,Oil Boiler,Coal/Lignite
2040-01-01 00:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.0600192654130128,40.849788858986855,22.26561861516029,41.98395995743782,10.851375444030095,348.45150818464106,4.941726481231461,14.262830073597202,52.72930325347403,45.817298742866754,116.71107479300986,376.63552549345286,185.42810843264772,13.634423123843556,25.61795351504697,300.8868665756419,12.349253863112084,52.42156613331808,140.8374988656292,29.20390027009156,6.006097841347573,,,,15.383242011019728,47.02703687898493,,26.753156745056938,0.604845491056063,,3.6973421406483955,167.68394268318704,1.0401116816473863,,17.795019752938142,35.7874996738803,,9.659841394896564,15.501639736525961,4.795820863217817,4.487811275126715,1.4458188328813153,1.6305378631299217e-05,5.531720976174782e-06
2040-01-01 03:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.0600225815419632,40.86267858056998,22.25128060823949,42.10510481573525,10.882783143065929,349.10086043255296,4.963921253460307,14.334266379391618,52.757142181610305,45.817264770507386,115.18885221147042,379.86043626600207,184.46073024647805,13.797876132403282,25.059080670290893,280.0637273451412,11.77371507709889,52.275259566165715,131.9087922716418,33.966148021986236,28.31871859096481,72.25755175001318,,,26.35449590615308,80.63559476453526,,33.48375293796592,5.356547863988862,18.645054013729094,5.4104286312020715,263.570493914572,2.4328884728497058,,68.11054272829271,70.29519452545557,0.0,15.638891248816194,14.65945645765345,4.535270279000046,5.449203549656289,8.306201245123741,48.8222112079296,5.78091728740682e-06
2040-01-01 06:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.060037296285602,40.8756158372102,22.23688972711659,42.37017312372096,10.951585588449555,350.1293279915087,5.035335910793666,14.57780988246422,52.684430955589555,45.81703427377936,112.83787673180089,378.9897786361306,184.19453833898748,13.73914266676038,24.99204061794854,274.39084231270186,11.701388979611131,52.27526111494166,114.72678533917076,36.448928536762025,61.2917319475117,81.51997128743926,57.61810173594013,0.0160467773552388,28.322710331718543,86.70086070622277,16.919321505094263,33.539909678543495,4.2079512374928045,154.7894837067127,5.159404275281083,287.0345331638438,6.752685029051268,0.0,77.00124691447587,78.33542662592292,0.0,20.795071463620634,1.162311112469402,0.3595911387937452,2.1195728893182006,0.2613604164022011,56.85303401251574,5.6761078233959335e-06
2040-01-01 09:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.0600424890028802,40.88426721308104,22.227266287191853,42.370172670782246,10.951585470989167,350.67648751738216,5.0048597264711,14.461418473850252,53.11707326240991,45.817125372962096,110.4855286099907,378.0723148087176,188.03553068051946,14.07517385921994,24.77920715039181,281.7184792970122,11.321699686119551,52.99215793486277,95.83030893131802,16.303365500437735,50.35532270644246,32.54964855986328,277.9516746413748,5.894065560798253,22.01910292433593,67.3672244141566,5.284508903203105,32.85656868758458,2.84658830189747,76.75239457321167,6.692714270976746e-05,244.35635560654788,5.792421465968845,0.0,78.5080323305718,59.78761199288168,0.0,16.066671647279854,1.579633945501412e-05,6.866332262432067e-06,5.6717491781159755,1.8101395525557844e-05,25.395910334857636,5.267862257125361e-06
2040-01-01 12:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.0600412794680229,40.89088298526817,22.21990716951255,42.37017289047011,10.951585527918462,350.53157996727276,5.035722411712713,14.57928599198256,52.73969977905889,45.81711622781192,111.43174593944707,378.425102895656,191.6149573644677,14.370063910015254,24.6438165954323,295.13259035107836,11.175585182297448,52.9921536535017,94.19724764110012,20.992990829539533,58.01418022168707,27.10860200490539,210.08547202829726,6.729194454198439,18.43483676586649,56.35553962723398,12.066553878185337,32.863432655407046,1.1683708482945396,100.1813878712654,7.555179747662343e-05,232.61469542139992,6.8193147852214,0.0,70.17930005422465,57.056424336984875,,23.023421630737317,1.8624379492873598e-05,7.548293139448326e-06,5.569858812981055,1.633748541378751e-05,19.541117658916892,5.4435377870584245e-06
2040-01-01 15:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.0600324133942691,40.89664401184398,22.213498834981785,42.37017596182162,10.951586324630917,349.7420359158147,5.03581404428203,14.579635613159464,51.766133142356736,45.8170439708084,115.90174945403848,379.8880928838883,188.7401410378494,13.9471804009232,24.648705148482854,298.37376822863035,11.330855668635255,52.27525057851676,94.17001782506492,47.37479746853737,65.82855602767104,81.68308202143399,18.874630782949488,0.3761957791918615,25.238975588791423,77.21001340321908,20.99213713173297,33.027893246729796,2.0751076298945965,159.56175587034227,6.900233091544588,264.20698850729195,7.047488823959597,0.0,48.326109649870226,69.26562947391201,0.0,15.411686814257145,20.001988263353585,6.188115947118255,5.542909664982134,0.0225870855775693,44.91798438130809,5.838402876624884e-06
2040-01-01 18:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.0600168026654436,40.901649235429375,22.207931225773773,42.35065722301763,10.94654538605623,349.089941165146,4.978809679530283,14.36406956488597,51.474955331178585,45.76780883292371,117.6493595662338,378.7530531660275,185.25091664075148,13.615166529160774,24.586086542407326,296.1402471219075,11.342662122107251,51.93930007145105,89.5506479818759,62.90303211169146,31.730240856014085,89.31715914801559,,,26.116169953802228,79.90679234603871,,32.79363556046915,1.590943554078109,24.775713656663896,10.641802969170614,267.65130021240276,1.8397167218750057,,47.68808247063252,69.43326561956867,0.0,16.412032597648846,21.512050450316167,6.655291377198358,1.8277224016665332,0.0006012343476453,42.38765896555721,5.890370879696142e-06
2040-01-01 21:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.0600081979099722,40.905954793295685,22.203141896873063,42.33741889235156,10.943126440748518,348.71851540324707,4.98921223058651,14.405248703334976,50.87052852493889,45.43833245871386,117.64935999103822,376.3368891293367,183.45704071312494,13.159388595846195,23.920269451968,282.68372848155695,11.404864829992016,48.41045123052594,79.73052684110714,70.79743242108864,12.55082574723457,,,,19.102629144464345,58.41859517134548,,27.114819036402626,0.1683345692973153,,5.6064569795959445,179.47170402048906,1.1434074826663578,0.0,20.951977954805,37.591347336396964,0.0,5.703496980551129,17.732246812401616,5.48591464410812,1.3946059328500973,1.641012439235171e-05,0.6020244255453496,5.917025810604946e-06
2040-01-02 00:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.0600127597860471,40.90972366963489,22.198949551251868,42.339090382835295,10.94355812034528,348.76601079335387,4.989518336882938,14.40623456995328,49.03343501903181,45.03286504227967,117.64935996601443,376.58787531183714,182.45700472102754,13.07824163276836,22.847339190075044,273.7115292050506,10.471925644158588,47.51236489993117,74.38597589294321,71.19186262249912,6.010718652612928,,,,19.939475547328108,60.98511185527171,,27.99853361059621,0.1140831369747181,,3.7777615747222804,195.7411043054367,1.1331915876837295,,11.29970679409672,40.46138049332221,0.0,4.187800988926941,14.973967339803131,4.6325720080971236,0.7763905997729191,0.2034810387461632,0.1433963704030811,5.886928091802609e-06
2040-01-02 03:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.0600270704479365,40.91298456560576,22.195322263036733,42.37016875018618,10.951584454247833,349.1552528559048,5.031966457612092,14.564942090830751,45.66371194001719,45.311252934586065,117.64936008444343,380.65802308122016,181.8886253653485,13.422509388386857,24.36669810213956,264.85708690333604,11.52063111216436,50.23224828636742,71.10112226920882,78.63083077225245,27.961048162371597,98.67033231136264,,,29.46505037813596,90.21023245181402,0.0,40.77078571615378,3.5920535016466055,0.0,8.658022612536428,287.72177337458294,2.4158827467296504,0.0,55.85276009735219,69.62228026704837,,15.263993710248783,16.173845962846293,5.003784285258906,2.7043392140467306,17.54755182258264,29.580012530245337,5.961922007859617e-06
2040-01-02 06:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.0600460002255811,40.91589687167165,22.192082732659884,42.370175451879334,10.951586192086914,350.0205206040593,5.050036231617334,14.633951562104912,42.04146033046061,45.21781175675623,117.64936024277299,382.51003584391253,182.2056856161027,13.439333253230298,24.44409494798439,256.52314365074324,11.437601803246269,51.072954695367144,74.24674238915702,70.60185668182758,61.48880838900773,125.67384422521545,43.676849456095255,1.901038357387663e-07,30.16625951162765,92.35813327351836,17.348468705663652,40.52833538629845,4.581052657680846,150.33059690523146,11.082460050582648,317.96989945969074,6.693114548597174,0.0,48.226322094313154,82.53259654926539,,17.110176671297083,13.783109923295699,4.264150468026206,3.3730580638302072,0.4471732392414412,52.05222624010204,5.942757283675038e-06
2040-01-02 09:00:00,14.9686658760155,2.698889859646953,21.56339385039261,0.0600526543807305,40.91864819793619,22.18902226962267,42.37017472288496,10.95158600296785,350.53640026857136,5.050035835106136,14.6339501276193,40.48875232766036,45.77329852983602,117.64935763912055,382.1600989385957,187.10909557069857,13.899189036956242,24.46654864788388,248.569589846663,10.989001716013556,52.992159543787665,77.625897138867,39.35207827357905,52.089721260446936,63.55954474835638,243.72533304221008,3.3835753609578507,26.82879652399183,82.0949597119272,6.041361454548302,38.29172206205845,0.9571060150166556,80.91214413070679,0.7143104268803799,280.615725176347,6.264164567135435,0.0,42.43665876975833,65.17792475592077,0.0,9.4537046208144,2.811874356464345,0.8699250062907974,4.491797704097338,1.9177552116243996e-05,22.942199102533355,5.631695880008831e-06
