config,cost_segment,cost/carrier,2030,2035,2040,2045,2050
prod_de,Energy production,capital,58078499335.88812,59860888985.45478,57883579530.392845,68805837713.95741,76465345881.40268
prod_de,Energy production,marginal,64482109153.4772,64396538914.30785,58723240787.6788,47675985083.79167,61913521961.12185
prod_de,Energy production,total,122560608489.36533,124257427899.76263,116606820318.07166,116481822797.74908,138378867842.52454
sto_de,Storage,capital,3549345424.955473,3552384910.8577623,3560772592.5785985,3591240740.814275,3870120734.5313473
sto_de,Storage,total,3549345424.955473,3552384910.8577623,3560772592.5785985,3591240740.814275,3870120734.5313473
distr_de,Distribution,capital,7144319253.322773,7500214241.949354,8439536844.36026,9710766271.33125,10167517563.113703
distr_de,Distribution,total,7144319253.322773,7500214241.949354,8439536844.36026,9710766271.33125,10167517563.113703
net_imp_de,Net_Imports,H2,-98485344.05945651,-92859772.45231101,-199092219.69760603,-99675169.91126913,-44560069.79546611
net_imp_de,Net_Imports,elec,-75795879.57375526,2299730659.3011637,4663743125.058493,4698247875.054287,6202879736.623266
net_imp_de,Net_Imports,gas,-601956181.7014407,-465374993.5210917,-328493548.22466815,-214495172.65606648,-155472079.2924282
net_imp_de,Net_Imports,total,-776237405.3346524,1741495893.327761,4136157357.1362185,4384077532.486951,6002847587.535372
prod_gb,Energy production,capital,38118636728.50213,47389484760.47756,61257432513.35707,73230113311.63066,90320041972.01201
prod_gb,Energy production,marginal,42098689418.08402,39991953487.408485,31914026205.4346,25093444007.15012,24514176964.46409
prod_gb,Energy production,total,80217326146.58615,87381438247.88605,93171458718.79167,98323557318.78078,114834218936.4761
sto_gb,Storage,capital,1184072207.2052977,1205964505.6621473,1287440240.18641,1435214900.828048,1568368466.2946205
sto_gb,Storage,total,1184072207.2052977,1205964505.6621473,1287440240.18641,1435214900.828048,1568368466.2946205
distr_gb,Distribution,capital,4498163409.002886,4664527521.089211,5789289334.688152,6319063852.471054,6484742291.98812
distr_gb,Distribution,total,4498163409.002886,4664527521.089211,5789289334.688152,6319063852.471054,6484742291.98812
net_imp_gb,Net_Imports,H2,7828743.508709845,20827006.199909996,2927946.6254282407,-44540872.37170559,-40658121.223177984
net_imp_gb,Net_Imports,elec,166936590.10210896,93782509.83697116,-237804446.49439836,-800208252.2606766,-1196624680.1267238
net_imp_gb,Net_Imports,gas,0,0,70275290.4333566,43535546.47927467,24286480.679026503
net_imp_gb,Net_Imports,total,174765333.6108188,114609516.03688116,-164601209.4356135,-801213578.1531075,-1212996320.670875
prod_nl,Energy production,capital,15222105350.176577,17689727415.655758,23745778283.830383,33241729133.22672,47508169309.11463
prod_nl,Energy production,marginal,23387205538.227432,23628393030.87277,21235315168.133465,18631425248.51159,19173466822.491978
prod_nl,Energy production,total,38609310888.40401,41318120446.52853,44981093451.96385,51873154381.73831,66681636131.60661
sto_nl,Storage,capital,919903765.3919686,921090684.5941337,932903637.7033151,1040048249.1007819,1085827557.810553
sto_nl,Storage,total,919903765.3919686,921090684.5941337,932903637.7033151,1040048249.1007819,1085827557.810553
distr_nl,Distribution,capital,1723546006.64362,1874170060.507143,2249551639.6223326,2533726630.7663465,2653984026.859047
distr_nl,Distribution,total,1723546006.64362,1874170060.507143,2249551639.6223326,2533726630.7663465,2653984026.859047
net_imp_nl,Net_Imports,H2,0,-21505609.186980166,-88969388.51108505,-267702004.3632937,-225661798.52156955
net_imp_nl,Net_Imports,elec,-2027035210.2608185,-3494294086.3971148,-4198676306.43322,-5585439877.462515,-7160609534.566744
net_imp_nl,Net_Imports,gas,0,0,0,0,0
net_imp_nl,Net_Imports,total,-2027035210.2608185,-3515799695.584095,-4287645694.944305,-5853141881.825809,-7386271333.088313
prod_lu,Energy production,capital,236089128.1918197,243745691.16929358,291573410.83883023,387135709.28226197,415858557.91029817
prod_lu,Energy production,marginal,706240306.6111126,731262849.8976407,688136246.1408116,551798443.2724628,507826060.0337141
prod_lu,Energy production,total,942329434.8029323,975008541.0669343,979709656.9796418,938934152.5547248,923684617.9440123
sto_lu,Storage,capital,533585923.6859168,533611764.0287407,533566312.72213477,533748403.8734162,533688654.47254753
sto_lu,Storage,total,533585923.6859168,533611764.0287407,533566312.72213477,533748403.8734162,533688654.47254753
distr_lu,Distribution,capital,90454698.65769944,98398473.76509568,104512760.27816407,124001905.34029905,131285344.80599646
distr_lu,Distribution,total,90454698.65769944,98398473.76509568,104512760.27816407,124001905.34029905,131285344.80599646
net_imp_lu,Net_Imports,H2,0,20204734.719598968,79795600.8959283,72752453.92747721,68598886.60103066
net_imp_lu,Net_Imports,elec,469532829.5272717,520897835.03377366,560408212.1819257,701758063.8691019,719534744.965332
net_imp_lu,Net_Imports,gas,121505013.56472719,123404736.72676575,109286909.55988842,77979430.78189611,56761410.76746629
net_imp_lu,Net_Imports,total,591037843.0919988,664507306.4801384,749490722.6377423,852489948.5784752,844895042.333829
