snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
carrier,Decentralized heat,Electricity,Hydrogen,Oil,Electricity,Oil,Methanol,Centralized heat,Oil,Oil,Solid biomass,Methane,Methane,CO2 captured,Methane,Methane,Electricity,Electricity,Oil,Hydrogen,Electricity,Decentralized heat,Centralized heat,Solid biomass,Methane,Methane,Methane,Centralized heat,Oil,Decentralized heat
sector,Agriculture,Industry,Industry,Industry,Agriculture,Aviation,Shipping,Industry,Agriculture,Shipping,Industry,Industry CC,Industry,CO2 sequestration,Hydrogen production CC,Hydrogen production,Residual electricity consumption,Decentral heat production,Transport,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Central CHP production,Decentral heat production,Storage,Power supply,Storage charging,Decentral heat production,Storage charging
2035-01-01 00:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898455145917,2.250091093499321,0.2123609382599092,0.6323066827084847,0.7752007425388525,0.285704171169426,1.8626157723219037,2.1778399194531106,0.5516659682130001,0.0549757089430069,0.8768506030279907,5.810566063212086,1.035718174033996,1.5635209643748387e-06,3.301221681768593,2.50155542079026,4.38357733616824e-07,3.72152448737207e-07,2.6716172055465026e-07,1.0032294012727243e-06
2035-01-01 03:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898455301614,2.2500910879083036,0.2123609432918245,0.6323173882682891,0.7752008593464944,0.2857042757337462,1.4994212225210406,2.197141035550051,2.74808953526,0.2738580574926663,1.2207415312974703,9.467131849106638,1.687491443247691,0.9629079296866976,6.887099905912581,0.0,5.674640953455066e-07,4.046763579053542e-07,2.669962458835506e-07,9.758053687026418e-07
2035-01-01 06:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898455037112,2.2500910975309454,0.2123609346314466,0.6323172803721666,0.7752008531115477,0.2857042713487201,1.474915970853203,2.2071824237644138,5.83098637164,0.5810809948205067,1.235205686056513,9.79065741336256,1.745159027269484,0.9629079838567982,7.279550433021525,0.0,5.729054946725684e-07,4.08617756778162e-07,2.680533584149912e-07,9.702300871752768e-07
2035-01-01 09:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898454843041,2.250091119523697,0.2123609148379701,0.6323187529843248,0.7752008446905907,0.2857042654982391,1.806427635720143,2.2812094157250367,4.816998276550001,0.4800330462445686,1.038450177083152,8.642169410445579,1.540444050391041,4.028422525268233e-06,6.644851616297082,0.0,4.882134924009653e-07,3.8546541412292154e-07,2.691060698106439e-07,9.681307178061609e-07
2035-01-01 12:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898454396669,2.250091139453508,0.2123608969011405,0.6323172552235674,0.7752008418847413,0.2857042637593221,1.843249845646096,2.2771691296300274,5.67454114537,0.565490605489837,1.0724207555395338,8.275832334239878,1.4751454265528372,4.192789487283819e-06,6.2354912325931515,0.0,4.905044984905636e-07,3.949723970669279e-07,2.689874140944423e-07,1.0178042966812823e-06
2035-01-01 15:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898454782392,2.250091159493795,0.2123608788648825,0.6323175661528281,0.7752009378778565,0.2857043458097253,2.0196873714717936,2.273925716722663,6.472702087069999,0.6450305194039601,0.6316639397041137,8.783779031660945,1.5656855942811296,0.9629078740611524,6.176673452516368,0.0,5.821972144837123e-07,3.857080481960007e-07,2.7011105474958253e-07,9.569869195643264e-07
2035-01-01 18:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898454928459,2.2500911772003898,0.2123608629289468,0.6323159501905328,0.775200858773305,0.2857042760901095,2.084015894170525,2.2540573238479276,2.97310179281,0.2962814243352632,0.5792306160231677,8.688606701353343,1.5487213758052691,0.9629078955183472,6.165249397845104,0.0,5.874598263327193e-07,3.829814415868474e-07,2.707592052819489e-07,9.497992566375928e-07
2035-01-01 21:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.683789845497115,2.2500912002796194,0.2123608421576404,0.632316729998182,0.7752007366875379,0.2857041677117629,2.2248110003610213,2.2355875081977565,1.1776570140199998,0.1173582076254117,0.4569045284996454,6.055642625265087,1.079402428990689,0.9329101364133594,3.0753315003499395,2.7555982075963255,5.963608556904165e-07,5.069175783902545e-07,2.698974996483423e-07,9.910146610794094e-07
2035-01-02 00:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898454901655,2.250091227798194,0.2123608173909232,0.6323169610112916,0.7752007404356015,0.2857041700151091,1.821855156084417,2.249010259942856,0.56520818318,0.0563252445521838,0.8464377598282318,6.1984674696042585,1.1048605832180725,0.9606638476477884,3.1974834795038265,2.661474990058865,5.984353010524934e-07,5.016739963798694e-07,2.7013822428403474e-07,9.96498815019712e-07
2035-01-02 03:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898454752329,2.250091259424865,0.2123607889269189,0.6323171755969714,0.7752008610240606,0.2857042775447634,1.6815665577140069,2.2460321463684987,2.7741860776799996,0.2764586817897203,0.9897034592945548,10.152439306857213,1.809645701726414,0.9629082332658822,7.893456497661128,0.0,6.07846729641325e-07,3.916582068997986e-07,2.731538111465694e-07,9.663936286880302e-07
2035-01-02 06:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898454471352,2.250091296223541,0.2123607558081104,0.632317226612964,0.7752009054625486,0.2857043176067365,2.1402809836156136,2.1154630352765,5.99449651361,0.5973754311144857,0.6615589962071862,10.502278758572787,1.872003667231691,0.9629081564539916,8.44792730147562,0.0,6.091324523950934e-07,3.947614018947871e-07,2.740486915262038e-07,9.73999698469089e-07
2035-01-02 09:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898454376984,2.250091340827727,0.212360715664343,0.632323860557482,0.7752008446778246,0.2857042654636631,2.4635097064256724,2.018728344690954,5.0362101979,0.5018783865032703,0.6331755211447242,9.260378712230349,1.6506382384012537,0.9629063778328326,6.973077878594857,0.0,5.737684641657758e-07,3.603871052661331e-07,2.7336072833108146e-07,9.65420214226522e-07
2035-01-02 12:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898454375632,2.2500913514693237,0.2123607060869061,0.6323218086287605,0.775200844429955,0.2857042651180133,2.500468417624899,1.9158009650631675,5.90516352819,0.5884730436396324,0.609606736940189,8.86424568275046,1.5800285639729654,0.9629060477178736,6.491614225952626,0.0,5.680747831855699e-07,3.575535435400764e-07,2.725959177229483e-07,9.771791585167572e-07
2035-01-02 15:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.683789845453477,2.250091356026744,0.2123607019852283,0.6323171193631312,0.7752009709542271,0.2857043737959827,2.71406710389833,1.7601054022309544,6.598814214480001,0.6575980947300898,0.4431306664191892,9.41350612383868,1.6779327982462309,0.9629079995414964,7.315228025008053,0.0,5.943203590400412e-07,3.694012860062388e-07,2.720501225290295e-07,9.571412220247657e-07
2035-01-02 18:00:00,0.4514719951500935,4.049086757990867,0.184931506849315,5.19748858447,0.0955762898401365,1.2651071151800002,4.78712839873,0.2226027397260274,0.132245381861,5.50519765853,0.6837898454702009,2.2500913650433736,0.2123606938702623,0.6323164243448652,0.7752008596108187,0.2857042760419349,2.56704739968974,1.738869634351786,3.1263106620300003,0.3115492978078071,0.6113873267558514,9.31059297096348,1.659588798432715,0.9629073419713666,7.217155821049837,,5.815542928696532e-07,3.644387745561524e-07,2.7116044637047424e-07,9.449815912474492e-07
