country,hydro,ror,offwind,onwind,solar
AL,1.6907,0.0482,7.592088551558214,47.24430309559004,59.04326362388741
AT,3.6006199999999997,4.8025,0.0,97.74889201005642,192.6880775513554
BA,1.6145,0.0,0.0,98.57870009255883,97.09572205788136
BE,0.0127828025477706,0.0798761965781364,9.570618859554695,10.533339075757972,123.83009385437926
BG,1.92514,0.1104,4.029164292614623,101.9056748502144,248.71149054715704
CH,9.91631,4.4508,0.0,53.70003650445382,139.53738920376247
CZ,0.0,0.0,0.0,72.99623790056336,229.9044291382173
DE,0.2895,2.77560335,75.7602216260517,342.7102297718474,1238.016657010567
DK,0.0,0.0,132.3024943842545,51.430583590799074,152.0542450192804
EE,0.0,0.0,47.83984434662696,65.54982034097632,64.33599271393159
ES,14.975837,0.2770082474999999,27.533388745882167,652.9546719546324,1173.0329165174749
FI,1.2959,1.45173,177.18565727567852,502.7143522273059,111.3579615102013
FL,0.0,0.0,9.570618859554695,3.2772428390870214,64.97415398423709
FR,8.329492993630572,6.6443491494216635,80.78618358308606,667.8181851491099,1790.829828766539
GB,0.2283,8.787,280.87441127246126,303.8965325022235,962.657991013652
GR,2.566,0.1031,56.81190658805255,145.72322404922866,219.94410997773485
HR,1.864404458598726,0.2731677302916768,32.78296943943203,51.956600525685786,87.53335813606768
HU,0.028,0.0197,0.0,96.01866892767156,320.27774974357436
IE,0.001,0.216,39.71632327122782,98.62198440140186,228.54859690148896
IT,4.0029,7.49649,129.46460198339508,365.7170561820132,883.7786176424578
LT,0.0,0.101,4.932470910833113,89.85526741413928,182.5815088667832
LU,0.0,0.0308999999999999,0.0,2.2140091717782298,8.825732940991157
LV,0.0,1.5360999999999998,30.390484746833796,104.75604231695444,123.78027253333498
ME,0.344961,0.00536,1.6527772412567725,26.40552949901191,16.09397174791463
MK,0.0,0.0,0.0,46.673727694208765,54.65429398439374
NL,0.0,0.0,153.0594368952246,32.42861167543263,169.09670877138518
NO,28.295874200000007,0.8925,106.33530262965412,511.57078541908,309.1152284576049
PL,0.1401019108280254,0.182400368779544,23.936559371353088,295.27824709363244,951.31356306921
PT,0.8814000000000001,2.5578000000000003,12.533062698236357,112.69587381736916,154.0621888786338
RO,4.44994,3.4974499999999997,7.794043825007157,227.5100671830415,692.3971619787508
RS,0.7901,1.7084,0.0,146.94374707815916,231.11124800778032
SE,10.78418662493251,1.279,197.16529542730277,655.1534554169566,212.50163468482697
SI,0.118,0.912275,0.412592743958875,20.11384834346323,28.71081097272095
SK,0.2419,1.21466,0.0,36.550891758329286,110.99479196592468
