snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
carrier,CO2 emissions,Hydrogen,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,CO2 captured,Methane,Coal,Methane,Oil,Oil,Methanol,Electricity,Centralized heat,CO2 captured,Electricity,Decentralized heat,Hydrogen,Hydrogen,Electricity,Electricity,CO2 emissions,Centralized heat,Ammonia,Oil,Electricity,Centralized heat,Centralized heat,Electricity,Centralized heat,CO2 captured,Electricity,Hydrogen,Hydrogen,Ammonia,Decentralized heat,Decentralized heat,Methanol,Methane,Electricity,Centralized heat,CO2 emissions,Centralized heat,Decentralized heat,Electricity,Centralized heat,CO2 emissions,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Decentralized heat
sector,Shipping emissions,Industry,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Solid biomass methanation CC,Solid biomass methanation,Imports,Imports,Fischer-Tropsch,Imports,Methanol production,Nuclear,Waste Heat,Direct Air Carbon Capture,Offwind,Heat Pump,Imports,Electrolysis,Onwind,Hydroelectricity,Transport emissions,Heat Pump,Storage,Storage,Solar,Solar thermal,Storage ,Biomass CHP CC,Biomass CHP CC,Central heat production CC,Battery,Ammonia Cracker,Storage ,Haber-Bosch,Resistive heater,Biomass boiler,Storage,Storage,Gas CHP CC,Gas CHP CC,Central heat production emissions,Resistive heater,Gas Boiler,Biomass CHP,Biomass CHP,Decentral heat production emissions,Storage,Power supply emissions,Gas,Gas Boiler,Oil Boiler
2050-01-01 00:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.73153220861158,54.92164396468458,0.7616954301532971,2.5917889142141486,45.21704065095952,93.65257031976984,124.38343946768872,103.4293192130056,66.73441877457017,121.67881026323101,76.5660858711182,5.318224991954195,459.06352491123454,306.5257530387569,91.79374589863052,224.6216137263107,316.6609889882139,39.857734696777634,2.877266766927863,35.29208725214846,,,,,0.031819157927994,6.233113956463221,23.731421012305923,13.589662237519377,9.188961839934754,1.1269920409581005,,15.69824785429906,13.94279901597057,23.958722556552388,,,8.932468358343687,9.922822497038002,0.21914463462461542,8.490050991699036,13.489353377511543,1.7425611227486366,5.323244235578472,2.7340243634355352,0.0690892857405253,2.7767469018854457e-06,1.4611484251261999e-05,4.183439271024232e-06,2.7000786047416964e-06
2050-01-01 03:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.73153220796282,54.92164396639714,0.7616954198404859,2.591788902791976,45.28566942781077,94.365250052859,124.38343897859832,103.38348614841134,66.73444706400774,125.82373994064542,89.48473002541479,5.318223451368265,429.60999323001056,305.10916974862334,124.22819777465556,221.69984681852756,300.97166841434563,43.576692617948495,13.566297126032149,33.65297290342539,0.0,0.0,,,7.509232840009718,6.373480504388381,24.26584346570577,13.801930572604594,11.390517531970401,1.126996750777732,,30.1609238311319,86.15041713743415,32.105936304143825,,32.48987769140024,8.932469215413334,9.922823454835791,0.21914471919570044,9.445744685025868,64.36391829889148,6.300991880478441,19.28877255791349,13.04683281492273,19.897378587912037,2.7950360547004603e-06,1.4640291445318514e-05,7.795615253532743e-06,3.0364128430410307e-06
2050-01-01 06:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.731532207874544,54.921643966683504,0.7616954144627617,2.5917888916167815,45.34951849383157,94.65099946679412,124.38343091670036,103.33187048345546,66.73445398649187,125.59799595720499,83.4415487968708,5.318222951625801,422.54199387887775,304.80944506412703,152.0466963294213,194.35225224663063,259.6001349102962,52.38237561195793,29.362269493181454,34.51313547925224,0.0,56.38107668316365,79.30159710773131,0.0160473954730362,3.765112432935381,7.298803674109844,27.7888586895148,15.201241439933288,4.107764512386844,1.126997601822973,22.72402870091566,28.415896079618516,120.42630168842386,32.78362441860943,0.0,41.87448929544525,8.932468697495123,9.922822874653267,0.21914468683859464,11.483094658901104,70.97166345174878,6.36298108227226,19.48558862640333,14.96767576400765,3.295145919047391,2.732365335903266e-06,1.2357836658572684e-05,3.061098748581148,3.10972885861181e-06
2050-01-01 09:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.73153220753146,54.92164396822731,0.7616954115607526,2.5917888728908385,45.40125143703458,94.38329605846468,124.21635752202728,103.28268673431822,66.73449424828287,125.84909525867826,79.94496653274577,5.318223563166211,433.2015005239022,311.5783038980744,140.7337461598526,209.38090330968907,218.031274636733,21.140019332700064,24.123099621116857,33.8571661983243,0.0,36.21938773822785,389.43106868568225,6.03028288238788,1.287094338865153,7.28163207146324,27.72348065104702,14.336986994904969,0.08674822677502482,1.1269987617423949,0.0,21.86432543778396,101.8680815823596,26.168068960999207,0.0,4.739261623663547,7.142505598373696,7.932994519955585,0.17502424051436605,15.76801583724429,41.435765826511066,3.458188796891204,10.582336510268318,8.399751712124635,0.0185044203868529,2.6380620642626736e-06,8.888150804759615e-06,4.858284876921798e-06,2.877942417283068e-06
2050-01-01 12:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.73153220743489,54.92164396856085,0.7616954097449063,2.591788863210948,45.45149821374055,94.30130389518013,124.3776195662506,103.22494571483088,66.73445426455126,125.70360465233816,77.80096190448731,5.318222939171334,445.17386958628896,317.1529212481766,142.97269198294674,206.70162875397796,208.1311372737598,33.63641321317816,27.79213345697347,34.80470110371632,,50.38671016430855,290.0719305002613,7.233257393012592,0.7720196322835629,7.339890584771493,27.94529032136846,15.263374583974691,0.09500911688555376,1.1269990269348196,4.243852027363025,20.18755846629577,90.13614218638564,25.29205656199024,0.0,3.139467680545816,8.932468365830843,9.922822503442369,0.21914466198999216,11.50848757966006,35.41388186471216,3.3628866975851572,10.28690245246304,7.1792303146468806,4.262426038433216e-05,2.7845576727807727e-06,1.083427417653097e-05,4.620092017594959e-06,2.9101429362029175e-06
2050-01-01 15:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.73153220775726,54.92164396816896,0.7616954082745168,2.591788859091212,45.470652744618555,94.439749684717,124.0912848024422,103.18632882652985,66.73442412711378,126.39375051287305,73.89212509374146,5.318222141469683,446.4963626399833,312.1766609720403,164.2772924185505,191.42599428211707,212.27351074634083,85.52991051226024,31.535669510634712,33.85798818213252,0.0,65.27228457808495,23.806258055748486,0.5080251052572679,3.721857110100105,7.339891266620344,27.94529291431913,15.263376626097237,12.511383491589173,1.1269993144906076,9.394240209459614,18.32647650578707,77.73467656640919,30.069280472315945,0.0,24.094964474330315,8.932470578742738,9.922824977631002,0.21914485803811087,1.6872829068762767,54.701334837794626,5.361475071633525,16.397687832964326,11.384370840102402,9.472340486994415,3.0577603319968e-06,1.7330696921873752e-05,1.561090975425776,3.0885549159143585e-06
2050-01-01 18:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.73153220784688,54.92164396809835,0.7616954067455489,2.5917888535232825,45.49482044605429,94.43198083770946,124.38340658599192,103.12963180606916,66.73439207925146,126.39375058398366,75.0966617549633,5.318222421370637,443.0688099213936,306.4372031944677,133.04124495830672,183.6863737352925,215.87093177749352,88.34575536877499,15.200612766103529,32.88381730602208,0.0,1.5010497754812242,,,1.5792645586522331,7.339891032890733,27.94529202552066,15.263376276474975,18.879429181585834,1.1269987264255397,,20.95472049349948,89.5010814882148,30.062181987511728,,26.30522935876604,8.932470573974264,9.922824972299669,0.21914485335874384,1.2165918823284918,54.958542052580825,5.446984047802564,16.658739404914193,11.821602374618863,1.230063667551969e-05,3.0596174025087006e-06,1.7366544888725892e-05,3.5817503869376037,3.0263236525840173e-06
2050-01-01 21:00:00,14.152822810967248,1.0947488584474885,2.698889859646953,21.56339385039261,33.73153220789705,54.92164396802878,0.7616954054304679,2.591788845696392,45.51634953494383,93.81311880410242,124.38343773147008,103.08181613693768,66.73439678355125,126.39375054249516,56.77726819760337,5.318223149460585,418.92426588812276,303.4551437368136,106.67300343314818,160.6802185488408,197.5928820799028,89.2541354873513,6.012568355354166,32.11529020191506,7.155024763290305,,,,1.1264467721746811,7.339890414404095,27.945289674024917,15.263374959356462,8.637492402508117,1.1269982546603672,,5.024639262759893,20.667853223168656,19.546353839309052,0.0,,8.932469719497398,9.922824017466134,0.219144756881659,0.2403399993440324,16.220716497682947,1.800774609066676,5.501076005094489,3.2872331613292207,9.87520721200484e-06,3.050476728932505e-06,1.7280169151615062e-05,4.204189764049812e-06,2.8307503279613985e-06
