snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
carrier,Decentralized heat,Electricity,Centralized heat,Methane,Centralized heat,Li ion,Electricity,Electricity,Decentralized heat,NH3,Centralized heat,Centralized heat,Electricity,Electricity,Centralized heat,Decentralized heat,Centralized heat,Electricity,Decentralized heat,Decentralized heat
sector,Heat Pump,Offwind,Heat Pump,Extraction,Waste Heat,Storage ,Onwind,Solar,Gas Boiler,Haber-Bosch,Gas Boiler,Biomass CHP,Biomass CHP,Hydroelectricity,Resistive heater,Resistive heater,Storage ,Gas,Oil Boiler,Storage 
2040-01-01 00:00:00,2.386776455263788,9.61257302101336,0.8818804867528331,10.05566824565605,0.7245976926165826,,4.064440358156597,,5.977714514626474,0.6116972832934706,2.803558495786975,1.937338666817413e-06,6.297765478686288e-07,0.07976665894818936,0.4994952827225902,1.0692245373372278e-05,6.565145483527653e-07,1.18460941702461e-06,1.2790893591070385e-06,1.806709917994716e-06
2040-01-01 03:00:00,2.378113353419264,9.43608637088371,0.8771019149312608,10.051514249529095,0.7245973667426926,,3.2358384486410854,,10.576672332378545,0.6116969619751433,5.674994034333133,4.204016085048841e-06,1.3664663155561994e-06,1.3878692580566032,0.5128674116776388,0.132917226587921,6.379101748438498e-07,1.537993425134857e-06,1.3006775268669351e-06,1.8489072646782768e-06
2040-01-01 06:00:00,2.37259696576066,9.486574035388239,0.8736138562454042,10.067124705059426,0.7245973811397727,0.3129418778011998,2.533351081233272,0.1010647262264581,10.80909571343654,0.611696973971926,5.937761957460091,3.997827235652926e-06,1.2995004626157646e-06,0.42021634777363936,0.5084068351243562,0.3239030731620508,6.358776687923605e-07,1.519327967135539e-06,1.5252672256640891e-06,3.3637780095008413e-06
2040-01-01 09:00:00,2.366812590922284,9.602957998305222,0.8690406726033283,10.067356097402667,0.7245976054799514,,2.214082017547211,2.355211524859026,9.655271646520037,0.6116971930690233,4.414996221021387,2.305204363534448e-06,7.49397847354707e-07,0.0798761042601646,1.1311601548844874,9.717441077990974e-06,6.364256575996343e-07,1.2739706432099167e-06,1.2787355242471285e-06,1.8564747627910192e-06
2040-01-01 12:00:00,2.3552352488127823,9.600015082493933,0.8622508208377031,10.045762613397402,0.7245976254973947,,1.9521613724872844,3.649378087376837,9.193648990355776,0.6116972138382284,4.158976804895278,2.21862162820891e-06,7.212578589407188e-07,0.0798760873334841,1.105429614836246,9.810068243451035e-06,6.33286911284212e-07,1.2534664033721555e-06,1.278408310798627e-06,1.8416357454577877e-06
2040-01-01 15:00:00,2.3005979514540362,9.565327606809792,0.830572475311892,9.979271679311958,0.7245975869560607,1.1793834567459762,1.4898866974050324,0.07927334496428559,9.904402624727716,0.6116971747388555,5.177215416769675,2.401105985140401e-06,7.805759857732258e-07,0.07987611061673713,0.518944892396997,1.0052638063312763e-05,6.429678274982035e-07,1.2936913168303638e-06,1.2787570874162394e-06,1.8754265711737608e-06
2040-01-01 18:00:00,2.232480317035073,9.610526240975418,0.8025192294475127,9.90958326244658,0.7245975850668166,0.4339166284317968,1.735821295198269,,9.849585174586757,0.6116971730029457,5.295120455217806,2.412084784992332e-06,7.841495248559708e-07,0.07987611154636269,0.3541318338825372,1.0139330669824148e-05,6.40350513515686e-07,1.2957178897964616e-06,1.2787825581166337e-06,1.8319081890922569e-06
2040-01-01 21:00:00,2.2239773116007484,9.61220271212271,0.7982415148726156,9.84252645089522,0.7245970978224964,,2.1108805040779304,,6.457079769188211,0.6116967600502705,3.2651931716610556,1.1805386623841652e-05,3.837573459423894e-06,0.07987722822218722,0.3145189436645484,1.028889738888521e-05,6.452606692184558e-07,1.7815431159387425e-06,1.2788940393659572e-06,1.7242637882738492e-06
2040-01-02 00:00:00,2.2340047875553823,9.609812196936762,0.7991223328621858,9.831227134967223,0.7245965676888423,,1.8249002564605548,,6.727685977086225,0.611696515835804,3.364767046371394,0.0480376998759241,0.0157069088445101,0.07989388860373021,0.3355907099650279,1.028259337194559e-05,6.246658752464126e-07,2.046633640822636e-06,1.2790409160958858e-06,1.5821200924660978e-06
