country,sector,2030,2040
AL,Battery,0.298822898614742,0.5411497472685824
AL,Biomass CHP,0.0450852859612916,0.0714816321812655
AL,Biomass CHP CC,2.0362089203248038e-07,3.104221327526757e-07
AL,CHP,1.986472314025568e-06,3.448845018425869e-06
AL,Coal/Lignite,9.095127341105224e-07,1.3552664868062836e-06
AL,Fuel Cell,2.859648599378316e-07,4.773836508398514e-07
AL,Gas,4.486127604429391e-06,7.355301778343848e-06
AL,Hydroelectricity,1.7389,1.7389
AL,Hydrogen,1.4315048359589635e-06,2.414880882024273e-06
AL,Nuclear,1.002609812978158e-06,1.7416724060172651e-06
AL,Offwind,1.1019582071871675e-06,1.6137009211463306e-06
AL,Oil,0.0898555879042449,0.0898563213741087
AL,Onwind,9.169610276696372e-07,1.3480112127116234e-06
AL,Solar,2.6551827068336404,4.002733653753617
AT,Battery,0.4738382745416763,0.5285188259555891
AT,Biomass CHP,0.8414442616400931,0.84144680123412
AT,Biomass CHP CC,2.0045725502039457e-07,3.082367306290154e-07
AT,CHP,2.409918014826451e-06,4.7816841704422125e-06
AT,Coal/Lignite,9.036098772837004e-07,1.3558762361621037e-06
AT,Fuel Cell,3.154850480599972e-07,5.278431978376507e-07
AT,Gas,2.819204598366232,1.3170079039518328
AT,Hydroelectricity,13.46042,13.46042
AT,Hydrogen,1.4589327671416123e-06,2.517475475359769e-06
AT,Nuclear,8.488720259199025e-07,1.696358305412172e-06
AT,Oil,1.0452064882065545e-06,1.7791277663186804e-06
AT,Onwind,3.685813959757771,2.9105959775582204
AT,Solar,8.759343607760128,17.389932119792785
BA,Battery,0.507096893473729,0.975446440164123
BA,Biomass CHP,0.0902834060366069,0.1085528749591527
BA,Biomass CHP CC,2.0260768258458653e-07,3.0819946154293517e-07
BA,CHP,1.980436378149063e-06,3.7699873368498914e-06
BA,Coal/Lignite,0.5690009086741206,0.300001355607473
BA,Fuel Cell,2.881141691900492e-07,4.879398874736323e-07
BA,Gas,4.596791950207332e-06,7.616412841041311e-06
BA,Hydroelectricity,2.0545,2.0545
BA,Hydrogen,1.4315709496279402e-06,2.4347727397353e-06
BA,Nuclear,9.614702972149886e-07,1.700600808880716e-06
BA,Oil,1.0453221849719737e-06,1.7788136232692322e-06
BA,Onwind,0.1347021669735971,0.1347031509093594
BA,Solar,3.107909645467241,7.076418357153733
BE,Battery,0.3585007226216218,0.3585914028859844
BE,Biomass CHP,0.4927343623250145,0.4554828597330452
BE,Biomass CHP CC,5.935964633864663e-07,9.160924153352016e-07
BE,CHP,6.326087919323747e-06,1.763496819737613e-05
BE,Coal/Lignite,2.6047158264644225e-06,3.976780634134356e-06
BE,Fuel Cell,9.194217588335272e-07,1.5636711908025051e-06
BE,Gas,4.14631175632766,1.9062233669190003
BE,Hydroelectricity,1.400658999125907,1.400658999125907
BE,Hydrogen,4.242601363944391e-06,7.5346840053093664e-06
BE,Nuclear,2.056002413937599,4.622873889272922e-06
BE,Offwind,10.430743479882455,10.855531877947993
BE,Oil,3.1073133184559533e-06,5.272881879909109e-06
BE,Onwind,4.200000875684737,4.200002788992991
BE,Solar,10.516450829317996,21.47419863125615
BG,Battery,0.6597028149506898,2.5641873362893643
BG,Biomass CHP,0.6677178731769413,0.7123606197172989
BG,Biomass CHP CC,2.026257733459485e-07,3.121119675967634e-07
BG,CHP,1.9726853069698705e-06,3.404478209873848e-06
BG,Coal/Lignite,1.615554662874216,1.6155551089812386
BG,Fuel Cell,2.830405158314889e-07,4.777339540399445e-07
BG,Gas,4.501424190386615e-06,7.346537918843666e-06
BG,Hydroelectricity,2.89954,2.89954
BG,Hydrogen,1.4223110454179532e-06,2.442670965457157e-06
BG,Nuclear,2.080000983508328,2.0800017233372943
BG,Offwind,0.3550000744111292,0.7100000267280432
BG,Oil,1.045285104145375e-06,1.7786799493760486e-06
BG,Onwind,0.6910040942082496,0.6910060630169842
BG,Solar,9.312900454995974,16.666781568944486
CH,Battery,0.2328088298819415,0.783198888165081
CH,Biomass CHP,0.761564625241103,0.8046841582514477
CH,Biomass CHP CC,2.0261550672227995e-07,3.108296657155364e-07
CH,CHP,2.02325932824014e-06,3.809501401768699e-06
CH,Coal/Lignite,8.869426065779075e-07,1.3333344414463289e-06
CH,Fuel Cell,2.988103580814181e-07,4.988118254497711e-07
CH,Gas,4.1357329391143226e-06,6.980768771163143e-06
CH,Hydroelectricity,19.45666,19.45666
CH,Hydrogen,1.4333807003626842e-06,2.406200742026741e-06
CH,Nuclear,2.970000845628598,2.970001532693468
CH,Oil,1.0439127509443369e-06,1.777135349919739e-06
CH,Onwind,0.0750023798519211,0.0750034932682917
CH,Solar,7.949898402221985,15.652645030884988
CZ,Battery,0.43273868803692,0.4327630396622967
CZ,Biomass CHP,1.2978826029751278,1.3584086443063537
CZ,Biomass CHP CC,2.0221102303482826e-07,3.127233401736678e-07
CZ,CHP,2.3092294663568374e-06,4.631815852766757e-06
CZ,Coal/Lignite,0.1032805678289963,0.1032810231482004
CZ,Fuel Cell,3.1290033226248994e-07,5.248447901488377e-07
CZ,Gas,4.581776510960776e-06,8.134117998932884e-06
CZ,Hydrogen,1.4707704304021694e-06,2.5568578873628065e-06
CZ,Nuclear,1.3381505284782476,1.7143500216010044
CZ,Oil,1.0450659785565415e-06,1.7789630384053197e-06
CZ,Onwind,0.3394279471096618,0.3174326101470586
CZ,Solar,5.727151361954238,16.093010868528545
DE,Battery,3.5095551516998564,3.509573941275054
DE,Biomass CHP,6.89521931312087,5.682703176267527
DE,Biomass CHP CC,2.0231427205634289e-07,3.1242067160729826e-07
DE,CHP,2.5032734864576595e-06,5.031518917042562e-06
DE,Coal/Lignite,21.92409236547946,5.130471036604255
DE,Fuel Cell,3.2265705577691933e-07,5.287646913941628e-07
DE,Gas,22.547503816469444,19.039278327322645
DE,Hydroelectricity,10.66432335,10.66432335
DE,Hydrogen,1.4581254636829582e-06,2.491293591484334e-06
DE,Nuclear,8.787845840637753e-07,1.61754118730914e-06
DE,Offwind,72.8847902038062,73.22726278745237
DE,Oil,0.82090104580326,0.5161017785907897
DE,Onwind,52.07004183654265,39.91709960961784
DE,Solar,92.47043398957054,172.5395609473802
DK,Battery,0.3008808106837581,0.3009157029896416
DK,Biomass CHP,0.7103494625459745,0.8958390434081661
DK,Biomass CHP CC,3.94742668250326e-07,6.245289089298809e-07
DK,CHP,3.5108819760871393e-06,6.397810629646989e-06
DK,Coal/Lignite,0.0479423909691403,0.0479432713844627
DK,Fuel Cell,5.582518453931815e-07,9.356499684669904e-07
DK,Gas,0.840206673535789,0.3400116209302745
DK,Hydrogen,2.7258551349162805e-06,4.6596140306971925e-06
DK,Nuclear,1.4645846009758882e-06,2.420126809878852e-06
DK,Offwind,15.255001828758113,27.094000259365163
DK,Oil,2.0836212313414876e-06,3.546729156744491e-06
DK,Onwind,2.465804421847243,10.289557874141831
DK,Solar,3.2771219198042596,7.231102228539723
EE,Battery,0.0530754109710156,0.0558673436018197
EE,Biomass CHP,0.3544573852349651,0.354459635757724
EE,Biomass CHP CC,2.0402372739762722e-07,3.143798222877204e-07
EE,CHP,1.868150099895092e-06,3.203423021921052e-06
EE,Coal/Lignite,8.600988837006983e-07,1.2985440779867676e-06
EE,Fuel Cell,2.881949416709516e-07,4.786212092677492e-07
EE,Gas,3.873268025590833e-06,6.414073656438886e-06
EE,Hydrogen,1.395767191831571e-06,2.386758544988724e-06
EE,Nuclear,8.42395656232134e-07,1.3790516805923646e-06
EE,Offwind,0.4290001208002784,1.22900001833443
EE,Oil,1.0422729990560875e-06,1.7743837327913096e-06
EE,Onwind,0.3368038862306443,0.3058062511412909
EE,Solar,0.5282788975634698,1.6884810838035873
ES,Battery,4.494038126017844,22.134615259283137
ES,Biomass CHP,1.934856089474006,2.171566393769894
ES,Biomass CHP CC,3.981160312848266e-07,6.087228555863547e-07
ES,CHP,3.867505009781544e-06,6.538885668722996e-06
ES,Coal/Lignite,1.4525169011831454,0.8444969151556387
ES,Fuel Cell,5.791953587467121e-07,9.592317080228518e-07
ES,Gas,23.432540754716204,23.432545679413668
ES,Hydroelectricity,24.123595247500003,24.123595247500003
ES,Hydrogen,2.8713084936727467e-06,4.805073081373394e-06
ES,Nuclear,5.1001019810785975,3.298419456086563e-06
ES,Offwind,5.457290933716988,10.396001028625982
ES,Oil,0.466973088416758,0.2309445536827602
ES,Onwind,31.119054384176906,43.03998987816805
ES,Solar,79.78826976394507,122.02626295557764
FI,Battery,1.0331578916748998e-05,2.3227655269671992e-05
FI,Biomass CHP,0.2600016056504777,0.3924932798339453
FI,Biomass CHP CC,1.902317667270448e-07,3.008164646512051e-07
FI,CHP,1.7780376218369096e-06,3.0114128996693855e-06
FI,Coal/Lignite,8.151395953630368e-07,1.2468667169111343e-06
FI,Fuel Cell,2.8586672720245796e-07,4.7015596458503e-07
FI,Gas,1.3024033549079392,0.0460055746755224
FI,Hydroelectricity,2.74763,2.74763
FI,Hydrogen,1.3780372240373668e-06,2.311574871327345e-06
FI,Nuclear,4.362000752741442,4.362001200732225
FI,Offwind,1.5120007555832276,5.007000323518727
FI,Oil,1.0403607265374327e-06,1.7713802181395857e-06
FI,Onwind,5.506009045607526,5.462014110195655
FI,Solar,0.573620169527376,4.408652872391487
FR,Battery,1.3061347923175877,5.554969855857673
FR,Biomass CHP,6.820716903963319,6.794766530378801
FR,Biomass CHP CC,2.0422764454847985e-07,3.1308890237370394e-07
FR,CHP,2.2260386684687803e-06,3.935973205899624e-06
FR,Coal/Lignite,8.785537515848943e-07,1.3247797870634926e-06
FR,Fuel Cell,3.000536086340258e-07,4.970798144731007e-07
FR,Gas,6.116004535517622,5.913007404906069
FR,Hydroelectricity,19.950142143052236,19.950142143052236
FR,Hydrogen,1.4316410518500625e-06,2.415823081488223e-06
FR,Nuclear,26.270000996332733,20.51973319080269
FR,Offwind,44.0070752063041,54.654783266642966
FR,Oil,0.2540010451555729,1.7775134308074572e-06
FR,Onwind,20.60003648498955,27.97804684121633
FR,Solar,42.97955358603639,105.4331878175396
GB,Battery,3.6149631880422497,3.616910556799163
GB,Biomass CHP,5.660302185149201,2.766003128957668
GB,Biomass CHP CC,3.575436597358329e-07,5.543910261032784e-07
GB,CHP,4.937433569486559e-06,3.3579213419790968
GB,Coal/Lignite,0.8500017692101187,2.688258042800285e-06
GB,Fuel Cell,6.133370771720179e-07,1.0496101858365292e-06
GB,Gas,29.870232120080747,14.43511921825852
GB,Hydroelectricity,9.4553,9.4553
GB,Hydrogen,2.889060355489815e-06,5.043935600328358e-06
GB,Nuclear,8.80600207235301,3.440003626955209
