country,carrier,2030,2040
AL,BEV charger,324.32951675371345,729.741412702885
AL,H2 Fuel Cell,0.0016233496744453,0.0014833726738741
AL,air heat pump,439.94551286403305,486.61745318899096
AL,battery charger,0.012258129606327,0.0181466894904442
AL,ground heat pump,540.88866899633,734.3040511195107
AL,home battery charger,464.9070113184062,1147.121391721395
AL,hydro,5434.46384256021,5434.428857587563
AL,water tanks charger,102.39236935375328,287.3903242708879
AT,BEV charger,3943.394114707166,8872.636758100793
AT,H2 Fuel Cell,0.0020931141259069,0.002201517621446
AT,PHS,11011.522333476756,11922.561197818111
AT,air heat pump,6627.15001579439,10344.967852145355
AT,battery charger,0.0123890183985959,0.0161213376520678
AT,ground heat pump,4057.043390960326,6087.180086637597
AT,home battery charger,377.0354012518716,675.5430563860664
AT,hydro,15478.7154379171,15478.716341822425
AT,water tanks charger,362.0250757903356,1259.710080444329
BA,BEV charger,541.6518855257439,1218.7167424380568
BA,H2 Fuel Cell,0.0016653194509315,0.0017693116178988
BA,PHS,0.6250458163230055,0.8026764780234315
BA,air heat pump,951.3490757357188,1440.981306848472
BA,battery charger,0.0122475999726343,0.0175294320778302
BA,ground heat pump,1779.674057173784,1819.0439503357716
BA,home battery charger,697.0769880645158,1931.990217659819
BA,hydro,6447.598470919282,6447.599303702755
BA,water tanks charger,225.02154815401315,357.15385549726443
BE,BEV charger,4719.177551520539,10618.149490942242
BE,H2 Fuel Cell,0.005733360286804,0.0068116800602231
BE,PHS,922.0960385830537,1125.3628985225666
BE,air heat pump,13970.692082990165,17653.538863272
BE,battery charger,0.0398672146395184,0.0532015068699024
BE,ground heat pump,7337.227877484091,7850.572782545272
BE,home battery charger,166.02820816365994,254.1918168152442
BE,hydro,46.68358117775232,46.68363121229732
BE,water tanks charger,888.6684275976629,1545.0581167758792
BG,BEV charger,1486.24634220197,3344.0542699619264
BG,H2 Fuel Cell,0.0015708927719307,0.0015786398378981
BG,PHS,1224.6283467990904,1763.6334790587289
BG,air heat pump,3014.4003417401063,2568.626587430164
BG,battery charger,0.0127154360290393,0.018614395675323
BG,ground heat pump,2580.267676644777,2940.1667011579234
BG,home battery charger,1331.8275527612504,5538.727206034161
BG,hydro,3401.037021468565,3401.0378555652646
BG,water tanks charger,1487.8342136917895,1553.2695172332903
CH,BEV charger,2034.818359508713,4578.341308904261
CH,H2 Fuel Cell,0.0018049264957133,0.001774043944641
CH,PHS,10285.21670039738,11916.497369973751
CH,air heat pump,7216.788594969304,7639.035067169678
CH,battery charger,0.0132311892454851,0.0170800189453645
CH,ground heat pump,4086.1497088744673,6153.327754857215
CH,home battery charger,170.54110175110202,1036.3257091693577
CH,hydro,22926.529357704934,22926.53019649672
CH,water tanks charger,1009.2008543724684,1718.868351960727
CZ,BEV charger,3182.7250983511462,7161.1314712999
CZ,H2 Fuel Cell,0.0020304086417249,0.0021728794680871
CZ,air heat pump,4607.782741207575,8178.808433648654
CZ,battery charger,0.0126777107191779,0.0169973264030487
CZ,ground heat pump,6759.124454950099,7698.862187999228
CZ,home battery charger,246.5560081426586,498.6665471316263
CZ,water tanks charger,991.6223134365576,1318.1716610369951
DE,BEV charger,25533.964582158147,57451.42030985631
DE,H2 Fuel Cell,0.002119277533869,0.0020622791513779
DE,PHS,6614.417087086855,8165.542103353791
DE,air heat pump,67639.2640050184,89274.78556907685
DE,battery charger,0.0143555327470065,0.0185586398513718
DE,ground heat pump,39390.02218164464,47963.61695539838
DE,home battery charger,1628.4632516320496,3491.53845074023
DE,hydro,2053.1173973512587,2053.118710424107
DE,water tanks charger,6759.649696608958,10742.657249278333
DK,BEV charger,2069.6777080804773,4656.7748431990985
DK,H2 Fuel Cell,0.0029871371112634,0.0027545839377305
DK,air heat pump,10150.744617219594,8025.143833273571
DK,battery charger,0.0315820643428598,0.0343770050415512
DK,ground heat pump,3251.800323494262,3132.6855954605053
DK,home battery charger,197.5614417133447,186.14683140538313
DK,water tanks charger,543.1394273643845,1679.334393062005
EE,BEV charger,361.8529120109577,814.1690520341626
EE,H2 Fuel Cell,0.0014485655564935,0.0014744476732826
EE,air heat pump,632.8484330520037,989.3039293584536
EE,battery charger,0.0144405881939777,0.0151422226725684
EE,ground heat pump,1163.1600051018456,1232.1304546488705
EE,home battery charger,70.80754971368782,82.90677702185775
EE,water tanks charger,347.64195703952396,219.74675476910576
ES,BEV charger,13222.551012014996,29750.739777053208
ES,H2 Fuel Cell,0.0031154890503747,0.0029364536315613
ES,PHS,16095.640024624245,17082.718592275174
ES,air heat pump,29229.347963757475,42894.840508148955
ES,battery charger,0.0369771274966439,0.0501336135431114
ES,ground heat pump,21398.9701941293,22286.24852264934
ES,home battery charger,8744.577754756412,38880.8485712063
ES,hydro,32209.2240837466,32209.22493177248
ES,water tanks charger,7079.220590994163,10046.257064027135
FI,BEV charger,2146.914332543748,4830.557248232497
FI,H2 Fuel Cell,0.0014361493265546,0.0012746681401583
FI,air heat pump,4699.619708985184,4373.453605122277
FI,battery charger,0.0165156742919305,0.0144516259948303
FI,ground heat pump,7872.980099069473,8195.119374934888
FI,home battery charger,0.0130707403284572,0.0147128642162478
FI,hydro,5574.419916848062,5574.4218494303395
