imports_exports,countries,year,carriers,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
imports,AL,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9349353858712453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.449561033481951,0.0,0.0,0.0,0.0,0.0,0.0,3.582977945368775,0.0,0.0,0.0
imports,AT,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.4799220745516387,16.33770170458505,10.732044528423309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.081249628802993,0.0,1.7639507947104838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.89493582400284,0.0
imports,BA,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.232165331473094,0.0,0.0,0.0,0.0,0.0,0.0,6.385644882027176,0.0,0.0,0.0,0.0,0.0,0.0,6.563272608317639,0.0,0.0,0.0
imports,BE,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.979619315199793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578276861833782,0.0,0.0,0.0,15.959741104126998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,BG,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6077764059896624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684697377397458,0.0,0.0,0.0,0.0,6.468300627153178,2.156694097195691,0.0,0.0,0.0
imports,CH,2030,Electricity,0.0,21.924852798203258,0.0,0.0,0.0,0.0,0.0,34.25433965945396,0.0,0.0,0.0,0.0,5.210375133619765,0.0,0.0,0.0,0.0,0.0,43.495108675207234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,CZ,2030,Electricity,0.0,0.271522015876469,0.0,0.0,0.0,0.0,0.0,0.3295613128571563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.79869507404087,0.0,0.0,0.0,0.0,0.0,11.595072098365405
imports,DE,2030,Electricity,0.0,59.05688381909985,0.0,0.0,0.0,40.42357997601189,40.856300368191235,0.0,1.7890207929954849,0.0,0.0,0.0,7.278936097780323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.590442415758052,0.0,0.0,0.0,13.304554129966084,0.0,33.933245504525885,0.0,0.0,0.0,0.892018157952525,0.0,0.0
imports,DK,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.883076577240724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8904020376115456,0.0,0.0,0.0,0.0,0.4656656845275562,0.0,0.0
imports,EE,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378031068446471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0111874497236695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,ES,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011097630852413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.325060887782495,0.0,0.0,0.0,0.0,0.0
imports,FI,2030,Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.469813894224688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1027870310910552,0.0,0.0
