country,carrier,2030,2040
GR,H2 Fuel Cell,6.050835295092096e-07,1.0022459036027674e-06
GR,PHS,0.699,0.699
GR,air heat pump,0.2796383158714456,0.3924392910074216
GR,battery charger,4.802660910418908e-06,8.756555715123307e-06
GR,ground heat pump,0.1682549524669689,0.1743225854914447
GR,home battery charger,1.8410883573509331,3.3598694762202705
GR,hydro,2.566,2.566
GR,water tanks charger,1.8386660095172105,4.315126244786321
HR,BEV charger,2.6396515199999997,5.93921592
HR,H2 Fuel Cell,5.723898650685945e-07,9.88920374099952e-07
HR,PHS,0.2457,0.2457
HR,air heat pump,0.0991587187887251,0.150198297039344
HR,battery charger,4.393548974848228e-06,7.981783819961719e-06
HR,ground heat pump,0.0952125237386458,0.1056897657601104
HR,home battery charger,0.5236772007607751,0.9440083966969716
HR,hydro,1.864404458598726,1.864404458598726
HR,water tanks charger,1.884509309592069,1.80345944917703
HU,BEV charger,5.62646656,12.659549759999996
HU,H2 Fuel Cell,5.76739523192823e-07,9.85753818363193e-07
HU,air heat pump,0.307104631305432,0.3071143530779213
HU,battery charger,4.57805695692791e-06,8.225227190883199e-06
HU,ground heat pump,0.1121213063774642,0.156325771445898
HU,home battery charger,0.2229676255186855,1.2134520672022415
HU,hydro,0.028,0.028
HU,water tanks charger,8.078768405101387,7.953950078106232
IE,BEV charger,3.6258992,8.1582732
IE,H2 Fuel Cell,6.220922605055837e-07,1.026697486882298e-06
IE,PHS,0.392,0.392
IE,air heat pump,0.2533857338731218,0.2534086678106739
IE,battery charger,4.975434506139901e-06,8.729552335436691e-06
IE,ground heat pump,0.1396528851898972,0.1713572833361736
IE,home battery charger,0.0123736647274064,0.0464072818491329
IE,hydro,0.001,0.001
IE,water tanks charger,1.4599861475898774,1.8616045347556764
IT,BEV charger,67.76648384,152.47458863999998
IT,H2 Fuel Cell,1.2752641221720593e-06,2.08667752036583e-06
IT,PHS,7.571899999999999,7.571899999999999
IT,air heat pump,6.877433121039201,2.194831188623049
IT,battery charger,1.0859171758358e-05,6.93493606016943e-05
IT,ground heat pump,1.1714081864628196,1.5390160814226213
IT,home battery charger,6.0102017371217995,25.76219806886425
IT,hydro,4.0029,4.0029
IT,water tanks charger,45.76058953564752,38.8512331590338
LT,BEV charger,2.52946672,5.69130012
LT,H2 Fuel Cell,5.477558129292098e-07,9.298699614393372e-07
LT,PHS,0.9,0.9
LT,air heat pump,0.0708785286504665,0.0730783539530058
LT,battery charger,4.619040836371658e-06,7.997010727971723e-06
LT,ground heat pump,0.0325098948813897,0.0384701240294902
LT,home battery charger,6.1475786007931e-06,1.6355004719949744e-05
LT,water tanks charger,2.521687010983629,2.188501796662087
LU,BEV charger,0.67074128,1.50916788
LU,H2 Fuel Cell,6.069892890369064e-07,1.0285815394622983e-06
LU,PHS,2.585,2.585
LU,air heat pump,0.0481477123233204,0.0732901101491697
LU,battery charger,4.437860403958259e-06,7.867815275141538e-06
LU,ground heat pump,0.0083596697227595,0.0100426242876681
LU,home battery charger,7.136955987243202e-06,0.0123860754194966
LU,water tanks charger,0.5835782996322798,0.362281410726994
LV,BEV charger,1.19512448,2.6890300799999993
LV,H2 Fuel Cell,5.389879549934651e-07,9.034151901655056e-07
LV,air heat pump,0.0666302650383318,0.0666316951646278
LV,battery charger,4.62723676436833e-06,8.001053168004454e-06
LV,ground heat pump,0.0094152097906422,0.009415589918802
LV,home battery charger,0.0876243657417108,0.0876579756379941
LV,water tanks charger,2.19573700455836,5.348259073971143
ME,BEV charger,0.4843845080358359,1.0898651430806308
ME,H2 Fuel Cell,6.022854390902382e-07,9.93816825021338e-07
ME,PHS,0.307,0.307
ME,air heat pump,0.0139745643852017,0.0206291667829832
ME,battery charger,4.34154988541514e-06,7.963203691610225e-06
ME,ground heat pump,0.0095176797845904,0.0133920219642352
ME,home battery charger,0.1008094793561681,0.1658956259072055
ME,hydro,0.344961,0.344961
ME,water tanks charger,0.2643348297812453,0.3002165530368111
MK,BEV charger,1.5373619078121992,3.459064292577448
MK,H2 Fuel Cell,5.650227942592851e-07,9.516517493357628e-07
MK,air heat pump,0.0226302427019797,0.0266173973654696
MK,battery charger,4.462612538291655e-06,8.22492901173344e-06
MK,ground heat pump,0.0231860813015863,0.0312421774878795
MK,home battery charger,0.19012540626875,0.6490693141203597
MK,water tanks charger,0.3612719374141992,0.4326043727150406
NL,BEV charger,14.04318608,31.59716868
