config,cost_segment,cost/carrier,2030,2040
prod_tot,Energy production,capital,272428664143.97763,339779377751.84393
prod_tot,Energy production,fuel,378299132088.3737,252746304303.0873
prod_tot,Energy production,marginal,282498175144.53406,247934905447.1038
sto_tot,Storage,capital,44612789710.19462,50328110497.95231
tran_tot,Transmission,capital,11723005334.368328,13296935949.547867
tran_tot,Transmission,marginal,117680022.797558,81343468.66171084
distr_tot,Distribution,capital,184486255933.87622,196583840651.39902
net_imp_tot,Net_Imports,H2,0,0
net_imp_tot,Net_Imports,elec,0,0
net_imp_tot,Net_Imports,gas,0,0
prod_be,Energy production,capital,6909764969.105373,6915019611.959884
prod_be,Energy production,fuel,3481119815.8028345,4642885980.466295
prod_be,Energy production,marginal,11740961257.073313,9373508076.722942
sto_be,Storage,capital,480131263.5873347,486109873.30624336
distr_be,Distribution,capital,5396606140.305769,6095403860.137863
net_imp_be,Net_Imports,H2,-497805244.5134716,-275956255.7210772
net_imp_be,Net_Imports,elec,412684884.0091901,2260991943.735178
net_imp_be,Net_Imports,gas,664530266.271523,736521903.383255
prod_eu27,Energy production,capital,230820546304.607,280483621231.24097
prod_eu27,Energy production,fuel,90832635928.39258,70047367597.79036
prod_eu27,Energy production,marginal,215739191071.87314,191786008640.6899
sto_eu27,Storage,capital,31582429157.70706,35928272111.07376
distr_eu27,Distribution,capital,154087728087.72714,164823481235.32022
net_imp_eu27,Net_Imports,H2,-542125197.7024072,-630696289.9601014
net_imp_eu27,Net_Imports,elec,-132380272.63021469,-3331122944.473749
net_imp_eu27,Net_Imports,gas,-4817267927.115222,-4914528389.0678215
