country,sector,2030,2035,2040,2045,2050
AL,Battery,0.0649959837736475,0.0832599662155742,0.100383408968371,0.917637390105136,0.9480532001692756
AL,Biomass CHP,0.024201218160216,0.0308187494708917,0.0377974306974497,0.045120573116627,0.0500906152774398
AL,Biomass CHP CC,2.0676478019765673e-07,2.867367708538092e-07,3.42519177680017e-07,3.923516800579165e-07,7.1737895888918645e-06
AL,Coal/Lignite,7.954097933283344e-07,1.1536084521629554e-06,1.388703583731045e-06,1.4927815826695556e-06,1.6157304945489575e-06
AL,Fuel Cell,3.133324925440191e-07,4.461511410131393e-07,5.40853520327363e-07,5.969102666217573e-07,6.726219476300534e-07
AL,Gas,3.056149963534642e-06,4.352694731111267e-06,5.22227308815319e-06,5.640355080247844e-06,6.13228093565021e-06
AL,Gas CC,1.1930523305280714e-06,1.6755289754760345e-06,2.006647437507166e-06,2.1756956033260984e-06,2.387270670695933e-06
AL,Gas CHP,1.3023407654787157e-06,1.930797326229363e-06,2.3633835699546486e-06,2.563792925105857e-06,2.8158810433577418e-06
AL,Gas CHP CC,6.191223955795763e-07,8.619334915546354e-07,1.040669598372874e-06,1.1643982309082429e-06,1.3205111134813433e-06
AL,Hydroelectricity,1.7389,1.7389,1.7389,1.7389,1.7389
AL,Hydrogen turbines,1.4668978783212527e-06,2.1350364909824057e-06,2.5987024681572185e-06,2.850578636947991e-06,3.1810634470561574e-06
AL,Micro gas CHP,1.1395132637014187e-07,1.6067061611042684e-07,1.9481121455370207e-07,2.102554232963723e-07,2.299224195485402e-07
AL,Nuclear,7.64145366633325e-07,1.1507065808727152e-06,1.4700140921148623e-06,1.7278602289524324e-06,2.093599073097048e-06
AL,Offwind,6.413178401811017e-07,1.0592527920333102e-06,1.3959614679350004e-06,1.5508060611170349e-06,1.9168776493110868e-06
AL,Oil,0.0898556350012188,0.0898561724245351,0.0898565213658733,0.0898566963946368,0.0898569043239569
AL,Onwind,4.660578996445334e-07,8.122903504776631e-07,1.0545559066441058e-06,1.2009129012826194e-06,1.4125651040779324e-06
AL,Solar,2.3668586046381153,2.7938426962279412,3.5559846202027754,5.43234671537362,5.432347917066705
AT,Battery,9.662667708067276e-06,1.613605809425034e-05,2.241709256686484e-05,2.6202641667592024e-05,2.4326350721077147e-05
AT,Biomass CHP,1.0140730066504444,1.014074282823645,1.0140748760430027,1.0155258071405704,1.015526115711415
AT,Biomass CHP CC,2.016443797260388e-07,2.80220160437562e-07,3.35308082547162e-07,3.942498353111851e-07,0.0652088953356466
AT,Coal/Lignite,7.878625690062412e-07,1.1461629784390126e-06,1.3841090634074251e-06,1.490139267146561e-06,1.614598981759296e-06
AT,Fuel Cell,3.365744270667835e-07,4.753359367350552e-07,5.739240985576037e-07,6.329527224428259e-07,7.191065119525818e-07
AT,Gas,2.819203000959379,2.8192043172185586,1.31700523807585,0.8380057260922877,0.8380063318301803
AT,Gas CC,1.1811307196740732e-06,1.6676523876373198e-06,2.0094429438551427e-06,2.1934106744259924e-06,2.4364836062069855e-06
AT,Gas CHP,1.3828226207729409e-06,2.0286940981154605e-06,2.493319581722683e-06,2.736576306170891e-06,3.0428273598451146e-06
AT,Gas CHP CC,7.14946320902595e-07,9.744900459114495e-07,1.1720557968856269e-06,1.382097749743022e-06,1.6834508364379175e-06
AT,Hydroelectricity,13.46042,13.46042,13.46042,13.46042,13.46042
AT,Hydrogen turbines,1.4666008264238406e-06,2.1398022183922373e-06,2.616318317853166e-06,2.884784511864378e-06,3.28661770950007e-06
AT,Micro gas CHP,1.148692463868632e-07,1.6293441438581757e-07,1.986965696123591e-07,2.146907792285956e-07,2.352440460974494e-07
AT,Nuclear,7.394322388210054e-07,1.1141025213372976e-06,1.4258187589464526e-06,1.7738855006775444e-06,3.027747012860493e-06
AT,Oil,1.0920324449117196e-06,1.6295529987840395e-06,1.98070722365055e-06,2.1556243466869655e-06,2.3635935179695124e-06
AT,Onwind,3.927237902744479,3.92723943111062,3.1520217365846346,2.9614136920916545,1.488517586884983
AT,Solar,8.818201957625655,16.97928107293968,24.093867358645188,24.0938695220666,24.07187327264972
BA,Battery,2.7421294740052576e-05,0.0502542627012213,0.107331516307856,0.391587562167479,0.9721815938641244
BA,Biomass CHP,0.048236091866216,0.0623147037610294,0.0778120636251874,0.0889577376416572,0.0965362632317254
BA,Biomass CHP CC,2.052410984864873e-07,2.851265720003613e-07,3.410237973602641e-07,3.896362110429791e-07,1.0224720175308412e-05
BA,Coal/Lignite,0.5690007996727723,0.3000011582755152,0.3000013939147204,0.3000014983978727,0.3000016215369459
BA,Fuel Cell,3.134808136102856e-07,4.476480598166915e-07,5.421879252838406e-07,6.013935089711846e-07,6.829860826498191e-07
BA,Gas,3.0409737587755e-06,4.341151231807836e-06,5.215124642619973e-06,5.645812222365455e-06,6.153086856127105e-06
BA,Gas CC,1.191037565365474e-06,1.6744358317206032e-06,2.0059028481280666e-06,2.17791077491756e-06,2.393892465165706e-06
BA,Gas CHP,1.2839718385529025e-06,1.9144180339979525e-06,2.3456816401968866e-06,2.5623592138654796e-06,2.8213613650424784e-06
BA,Gas CHP CC,6.239040551077667e-07,8.696605101430864e-07,1.0472424620094694e-06,1.2235445375689176e-06,1.4133232179360825e-06
BA,Hydroelectricity,2.0545,2.0545,2.0545,2.0545,2.0545
BA,Hydrogen turbines,1.4640777596284476e-06,2.1348249550957095e-06,2.5988646280890103e-06,2.8539171933792864e-06,3.1963219276229637e-06
