snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,Hydrogen,Decentralized heat,Centralized heat,Electricity,Methane,CO2 emissions,Electricity,Electricity,Electricity,Decentralized heat,Centralized heat,Electricity,CO2 emissions,Centralized heat,Methane,Decentralized heat,Electricity,CO2 emissions,Electricity,Decentralized heat,Centralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Steam Methane Reforming,Heat Pump,Heat Pump,Nuclear,Imports,Transport emissions,Offwind,Onwind,Solar,Gas Boiler,Biomass CHP,Biomass CHP,Decentral heat production emissions,Gas Boiler,Storage,Resistive heater,Hydroelectricity,Power supply emissions,Gas,Oil Boiler,Storage ,Storage
2035-01-01 00:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.431425547686626,0.6461953102692695,0.468301034502232,0.1209438387185569,0.052457570618602,5.3212437343619925,1.0341401650422557,2.076999031639261,16.49901162006327,0.259911967936194,7.083999622180318,4.098371560029578,,4.969789179799099,0.0215686020242996,0.0070536200291234,1.2182650723418187,1.124903504126351,,1.0601522931121523,0.0797667396824885,4.373648163170695e-07,7.220476614034189e-07,1.1454659762408857e-06,1.1095643161043018e-06,1.8747668005470976e-06
2035-01-01 03:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.43142555554453,0.6461953014890078,0.4683012100334843,0.1209438841835746,0.0524577872346361,5.294656061269858,1.027816676900971,2.077000052350901,16.6229488922933,1.2961830237969223,6.640694083960163,3.370662438045134,,11.148803704096936,0.854885209756046,0.2782879113588697,2.535343861487378,1.4855716077488328,4.962476725728764,1.5692208232300102,0.0798977870318924,5.227824089338301e-07,9.488735140537223e-07,1.1478050088902534e-06,9.450158215915274e-07,1.9268141906839765e-06
2035-01-01 06:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.431425555900844,0.6461953011200123,0.46830123880593,0.1209438916427744,0.0524578347334935,5.27902437101227,1.0242231868066545,2.077000061490541,16.714938424037484,2.748166248754483,6.891419960063913,2.6037199838956737,0.053271511898985886,11.81332719783912,0.8563390393342131,0.2787611688402746,2.68964797586819,1.5908225569512164,4.56423499591005,1.5097239286689688,0.07989999517797469,5.262656461907098e-07,9.630350879865226e-07,1.149500203928805e-06,1.0689348927025804e-06,1.924569169701534e-06
2035-01-01 09:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.431425555779323,0.6461953012844595,0.4683012005445352,0.1209438817227409,0.0524577760201266,5.26510634640648,1.021365433805043,2.0769997203135078,16.733914761399234,2.262385178251488,7.063086789368738,2.2427454651479386,1.2415958400197862,9.75370574315106,0.044657891634844,0.0146166232048461,2.356648083387552,2.027479633082037,,1.4909584828564275,0.07987614363363327,4.7148869093809117e-07,8.101515150448077e-07,1.150332351352766e-06,1.0282144928931734e-06,1.8965234823237729e-06
2035-01-01 12:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.43142555555446,0.6461953015449551,0.4683012370371898,0.1209438911846506,0.0524578311466379,5.230631765856436,1.0133568439972598,2.0769997160258122,16.706966602291732,2.6652667087588604,7.0706991092159805,1.9917337076107609,1.7340996872711723,9.348395382504028,0.0426674033688989,0.013965011443373,2.2543373213047158,1.9202150513443128,0.0,1.263353319819852,0.07987614288158579,4.7169059412705155e-07,8.129022526980774e-07,1.1497277220744044e-06,1.0406340715236411e-06,1.8772811851953964e-06
2035-01-01 15:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4314255559262676,0.6461953010869383,0.4683013118470177,0.1209439105465001,0.0524578969487157,5.066362022313554,0.9747764020504536,2.0770000544541802,16.578421774184616,3.0453106198043987,7.046397055772347,1.4893467660820665,0.0293034209419817,10.09973009467238,0.851543703898077,0.2771984497899002,2.2924751146171616,1.3231999764687323,4.003659806766267,1.6016600349335095,0.0798801099207637,5.26884963082457e-07,9.75158184231043e-07,1.1516473802263463e-06,9.69855511607386e-07,1.909986126147838e-06
2035-01-01 18:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4314255556852644,0.6461953013323898,0.4683012132558549,0.1209438850196902,0.0524577893347105,4.919550966329719,0.9402876003498618,2.0770000641479704,16.446056220864474,1.4016049679044635,7.082128786420222,1.6926387659741309,,10.089542693876483,0.8513449272773874,0.2771333950627868,2.2912211850477457,1.3274247985961494,3.5176187163557335,1.5852734581550714,0.0798815370670264,5.299629984239413e-07,9.878447369548172e-07,1.1522657301748409e-06,9.754851734659409e-07,1.913222161013335e-06
2035-01-01 21:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.431425555359179,0.6461953016838168,0.4683010249635694,0.1209438362487297,0.0524575554870105,4.894621583255826,0.934367081527976,2.0770000619803524,16.314722471439183,0.5559027594188651,7.083911803539564,2.075014746205014,,5.343462315369981,0.8042177006661985,0.2617678190054786,1.1799691793808593,0.5272023437434767,0.0,1.5595772889504016,0.07988002269155936,5.295168882507815e-07,9.896226911176496e-07,1.1528013575327062e-06,9.418884489382834e-07,1.8469976026307895e-06
