snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
carrier,Hydrogen,Ammonia,Methanol,Oil,Coal,Electricity,Methanol,Oil,Electricity,Decentralized heat,Oil,Oil,Centralized heat,Methane,Solid biomass,CO2 emissions,Solid biomass,CO2 emissions,Solid biomass,Electricity,CO2 captured,Hydrogen,Electricity,CO2 captured,Methane,Electricity,Methane,Electricity,Electricity,Hydrogen,Oil,Centralized heat,Decentralized heat,Oil,Methanol,Electricity,Electricity,Hydrogen,Electricity,Solid biomass,Methane,Solid biomass,Ammonia,Hydrogen,Centralized heat,Methane,Electricity,Decentralized heat,Methane,Oil,lignite
sector,Industry,Industry,Shipping,Aviation,Industry,Industry,Industry,Shipping,Agriculture,Agriculture,Industry,Agriculture,Industry,Industry CC,Industry,Industry emissions,Industry CC,Solid biomass methanation emissions,Solid biomass methanation,Residual electricity consumption,Methanol production,Methanol production,Methanol production,CO2 sequestration,Hydrogen production CC,Compression losses,Storage,Decentral heat production,Hydrogen production,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Storage,Storage,Hydroelectricity,Ammonia production,Ammonia production,Transport,Decentral heat production,Central CHP production CC,Central CHP production,Storage,Storage ,Storage charging,Decentral heat production,Battery charging,Storage charging,Power supply,Decentral heat production,Power supply
2045-01-01 00:00:00,6.649543378995433,9.47945205479452,48.505757327713425,83.871621355086,15.1180958904,194.9155251141553,16.7500000000008,9.843815457677383,5.7144931044690885,22.34338942225278,64.31392694060304,10.49743235957586,7.438356164383561,54.08802541088058,67.15279689215687,3.226993115268135,9.263254595408087,0.060563135868634,0.176297548509297,145.52677870537065,18.45228769783481,84.67220806468615,20.159175556517653,21.644145538775163,47.87036391128295,0.09768790236443729,84.08455489083161,138.6552946999823,145.9722139703038,3.742642847736832,18.713214238695095,94.2178139397899,333.3257106151341,87.2204626582861,9.145711898326873,14.210260291478658,2.487652616726188,11.55204312595372,98.34307764578936,38.73337144993371,19.20227351998629,42.94706754400492,0.5797205153364922,36.4268906820993,6.651926710786338,39.94419777080319,0.00013132562470485274,4.74968549522817,5.231065605743603e-05,3.408859225368374e-06,8.69197337747811e-08
2045-01-01 03:00:00,6.649543378995433,9.47945205479452,48.505757327713425,83.871621355086,15.1180958904,194.9155251141553,16.7500000000008,9.843815457677383,5.7144931044690885,22.34338942225278,64.31392694060304,10.49743235957586,7.438356164383561,54.08802541138056,67.15279688711031,3.226993117230267,9.263254601008022,0.0605630977682491,0.1762973826203181,111.0974639135748,18.45229156824435,84.67222582487544,20.159179784950833,22.329196834131743,49.1919974300657,0.1040968456642026,,223.54235374216876,144.61436530888136,17.646540631064767,88.2327031553786,150.35718450860938,533.3432115223176,11.191095930814742,9.14572750377655,3.479965914817378,4.30257581061154,19.980097294404743,55.68164577360174,53.52287752084598,21.552556196371043,82.86223222391467,7.918668817467172,18.03368575483052,0.174897274573768,143.72231409363943,6.114032577205583e-05,0.5377164763578647,5.7244363328463286e-05,7.133115541851688,8.869073587330054e-08
2045-01-01 06:00:00,6.649543378995433,9.47945205479452,48.505757327713425,83.871621355086,15.1180958904,194.9155251141553,16.7500000000008,9.843815457677383,5.7144931044690885,22.34338942225278,64.31392694060304,10.49743235957586,7.438356164383561,54.08802541131419,67.1527968970805,3.2269931135510403,9.26325458994041,0.0605630594987346,0.1762971989712731,111.72604918204428,18.452271251194116,84.67213259581176,20.15915758851703,22.596851269716073,50.595060123136825,0.1362420419500815,,229.95485658269158,130.58404194011027,38.19336085725887,190.96680428611393,158.44850435742853,562.0237323339522,,9.145645584106443,6.69516317435759,5.263044179079519,24.44027470786462,82.33766360635073,53.3642971740223,22.334827995929885,85.98665263666061,11.80248420740536,,0.1098794080099733,167.90275345188383,1.153928573543591,9.514520112402424e-06,4.670027327311528e-05,11.516311130933731,8.644306834965735e-08
2045-01-01 09:00:00,6.649543378995433,9.47945205479452,48.505757327713425,83.871621355086,15.1180958904,194.9155251141553,16.7500000000008,9.843815457677383,5.7144931044690885,22.34338942225278,64.31392694060304,10.49743235957586,7.438356164383561,54.08802541165432,67.15279688081276,3.2269931196980224,9.263254608020151,0.0605630273825743,0.1762970345943561,141.1766469496965,18.452298506763967,84.6722576637339,20.159187365302785,22.351855289332537,50.415694164743925,0.14227444869105982,8.941874693283992,229.19951058251797,138.6883256194081,31.37844126934745,156.8922063468406,140.6905270536285,498.9835769669846,,9.145755480527878,15.048482244325475,3.0804261067312826,14.304736518278224,217.3308046510016,48.075775765762415,20.9908407374532,66.12312923344483,2.976694134179387,9.366584397078643,0.2111799110178198,116.72689079710078,37.28346901387029,1.3376081770254247e-05,2.746279012235498e-05,1.5196453505483485,8.37384768141733e-08
2045-01-01 12:00:00,6.649543378995433,9.47945205479452,48.505757327713425,83.871621355086,15.1180958904,194.9155251141553,16.7500000000008,9.843815457677383,5.7144931044690885,22.34338942225278,64.31392694060304,10.49743235957586,7.438356164383561,54.08802541227644,67.15279683968035,3.226993135138023,9.263254653714132,0.0605630044317283,0.176296915404575,148.57016761478343,18.452294321349367,84.6722384580776,20.159182792725712,22.301067008081052,50.517497950773695,0.1290033141786111,27.360461147923417,221.9328975688473,141.79365412399653,36.15098561652239,180.7549280826239,134.99874479924884,478.82843066401114,,9.14573860502243,12.497758454462405,2.6800867475425836,12.44565960727013,152.8087031440089,43.59528720102552,20.57435179405017,65.35901602349695,1.3578527816601564,9.771331176429433,0.3033144276062366,98.9546375132073,31.738862287728818,0.8860511511513791,4.20865831272856e-05,0.8931806239108712,8.566365405748595e-08
2045-01-01 15:00:00,6.649543378995433,9.47945205479452,48.505757327713425,83.871621355086,15.1180958904,194.9155251141553,16.7500000000008,9.843815457677383,5.7144931044690885,22.34338942225278,64.31392694060304,10.49743235957586,7.438356164383561,54.088025412869705,67.1527968640572,3.2269931260224105,9.263254626631756,0.0605629916314454,0.1762968495525345,167.74688025942524,18.452264447059264,84.67210137360605,20.159150154980804,22.46265771013012,50.82457888184867,0.1073567607563258,,203.2882425803184,127.37815782505449,41.02043971008204,205.10219855045,143.22397956644014,508.27752146581093,,9.145618148565292,0.0,4.435211916720794,20.596026547360136,29.610393287570833,52.79485427326288,21.480547050786388,78.70525578484838,8.455000941919744,,0.1545825757922294,132.92624784342675,4.88078584416312e-05,1.304881727910862e-05,1.770845512108079,8.000464019887659,8.916728422418122e-08
2045-01-01 18:00:00,6.649543378995433,9.47945205479452,48.505757327713425,83.871621355086,15.1180958904,194.9155251141553,16.7500000000008,9.843815457677383,5.7144931044690885,22.34338942225278,64.31392694060304,10.49743235957586,7.438356164383561,54.08802541308498,67.15279686245847,3.226993126642668,9.26325462840565,0.060562983482328,0.1762968068311536,172.3791363858398,18.45226922624644,84.6721233039129,20.159155376256063,22.29592070493802,50.60808802611986,0.1040309949188857,,201.29470950785011,122.5644086160759,19.772398341434396,98.8619917071293,142.25730460533416,504.9413249483539,2.570297216773033,9.145637418746947,,4.550932708279559,21.133405265621697,20.075878088040543,52.45365732365549,21.545233592057865,79.05324119159891,8.922941818791209,0.0,0.0372248254313315,138.81392927703803,4.1916382334047434e-05,1.0131034395355454e-05,5.282207541472359,6.391517284981856,8.920991305411114e-08
2045-01-01 21:00:00,6.649543378995433,9.47945205479452,48.505757327713425,83.871621355086,15.1180958904,194.9155251141553,16.7500000000008,9.843815457677383,5.7144931044690885,22.34338942225278,64.31392694060304,10.49743235957586,7.438356164383561,54.0880254135065,67.15279682671392,3.2269931400632808,9.263254668121116,0.0605629782075167,0.1762967791570356,161.62953418916422,18.452269101214156,84.67212273017594,20.159155239657952,21.80187300740219,50.31277923911887,0.09195875993856151,76.39264514160013,156.58694149732008,91.4430534051692,7.820927906420704,39.104639532106,100.52550325577158,355.9485499232086,68.7299512437582,9.145636914730073,,3.7262332189091065,17.303704927598943,64.52214259768586,40.71242277354733,19.20227825304913,50.68381775928348,5.588135940326378,0.0,4.347348754035538,46.45154396235736,0.30767243577517417,3.33358230785599,2.1402394492178978,3.5111517412643714e-06,8.794886643353823e-08
