snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Methanol,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Electricity,Electricity,Methane,Centralized heat,Ammonia,Methane,Decentralized heat,Decentralized heat,CO2 captured,Centralized heat,Electricity,CO2 emissions,Centralized heat,Centralized heat,Decentralized heat,Centralized heat
sector,Shipping emissions,Aviation emissions,Industry emissions,Industry CC,Methanol production,Heat Pump,Transport emissions,Offwind,Heat Pump,Onwind,Solar,Imports,Waste Heat,Haber-Bosch,Storage,Resistive heater,Gas Boiler,Central heat production CC,Gas CHP CC,Gas CHP CC,Decentral heat production emissions,Storage,Resistive heater,Storage,Gas Boiler
2050-01-01 00:00:00,2.374508766511247,0.325259039312778,1.0449666926938024,0.6530671168334763,0.2311860975555852,5.13145083521714,0.0449057052564591,7.083999902496119,1.8144683574034404,3.9870450532014905,,1.8313829104850785,1.6368094858901683,1.7415240826257856,0.0,4.829449497167732e-07,1.8103022304959604e-07,7.661778431405237e-08,9.332253951141728e-08,8.37014363490407e-08,8.763810483134431e-08,1.0745976654189186e-07,3.735852876031441e-07,2.328948606481386e-07,9.559965805950457e-08
2050-01-01 03:00:00,2.374508766511247,0.325259039312778,1.0449666926832746,0.6530671168473825,0.2311849190276041,5.115152539537604,0.2236949636178788,6.629704525844009,1.8084312772855629,2.7616179434105272,,1.827134786757628,1.420908242494713,1.5085193357092597,0.0,1.349740767663017,2.4614508518644426e-07,1.021843634438563e-07,1.3047519933043064e-07,1.170268480373311e-07,1.0995566090866244e-07,3.69380897730364e-07,5.847353493444993e-07,0.5286234939284061,1.1273748902083465e-07
2050-01-01 06:00:00,2.374508766511247,0.325259039312778,1.0449666937215247,0.6530671055916653,0.1817360680480923,5.089417901432298,0.474643299472116,6.870202958072036,1.798895408386474,2.124411412821549,0.035749405548775995,1.8240255524774136,1.1949339344845091,1.2699801347821111,0.0,2.1225126418321127,2.704336611900315e-07,1.0340696302115326e-07,1.331282306774682e-07,1.1940345365278654e-07,1.1874797716969442e-07,0.3382199942664144,5.631599476230841e-07,2.60690360803574e-06,1.2178983022681517e-07
2050-01-01 09:00:00,2.374508766511247,0.325259039312778,1.0449666939325286,0.6530671027655924,0.1817207847609375,5.029261172939765,0.3921044931012569,7.056661584862264,1.776586387785028,2.0210320208115125,2.0741961046593276,1.823368336641766,0.9773284394375902,1.0351375558596263,0.0,1.4073113009850116,2.6886668125527797e-07,1.0653041600046795e-07,1.396836376955853e-07,1.252816721309739e-07,1.1877134470713801e-07,0.2135240301247168,6.897957953452578e-07,5.070319636246714e-07,1.232849988659129e-07
2050-01-01 12:00:00,2.374508766511247,0.325259039312778,1.0449666939677738,0.6530671021970855,0.1817683987490433,4.991588370954655,0.461908630987806,7.0675261642721505,1.7626174046426883,1.5815889535603571,3.622605804497284,1.82202609200112,1.0885172322558412,1.1551296042487036,0.0,1.1976645381017743,2.713400994269464e-07,1.0735265302920062e-07,1.4133086587810465e-07,1.2676547108223517e-07,1.1950795302979934e-07,2.835681551413709e-06,6.548726293953836e-07,3.393085922733333e-07,1.237117114664303e-07
2050-01-01 15:00:00,2.374508766511247,0.325259039312778,1.0449666942917168,0.6530670975978035,0.1817058040393109,4.835855092845822,0.526879069732599,7.0452034488605095,1.704887291722165,1.415796236642767,0.030329325982098802,1.8188983654504585,0.13489662265108654,0.1259697641453789,0.7954035197383347,1.696320366379462,2.706384723904395e-07,1.0193565453707546e-07,1.3096614231123918e-07,1.1746639513383402e-07,1.196465009093749e-07,1.1726114617117878,8.982518338547234e-07,2.583716820031796e-07,1.2618302074792864e-07
2050-01-01 18:00:00,2.374508766511247,0.325259039312778,1.0449666943358953,0.6530670969573504,0.0828688736839401,4.701825326619396,0.2420110003121472,7.081534835862223,1.655203270687365,1.807372680413729,,1.8155032264761053,1.3269747273951762,1.4231515888882933,0.0,1.7660981048392108,2.704827349281454e-07,1.065705835254711e-07,1.4004676186803144e-07,1.2561449601267545e-07,1.1964166386846693e-07,2.9637320696017537e-06,9.311135943499882e-07,2.1641825486679089e-07,1.2650579254894918e-07
2050-01-01 21:00:00,2.374508766511247,0.325259039312778,1.0449666943369533,0.6530670969554682,0.2311861426319999,4.690222690713943,0.0958614846881367,7.083883941466901,1.6509065680568449,2.1517316728612177,,1.8139914344064512,1.448722408873131,1.5385373876190167,0.0,0.0036921339095826,2.5626327155421826e-07,7.920486754698511e-08,1.0184713417428409e-07,9.134425189615405e-08,1.105790269466351e-07,9.55175668262099e-08,1.600395986282452e-07,1.5877278770351559e-07,9.934661302722489e-08
