country,hydro,ror,offwind,onwind,solar
AL,1.6907,0.0482,7.592088551558214,67.49186156512862,59.04326362388743
AT,3.6006199999999997,4.8025,0.0,139.64127430008062,192.68807755135535
BA,1.6145,0.0,0.0,140.8267144179412,97.09572205788136
BE,0.0127828025477706,0.0798761965781364,9.18696644098638,14.896123444184736,124.1739912757505
BG,1.92514,0.1104,4.029164292614624,145.57953550030635,248.71149054725524
CH,9.91631,4.4508,0.0,76.71433786350549,139.53738920395497
CZ,0.0,0.0,0.0,104.28033985794764,229.90442913821732
DE,0.2895,2.77560335,75.76022162596679,489.5860425312106,1238.016657010858
DK,0.0,0.0,132.30249438425494,73.47226227257009,152.05424501928036
EE,0.0,0.0,47.839844346626954,93.64260048710904,64.33599271393157
ES,14.975837,0.2770082474999999,27.53338874588654,932.3411702499612,1173.0329165179555
FI,1.2959,1.45173,177.1856572756889,718.1633603247226,111.3579615102013
FL,0.0,0.0,9.18696644098638,4.68888135473067,65.31805140555976
FR,8.329492993630572,6.6443491494216635,80.78618358307,954.0259787844428,1790.8298287667888
GB,0.2283,8.787,280.8744112726361,434.1379035746051,962.6579910140028
GR,2.566,0.1031,56.81190658805255,208.17603435604093,219.9441099777895
HR,1.864404458598726,0.2731677302916768,32.78296943943202,74.22371503669399,87.53335813610768
HU,0.028,0.0197,0.0,137.16952703953083,320.2777497435744
IE,0.001,0.216,39.71632327126601,140.8885491448598,228.5485969014889
IT,4.0029,7.49649,129.46460198339025,522.452937402876,883.7786176431578
LT,0.0,0.101,4.932470910851492,128.3646677344847,182.5815088667832
LU,0.0,0.0308999999999999,0.0,3.1628702453974715,8.825732940991157
LV,0.0,1.5360999999999998,30.3904847468338,149.65148902422067,123.78027253333497
ME,0.344961,0.00536,1.6527772412567727,37.72218499858843,16.09397174791463
MK,0.0,0.0,0.0,66.67675384886967,54.654293984393746
NL,0.0,0.0,153.0594368952547,46.32658810776088,169.09670877138518
NO,28.295874200000007,0.8925,106.33530262966022,730.8154077415429,309.11522845760487
PL,0.1401019108280254,0.182400368779544,23.936559371319433,421.8260672766178,951.31356306921
PT,0.8814000000000001,2.5578000000000003,12.533062698220856,160.9941054533845,154.06218887878498
RO,4.44994,3.4974499999999997,7.794043825028853,325.0143816900593,692.3971619787508
RS,0.7901,1.7084,0.0,209.9196386830845,231.11124800778032
SE,10.78418662493251,1.279,197.16529542730277,935.9335077385092,212.50163468482697
SI,0.118,0.912275,0.4125927439588749,28.734069062090324,28.710810972720942
SK,0.2419,1.21466,0.0,52.21555965475613,110.99479196592468
