snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
carrier,Decentralized heat,Centralized heat,Oil,Oil,Oil,Ammonia,Methanol,Coal,Electricity,Decentralized heat,Oil,Hydrogen,Methanol,Electricity,Solid biomass,Methane,Methane,CO2 captured,Methane,CO2 captured,Electricity,Hydrogen,Electricity,Electricity,Hydrogen,Electricity,Electricity,Oil,Hydrogen,Methanol,Solid biomass,Solid biomass,Electricity,Centralized heat,Decentralized heat,Methane,Oil,Ammonia,Methane,Methane,Hydrogen,Electricity,Centralized heat,Electricity,Oil,Decentralized heat
sector,Industry,Industry,Shipping,Industry,Aviation,Industry,Industry,Industry,Agriculture,Agriculture,Agriculture,Industry,Shipping,Industry,Industry,Industry CC,Industry,CO2 sequestration,Hydrogen production CC,Methanol production,Methanol production,Methanol production,Residual electricity consumption,Ammonia production,Ammonia production,Compression losses,Decentral heat production,Transport,Transport,Storage,Central CHP production,Decentral heat production,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Storage,Storage,Storage,Decentral heat production,Power supply,Storage,Hydroelectricity,Storage charging,Battery charging,Decentral heat production,Storage charging
2030-01-01 00:00:00,0.0776255707762557,15.664383561643836,45.9378054692048,105.01027397259188,83.871621355086,3.1598173515981736,0.30251141552545,61.68344520550001,5.7144931044690885,22.34338942225278,10.49743235957586,7.6255707762557075,17.11967905682658,144.263698630137,47.56163555533224,70.55892426790328,38.58600925474165,22.84738168234315,51.71632851147174,4.333885455074028,4.734781895955776,19.88694610607031,145.52677870537065,0.9048541281069136,4.2019186442295995,0.32857969110534835,91.54698897479653,47.3334242507888,0.733851538771928,0.0524690704345703,80.98755635420544,36.10848750762846,51.993438960096995,69.25552310833416,420.7617497038698,49.39050722495326,181.18225963258743,0.4990915404896805,302.23816477964687,36.202287032794636,3.2431734898514386,4.800356345818792,3.8959572480205895,0.001888443688727546,0.0249555722229611,22.75148121439351
2030-01-01 03:00:00,0.0776255707762557,15.664383561643836,45.9378054692048,105.01027397259188,83.871621355086,3.1598173515981736,0.30251141552545,61.68344520550001,5.7144931044690885,22.34338942225278,10.49743235957586,7.6255707762557075,17.11967905682658,144.263698630137,47.56163552508117,70.55892429599368,38.58600922946029,22.85282449578183,51.71632999931541,4.328447833645877,4.728841279443885,19.861994435010292,111.0974639135748,0.6546964958911842,3.0402485074057264,0.3272433781325773,125.10081229044206,223.17683739278,3.4601060060911313,0.0305440373420715,112.85087205122996,36.3643260106041,46.06765425595896,112.71911337656223,681.5685372397552,,0.0,0.0,467.3306242937623,43.50304677314239,1.703544052860613,0.0,0.1456583827722136,0.0015756280997455956,49.697807054070466,0.6973135816106402
2030-01-01 06:00:00,0.0776255707762557,15.664383561643836,45.9378054692048,105.01027397259188,83.871621355086,3.1598173515981736,0.30251141552545,61.68344520550001,5.7144931044690885,22.34338942225278,10.49743235957586,7.6255707762557075,17.11967905682658,144.263698630137,47.56163551133832,70.55892429754694,38.58600922806235,22.861401751567243,51.71633139281224,4.319863209220717,4.71946255341774,19.82260207795477,111.72604918204428,0.7568210257638532,3.514489551100725,0.3297003258674504,132.69169453794274,483.0336814300259,7.488894285737032,0.0,114.86659268283648,36.365024097442024,50.00876002282931,117.10784537018688,720.6119898875937,,,0.0,501.3391475752607,23.024419157852854,,0.0,0.025195440180249,0.001830721719605928,63.63903442084773,0.0236674604840196
2030-01-01 09:00:00,0.0776255707762557,15.664383561643836,45.9378054692048,105.01027397259188,83.871621355086,3.1598173515981736,0.30251141552545,61.68344520550001,5.7144931044690885,22.34338942225278,10.49743235957586,7.6255707762557075,17.11967905682658,144.263698630137,47.56163549721518,70.55892431729328,38.586009210290655,22.859164027067088,51.716331257242906,4.322096528878996,4.721902461346898,19.832850135533175,141.1766469496965,0.6350428548716712,2.948981862250819,0.33699129255102833,130.4829113112636,396.844992524019,6.152635543009304,0.0049349417686462,105.91237136206956,36.39950632173326,60.7661891236315,103.84976882196013,637.9625023895514,,0.0,0.0,437.6605601230522,5.6583797745572404e-05,0.0,29.868287222970107,7.022614192328198e-05,1.5297614957394037,30.49535508785878,9.242286695009056e-05
2030-01-01 12:00:00,0.0776255707762557,15.664383561643836,45.9378054692048,105.01027397259188,83.871621355086,3.1598173515981736,0.30251141552545,61.68344520550001,5.7144931044690885,22.34338942225278,10.49743235957586,7.6255707762557075,17.11967905682658,144.263698630137,47.56163549132419,70.55892432598348,38.586009202469455,22.864709530776864,51.716331366994226,4.316545943714647,4.7158384316394795,19.80738010657998,148.57016761478343,0.902187947794164,4.189537562664042,0.33869680105663647,125.25692061597292,457.203641620748,7.088428552259294,0.0,102.09402584396936,36.39950703398873,48.18323788183571,99.85569087281128,611.3101870380646,0.0,0.0,0.4883088872147927,419.4296038438823,2.435608727374131,0.0,17.630419232048542,0.0481093085276831,1.8210556634650181,21.9534273577846,0.0001071925296142
2030-01-01 15:00:00,0.0776255707762557,15.664383561643836,45.9378054692048,105.01027397259188,83.871621355086,3.1598173515981736,0.30251141552545,61.68344520550001,5.7144931044690885,22.34338942225278,10.49743235957586,7.6255707762557075,17.11967905682658,144.263698630137,47.56163549297626,70.55892432814653,38.58600920052272,22.861683799746416,51.716331578423855,4.319586776307521,4.719160549692348,19.82133360731712,167.74688025942524,0.6350284979883063,2.9489151924374077,0.32123258073301597,99.46933129180394,518.787913980474,8.043223472565106,0.0,109.27410553809216,36.39950939903605,18.531255823612874,106.32387260702974,649.6074438144948,,,0.0,463.2672068708596,44.838352734741065,,3.5131554580766906,0.1200879660750041,0.0013128121302000144,50.815286634657774,0.0097576146470726
2030-01-01 18:00:00,0.0776255707762557,15.664383561643836,45.9378054692048,105.01027397259188,83.871621355086,3.1598173515981736,0.30251141552545,61.68344520550001,5.7144931044690885,22.34338942225278,10.49743235957586,7.6255707762557075,17.11967905682658,144.263698630137,47.56163549300613,70.55892433377427,38.58600919545776,22.847645717321477,51.716329786926,4.333617241117341,4.734488871463198,19.88571534984548,172.3791363858398,0.6471006477884349,3.004975268581637,0.31915736569164954,98.1164394353403,250.062684906399,3.876940851261647,0.0513876047134399,108.91059663781428,36.39951047569822,13.992532893108493,104.87337309671578,645.8566076083174,,0.0,0.0,466.1416579368773,45.17542626366227,1.2911110527847287,,0.3846575227651007,0.0013311075089582098,48.45951255212937,7.986454421642638e-05
2030-01-01 21:00:00,0.0776255707762557,15.664383561643836,45.9378054692048,105.01027397259188,83.871621355086,3.1598173515981736,0.30251141552545,61.68344520550001,5.7144931044690885,22.34338942225278,10.49743235957586,7.6255707762557075,17.11967905682658,144.263698630137,47.561635491086776,70.55892434094305,38.58600918900585,22.860930718257023,51.71570545146726,4.32022085266105,4.719853279869569,19.824243200198723,161.62953418916422,0.6419463857544794,2.981040151235116,0.3261476369630961,80.27577678456302,98.9117352870553,1.5335152757687656,0.0,88.96244488597914,35.81021842589706,25.86497619208179,72.83778587017034,451.3760824538563,35.45944153332805,128.05042946290968,0.0,320.0031283763926,34.189491196525545,3.7195075025098823,,3.998399447760893,0.00013891283430127958,1.09105498847382,0.1515207014802464
