snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Methane,Oil,Coal,Hydrogen,CO2 captured,CO2 emissions,Methane,Electricity,Methanol,Decentralized heat,Electricity,Centralized heat,Electricity,Hydrogen,Centralized heat,Electricity,CO2 emissions,Oil,Electricity,Centralized heat,Ammonia,Ammonia,Centralized heat,Methane,Decentralized heat,CO2 emissions,CO2 captured,Centralized heat,Electricity,Electricity,Decentralized heat,Electricity,Centralized heat,Hydrogen,Decentralized heat,Methanol,CO2 emissions,Centralized heat,Decentralized heat,Centralized heat,Electricity,CO2 emissions,Decentralized heat,Hydrogen
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Solid biomass methanation,Imports,Imports,Steam Methane Reforming CC,Hydrogen production CC,Methane production emissions,Imports,Nuclear,Methanol production,Heat Pump,Offwind,Waste Heat,Onwind,Electrolysis,Heat Pump,Hydroelectricity,Transport emissions,Storage,Solar,Solar thermal,Haber-Bosch,Storage,Storage,Storage,Biomass boiler,Central heat production emissions,Central heat production CC,Gas CHP CC,Gas CHP CC,Battery,Resistive heater,Biomass CHP,Biomass CHP,Storage,Gas Boiler,Storage,Decentral heat production emissions,Resistive heater,Storage,Gas Boiler,Gas,Power supply emissions,Oil Boiler,Steam Methane Reforming
2045-01-01 00:00:00,14.56074434349785,2.698889859646953,21.56339385039261,26.754083993967367,26.310597600089892,0.0645855628955474,247.688192699564,14.671006217697846,73.24820522866798,18.99093820163168,2.1103011362119717,267.27744347804554,116.49397858682322,114.77383266567271,232.67333650825697,379.81708030578017,51.384528264916284,311.58283348123234,171.92660467415885,22.521929024870808,40.71890903163896,4.449543688745528,,,,13.716414232961665,,2.4783312218235634,,38.359265311743535,0.13216986983894835,2.5112229580518832,5.960813852433403,5.362089001434267,9.256639120341987,34.42658694972638,10.124903521794318,30.972223877114224,,50.78261248377456,,10.286631461849224,8.34037692002138e-06,6.778003673403759e-06,8.231787154422769e-06,2.3595957519016184e-05,3.503155535692026e-06,4.6931110584550304e-06,0.000751938649619
2045-01-01 03:00:00,14.56074434349785,2.698889859646953,21.56339385039261,26.754083993533264,26.310597602392154,0.0645854437920393,248.6686009733599,14.650453949042484,73.48792717043277,19.052967396776893,2.1171998176899103,268.6388303754264,121.86755601924395,114.2756191878484,231.42856071943862,354.6427570670056,55.48496305816421,302.88863612652443,169.53006173792082,23.437296749070587,47.47297049938308,20.97957424407353,0.0,,,18.644414929182297,0.0,6.086272424391667,53.102082081159665,44.68753498955461,0.1365784497695987,2.5949809260305154,6.159625023268507,5.540930824358767,14.025707066355826,109.34705978522634,20.8873711235544,64.00942628294695,,152.2729334466837,,36.425339006907954,0.225556848139471,2.6990195212673607,6.177507755595686,2.508595493949782e-05,3.552150849092084e-06,15.484274025903058,0.000776947915931
2045-01-01 06:00:00,14.56074434349785,2.698889859646953,21.56339385039261,26.75408399323552,26.310597605690226,0.0645853556907276,249.02430935648593,14.634651309611208,73.4832297162593,19.051754240456752,2.1198934070462605,268.64859639223795,120.62043663682185,114.09444452406824,231.14772615625554,346.0899255163773,54.65010035993017,257.6100606498593,145.1606346269618,25.101445775646553,52.58651135724337,45.40722550034,80.86936059439182,72.53522130369933,0.0162132609355824,22.151348387399356,0.0,7.007668808752115,77.88267245351398,46.24143664696997,0.13916711673551324,2.644164989562649,6.2763716837144266,5.645951030857183,2.997429660797785,118.86197822726815,22.204758496464564,68.05102410881744,34.738652138648895,175.8791981188694,0.0,40.31270045172727,0.6939939866400625,0.2745409098744027,6.715787691395379,2.3685609185395028e-05,3.5747751115476272e-06,11.98393569799478,0.0115788136120524
2045-01-01 09:00:00,14.56074434349785,2.698889859646953,21.56339385039261,26.754083992951482,26.31059760991193,0.0645853154116528,249.14956115540016,14.619000571366136,73.47084216578388,19.04855502015976,2.1197560367531776,268.5047957142814,116.85756704039707,114.46549103989535,237.20460118562144,355.57746140265425,55.50702125629069,215.99059893726837,158.249057020259,27.542637053591346,27.811033872877527,37.3051212720271,37.3377316981554,360.50161948426546,6.130371813826456,20.80803576470083,0.0,3.777741840197757,21.34726834347674,44.60637834430351,0.14458121301519802,2.74704003479467,6.520566579526088,5.86561821662622,0.021035366788424024,116.17360170584902,14.967484586007108,45.89787911620568,5.241228904788832,122.08371343535808,,25.892070164967734,8.786815345013533,7.4046367223337295e-06,4.21659889510065,1.244720382511272e-05,3.055978358463925e-06,1.2802880396678242,0.0124117531879384
2045-01-01 12:00:00,14.56074434349785,2.698889859646953,21.56339385039261,26.754083992767598,26.310597613040688,0.0645853033002008,249.33984533925295,14.606874109267928,73.46293477378653,19.04651285098454,2.1199149444577348,268.4628845755876,116.51386283680353,114.26548626942952,242.19222392919687,367.8759850409101,56.62930322777468,205.45404884013033,162.90584004967937,27.078146744603867,47.85733421367301,42.979091630212224,58.596594509899624,270.9919548256381,7.297756563426489,21.154394141315567,,2.9712884983875165,3.345413854743533,42.94467355636315,0.1328313332890004,2.5237908709264096,5.990643581625783,5.388922508993663,0.04568500422218973,106.23825531125988,16.555152251803108,50.69419009849284,11.475852869493329,109.50766244173175,0.0,22.38362378778743,3.365869148426186,8.076552410766893e-06,1.2922314156696557e-05,1.9545748003720544e-05,3.2892021154434352e-06,0.7223135954139737,0.0138852190039201
2045-01-01 15:00:00,14.56074434349785,2.698889859646953,21.56339385039261,26.754083992403956,26.31059761596697,0.064585308553689,249.5799892211048,14.627815878869622,73.45693903199101,19.04496438765562,2.1195598112529845,269.47839260283234,122.34507695373583,114.22862634577903,237.51970168133377,370.0970319392173,51.87312913439674,210.63277678137823,149.4441002330206,23.99012526635599,89.19236274528876,48.7682758006267,92.615969176054,22.825326074431366,0.4977783347625641,18.47329626889032,0.0,3.7098003803924287,48.1610710515369,46.58416921399921,0.13950195087896042,2.6505126936676398,6.29143893311438,5.659504878963475,12.069186079643691,88.73685192924405,20.100246462381985,61.54344654816888,32.75576809138323,146.36675128470384,0.0,33.75245773596123,0.0298425895045081,0.1914228295051893,4.67468430301151,2.005288299915149,0.6203816396669278,11.290358020800562,0.0131860121544455
2045-01-01 18:00:00,14.56074434349785,2.698889859646953,21.56339385039261,26.754083992296312,26.31059761805749,0.0645853230977664,249.52194080792484,14.62686505952005,73.29864547759124,19.003935316658627,2.1115506664190127,268.96232114826375,122.34507703752519,114.19661306706796,232.16830783569108,367.2985355614279,53.391826593914914,211.31176212279672,145.66055519743276,22.70256335259648,94.276804152534,23.506958539928007,0.0,,,20.88026040917579,0.0,3.457483676864405,60.568748101392096,45.97467930224925,0.140073261688576,2.6613675205202947,6.317204854484527,5.682682781119152,15.677713196451519,83.66857051988815,20.1362255433853,61.65744297915135,0.0,155.41477441614737,0.0,35.16429710698977,0.0338466161952982,0.0843715666167307,4.4018174252382,4.01492087010673,1.2421115680822223,9.995707639550224,8.76404845993016e-06
2045-01-01 21:00:00,14.56074434349785,2.698889859646953,21.56339385039261,26.754083992237234,26.31059762015926,0.0645853409113171,249.35376165180273,14.62588667359017,73.17013886839248,18.97072529431034,2.1078605756548847,267.78505169044547,122.34507707088099,114.2170734498124,229.36053722169055,350.1951857771613,42.97729084808988,191.3240468341163,119.15679744947074,24.977290516731102,92.30961653326085,9.298124833686249,,,,14.296441362984808,0.0,2.079382630886275,0.0,42.90153753466013,0.13217009795189585,2.5112249168392293,5.960817384287064,5.362092155078795,5.83186311225435,46.63370492360922,12.7939925855219,39.135540741174765,,61.30592315780214,0.0,12.416276247342944,4.528292818936321e-06,6.988211770363054e-06,7.397792668276689e-06,2.2408391654661535,0.6932550567078808,4.732706125389209e-06,8.42724388542748e-06
