snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
carrier,Oil,Electricity,Decentralized heat,Methanol,Centralized heat,Electricity,Oil,Methanol,Oil,Hydrogen,Oil,Solid biomass,Methane,Methane,CO2 captured,Electricity,Methane,Hydrogen,Electricity,CO2 captured,Electricity,Oil,Hydrogen,Electricity,Hydrogen,Decentralized heat,Centralized heat,Electricity,Methane,Methane,Solid biomass,Methane,Centralized heat,Oil,Decentralized heat
sector,Industry,Industry,Agriculture,Shipping,Industry,Agriculture,Aviation,Industry,Agriculture,Industry,Shipping,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Hydrogen production,Methanol production,Methanol production,Methanol production,Decentral heat production,Transport,Transport,Ammonia production,Ammonia production,Residential / Services heat consumption,Residential / Services heat consumption,Transport,Decentral heat production,Storage,Central CHP production,Power supply,Storage charging,Decentral heat production,Storage charging
2040-01-01 00:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994084247546,1.5144585486404354,0.9061431255963452,0.6180236945261071,1.8626157723219037,0.7107534013739372,0.2630945717930422,0.0626388490623855,0.0573351851974272,1.7797382241930038,0.364595847504,0.099070808824377,0.1068812627298955,0.4963301339224102,5.258221242122501,1.2982871426359437,1.1928501063942043,3.2351168990202197,2.363621436557209,2.3510333814794138e-06,6.780939248227192e-07,6.514723485662109e-07,4.756201967278897e-07,1.2638244976571802e-06
2040-01-01 03:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994084324444,1.5144585481266446,0.9061431333078818,0.6180309615604159,1.4994212225210406,0.7107534566129471,0.2630944657648245,0.0626388238186661,0.0573351620911067,2.1487716658744493,1.81621142295,0.4935150411065755,0.1068812488262457,0.4963300693573015,8.53054444767372,2.106243854362567,1.187006557834525,7.00717380140572,0.0,1.42766535974549e-05,8.520741230109938e-07,6.47824752732435e-07,4.7529897846831e-07,1.235488856686874e-06
2040-01-01 06:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994084063294,1.5144585494836391,0.9061433468762492,0.6180332690444055,1.474915970853203,0.7107542718328742,0.2630943829251261,0.0626388040957835,0.0573351440381707,2.1191751743562612,3.85369687537,1.047156376082788,0.1068812386933585,0.4963300223026806,8.820073003562863,2.1777302343052076,1.2546915689814793,7.412604705491229,0.0,5.6422675477303394e-05,8.86259421153843e-07,6.456444208905517e-07,4.759880920663707e-07,1.2247691165520343e-06
2040-01-01 09:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083660168,1.5144585523388003,0.9061431296077164,0.6180340128534891,1.806427635720143,0.7107534505846429,0.2630944872158823,0.0626388289258395,0.0573351667658529,2.2903756976799823,3.1835524941899997,0.8650595520865663,0.1068812518551299,0.4963300834226898,7.792271464277009,1.9239597172058491,1.7623586704951453,6.005588746236323,0.1629240346189908,6.4500997337478505e-06,8.101192887994549e-07,6.413224873826115e-07,4.771882244600535e-07,1.2432506174301783e-06
2040-01-01 12:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083543895,1.5144585529300054,0.9061433378200444,0.6180327261218388,1.843249845646096,0.710754242945429,0.2630944839015564,0.0626388281367484,0.0573351660435747,2.275704538295324,3.75030227946,1.01906119530981,0.1068812509286478,0.4963300791203363,7.4644301547767,1.8430136829196664,2.392528980546613,5.631393930663718,0.0,3.5299365409887075e-06,7.47056634767205e-07,6.27175831909002e-07,4.769797950164739e-07,1.260876363172528e-06
2040-01-01 15:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083833692,1.5144585504147845,0.9061436606317343,0.6180332724159664,2.0196873714717936,0.7107551296932574,0.2630942316006248,0.0626387680677023,0.0573351110606058,1.464596191583769,4.27780656966,1.162398748509219,0.1068812211612066,0.4963299408877058,7.919000334141712,1.955249854073448,1.377145264802343,7.037237607534704,0.0,1.588436701012918e-05,8.63655337718406e-07,6.381479534539685e-07,4.7621606031419683e-07,1.2208860955187322e-06
2040-01-01 18:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083942213,1.514458549501882,0.906143132872529,0.6180330011394616,2.084015894170525,0.7107534641415698,0.2630944396761916,0.0626388176073562,0.0573351564057115,1.464596886677048,1.96492194611,0.5339238167708388,0.1068812459692475,0.4963300560901086,7.833828989435341,1.9342205255873264,1.062455111078944,6.221507733907287,0.0,0.996411770686464,9.037531366773945e-07,6.351504250741966e-07,4.7587880840192244e-07,1.2114630303539032e-06
2040-01-01 21:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083990118,1.514458549316026,0.9061431375291358,0.6180332419260632,2.2248110003610213,0.7107534690582203,0.2630944393443503,0.0626388175283498,0.0573351563333946,1.4645970247671798,0.778313113071,0.2114892699916273,0.1068812459981299,0.4963300562242312,5.477544445396022,1.3524393895232962,0.0003837392964314,3.7725553978542083,2.098260148439862,0.372281347429986,9.038888540748269e-07,6.356263945373576e-07,4.761378736844021e-07,1.2637618365564527e-06
