config,cost_segment,capital,marginal
2023_nl,Distribution,1052360067.1790537,0.0
2023_nl,Energy production,9555599085.21165,7848360174.613577
2023_nl,Storage,471313421.61709523,0.0
2030_nl,Distribution,1746155146.47689,0.0
2030_nl,Energy production,14606790088.252054,23317915335.539333
2030_nl,Storage,919998851.1309202,0.0
2035_nl,Distribution,1922176977.682513,0.0
2035_nl,Energy production,18172598530.028446,23872159832.829857
2035_nl,Storage,921301163.1488504,0.0
2040_nl,Distribution,2199015814.3495846,0.0
2040_nl,Energy production,24455531375.826443,22095913568.922104
2040_nl,Storage,933870316.8890593,0.0
2045_nl,Distribution,2483574388.6362348,0.0
2045_nl,Energy production,39589673343.741264,19217840448.429955
2045_nl,Storage,1127588404.9929066,0.0
2050_nl,Distribution,2650184007.6254916,0.0
2050_nl,Energy production,61696289034.25412,18412599549.91349
2050_nl,Storage,1376978644.7198026,0.0
2023_lu,Distribution,44548525.32554416,0.0
2023_lu,Energy production,184552294.0156064,17409030.374184117
2023_lu,Storage,458659004.8052628,0.0
2030_lu,Distribution,85714121.36334983,0.0
2030_lu,Energy production,229354746.06899148,719190897.7840466
2030_lu,Storage,533559955.0790937,0.0
2035_lu,Distribution,94673873.0350214,0.0
2035_lu,Energy production,239601542.23308253,744721150.894676
2035_lu,Storage,533540607.6313826,0.0
2040_lu,Distribution,99047361.44859271,0.0
2040_lu,Energy production,300152948.2522723,696520328.4997789
2040_lu,Storage,533584667.29055965,0.0
2045_lu,Distribution,118529873.90267794,0.0
2045_lu,Energy production,380376895.78020763,560121962.3180375
2045_lu,Storage,533667738.63227636,0.0
2050_lu,Distribution,128125753.32002388,0.0
2050_lu,Energy production,409905003.080376,511847941.9651007
2050_lu,Storage,533707375.7833953,0.0
